colsample_bytree	eval_metric	gamma	learning_rate	max_depth	min_child_weight	n_estimators	objective	subsample	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.5	error	0	0.01	6	3	600	binary:logitraw	1.0	0.9704710144927537	1.0	0.9544642857142858
0.5	auc	0	0.01	6	3	600	binary:logitraw	1.0	0.9704710144927537	1.0	0.9544642857142858
1.0	error	0	0.2	6	1	200	binary:logitraw	1.0	0.9704710144927537	1.0	0.9544642857142858
0.5	error	0	0.01	8	3	1000	binary:logitraw	1.0	0.9704710144927537	1.0	0.9544642857142858
0.5	error	0	0.01	8	3	600	binary:logitraw	1.0	0.9704710144927537	1.0	0.9544642857142858
1.0	auc	0	0.2	6	1	200	binary:logitraw	1.0	0.9704710144927537	1.0	0.9544642857142858
1.0	auc	0	0.2	6	3	200	binary:logitraw	1.0	0.9663043478260871	1.0	0.9482142857142858
0.5	error	0	0.01	8	1	600	binary:logitraw	0.5	0.9619565217391305	1.0	0.9410714285714287
1.0	error	0	0.2	8	3	200	binary:logitraw	1.0	0.9663043478260871	1.0	0.9482142857142858
0.5	error	0	0.01	6	3	1000	binary:logitraw	1.0	0.9704710144927537	1.0	0.9544642857142858
0.5	auc	0	0.01	8	3	1000	binary:logitraw	1.0	0.9704710144927537	1.0	0.9544642857142858
0.5	auc	0	0.01	8	3	600	binary:logitraw	1.0	0.9704710144927537	1.0	0.9544642857142858
0.5	auc	0	0.01	8	1	600	binary:logitraw	0.5	0.9619565217391305	1.0	0.9410714285714287
0.5	error	0	0.01	6	1	600	binary:logitraw	0.5	0.9619565217391305	1.0	0.9410714285714287
0.5	auc	0	0.01	6	3	1000	binary:logitraw	1.0	0.9704710144927537	1.0	0.9544642857142858
1.0	auc	0	0.2	8	3	200	binary:logitraw	1.0	0.9663043478260871	1.0	0.9482142857142858
1.0	error	0	0.2	6	3	200	binary:logitraw	1.0	0.9663043478260871	1.0	0.9482142857142858
0.5	auc	0	0.01	4	3	600	binary:logitraw	1.0	0.9704710144927537	1.0	0.9544642857142858
0.5	error	0	0.01	4	3	600	binary:logitraw	1.0	0.9704710144927537	1.0	0.9544642857142858
0.5	auc	0	0.01	6	1	600	binary:logitraw	0.5	0.9619565217391305	1.0	0.9410714285714287
0.5	auc	0	0.01	4	1	600	binary:logitraw	0.5	0.9663043478260871	1.0	0.9482142857142858
0.5	error	0	0.01	4	1	600	binary:logitraw	0.5	0.9663043478260871	1.0	0.9482142857142858
0.5	auc	0	0.01	6	1	1000	binary:logitraw	1.0	0.9661231884057973	0.9888888888888889	0.9511309523809525
1.0	error	0	0.2	8	1	200	binary:logitraw	1.0	0.9661231884057973	0.9888888888888889	0.9511309523809525
0.5	error	0	0.01	8	1	1000	binary:logitraw	1.0	0.9661231884057973	0.9888888888888889	0.9511309523809525
1.0	auc	0	0.2	8	1	200	binary:logitraw	1.0	0.9661231884057973	0.9888888888888889	0.9511309523809525
0.5	auc	0	0.01	8	1	1000	binary:logitraw	1.0	0.9661231884057973	0.9888888888888889	0.9511309523809525
0.5	error	0	0.01	6	1	1000	binary:logitraw	1.0	0.9661231884057973	0.9888888888888889	0.9511309523809525
1.0	auc	0	0.2	4	1	200	binary:logitraw	0.5	0.9702898550724639	0.9875	0.9575892857142858
1.0	error	0	0.01	6	1	1000	binary:logitraw	0.5	0.9661231884057973	0.9875	0.9513392857142857
1.0	error	0	0.2	6	1	200	binary:logitraw	0.5	0.9704710144927537	0.9875	0.9584821428571428
1.0	auc	0	0.01	8	3	1000	binary:logitraw	1.0	0.9661231884057973	0.9875	0.9513392857142857
1.0	error	0	0.01	6	3	1000	binary:logitraw	1.0	0.9661231884057973	0.9875	0.9513392857142857
1.0	error	0	0.01	8	1	1000	binary:logitraw	0.5	0.9661231884057973	0.9875	0.9513392857142857
1.0	auc	0	0.01	4	1	600	binary:logitraw	0.5	0.9576086956521739	0.9875	0.9379464285714286
1.0	error	0	0.01	8	1	600	binary:logitraw	0.5	0.9576086956521739	0.9875	0.9379464285714286
1.0	error	0	0.01	6	1	600	binary:logitraw	0.5	0.9576086956521739	0.9875	0.9379464285714286
0.5	error	0	0.01	8	1	1000	binary:logitraw	0.5	0.9704710144927537	0.9875	0.9584821428571428
1.0	error	0	0.01	8	3	1000	binary:logitraw	1.0	0.9661231884057973	0.9875	0.9513392857142857
1.0	auc	0	0.2	6	1	200	binary:logitraw	0.5	0.9704710144927537	0.9875	0.9584821428571428
1.0	error	0	0.2	4	1	200	binary:logitraw	0.5	0.9702898550724639	0.9875	0.9575892857142858
0.5	error	0	0.01	4	1	1000	binary:logitraw	0.5	0.9704710144927537	0.9875	0.9584821428571428
1.0	auc	0	0.01	8	1	1000	binary:logitraw	0.5	0.9661231884057973	0.9875	0.9513392857142857
0.5	auc	0	0.01	4	1	1000	binary:logitraw	0.5	0.9704710144927537	0.9875	0.9584821428571428
1.0	auc	0	0.01	8	1	600	binary:logitraw	0.5	0.9576086956521739	0.9875	0.9379464285714286
0.5	error	0	0.01	6	1	1000	binary:logitraw	0.5	0.9704710144927537	0.9875	0.9584821428571428
1.0	auc	0	0.01	6	1	1000	binary:logitraw	0.5	0.9661231884057973	0.9875	0.9513392857142857
0.5	auc	0	0.01	6	1	1000	binary:logitraw	0.5	0.9704710144927537	0.9875	0.9584821428571428
1.0	auc	0	0.2	8	1	200	binary:logitraw	0.5	0.9704710144927537	0.9875	0.9584821428571428
1.0	auc	0	0.01	6	1	600	binary:logitraw	0.5	0.9576086956521739	0.9875	0.9379464285714286
1.0	error	0	0.2	8	1	200	binary:logitraw	0.5	0.9704710144927537	0.9875	0.9584821428571428
1.0	auc	0	0.01	6	3	1000	binary:logitraw	1.0	0.9661231884057973	0.9875	0.9513392857142857
0.5	auc	0	0.01	8	1	1000	binary:logitraw	0.5	0.9704710144927537	0.9875	0.9584821428571428
1.0	auc	0	0.01	4	1	1000	binary:logitraw	0.5	0.9661231884057973	0.9875	0.9513392857142857
0.5	auc	0	0.01	4	3	1000	binary:logitraw	1.0	0.9661231884057973	0.9875	0.9513392857142857
1.0	error	0	0.01	4	1	600	binary:logitraw	0.5	0.9576086956521739	0.9875	0.9379464285714286
0.5	error	0	0.01	4	3	1000	binary:logitraw	1.0	0.9661231884057973	0.9875	0.9513392857142857
1.0	error	0	0.01	4	1	1000	binary:logitraw	0.5	0.9661231884057973	0.9875	0.9513392857142857
1.0	error	0	0.2	6	1	600	binary:logitraw	1.0	0.966123188405797	0.9857142857142858	0.9513392857142857
1.0	error	0	0.2	6	1	1000	binary:logitraw	1.0	0.966123188405797	0.9857142857142858	0.9513392857142857
1.0	error	0	0.2	4	3	1000	binary:logitraw	1.0	0.9619565217391305	0.9857142857142858	0.9450892857142857
1.0	auc	0	0.2	6	3	600	binary:logitraw	1.0	0.9619565217391305	0.9857142857142858	0.9450892857142857
