C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.01	0.01	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
1.0	0.01	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
1.0	1.0	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
1.0	100.0	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
1.0	1000.0	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
10.0	0.1	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
10.0	1.0	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
10.0	100.0	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
10.0	1000.0	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
100.0	0.01	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
100.0	0.1	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
100.0	1.0	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
100.0	100.0	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
100.0	1000.0	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
1000.0	0.01	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
1000.0	0.1	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
1000.0	1.0	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
1000.0	100.0	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
1000.0	1000.0	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
1.0	0.1	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
10.0	0.01	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
0.1	0.01	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
0.01	0.1	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
0.1	1000.0	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
0.1	0.1	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
0.01	1.0	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
0.1	100.0	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
0.01	1000.0	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
0.01	100.0	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
0.1	1.0	linear	0.9193840579710144	0.8769444444444445	0.9143154761904763
100.0	100.0	rbf	0.6838768115942029	0.2	0.5133928571428571
100.0	0.1	rbf	0.6838768115942029	0.2	0.5133928571428571
100.0	1.0	rbf	0.6838768115942029	0.2	0.5133928571428571
1.0	0.01	rbf	0.6838768115942029	0.2	0.5133928571428571
100.0	1000.0	rbf	0.6838768115942029	0.2	0.5133928571428571
100.0	0.01	rbf	0.6838768115942029	0.2	0.5133928571428571
1000.0	0.1	rbf	0.6838768115942029	0.2	0.5133928571428571
1000.0	1.0	rbf	0.6838768115942029	0.2	0.5133928571428571
1000.0	100.0	rbf	0.6838768115942029	0.2	0.5133928571428571
1000.0	0.01	rbf	0.6838768115942029	0.2	0.5133928571428571
1000.0	1000.0	rbf	0.6838768115942029	0.2	0.5133928571428571
10.0	0.01	rbf	0.6838768115942029	0.2	0.5133928571428571
1.0	1000.0	rbf	0.6838768115942029	0.2	0.5133928571428571
10.0	100.0	rbf	0.6838768115942029	0.2	0.5133928571428571
1.0	0.1	rbf	0.6838768115942029	0.2	0.5133928571428571
1.0	1.0	rbf	0.6838768115942029	0.2	0.5133928571428571
10.0	1.0	rbf	0.6838768115942029	0.2	0.5133928571428571
10.0	0.1	rbf	0.6838768115942029	0.2	0.5133928571428571
10.0	1000.0	rbf	0.6838768115942029	0.2	0.5133928571428571
1.0	100.0	rbf	0.6838768115942029	0.2	0.5133928571428571
0.01	0.1	rbf	0.6753623188405797	0.0	0.5
0.1	100.0	rbf	0.6753623188405797	0.0	0.5
0.1	1000.0	rbf	0.6753623188405797	0.0	0.5
0.01	1.0	rbf	0.6753623188405797	0.0	0.5
0.01	0.01	rbf	0.6753623188405797	0.0	0.5
0.1	1.0	rbf	0.6753623188405797	0.0	0.5
0.01	100.0	rbf	0.6753623188405797	0.0	0.5
0.1	0.1	rbf	0.6753623188405797	0.0	0.5
0.01	1000.0	rbf	0.6753623188405797	0.0	0.5
0.1	0.01	rbf	0.6753623188405797	0.0	0.5
