activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
identity	0.1	True	(50, 50)	constant	500	adam	0.953985507246377	1.0	0.9303571428571429
identity	0.1	True	(50, 50)	adaptive	500	adam	0.953985507246377	1.0	0.9303571428571429
identity	0.1	True	(100, 100)	invscaling	500	adam	0.9273550724637681	1.0	0.8875
identity	0.1	True	(100, 100)	constant	1000	adam	0.9273550724637681	1.0	0.8875
tanh	0.1	True	(100, 100)	constant	500	adam	0.9143115942028986	1.0	0.86875
identity	0.1	True	(100, 100)	constant	500	adam	0.9273550724637681	1.0	0.8875
identity	0.1	True	(50, 50)	adaptive	1000	adam	0.953985507246377	1.0	0.9303571428571429
tanh	0.1	True	(100, 100)	constant	1000	adam	0.9143115942028986	1.0	0.86875
identity	0.1	True	(50, 50)	invscaling	1000	adam	0.953985507246377	1.0	0.9303571428571429
relu	0.1	True	(100, 100)	adaptive	1000	adam	0.9621376811594203	1.0	0.9419642857142858
tanh	0.1	True	(100, 100)	invscaling	500	adam	0.9143115942028986	1.0	0.86875
identity	0.1	True	(50, 50)	invscaling	500	adam	0.953985507246377	1.0	0.9303571428571429
identity	0.1	True	(50, 50)	constant	1000	adam	0.953985507246377	1.0	0.9303571428571429
tanh	0.1	True	(100, 100)	invscaling	1000	adam	0.9143115942028986	1.0	0.86875
tanh	0.1	True	(100, 100)	adaptive	500	adam	0.9143115942028986	1.0	0.86875
tanh	0.1	True	(100, 100)	adaptive	1000	adam	0.9143115942028986	1.0	0.86875
tanh	0.1	True	(50, 50)	adaptive	1000	adam	0.9498188405797103	1.0	0.9241071428571429
identity	0.1	True	(100, 100)	invscaling	1000	adam	0.9273550724637681	1.0	0.8875
identity	0.1	True	(100, 100)	adaptive	500	adam	0.9273550724637681	1.0	0.8875
tanh	0.1	True	(50, 50)	adaptive	500	adam	0.9498188405797103	1.0	0.9241071428571429
identity	0.1	True	(100, 100)	adaptive	1000	adam	0.9273550724637681	1.0	0.8875
tanh	0.1	True	(50, 50)	invscaling	1000	adam	0.9498188405797103	1.0	0.9241071428571429
tanh	0.1	True	(50, 50)	invscaling	500	adam	0.9498188405797103	1.0	0.9241071428571429
tanh	0.1	True	(50, 50)	constant	1000	adam	0.9498188405797103	1.0	0.9241071428571429
tanh	0.1	True	(50, 50)	constant	500	adam	0.9498188405797103	1.0	0.9241071428571429
identity	0.01	True	(50, 50)	constant	500	adam	0.953985507246377	1.0	0.9303571428571429
identity	0.01	True	(50, 50)	constant	1000	adam	0.953985507246377	1.0	0.9303571428571429
identity	0.01	True	(50, 50)	invscaling	500	adam	0.953985507246377	1.0	0.9303571428571429
identity	0.01	True	(50, 50)	invscaling	1000	adam	0.953985507246377	1.0	0.9303571428571429
identity	0.01	True	(50, 50)	adaptive	500	adam	0.953985507246377	1.0	0.9303571428571429
identity	0.01	True	(50, 50)	adaptive	1000	adam	0.953985507246377	1.0	0.9303571428571429
identity	0.01	True	(100, 100)	constant	500	adam	0.9273550724637681	1.0	0.8875
tanh	0.01	True	(100, 100)	constant	500	adam	0.9143115942028986	1.0	0.86875
relu	0.01	True	(50, 50)	constant	500	adam	0.9106884057971015	1.0	0.8642857142857142
relu	0.001	True	(100, 100)	adaptive	1000	adam	0.9534420289855072	1.0	0.9276785714285716
relu	0.001	True	(100, 100)	adaptive	500	adam	0.9534420289855072	1.0	0.9276785714285716
tanh	0.01	True	(100, 100)	invscaling	1000	adam	0.9143115942028986	1.0	0.86875
relu	0.01	True	(100, 100)	adaptive	1000	adam	0.9621376811594203	1.0	0.9419642857142858
tanh	0.01	True	(50, 50)	adaptive	500	adam	0.9498188405797103	1.0	0.9241071428571429
tanh	0.01	True	(100, 100)	constant	1000	adam	0.9143115942028986	1.0	0.86875
relu	0.01	True	(100, 100)	adaptive	500	adam	0.9621376811594203	1.0	0.9419642857142858
tanh	0.01	True	(50, 50)	invscaling	1000	adam	0.9498188405797103	1.0	0.9241071428571429
tanh	0.01	True	(50, 50)	invscaling	500	adam	0.9498188405797103	1.0	0.9241071428571429
relu	0.01	True	(100, 100)	invscaling	1000	adam	0.9621376811594203	1.0	0.9419642857142858
tanh	0.01	True	(50, 50)	constant	1000	adam	0.9498188405797103	1.0	0.9241071428571429
tanh	0.01	True	(100, 100)	invscaling	500	adam	0.9143115942028986	1.0	0.86875
relu	0.01	True	(100, 100)	invscaling	500	adam	0.9621376811594203	1.0	0.9419642857142858
tanh	0.01	True	(50, 50)	constant	500	adam	0.9498188405797103	1.0	0.9241071428571429
relu	0.001	True	(50, 50)	constant	500	adam	0.9106884057971015	1.0	0.8642857142857142
relu	0.01	True	(100, 100)	constant	1000	adam	0.9621376811594203	1.0	0.9419642857142858
relu	0.001	True	(50, 50)	constant	1000	adam	0.9106884057971015	1.0	0.8642857142857142
relu	0.01	True	(100, 100)	constant	500	adam	0.9621376811594203	1.0	0.9419642857142858
relu	0.01	True	(50, 50)	constant	1000	adam	0.9106884057971015	1.0	0.8642857142857142
relu	0.001	True	(50, 50)	invscaling	500	adam	0.9106884057971015	1.0	0.8642857142857142
relu	0.001	True	(50, 50)	invscaling	1000	adam	0.9106884057971015	1.0	0.8642857142857142
relu	0.01	True	(50, 50)	adaptive	1000	adam	0.9106884057971015	1.0	0.8642857142857142
relu	0.001	True	(50, 50)	adaptive	500	adam	0.9106884057971015	1.0	0.8642857142857142
tanh	0.01	True	(100, 100)	adaptive	500	adam	0.9143115942028986	1.0	0.86875
relu	0.01	True	(50, 50)	adaptive	500	adam	0.9106884057971015	1.0	0.8642857142857142
relu	0.001	True	(50, 50)	adaptive	1000	adam	0.9106884057971015	1.0	0.8642857142857142
relu	0.001	True	(100, 100)	constant	500	adam	0.9534420289855072	1.0	0.9276785714285716
relu	0.01	True	(50, 50)	invscaling	1000	adam	0.9106884057971015	1.0	0.8642857142857142
relu	0.001	True	(100, 100)	constant	1000	adam	0.9534420289855072	1.0	0.9276785714285716
tanh	0.01	True	(100, 100)	adaptive	1000	adam	0.9143115942028986	1.0	0.86875
relu	0.01	True	(50, 50)	invscaling	500	adam	0.9106884057971015	1.0	0.8642857142857142
relu	0.001	True	(100, 100)	invscaling	500	adam	0.9534420289855072	1.0	0.9276785714285716
relu	0.001	True	(100, 100)	invscaling	1000	adam	0.9534420289855072	1.0	0.9276785714285716
identity	0.01	True	(100, 100)	invscaling	500	adam	0.9273550724637681	1.0	0.8875
identity	0.01	True	(100, 100)	constant	1000	adam	0.9273550724637681	1.0	0.8875
identity	0.01	True	(100, 100)	invscaling	1000	adam	0.9273550724637681	1.0	0.8875
relu	0.1	True	(50,)	adaptive	1000	lbfgs	0.9833333333333334	1.0	0.975
