activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.001	True	(50, 50)	constant	500	adam	0.9161387631975867	0.9821428571428571	0.9058877217235539
logistic	0.001	True	(50, 50)	adaptive	1000	adam	0.9161387631975867	0.9821428571428571	0.9058877217235539
logistic	0.01	True	(50, 50)	invscaling	500	adam	0.9161387631975867	0.9821428571428571	0.9058877217235539
logistic	0.01	True	(50, 50)	invscaling	1000	adam	0.9161387631975867	0.9821428571428571	0.9058877217235539
logistic	0.01	True	(50, 50)	adaptive	500	adam	0.9161387631975867	0.9821428571428571	0.9058877217235539
logistic	0.01	True	(50, 50)	adaptive	1000	adam	0.9161387631975867	0.9821428571428571	0.9058877217235539
logistic	0.01	True	(50, 50)	constant	500	adam	0.9161387631975867	0.9821428571428571	0.9058877217235539
logistic	0.001	True	(50, 50)	constant	1000	adam	0.9161387631975867	0.9821428571428571	0.9058877217235539
logistic	0.001	True	(50, 50)	invscaling	500	adam	0.9161387631975867	0.9821428571428571	0.9058877217235539
logistic	0.001	True	(50, 50)	invscaling	1000	adam	0.9161387631975867	0.9821428571428571	0.9058877217235539
logistic	0.001	True	(50, 50)	adaptive	500	adam	0.9161387631975867	0.9821428571428571	0.9058877217235539
logistic	0.01	True	(50, 50)	constant	1000	adam	0.9161387631975867	0.9821428571428571	0.9058877217235539
logistic	0.1	True	(50, 50)	constant	1000	adam	0.9122171945701357	0.9723593073593074	0.9024394458614848
logistic	0.1	True	(50, 50)	constant	500	adam	0.9122171945701357	0.9723593073593074	0.9024394458614848
logistic	0.1	True	(50, 50)	adaptive	500	adam	0.9122171945701357	0.9723593073593074	0.9024394458614848
logistic	0.1	True	(50, 50)	invscaling	1000	adam	0.9122171945701357	0.9723593073593074	0.9024394458614848
logistic	0.1	True	(50, 50)	invscaling	500	adam	0.9122171945701357	0.9723593073593074	0.9024394458614848
logistic	0.1	True	(50, 50)	adaptive	1000	adam	0.9122171945701357	0.9723593073593074	0.9024394458614848
logistic	0.001	True	(100, 100)	constant	500	adam	0.9375565610859727	0.9695322793148881	0.932298623415565
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.9375565610859727	0.9695322793148881	0.932298623415565
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.9375565610859727	0.9695322793148881	0.932298623415565
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.9375565610859727	0.9695322793148881	0.932298623415565
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.9375565610859727	0.9695322793148881	0.932298623415565
logistic	0.001	True	(100, 100)	constant	1000	adam	0.9375565610859727	0.9695322793148881	0.932298623415565
logistic	0.1	True	(100,)	constant	500	adam	0.939630467571644	0.9651844532279314	0.9351571779045542
logistic	0.1	True	(100,)	invscaling	500	adam	0.939630467571644	0.9651844532279314	0.9351571779045542
logistic	0.1	True	(100,)	constant	1000	adam	0.939630467571644	0.9651844532279314	0.9351571779045542
logistic	0.1	True	(100,)	invscaling	1000	adam	0.939630467571644	0.9651844532279314	0.9351571779045542
logistic	0.1	True	(100,)	adaptive	500	adam	0.939630467571644	0.9651844532279314	0.9351571779045542
logistic	0.1	True	(100,)	adaptive	1000	adam	0.939630467571644	0.9651844532279314	0.9351571779045542
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.9336349924585218	0.9651515151515152	0.9283017582118032
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.9336349924585218	0.9651515151515152	0.9283017582118032
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.9336349924585218	0.9651515151515152	0.9283017582118032
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.9336349924585218	0.9651515151515152	0.9283017582118032
logistic	0.01	True	(100, 100)	constant	500	adam	0.9336349924585218	0.9651515151515152	0.9283017582118032
logistic	0.01	True	(100, 100)	constant	1000	adam	0.9336349924585218	0.9651515151515152	0.9283017582118032
logistic	0.1	True	(100, 100)	constant	1000	adam	0.9375565610859729	0.9644268774703558	0.9324891937148309
logistic	0.1	True	(100, 100)	constant	500	adam	0.9375565610859729	0.9644268774703558	0.9324891937148309
logistic	0.1	True	(100, 100)	invscaling	500	adam	0.9375565610859729	0.9644268774703558	0.9324891937148309
logistic	0.1	True	(100, 100)	invscaling	1000	adam	0.9375565610859729	0.9644268774703558	0.9324891937148309
logistic	0.1	True	(100, 100)	adaptive	500	adam	0.9375565610859729	0.9644268774703558	0.9324891937148309
logistic	0.1	True	(100, 100)	adaptive	1000	adam	0.9375565610859729	0.9644268774703558	0.9324891937148309
logistic	0.01	True	(100,)	adaptive	500	adam	0.9396681749622926	0.960836627140975	0.9358045814754961
logistic	0.01	True	(100,)	invscaling	1000	adam	0.9396681749622926	0.960836627140975	0.9358045814754961
logistic	0.01	True	(100,)	invscaling	500	adam	0.9396681749622926	0.960836627140975	0.9358045814754961
logistic	0.01	True	(100,)	constant	1000	adam	0.9396681749622926	0.960836627140975	0.9358045814754961
logistic	0.01	True	(100,)	constant	500	adam	0.9396681749622926	0.960836627140975	0.9358045814754961
logistic	0.01	True	(100,)	adaptive	1000	adam	0.9396681749622926	0.960836627140975	0.9358045814754961
logistic	0.001	True	(100,)	constant	1000	adam	0.9396681749622926	0.960836627140975	0.9358045814754961
logistic	0.001	True	(100,)	constant	500	adam	0.9396681749622926	0.960836627140975	0.9358045814754961
logistic	0.001	True	(100,)	invscaling	500	adam	0.9396681749622926	0.960836627140975	0.9358045814754961
