C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.01	0.01	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
1.0	0.01	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
1.0	1.0	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
1.0	100.0	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
1.0	1000.0	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
10.0	0.1	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
10.0	1.0	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
10.0	100.0	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
10.0	1000.0	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
100.0	0.01	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
100.0	0.1	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
100.0	1.0	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
100.0	100.0	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
100.0	1000.0	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
1000.0	0.01	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
1000.0	0.1	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
1000.0	1.0	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
1000.0	100.0	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
1000.0	1000.0	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
1.0	0.1	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
10.0	0.01	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
0.01	0.1	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
0.1	1000.0	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
0.1	0.01	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
0.01	1000.0	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
0.1	100.0	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
0.01	1.0	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
0.1	0.1	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
0.1	1.0	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
0.01	100.0	linear	0.9897108843537415	0.9899999999999999	0.9890517241379311
1.0	0.01	rbf	0.6529336734693878	0.9	0.5655263157894737
100.0	0.01	rbf	0.6946003401360544	0.9	0.6180263157894736
10.0	0.01	rbf	0.6946003401360544	0.9	0.6180263157894736
1000.0	0.01	rbf	0.6946003401360544	0.9	0.6180263157894736
0.01	100.0	rbf	0.6008503401360544	0.0	0.5
100.0	100.0	rbf	0.6008503401360544	0.0	0.5
0.01	1.0	rbf	0.6008503401360544	0.0	0.5
100.0	1000.0	rbf	0.6008503401360544	0.0	0.5
0.01	1000.0	rbf	0.6008503401360544	0.0	0.5
1000.0	0.1	rbf	0.6008503401360544	0.0	0.5
1000.0	1.0	rbf	0.6008503401360544	0.0	0.5
0.01	0.1	rbf	0.6008503401360544	0.0	0.5
1000.0	100.0	rbf	0.6008503401360544	0.0	0.5
100.0	1.0	rbf	0.6008503401360544	0.0	0.5
0.1	0.01	rbf	0.6008503401360544	0.0	0.5
100.0	0.1	rbf	0.6008503401360544	0.0	0.5
0.1	1000.0	rbf	0.6008503401360544	0.0	0.5
10.0	1000.0	rbf	0.6008503401360544	0.0	0.5
10.0	100.0	rbf	0.6008503401360544	0.0	0.5
0.1	0.1	rbf	0.6008503401360544	0.0	0.5
10.0	1.0	rbf	0.6008503401360544	0.0	0.5
10.0	0.1	rbf	0.6008503401360544	0.0	0.5
0.1	1.0	rbf	0.6008503401360544	0.0	0.5
0.01	0.01	rbf	0.6008503401360544	0.0	0.5
1.0	1000.0	rbf	0.6008503401360544	0.0	0.5
1.0	100.0	rbf	0.6008503401360544	0.0	0.5
0.1	100.0	rbf	0.6008503401360544	0.0	0.5
1.0	1.0	rbf	0.6008503401360544	0.0	0.5
1.0	0.1	rbf	0.6008503401360544	0.0	0.5
1000.0	1000.0	rbf	0.6008503401360544	0.0	0.5
