C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.01	0.01	linear	0.9779710144927536	1.0	0.9700367647058823
0.01	0.1	linear	0.9779710144927536	1.0	0.9700367647058823
10.0	0.01	rbf	0.9933816425120773	1.0	0.9909926470588235
0.01	1.0	linear	0.9779710144927536	1.0	0.9700367647058823
0.01	100.0	linear	0.9779710144927536	1.0	0.9700367647058823
0.01	1000.0	linear	0.9779710144927536	1.0	0.9700367647058823
1.0	0.01	rbf	0.9801932367149758	1.0	0.9731617647058822
1000.0	0.01	rbf	0.9933816425120773	1.0	0.9909926470588235
0.1	0.01	rbf	0.8159903381642513	1.0	0.7444852941176471
100.0	0.01	rbf	0.9933816425120773	1.0	0.9909926470588235
100.0	0.1	linear	0.9888888888888889	0.9941176470588236	0.9859596855983772
10.0	0.1	linear	0.9888888888888889	0.9941176470588236	0.9859596855983772
10.0	1.0	linear	0.9888888888888889	0.9941176470588236	0.9859596855983772
10.0	100.0	linear	0.9888888888888889	0.9941176470588236	0.9859596855983772
10.0	1000.0	linear	0.9888888888888889	0.9941176470588236	0.9859596855983772
100.0	0.01	linear	0.9888888888888889	0.9941176470588236	0.9859596855983772
100.0	1000.0	linear	0.9888888888888889	0.9941176470588236	0.9859596855983772
100.0	1.0	linear	0.9888888888888889	0.9941176470588236	0.9859596855983772
100.0	100.0	linear	0.9888888888888889	0.9941176470588236	0.9859596855983772
1.0	100.0	linear	0.9888888888888889	0.9941176470588236	0.9859596855983772
1000.0	0.01	linear	0.9888888888888889	0.9941176470588236	0.9859596855983772
1000.0	0.1	linear	0.9888888888888889	0.9941176470588236	0.9859596855983772
1000.0	1.0	linear	0.9888888888888889	0.9941176470588236	0.9859596855983772
1000.0	100.0	linear	0.9888888888888889	0.9941176470588236	0.9859596855983772
1000.0	1000.0	linear	0.9888888888888889	0.9941176470588236	0.9859596855983772
1.0	1000.0	linear	0.9888888888888889	0.9941176470588236	0.9859596855983772
10.0	0.01	linear	0.9888888888888889	0.9941176470588236	0.9859596855983772
0.1	1.0	linear	0.9888888888888889	0.9941176470588236	0.9859596855983772
1.0	0.01	linear	0.9888888888888889	0.9941176470588236	0.9859596855983772
0.1	0.1	linear	0.9888888888888889	0.9941176470588236	0.9859596855983772
0.1	0.01	linear	0.9888888888888889	0.9941176470588236	0.9859596855983772
1.0	1.0	linear	0.9888888888888889	0.9941176470588236	0.9859596855983772
0.1	100.0	linear	0.9888888888888889	0.9941176470588236	0.9859596855983772
0.1	1000.0	linear	0.9888888888888889	0.9941176470588236	0.9859596855983772
1.0	0.1	linear	0.9888888888888889	0.9941176470588236	0.9859596855983772
1000.0	0.1	rbf	0.6897101449275362	0.8	0.5683823529411764
100.0	0.1	rbf	0.6897101449275362	0.8	0.5683823529411764
10.0	0.1	rbf	0.6897101449275362	0.8	0.5683823529411764
1.0	0.1	rbf	0.6585990338164252	0.6	0.525
0.1	0.1	rbf	0.6408212560386474	0.0	0.5
0.01	100.0	rbf	0.6408212560386474	0.0	0.5
0.01	1.0	rbf	0.6408212560386474	0.0	0.5
0.01	1000.0	rbf	0.6408212560386474	0.0	0.5
1000.0	100.0	rbf	0.6408212560386474	0.0	0.5
0.01	0.1	rbf	0.6408212560386474	0.0	0.5
100.0	1000.0	rbf	0.6408212560386474	0.0	0.5
1000.0	1.0	rbf	0.6408212560386474	0.0	0.5
1.0	100.0	rbf	0.6408212560386474	0.0	0.5
100.0	100.0	rbf	0.6408212560386474	0.0	0.5
100.0	1.0	rbf	0.6408212560386474	0.0	0.5
0.1	1.0	rbf	0.6408212560386474	0.0	0.5
1.0	1.0	rbf	0.6408212560386474	0.0	0.5
0.1	100.0	rbf	0.6408212560386474	0.0	0.5
10.0	1000.0	rbf	0.6408212560386474	0.0	0.5
0.1	1000.0	rbf	0.6408212560386474	0.0	0.5
10.0	100.0	rbf	0.6408212560386474	0.0	0.5
10.0	1.0	rbf	0.6408212560386474	0.0	0.5
0.01	0.01	rbf	0.6408212560386474	0.0	0.5
1.0	1000.0	rbf	0.6408212560386474	0.0	0.5
1000.0	1000.0	rbf	0.6408212560386474	0.0	0.5
