max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
6	sqrt	2	2	200	0.9685897435897436	1.0	0.96
10	sqrt	2	4	600	0.9762820512820513	1.0	0.97
8	log2	4	4	200	0.976923076923077	1.0	0.97
8	log2	4	8	200	0.976923076923077	1.0	0.97
8	log2	4	10	200	0.976923076923077	1.0	0.97
6	sqrt	2	2	600	0.9762820512820513	1.0	0.97
10	sqrt	2	2	600	0.9762820512820513	1.0	0.97
10	sqrt	2	2	1000	0.9762820512820513	1.0	0.97
10	sqrt	2	4	200	0.9685897435897436	1.0	0.96
10	sqrt	2	4	1000	0.9762820512820513	1.0	0.97
8	log2	2	10	1000	0.976923076923077	1.0	0.97
10	sqrt	2	8	200	0.976923076923077	1.0	0.97
10	sqrt	2	8	600	0.9846153846153847	1.0	0.9800000000000001
10	sqrt	2	8	1000	0.9685897435897436	1.0	0.96
10	sqrt	2	10	200	0.976923076923077	1.0	0.97
10	log2	2	2	200	0.9685897435897436	1.0	0.96
10	log2	2	2	600	0.9685897435897436	1.0	0.96
10	log2	2	2	1000	0.9685897435897436	1.0	0.96
8	log2	4	2	200	0.976923076923077	1.0	0.97
8	log2	2	10	600	0.976923076923077	1.0	0.97
8	sqrt	2	2	200	0.9685897435897436	1.0	0.96
8	log2	2	2	200	0.9685897435897436	1.0	0.96
8	sqrt	2	2	1000	0.9762820512820513	1.0	0.97
8	sqrt	2	4	200	0.9685897435897436	1.0	0.96
8	sqrt	2	4	600	0.9762820512820513	1.0	0.97
8	sqrt	2	4	1000	0.9762820512820513	1.0	0.97
8	sqrt	2	8	200	0.976923076923077	1.0	0.97
8	sqrt	2	8	600	0.9846153846153847	1.0	0.9800000000000001
8	sqrt	2	8	1000	0.9685897435897436	1.0	0.96
8	log2	2	2	600	0.9685897435897436	1.0	0.96
8	log2	2	10	200	0.976923076923077	1.0	0.97
8	log2	2	2	1000	0.9685897435897436	1.0	0.96
8	log2	2	4	200	0.9685897435897436	1.0	0.96
8	log2	2	4	600	0.9685897435897436	1.0	0.96
8	log2	2	4	1000	0.9685897435897436	1.0	0.96
8	log2	2	8	200	0.976923076923077	1.0	0.97
8	log2	2	8	600	0.976923076923077	1.0	0.97
8	log2	2	8	1000	0.976923076923077	1.0	0.97
10	log2	2	4	200	0.9685897435897436	1.0	0.96
10	log2	2	4	600	0.9685897435897436	1.0	0.96
10	log2	2	4	1000	0.9685897435897436	1.0	0.96
12	log2	2	8	600	0.976923076923077	1.0	0.97
12	log2	2	2	200	0.9685897435897436	1.0	0.96
12	log2	2	2	600	0.9685897435897436	1.0	0.96
12	log2	2	2	1000	0.9685897435897436	1.0	0.96
12	log2	2	4	200	0.9685897435897436	1.0	0.96
12	log2	2	4	600	0.9685897435897436	1.0	0.96
12	log2	2	4	1000	0.9685897435897436	1.0	0.96
12	log2	2	8	200	0.976923076923077	1.0	0.97
12	log2	2	8	1000	0.976923076923077	1.0	0.97
10	log2	2	8	200	0.976923076923077	1.0	0.97
12	log2	2	10	200	0.976923076923077	1.0	0.97
12	log2	2	10	600	0.976923076923077	1.0	0.97
12	log2	2	10	1000	0.976923076923077	1.0	0.97
12	log2	4	2	200	0.976923076923077	1.0	0.97
12	log2	4	4	200	0.976923076923077	1.0	0.97
12	log2	4	8	200	0.976923076923077	1.0	0.97
12	log2	4	10	200	0.976923076923077	1.0	0.97
12	sqrt	2	10	200	0.976923076923077	1.0	0.97
12	sqrt	2	8	1000	0.9685897435897436	1.0	0.96
12	sqrt	2	8	600	0.9846153846153847	1.0	0.9800000000000001
12	sqrt	2	8	200	0.976923076923077	1.0	0.97
10	log2	2	8	600	0.976923076923077	1.0	0.97
10	log2	2	8	1000	0.976923076923077	1.0	0.97
10	log2	2	10	200	0.976923076923077	1.0	0.97
10	log2	2	10	600	0.976923076923077	1.0	0.97
10	log2	2	10	1000	0.976923076923077	1.0	0.97
10	log2	4	2	200	0.976923076923077	1.0	0.97
10	log2	4	4	200	0.976923076923077	1.0	0.97
10	log2	4	8	200	0.976923076923077	1.0	0.97
10	log2	4	10	200	0.976923076923077	1.0	0.97
12	sqrt	2	2	200	0.9685897435897436	1.0	0.96
12	sqrt	2	2	600	0.9762820512820513	1.0	0.97
12	sqrt	2	2	1000	0.9762820512820513	1.0	0.97
12	sqrt	2	4	200	0.9685897435897436	1.0	0.96
12	sqrt	2	4	600	0.9762820512820513	1.0	0.97
12	sqrt	2	4	1000	0.9762820512820513	1.0	0.97
8	sqrt	2	2	600	0.9762820512820513	1.0	0.97
10	sqrt	2	2	200	0.9685897435897436	1.0	0.96
6	sqrt	2	8	1000	0.9846153846153847	1.0	0.9800000000000001
6	sqrt	4	8	200	0.9692307692307693	1.0	0.96
6	log2	4	2	200	0.976923076923077	1.0	0.97
6	log2	2	10	1000	0.976923076923077	1.0	0.97
6	log2	2	10	600	0.976923076923077	1.0	0.97
6	log2	2	10	200	0.976923076923077	1.0	0.97
6	log2	4	8	200	0.976923076923077	1.0	0.97
6	log2	2	8	1000	0.976923076923077	1.0	0.97
6	sqrt	2	4	200	0.9685897435897436	1.0	0.96
6	log2	4	10	200	0.976923076923077	1.0	0.97
6	log2	2	8	600	0.976923076923077	1.0	0.97
6	log2	2	8	200	0.976923076923077	1.0	0.97
6	log2	4	4	200	0.976923076923077	1.0	0.97
6	sqrt	2	4	600	0.9762820512820513	1.0	0.97
6	log2	2	2	1000	0.9685897435897436	1.0	0.96
6	log2	2	4	600	0.9685897435897436	1.0	0.96
6	sqrt	2	2	1000	0.9762820512820513	1.0	0.97
6	sqrt	2	4	1000	0.9762820512820513	1.0	0.97
6	sqrt	4	4	200	0.9692307692307693	1.0	0.96
6	sqrt	4	2	200	0.9692307692307693	1.0	0.96
6	sqrt	2	8	600	0.9846153846153847	1.0	0.9800000000000001
6	log2	2	2	200	0.976923076923077	1.0	0.97
6	log2	2	2	600	0.9685897435897436	1.0	0.96
6	sqrt	2	8	200	0.976923076923077	1.0	0.97
6	log2	2	4	200	0.976923076923077	1.0	0.97
6	log2	2	4	1000	0.9685897435897436	1.0	0.96
10	sqrt	4	10	1000	0.9685897435897436	0.9833333333333334	0.9628571428571429
12	log2	4	2	600	0.9685897435897436	0.9833333333333334	0.9628571428571429
12	log2	4	8	600	0.9685897435897436	0.9833333333333334	0.9628571428571429
12	log2	4	2	1000	0.9685897435897436	0.9833333333333334	0.9628571428571429
12	log2	4	4	1000	0.9685897435897436	0.9833333333333334	0.9628571428571429
6	log2	8	8	1000	0.9685897435897436	0.9833333333333334	0.9628571428571429
12	log2	4	4	600	0.9685897435897436	0.9833333333333334	0.9628571428571429
10	sqrt	4	10	600	0.9685897435897436	0.9833333333333334	0.9628571428571429
6	log2	8	8	600	0.9685897435897436	0.9833333333333334	0.9628571428571429
10	sqrt	4	10	200	0.9685897435897436	0.9833333333333334	0.9628571428571429
10	sqrt	4	8	1000	0.9685897435897436	0.9833333333333334	0.9628571428571429
12	log2	8	2	600	0.9685897435897436	0.9833333333333334	0.9628571428571429
8	log2	10	10	200	0.9685897435897436	0.9833333333333334	0.9628571428571429
12	log2	8	2	200	0.9685897435897436	0.9833333333333334	0.9628571428571429
12	log2	4	10	1000	0.9685897435897436	0.9833333333333334	0.9628571428571429
12	log2	4	10	600	0.9685897435897436	0.9833333333333334	0.9628571428571429
10	sqrt	2	10	600	0.9762820512820513	0.9833333333333334	0.972857142857143
10	sqrt	2	10	1000	0.9685897435897436	0.9833333333333334	0.9628571428571429
10	sqrt	4	2	200	0.9608974358974359	0.9833333333333334	0.9528571428571428
10	sqrt	4	2	600	0.9685897435897436	0.9833333333333334	0.9628571428571429
10	sqrt	4	2	1000	0.9685897435897436	0.9833333333333334	0.9628571428571429
10	sqrt	4	4	200	0.9608974358974359	0.9833333333333334	0.9528571428571428
10	sqrt	4	4	600	0.9685897435897436	0.9833333333333334	0.9628571428571429
10	sqrt	4	4	1000	0.9685897435897436	0.9833333333333334	0.9628571428571429
6	sqrt	2	10	200	0.9685897435897436	0.9833333333333334	0.9628571428571429
10	sqrt	4	8	600	0.9685897435897436	0.9833333333333334	0.9628571428571429
10	sqrt	4	8	200	0.9608974358974359	0.9833333333333334	0.9528571428571428
6	sqrt	2	10	1000	0.9762820512820513	0.9833333333333334	0.972857142857143
6	sqrt	2	10	600	0.9762820512820513	0.9833333333333334	0.972857142857143
12	sqrt	4	2	200	0.9608974358974359	0.9833333333333334	0.9528571428571428
10	log2	10	4	200	0.9685897435897436	0.9833333333333334	0.9628571428571429
10	log2	10	8	200	0.9685897435897436	0.9833333333333334	0.9628571428571429
10	log2	10	10	200	0.9685897435897436	0.9833333333333334	0.9628571428571429
6	sqrt	4	10	1000	0.9685897435897436	0.9833333333333334	0.9628571428571429
6	sqrt	4	10	600	0.9685897435897436	0.9833333333333334	0.9628571428571429
6	sqrt	4	10	200	0.9685897435897436	0.9833333333333334	0.9628571428571429
6	sqrt	4	8	1000	0.9685897435897436	0.9833333333333334	0.9628571428571429
6	sqrt	4	8	600	0.9685897435897436	0.9833333333333334	0.9628571428571429
12	sqrt	2	10	600	0.9762820512820513	0.9833333333333334	0.972857142857143
12	sqrt	2	10	1000	0.9685897435897436	0.9833333333333334	0.9628571428571429
12	sqrt	4	2	600	0.9685897435897436	0.9833333333333334	0.9628571428571429
12	log2	8	2	1000	0.9685897435897436	0.9833333333333334	0.9628571428571429
12	sqrt	4	2	1000	0.9685897435897436	0.9833333333333334	0.9628571428571429
12	sqrt	4	4	200	0.9608974358974359	0.9833333333333334	0.9528571428571428
12	sqrt	4	4	600	0.9685897435897436	0.9833333333333334	0.9628571428571429
12	sqrt	4	4	1000	0.9685897435897436	0.9833333333333334	0.9628571428571429
12	sqrt	4	8	200	0.9608974358974359	0.9833333333333334	0.9528571428571428
12	sqrt	4	8	600	0.9685897435897436	0.9833333333333334	0.9628571428571429
