max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
12	log2	10	10	1000	0.9688888888888888	0.9666666666666666	0.9428571428571428
10	log2	8	2	200	0.9577777777777777	0.9666666666666666	0.9178571428571429
6	log2	10	4	1000	0.9688888888888888	0.9666666666666666	0.9428571428571428
6	log2	10	4	600	0.9688888888888888	0.9666666666666666	0.9428571428571428
6	log2	10	2	1000	0.9688888888888888	0.9666666666666666	0.9428571428571428
6	log2	10	2	600	0.9688888888888888	0.9666666666666666	0.9428571428571428
6	log2	8	10	200	0.9577777777777777	0.9666666666666666	0.9178571428571429
6	log2	8	4	200	0.9577777777777777	0.9666666666666666	0.9178571428571429
6	log2	8	2	200	0.9577777777777777	0.9666666666666666	0.9178571428571429
10	log2	8	4	200	0.9577777777777777	0.9666666666666666	0.9178571428571429
10	log2	10	2	1000	0.9688888888888888	0.9666666666666666	0.9428571428571428
10	log2	8	8	200	0.9577777777777777	0.9666666666666666	0.9178571428571429
12	log2	8	10	200	0.9577777777777777	0.9666666666666666	0.9178571428571429
10	log2	8	10	200	0.9577777777777777	0.9666666666666666	0.9178571428571429
12	log2	10	2	600	0.9688888888888888	0.9666666666666666	0.9428571428571428
12	log2	10	2	1000	0.9688888888888888	0.9666666666666666	0.9428571428571428
12	log2	10	4	600	0.9688888888888888	0.9666666666666666	0.9428571428571428
12	log2	10	4	1000	0.9688888888888888	0.9666666666666666	0.9428571428571428
6	log2	10	8	600	0.9688888888888888	0.9666666666666666	0.9428571428571428
6	log2	10	8	1000	0.9688888888888888	0.9666666666666666	0.9428571428571428
6	log2	10	10	600	0.9688888888888888	0.9666666666666666	0.9428571428571428
6	log2	10	10	1000	0.9688888888888888	0.9666666666666666	0.9428571428571428
8	log2	8	2	200	0.9577777777777777	0.9666666666666666	0.9178571428571429
12	log2	8	2	200	0.9577777777777777	0.9666666666666666	0.9178571428571429
8	log2	8	4	200	0.9577777777777777	0.9666666666666666	0.9178571428571429
8	log2	8	8	200	0.9577777777777777	0.9666666666666666	0.9178571428571429
8	log2	8	10	200	0.9577777777777777	0.9666666666666666	0.9178571428571429
8	log2	10	2	600	0.9688888888888888	0.9666666666666666	0.9428571428571428
8	log2	10	2	1000	0.9688888888888888	0.9666666666666666	0.9428571428571428
8	log2	10	4	600	0.9688888888888888	0.9666666666666666	0.9428571428571428
8	log2	10	4	1000	0.9688888888888888	0.9666666666666666	0.9428571428571428
8	log2	10	8	600	0.9688888888888888	0.9666666666666666	0.9428571428571428
8	log2	10	8	1000	0.9688888888888888	0.9666666666666666	0.9428571428571428
8	log2	10	10	600	0.9688888888888888	0.9666666666666666	0.9428571428571428
8	log2	10	10	1000	0.9688888888888888	0.9666666666666666	0.9428571428571428
12	log2	8	4	200	0.9577777777777777	0.9666666666666666	0.9178571428571429
12	log2	8	8	200	0.9577777777777777	0.9666666666666666	0.9178571428571429
10	log2	10	2	600	0.9688888888888888	0.9666666666666666	0.9428571428571428
6	log2	8	8	200	0.9577777777777777	0.9666666666666666	0.9178571428571429
10	log2	10	8	1000	0.9688888888888888	0.9666666666666666	0.9428571428571428
10	log2	10	10	1000	0.9688888888888888	0.9666666666666666	0.9428571428571428
12	log2	10	10	600	0.9688888888888888	0.9666666666666666	0.9428571428571428
10	log2	10	4	600	0.9688888888888888	0.9666666666666666	0.9428571428571428
12	log2	10	8	1000	0.9688888888888888	0.9666666666666666	0.9428571428571428
12	log2	10	8	600	0.9688888888888888	0.9666666666666666	0.9428571428571428
10	log2	10	10	600	0.9688888888888888	0.9666666666666666	0.9428571428571428
10	log2	10	8	600	0.9688888888888888	0.9666666666666666	0.9428571428571428
10	log2	10	4	1000	0.9688888888888888	0.9666666666666666	0.9428571428571428
8	log2	10	2	200	0.9566666666666668	0.95	0.9178571428571429
6	log2	10	4	200	0.9566666666666668	0.95	0.9178571428571429
10	log2	10	2	200	0.9566666666666668	0.95	0.9178571428571429
6	log2	10	8	200	0.9566666666666668	0.95	0.9178571428571429
6	log2	10	10	200	0.9566666666666668	0.95	0.9178571428571429
8	log2	10	4	200	0.9566666666666668	0.95	0.9178571428571429
8	log2	10	8	200	0.9566666666666668	0.95	0.9178571428571429
12	log2	10	8	200	0.9566666666666668	0.95	0.9178571428571429
8	log2	10	10	200	0.9566666666666668	0.95	0.9178571428571429
10	log2	10	10	200	0.9566666666666668	0.95	0.9178571428571429
12	log2	10	2	200	0.9566666666666668	0.95	0.9178571428571429
10	log2	10	8	200	0.9566666666666668	0.95	0.9178571428571429
12	log2	10	4	200	0.9566666666666668	0.95	0.9178571428571429
6	log2	10	2	200	0.9566666666666668	0.95	0.9178571428571429
12	log2	10	10	200	0.9566666666666668	0.95	0.9178571428571429
10	log2	10	4	200	0.9566666666666668	0.95	0.9178571428571429
10	sqrt	10	2	200	0.9577777777777777	0.9333333333333332	0.9357142857142857
