activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
tanh	0.1	True	(50,)	invscaling	1000	lbfgs	0.9956521739130434	1.0	0.9954545454545455
identity	0.1	True	(50,)	invscaling	500	lbfgs	0.9956521739130434	1.0	0.9954545454545455
identity	0.1	True	(100,)	invscaling	1000	lbfgs	0.9956521739130434	1.0	0.9954545454545455
identity	0.1	True	(100,)	invscaling	500	lbfgs	0.9956521739130434	1.0	0.9954545454545455
identity	0.1	True	(100,)	constant	1000	lbfgs	0.9956521739130434	1.0	0.9954545454545455
identity	0.1	True	(100,)	constant	500	lbfgs	0.9956521739130434	1.0	0.9954545454545455
identity	0.1	True	(50,)	adaptive	1000	lbfgs	0.9956521739130434	1.0	0.9954545454545455
identity	0.1	True	(50,)	adaptive	500	lbfgs	0.9956521739130434	1.0	0.9954545454545455
identity	0.1	True	(50,)	invscaling	1000	lbfgs	0.9956521739130434	1.0	0.9954545454545455
identity	0.1	True	(50,)	constant	1000	lbfgs	0.9956521739130434	1.0	0.9954545454545455
tanh	0.1	True	(50,)	adaptive	500	lbfgs	0.9956521739130434	1.0	0.9954545454545455
identity	0.1	True	(50,)	constant	500	lbfgs	0.9956521739130434	1.0	0.9954545454545455
tanh	0.1	True	(50,)	constant	500	lbfgs	0.9956521739130434	1.0	0.9954545454545455
tanh	0.1	True	(50,)	constant	1000	lbfgs	0.9956521739130434	1.0	0.9954545454545455
relu	0.001	True	(100, 100)	adaptive	1000	adam	0.9869565217391305	1.0	0.9863636363636363
tanh	0.1	True	(50,)	invscaling	500	lbfgs	0.9956521739130434	1.0	0.9954545454545455
relu	0.001	True	(100, 100)	adaptive	500	adam	0.9869565217391305	1.0	0.9863636363636363
identity	0.001	True	(100, 100)	constant	1000	lbfgs	0.991485507246377	1.0	0.990909090909091
identity	0.1	True	(100,)	adaptive	500	lbfgs	0.9956521739130434	1.0	0.9954545454545455
identity	0.1	True	(100,)	adaptive	1000	lbfgs	0.9956521739130434	1.0	0.9954545454545455
identity	0.1	True	(50, 50)	constant	500	lbfgs	0.991485507246377	1.0	0.990909090909091
identity	0.1	True	(50, 50)	constant	1000	lbfgs	0.991485507246377	1.0	0.990909090909091
identity	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9956521739130434	1.0	0.9954545454545455
logistic	0.01	True	(100, 100)	constant	1000	lbfgs	0.9956521739130434	1.0	0.9954545454545455
logistic	0.01	True	(100, 100)	invscaling	500	lbfgs	0.9956521739130434	1.0	0.9954545454545455
identity	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9956521739130434	1.0	0.9954545454545455
logistic	0.01	True	(100, 100)	invscaling	1000	lbfgs	0.9956521739130434	1.0	0.9954545454545455
logistic	0.01	True	(100, 100)	adaptive	500	lbfgs	0.9956521739130434	1.0	0.9954545454545455
identity	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9956521739130434	1.0	0.9954545454545455
logistic	0.01	True	(100, 100)	adaptive	1000	lbfgs	0.9956521739130434	1.0	0.9954545454545455
identity	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9956521739130434	1.0	0.9954545454545455
identity	0.1	True	(100, 100)	constant	1000	lbfgs	0.9956521739130434	1.0	0.9954545454545455
identity	0.1	True	(100, 100)	constant	500	lbfgs	0.9956521739130434	1.0	0.9954545454545455
identity	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.991485507246377	1.0	0.990909090909091
identity	0.1	True	(50, 50)	adaptive	500	lbfgs	0.991485507246377	1.0	0.990909090909091
identity	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.991485507246377	1.0	0.990909090909091
identity	0.1	True	(50, 50)	invscaling	500	lbfgs	0.991485507246377	1.0	0.990909090909091
relu	0.001	True	(100, 100)	invscaling	1000	adam	0.9869565217391305	1.0	0.9863636363636363
relu	0.001	True	(100, 100)	invscaling	500	adam	0.9869565217391305	1.0	0.9863636363636363
relu	0.001	True	(50,)	invscaling	1000	lbfgs	0.9913043478260869	1.0	0.990909090909091
tanh	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9956521739130434	1.0	0.9954545454545455
relu	0.001	True	(100,)	adaptive	500	lbfgs	0.991485507246377	1.0	0.990909090909091
tanh	0.1	True	(100,)	adaptive	500	lbfgs	0.991485507246377	1.0	0.990909090909091
relu	0.001	True	(100,)	invscaling	1000	lbfgs	0.991485507246377	1.0	0.990909090909091
tanh	0.1	True	(100,)	adaptive	1000	lbfgs	0.991485507246377	1.0	0.990909090909091
tanh	0.1	True	(50, 50)	constant	500	lbfgs	0.9956521739130434	1.0	0.9954545454545455
relu	0.001	True	(100,)	invscaling	500	lbfgs	0.991485507246377	1.0	0.990909090909091
tanh	0.1	True	(50, 50)	constant	1000	lbfgs	0.9956521739130434	1.0	0.9954545454545455
relu	0.001	True	(100,)	constant	1000	lbfgs	0.991485507246377	1.0	0.990909090909091
tanh	0.1	True	(50,)	adaptive	1000	lbfgs	0.9956521739130434	1.0	0.9954545454545455
tanh	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9956521739130434	1.0	0.9954545454545455
tanh	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9956521739130434	1.0	0.9954545454545455
relu	0.001	True	(100,)	constant	500	lbfgs	0.991485507246377	1.0	0.990909090909091
tanh	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9956521739130434	1.0	0.9954545454545455
relu	0.001	True	(50,)	adaptive	1000	lbfgs	0.9913043478260869	1.0	0.990909090909091
tanh	0.1	True	(100, 100)	constant	500	lbfgs	0.991485507246377	1.0	0.990909090909091
relu	0.001	True	(50,)	adaptive	500	lbfgs	0.9913043478260869	1.0	0.990909090909091
tanh	0.1	True	(100,)	invscaling	1000	lbfgs	0.991485507246377	1.0	0.990909090909091
relu	0.001	True	(100,)	adaptive	1000	lbfgs	0.991485507246377	1.0	0.990909090909091
relu	0.001	True	(50, 50)	constant	500	adam	0.9528985507246377	1.0	0.95
relu	0.001	True	(50, 50)	constant	500	lbfgs	0.9913043478260869	1.0	0.990909090909091
relu	0.001	True	(100, 100)	constant	1000	adam	0.9869565217391305	1.0	0.9863636363636363
relu	0.001	True	(100, 100)	constant	500	adam	0.9869565217391305	1.0	0.9863636363636363
relu	0.001	True	(50, 50)	adaptive	1000	lbfgs	0.9913043478260869	1.0	0.990909090909091
tanh	0.1	True	(100,)	constant	500	lbfgs	0.991485507246377	1.0	0.990909090909091
relu	0.001	True	(50, 50)	adaptive	1000	adam	0.9528985507246377	1.0	0.95
relu	0.001	True	(50, 50)	adaptive	500	lbfgs	0.9913043478260869	1.0	0.990909090909091
relu	0.001	True	(50, 50)	adaptive	500	adam	0.9528985507246377	1.0	0.95
relu	0.001	True	(50, 50)	invscaling	1000	lbfgs	0.9913043478260869	1.0	0.990909090909091
tanh	0.1	True	(100,)	constant	1000	lbfgs	0.991485507246377	1.0	0.990909090909091
relu	0.001	True	(50, 50)	invscaling	1000	adam	0.9528985507246377	1.0	0.95
relu	0.001	True	(50, 50)	invscaling	500	lbfgs	0.9913043478260869	1.0	0.990909090909091
relu	0.001	True	(50, 50)	invscaling	500	adam	0.9528985507246377	1.0	0.95
relu	0.001	True	(50, 50)	constant	1000	lbfgs	0.9913043478260869	1.0	0.990909090909091
tanh	0.1	True	(100,)	invscaling	500	lbfgs	0.991485507246377	1.0	0.990909090909091
relu	0.001	True	(50, 50)	constant	1000	adam	0.9528985507246377	1.0	0.95
logistic	0.01	True	(100, 100)	constant	500	lbfgs	0.9956521739130434	1.0	0.9954545454545455
logistic	0.01	True	(50, 50)	adaptive	1000	lbfgs	0.9871376811594204	1.0	0.9863636363636363
logistic	0.01	True	(50, 50)	adaptive	500	lbfgs	0.9871376811594204	1.0	0.9863636363636363
logistic	0.1	True	(100,)	adaptive	500	lbfgs	0.9956521739130434	1.0	0.9954545454545455
identity	0.001	True	(100,)	constant	1000	lbfgs	0.9871376811594204	1.0	0.9863636363636363
logistic	0.1	True	(50,)	adaptive	1000	lbfgs	0.9956521739130434	1.0	0.9954545454545455
identity	0.001	True	(100,)	constant	500	lbfgs	0.9871376811594204	1.0	0.9863636363636363
logistic	0.1	True	(100,)	constant	500	lbfgs	0.9956521739130434	1.0	0.9954545454545455
logistic	0.1	True	(100,)	constant	1000	lbfgs	0.9956521739130434	1.0	0.9954545454545455
logistic	0.1	True	(100,)	invscaling	500	lbfgs	0.9956521739130434	1.0	0.9954545454545455
logistic	0.1	True	(100,)	invscaling	1000	lbfgs	0.9956521739130434	1.0	0.9954545454545455
logistic	0.1	True	(100,)	adaptive	1000	lbfgs	0.9956521739130434	1.0	0.9954545454545455
logistic	0.01	True	(50, 50)	invscaling	1000	lbfgs	0.9871376811594204	1.0	0.9863636363636363
logistic	0.1	True	(50, 50)	constant	500	lbfgs	0.9956521739130434	1.0	0.9954545454545455
identity	0.01	True	(100, 100)	adaptive	1000	lbfgs	0.991485507246377	1.0	0.990909090909091
logistic	0.1	True	(50, 50)	constant	1000	lbfgs	0.9956521739130434	1.0	0.9954545454545455
logistic	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9956521739130434	1.0	0.9954545454545455
identity	0.01	True	(100, 100)	adaptive	500	lbfgs	0.991485507246377	1.0	0.990909090909091
logistic	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9956521739130434	1.0	0.9954545454545455
