activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.8566666666666667	1.0	0.81875
logistic	0.01	True	(100,)	adaptive	1000	adam	0.8464285714285713	1.0	0.80625
logistic	0.01	True	(100, 100)	constant	1000	adam	0.8566666666666667	1.0	0.81875
logistic	0.01	True	(100,)	constant	500	adam	0.8464285714285713	1.0	0.80625
logistic	0.01	True	(100,)	constant	1000	adam	0.8464285714285713	1.0	0.80625
logistic	0.01	True	(100,)	invscaling	500	adam	0.8464285714285713	1.0	0.80625
logistic	0.01	True	(100,)	invscaling	1000	adam	0.8464285714285713	1.0	0.80625
logistic	0.001	True	(100,)	invscaling	1000	adam	0.8264285714285714	1.0	0.78125
logistic	0.01	True	(100,)	adaptive	500	adam	0.8464285714285713	1.0	0.80625
logistic	0.001	True	(100,)	invscaling	500	adam	0.8264285714285714	1.0	0.78125
logistic	0.001	True	(100,)	adaptive	1000	adam	0.8264285714285714	1.0	0.78125
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.8566666666666667	1.0	0.81875
logistic	0.001	True	(100,)	constant	1000	adam	0.8264285714285714	1.0	0.78125
logistic	0.001	True	(100,)	constant	500	adam	0.8264285714285714	1.0	0.78125
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.8566666666666667	1.0	0.81875
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.8566666666666667	1.0	0.81875
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.8566666666666667	1.0	0.81875
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.8566666666666667	1.0	0.81875
logistic	0.001	True	(100,)	adaptive	500	adam	0.8264285714285714	1.0	0.78125
logistic	0.01	True	(100, 100)	constant	500	adam	0.8566666666666667	1.0	0.81875
logistic	0.1	True	(100, 100)	adaptive	500	adam	0.8466666666666667	1.0	0.80625
logistic	0.1	True	(100,)	constant	1000	adam	0.8664285714285713	1.0	0.83125
logistic	0.1	True	(100, 100)	constant	500	adam	0.8466666666666667	1.0	0.80625
logistic	0.1	True	(100,)	adaptive	500	adam	0.8664285714285713	1.0	0.83125
logistic	0.1	True	(100, 100)	constant	1000	adam	0.8466666666666667	1.0	0.80625
logistic	0.1	True	(100,)	invscaling	1000	adam	0.8664285714285713	1.0	0.83125
logistic	0.1	True	(100, 100)	invscaling	500	adam	0.8466666666666667	1.0	0.80625
logistic	0.1	True	(100,)	invscaling	500	adam	0.8664285714285713	1.0	0.83125
logistic	0.1	True	(100, 100)	invscaling	1000	adam	0.8466666666666667	1.0	0.80625
logistic	0.1	True	(100,)	adaptive	1000	adam	0.8664285714285713	1.0	0.83125
logistic	0.1	True	(100, 100)	adaptive	1000	adam	0.8466666666666667	1.0	0.80625
logistic	0.1	True	(100,)	constant	500	adam	0.8664285714285713	1.0	0.83125
logistic	0.001	True	(100, 100)	constant	500	adam	0.8566666666666667	1.0	0.81875
logistic	0.001	True	(100, 100)	constant	1000	adam	0.8566666666666667	1.0	0.81875
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.8566666666666667	1.0	0.81875
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.8566666666666667	1.0	0.81875
logistic	0.001	True	(100,)	invscaling	500	lbfgs	0.9802380952380952	0.9875	0.9770833333333334
logistic	0.001	True	(100,)	constant	1000	lbfgs	0.9802380952380952	0.9875	0.9770833333333334
logistic	0.001	True	(100,)	constant	500	lbfgs	0.9802380952380952	0.9875	0.9770833333333334
logistic	0.001	True	(100,)	adaptive	1000	lbfgs	0.9802380952380952	0.9875	0.9770833333333334
tanh	0.01	True	(100,)	invscaling	1000	lbfgs	0.9802380952380952	0.9875	0.9770833333333334
logistic	0.001	True	(100,)	adaptive	500	lbfgs	0.9802380952380952	0.9875	0.9770833333333334
tanh	0.01	True	(100,)	adaptive	1000	lbfgs	0.9802380952380952	0.9875	0.9770833333333334
tanh	0.01	True	(100,)	adaptive	500	lbfgs	0.9802380952380952	0.9875	0.9770833333333334
tanh	0.01	True	(100,)	invscaling	500	lbfgs	0.9802380952380952	0.9875	0.9770833333333334
tanh	0.01	True	(100,)	constant	1000	lbfgs	0.9802380952380952	0.9875	0.9770833333333334
tanh	0.01	True	(100,)	constant	500	lbfgs	0.9802380952380952	0.9875	0.9770833333333334
logistic	0.001	True	(100,)	invscaling	1000	lbfgs	0.9802380952380952	0.9875	0.9770833333333334
logistic	0.01	True	(100,)	adaptive	500	lbfgs	0.9752380952380953	0.9857142857142858	0.9708333333333332
logistic	0.01	True	(100,)	adaptive	1000	lbfgs	0.9752380952380953	0.9857142857142858	0.9708333333333332
logistic	0.01	True	(100,)	invscaling	500	lbfgs	0.9752380952380953	0.9857142857142858	0.9708333333333332
logistic	0.01	True	(100,)	constant	1000	lbfgs	0.9752380952380953	0.9857142857142858	0.9708333333333332
logistic	0.01	True	(100,)	constant	500	lbfgs	0.9752380952380953	0.9857142857142858	0.9708333333333332
logistic	0.01	True	(100,)	invscaling	1000	lbfgs	0.9752380952380953	0.9857142857142858	0.9708333333333332
identity	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9602380952380951	0.9777777777777779	0.9541666666666666
identity	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9602380952380951	0.9777777777777779	0.9541666666666666
identity	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9602380952380951	0.9777777777777779	0.9541666666666666
identity	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9602380952380951	0.9777777777777779	0.9541666666666666
identity	0.1	True	(50, 50)	constant	1000	lbfgs	0.9602380952380951	0.9777777777777779	0.9541666666666666
