C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
1.0	0.01	rbf	0.8903781512605041	1.0	0.8629233511586453
10.0	0.01	rbf	0.9057282913165265	0.9966666666666667	0.8827094474153299
1000.0	0.01	rbf	0.9057282913165265	0.9966666666666667	0.8827094474153299
100.0	0.01	rbf	0.9057282913165265	0.9966666666666667	0.8827094474153299
0.01	0.01	linear	0.904453781512605	0.8884735145599472	0.900450980392157
0.01	0.1	linear	0.904453781512605	0.8884735145599472	0.900450980392157
0.01	1.0	linear	0.904453781512605	0.8884735145599472	0.900450980392157
0.01	100.0	linear	0.904453781512605	0.8884735145599472	0.900450980392157
0.01	1000.0	linear	0.904453781512605	0.8884735145599472	0.900450980392157
100.0	0.1	linear	0.8748879551820729	0.8346035288504453	0.8736399286987522
10.0	0.1	linear	0.8748879551820729	0.8346035288504453	0.8736399286987522
10.0	1.0	linear	0.8748879551820729	0.8346035288504453	0.8736399286987522
10.0	100.0	linear	0.8748879551820729	0.8346035288504453	0.8736399286987522
10.0	1000.0	linear	0.8748879551820729	0.8346035288504453	0.8736399286987522
100.0	0.01	linear	0.8748879551820729	0.8346035288504453	0.8736399286987522
100.0	1000.0	linear	0.8748879551820729	0.8346035288504453	0.8736399286987522
100.0	1.0	linear	0.8748879551820729	0.8346035288504453	0.8736399286987522
100.0	100.0	linear	0.8748879551820729	0.8346035288504453	0.8736399286987522
1.0	100.0	linear	0.8748879551820729	0.8346035288504453	0.8736399286987522
1000.0	0.01	linear	0.8748879551820729	0.8346035288504453	0.8736399286987522
1000.0	0.1	linear	0.8748879551820729	0.8346035288504453	0.8736399286987522
1000.0	1.0	linear	0.8748879551820729	0.8346035288504453	0.8736399286987522
1000.0	100.0	linear	0.8748879551820729	0.8346035288504453	0.8736399286987522
1000.0	1000.0	linear	0.8748879551820729	0.8346035288504453	0.8736399286987522
1.0	1000.0	linear	0.8748879551820729	0.8346035288504453	0.8736399286987522
10.0	0.01	linear	0.8748879551820729	0.8346035288504453	0.8736399286987522
0.1	1000.0	linear	0.8748879551820729	0.8346035288504453	0.8736399286987522
1.0	1.0	linear	0.8748879551820729	0.8346035288504453	0.8736399286987522
0.1	1.0	linear	0.8748879551820729	0.8346035288504453	0.8736399286987522
0.1	0.1	linear	0.8748879551820729	0.8346035288504453	0.8736399286987522
1.0	0.1	linear	0.8748879551820729	0.8346035288504453	0.8736399286987522
0.1	100.0	linear	0.8748879551820729	0.8346035288504453	0.8736399286987522
1.0	0.01	linear	0.8748879551820729	0.8346035288504453	0.8736399286987522
0.1	0.01	linear	0.8748879551820729	0.8346035288504453	0.8736399286987522
1.0	1.0	rbf	0.6002380952380951	0.0	0.5
100.0	1000.0	rbf	0.6002380952380951	0.0	0.5
0.1	0.01	rbf	0.6002380952380951	0.0	0.5
1000.0	0.1	rbf	0.6002380952380951	0.0	0.5
0.01	1000.0	rbf	0.6002380952380951	0.0	0.5
0.1	0.1	rbf	0.6002380952380951	0.0	0.5
0.01	100.0	rbf	0.6002380952380951	0.0	0.5
1000.0	1.0	rbf	0.6002380952380951	0.0	0.5
0.01	1.0	rbf	0.6002380952380951	0.0	0.5
1000.0	100.0	rbf	0.6002380952380951	0.0	0.5
0.01	0.1	rbf	0.6002380952380951	0.0	0.5
100.0	100.0	rbf	0.6002380952380951	0.0	0.5
100.0	0.1	rbf	0.6002380952380951	0.0	0.5
100.0	1.0	rbf	0.6002380952380951	0.0	0.5
1.0	100.0	rbf	0.6002380952380951	0.0	0.5
0.1	1.0	rbf	0.6002380952380951	0.0	0.5
0.1	100.0	rbf	0.6002380952380951	0.0	0.5
10.0	1000.0	rbf	0.6002380952380951	0.0	0.5
10.0	100.0	rbf	0.6002380952380951	0.0	0.5
0.1	1000.0	rbf	0.6002380952380951	0.0	0.5
10.0	1.0	rbf	0.6002380952380951	0.0	0.5
10.0	0.1	rbf	0.6002380952380951	0.0	0.5
1.0	0.1	rbf	0.6002380952380951	0.0	0.5
0.01	0.01	rbf	0.6002380952380951	0.0	0.5
1.0	1000.0	rbf	0.6002380952380951	0.0	0.5
1000.0	1000.0	rbf	0.6002380952380951	0.0	0.5
