activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.01	True	(100, 100)	constant	1000	adam	0.8950280112044817	0.9577745530331738	0.8747379679144386
logistic	0.01	True	(100, 100)	constant	500	adam	0.8950280112044817	0.9577745530331738	0.8747379679144386
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.8950280112044817	0.9577745530331738	0.8747379679144386
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.8950280112044817	0.9577745530331738	0.8747379679144386
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.8950280112044817	0.9577745530331738	0.8747379679144386
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.8950280112044817	0.9577745530331738	0.8747379679144386
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.8938375350140056	0.9575100027686234	0.8732673796791444
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.8938375350140056	0.9575100027686234	0.8732673796791444
logistic	0.001	True	(100, 100)	constant	1000	adam	0.8938375350140056	0.9575100027686234	0.8732673796791444
logistic	0.001	True	(100, 100)	constant	500	adam	0.8938375350140056	0.9575100027686234	0.8732673796791444
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.8938375350140056	0.9575100027686234	0.8732673796791444
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.8938375350140056	0.9575100027686234	0.8732673796791444
logistic	0.001	True	(50, 50)	adaptive	1000	adam	0.8867787114845939	0.9530289065772937	0.8654688057040998
logistic	0.001	True	(50, 50)	adaptive	500	adam	0.8867787114845939	0.9530289065772937	0.8654688057040998
logistic	0.001	True	(50, 50)	invscaling	500	adam	0.8867787114845939	0.9530289065772937	0.8654688057040998
logistic	0.001	True	(50, 50)	constant	500	adam	0.8867787114845939	0.9530289065772937	0.8654688057040998
logistic	0.001	True	(50, 50)	invscaling	1000	adam	0.8867787114845939	0.9530289065772937	0.8654688057040998
logistic	0.001	True	(50, 50)	constant	1000	adam	0.8867787114845939	0.9530289065772937	0.8654688057040998
logistic	0.1	True	(100, 100)	constant	1000	adam	0.8950420168067227	0.9520430890324068	0.8757183600713011
logistic	0.1	True	(100, 100)	invscaling	500	adam	0.8950420168067227	0.9520430890324068	0.8757183600713011
