activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.01	True	(100,)	constant	500	adam	0.9217253839205058	0.9379452590420332	0.9080322580645162
logistic	0.01	True	(100,)	constant	1000	adam	0.9217253839205058	0.9379452590420332	0.9080322580645162
logistic	0.001	True	(100,)	adaptive	500	adam	0.9217253839205058	0.9379452590420332	0.9080322580645162
logistic	0.001	True	(100,)	invscaling	1000	adam	0.9217253839205058	0.9379452590420332	0.9080322580645162
logistic	0.001	True	(100,)	invscaling	500	adam	0.9217253839205058	0.9379452590420332	0.9080322580645162
logistic	0.001	True	(100,)	constant	1000	adam	0.9217253839205058	0.9379452590420332	0.9080322580645162
logistic	0.001	True	(100,)	constant	500	adam	0.9217253839205058	0.9379452590420332	0.9080322580645162
logistic	0.01	True	(100,)	adaptive	1000	adam	0.9217253839205058	0.9379452590420332	0.9080322580645162
logistic	0.01	True	(100,)	adaptive	500	adam	0.9217253839205058	0.9379452590420332	0.9080322580645162
logistic	0.01	True	(100,)	invscaling	1000	adam	0.9217253839205058	0.9379452590420332	0.9080322580645162
logistic	0.01	True	(100,)	invscaling	500	adam	0.9217253839205058	0.9379452590420332	0.9080322580645162
logistic	0.001	True	(100,)	adaptive	1000	adam	0.9217253839205058	0.9379452590420332	0.9080322580645162
logistic	0.1	True	(100,)	adaptive	1000	adam	0.9241794640168625	0.9351934087417957	0.9118709677419355
logistic	0.1	True	(100,)	invscaling	500	adam	0.9241794640168625	0.9351934087417957	0.9118709677419355
logistic	0.1	True	(100,)	constant	500	adam	0.9241794640168625	0.9351934087417957	0.9118709677419355
logistic	0.1	True	(100,)	constant	1000	adam	0.9241794640168625	0.9351934087417957	0.9118709677419355
logistic	0.1	True	(100,)	invscaling	1000	adam	0.9241794640168625	0.9351934087417957	0.9118709677419355
logistic	0.1	True	(100,)	adaptive	500	adam	0.9241794640168625	0.9351934087417957	0.9118709677419355
logistic	0.001	True	(50, 50)	adaptive	500	adam	0.9253989762119842	0.9334187187930961	0.9134693232131562
logistic	0.001	True	(50, 50)	adaptive	1000	adam	0.9253989762119842	0.9334187187930961	0.9134693232131562
logistic	0.001	True	(50, 50)	constant	1000	adam	0.9253989762119842	0.9334187187930961	0.9134693232131562
logistic	0.001	True	(50, 50)	invscaling	500	adam	0.9253989762119842	0.9334187187930961	0.9134693232131562
logistic	0.001	True	(50, 50)	invscaling	1000	adam	0.9253989762119842	0.9334187187930961	0.9134693232131562
logistic	0.001	True	(50, 50)	constant	500	adam	0.9253989762119842	0.9334187187930961	0.9134693232131562
logistic	0.1	True	(50, 50)	invscaling	500	adam	0.9229448961156278	0.9327183065358817	0.9102435167615432
logistic	0.1	True	(50, 50)	constant	1000	adam	0.9229448961156278	0.9327183065358817	0.9102435167615432
logistic	0.1	True	(50, 50)	constant	500	adam	0.9229448961156278	0.9327183065358817	0.9102435167615432
logistic	0.1	True	(50, 50)	adaptive	1000	adam	0.9229448961156278	0.9327183065358817	0.9102435167615432
logistic	0.1	True	(50, 50)	adaptive	500	adam	0.9229448961156278	0.9327183065358817	0.9102435167615432
logistic	0.1	True	(50, 50)	invscaling	1000	adam	0.9229448961156278	0.9327183065358817	0.9102435167615432
logistic	0.01	True	(50, 50)	adaptive	500	adam	0.9241644083107496	0.9305154929866445	0.9124889310562935
logistic	0.01	True	(50, 50)	adaptive	1000	adam	0.9241644083107496	0.9305154929866445	0.9124889310562935
logistic	0.01	True	(50, 50)	constant	500	adam	0.9241644083107496	0.9305154929866445	0.9124889310562935
logistic	0.01	True	(50, 50)	invscaling	1000	adam	0.9241644083107496	0.9305154929866445	0.9124889310562935
logistic	0.01	True	(50, 50)	invscaling	500	adam	0.9241644083107496	0.9305154929866445	0.9124889310562935
logistic	0.01	True	(50, 50)	constant	1000	adam	0.9241644083107496	0.9305154929866445	0.9124889310562935
logistic	0.1	True	(100, 100)	adaptive	1000	adam	0.9204607046070461	0.9288411123894994	0.909562302340291
logistic	0.1	True	(100, 100)	adaptive	500	adam	0.9204607046070461	0.9288411123894994	0.909562302340291
logistic	0.1	True	(100, 100)	invscaling	1000	adam	0.9204607046070461	0.9288411123894994	0.909562302340291
logistic	0.1	True	(100, 100)	invscaling	500	adam	0.9204607046070461	0.9288411123894994	0.909562302340291
logistic	0.1	True	(100, 100)	constant	1000	adam	0.9204607046070461	0.9288411123894994	0.909562302340291
logistic	0.1	True	(100, 100)	constant	500	adam	0.9204607046070461	0.9288411123894994	0.909562302340291
logistic	0.001	True	(100, 100)	constant	500	adam	0.9216802168021682	0.9188972712258818	0.9124402277039849
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.9216802168021682	0.9188972712258818	0.9124402277039849
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.9216802168021682	0.9188972712258818	0.9124402277039849
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.9216802168021682	0.9188972712258818	0.9124402277039849
logistic	0.001	True	(100, 100)	constant	1000	adam	0.9216802168021682	0.9188972712258818	0.9124402277039849
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.9216802168021682	0.9188972712258818	0.9124402277039849
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.9216802168021682	0.9188972712258818	0.9124402277039849
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.9216802168021682	0.9188972712258818	0.9124402277039849
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.9216802168021682	0.9188972712258818	0.9124402277039849
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.9216802168021682	0.9188972712258818	0.9124402277039849
logistic	0.01	True	(100, 100)	constant	1000	adam	0.9216802168021682	0.9188972712258818	0.9124402277039849
logistic	0.01	True	(100, 100)	constant	500	adam	0.9216802168021682	0.9188972712258818	0.9124402277039849
logistic	0.1	True	(50,)	constant	1000	adam	0.9070460704607045	0.9172335423197493	0.8924136622390891
logistic	0.1	True	(50,)	adaptive	1000	adam	0.9070460704607045	0.9172335423197493	0.8924136622390891
logistic	0.1	True	(50,)	adaptive	500	adam	0.9070460704607045	0.9172335423197493	0.8924136622390891
logistic	0.1	True	(50,)	invscaling	1000	adam	0.9070460704607045	0.9172335423197493	0.8924136622390891
logistic	0.1	True	(50,)	constant	500	adam	0.9070460704607045	0.9172335423197493	0.8924136622390891
logistic	0.1	True	(50,)	invscaling	500	adam	0.9070460704607045	0.9172335423197493	0.8924136622390891
logistic	0.01	True	(50,)	invscaling	500	adam	0.9058265582655827	0.9171185997910136	0.8908007590132827
logistic	0.001	True	(50,)	invscaling	500	adam	0.9058265582655827	0.9171185997910136	0.8908007590132827
logistic	0.001	True	(50,)	adaptive	1000	adam	0.9058265582655827	0.9171185997910136	0.8908007590132827
logistic	0.001	True	(50,)	constant	500	adam	0.9058265582655827	0.9171185997910136	0.8908007590132827
logistic	0.001	True	(50,)	adaptive	500	adam	0.9058265582655827	0.9171185997910136	0.8908007590132827
logistic	0.01	True	(50,)	constant	500	adam	0.9058265582655827	0.9171185997910136	0.8908007590132827
logistic	0.01	True	(50,)	constant	1000	adam	0.9058265582655827	0.9171185997910136	0.8908007590132827
logistic	0.001	True	(50,)	invscaling	1000	adam	0.9058265582655827	0.9171185997910136	0.8908007590132827
logistic	0.001	True	(50,)	constant	1000	adam	0.9058265582655827	0.9171185997910136	0.8908007590132827
logistic	0.01	True	(50,)	invscaling	1000	adam	0.9058265582655827	0.9171185997910136	0.8908007590132827
logistic	0.01	True	(50,)	adaptive	500	adam	0.9058265582655827	0.9171185997910136	0.8908007590132827
logistic	0.01	True	(50,)	adaptive	1000	adam	0.9058265582655827	0.9171185997910136	0.8908007590132827
relu	0.1	True	(50, 50)	constant	500	adam	0.9155977115326708	0.9121252351992787	0.904336495888678
relu	0.01	True	(50, 50)	constant	500	adam	0.9155977115326708	0.9121252351992787	0.904336495888678
relu	0.1	True	(50, 50)	constant	1000	adam	0.9155977115326708	0.9121252351992787	0.904336495888678
relu	0.01	True	(50, 50)	adaptive	1000	adam	0.9155977115326708	0.9121252351992787	0.904336495888678
relu	0.001	True	(50, 50)	invscaling	1000	adam	0.9155977115326708	0.9121252351992787	0.904336495888678
relu	0.1	True	(50, 50)	invscaling	500	adam	0.9155977115326708	0.9121252351992787	0.904336495888678
relu	0.01	True	(50, 50)	adaptive	500	adam	0.9155977115326708	0.9121252351992787	0.904336495888678
relu	0.001	True	(50, 50)	invscaling	500	adam	0.9155977115326708	0.9121252351992787	0.904336495888678
relu	0.01	True	(50, 50)	invscaling	1000	adam	0.9155977115326708	0.9121252351992787	0.904336495888678
relu	0.001	True	(50, 50)	constant	1000	adam	0.9155977115326708	0.9121252351992787	0.904336495888678
relu	0.001	True	(50, 50)	constant	500	adam	0.9155977115326708	0.9121252351992787	0.904336495888678
relu	0.001	True	(50, 50)	adaptive	500	adam	0.9155977115326708	0.9121252351992787	0.904336495888678
relu	0.1	True	(50, 50)	adaptive	500	adam	0.9155977115326708	0.9121252351992787	0.904336495888678
relu	0.001	True	(50, 50)	adaptive	1000	adam	0.9155977115326708	0.9121252351992787	0.904336495888678
relu	0.1	True	(50, 50)	adaptive	1000	adam	0.9155977115326708	0.9121252351992787	0.904336495888678
relu	0.01	True	(50, 50)	invscaling	500	adam	0.9155977115326708	0.9121252351992787	0.904336495888678
relu	0.01	True	(50, 50)	constant	1000	adam	0.9155977115326708	0.9121252351992787	0.904336495888678
relu	0.1	True	(50, 50)	invscaling	1000	adam	0.9155977115326708	0.9121252351992787	0.904336495888678
relu	0.001	True	(100, 100)	adaptive	1000	adam	0.9155826558265583	0.9072229048091117	0.9069595192915875
relu	0.001	True	(100, 100)	constant	500	adam	0.9155826558265583	0.9072229048091117	0.9069595192915875
relu	0.001	True	(100, 100)	adaptive	500	adam	0.9155826558265583	0.9072229048091117	0.9069595192915875
relu	0.001	True	(100, 100)	constant	1000	adam	0.9155826558265583	0.9072229048091117	0.9069595192915875
relu	0.001	True	(100, 100)	invscaling	1000	adam	0.9155826558265583	0.9072229048091117	0.9069595192915875
relu	0.01	True	(100, 100)	adaptive	500	adam	0.9155826558265583	0.9072229048091117	0.9069595192915875
relu	0.01	True	(100, 100)	constant	500	adam	0.9155826558265583	0.9072229048091117	0.9069595192915875
relu	0.01	True	(100, 100)	constant	1000	adam	0.9155826558265583	0.9072229048091117	0.9069595192915875
relu	0.01	True	(100, 100)	invscaling	500	adam	0.9155826558265583	0.9072229048091117	0.9069595192915875
relu	0.01	True	(100, 100)	invscaling	1000	adam	0.9155826558265583	0.9072229048091117	0.9069595192915875
relu	0.01	True	(100, 100)	adaptive	1000	adam	0.9155826558265583	0.9072229048091117	0.9069595192915875
relu	0.001	True	(100, 100)	invscaling	500	adam	0.9155826558265583	0.9072229048091117	0.9069595192915875
