max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
10	log2	2	10	200	0.9541125541125541	0.99	0.953560606060606
12	log2	2	10	200	0.9634199134199134	0.99	0.9631060606060606
8	log2	2	10	200	0.9586580086580087	0.99	0.9581060606060605
6	log2	2	2	600	0.9681818181818181	0.99	0.9681060606060606
6	log2	2	2	1000	0.9681818181818181	0.99	0.9681060606060606
6	log2	2	4	600	0.9681818181818181	0.99	0.9681060606060606
6	log2	2	4	1000	0.9681818181818181	0.99	0.9681060606060606
8	log2	2	2	600	0.9636363636363636	0.9816666666666667	0.9635606060606061
6	log2	2	8	600	0.9543290043290045	0.9816666666666667	0.9540151515151514
8	log2	4	10	1000	0.9400432900432902	0.9816666666666667	0.9390151515151516
10	log2	2	10	1000	0.95	0.9816666666666667	0.9499242424242424
10	log2	2	2	600	0.9590909090909092	0.9816666666666667	0.9590151515151515
10	log2	2	2	1000	0.9636363636363636	0.9816666666666667	0.9635606060606061
6	log2	2	10	600	0.9402597402597402	0.9816666666666667	0.939469696969697
6	log2	2	8	1000	0.9543290043290045	0.9816666666666667	0.9540151515151514
12	log2	2	4	600	0.9636363636363636	0.9816666666666667	0.9635606060606061
6	log2	2	10	1000	0.9495670995670997	0.9816666666666667	0.9490151515151514
10	log2	2	4	600	0.9590909090909092	0.9816666666666667	0.9590151515151515
10	log2	2	4	1000	0.9636363636363636	0.9816666666666667	0.9635606060606061
6	log2	4	2	1000	0.9445887445887446	0.9816666666666667	0.9435606060606061
10	log2	2	8	600	0.9545454545454547	0.9816666666666667	0.954469696969697
6	log2	4	4	1000	0.9445887445887446	0.9816666666666667	0.9435606060606061
10	log2	2	8	1000	0.9590909090909092	0.9816666666666667	0.9590151515151515
6	log2	4	8	1000	0.9445887445887446	0.9816666666666667	0.9435606060606061
12	log2	2	2	600	0.9636363636363636	0.9816666666666667	0.9635606060606061
10	log2	2	10	600	0.9545454545454547	0.9816666666666667	0.954469696969697
8	log2	4	4	1000	0.9445887445887446	0.9816666666666667	0.9435606060606061
8	log2	2	8	600	0.9545454545454547	0.9816666666666667	0.954469696969697
8	log2	4	2	1000	0.9445887445887446	0.9816666666666667	0.9435606060606061
8	log2	4	2	600	0.9493506493506494	0.9816666666666667	0.9485606060606061
8	log2	2	10	1000	0.9543290043290045	0.9816666666666667	0.9540151515151514
8	log2	2	10	600	0.9590909090909092	0.9816666666666667	0.9590151515151515
8	log2	4	8	1000	0.9445887445887446	0.9816666666666667	0.9435606060606061
8	log2	4	4	600	0.9493506493506494	0.9816666666666667	0.9485606060606061
8	log2	2	8	1000	0.9590909090909092	0.9816666666666667	0.9590151515151515
8	log2	2	4	1000	0.9590909090909092	0.9816666666666667	0.9590151515151515
12	log2	2	10	600	0.9590909090909092	0.9816666666666667	0.9590151515151515
12	log2	2	8	1000	0.9590909090909092	0.9816666666666667	0.9590151515151515
8	log2	4	8	600	0.9493506493506494	0.9816666666666667	0.9485606060606061
8	log2	2	4	600	0.9636363636363636	0.9816666666666667	0.9635606060606061
12	log2	2	8	600	0.9590909090909092	0.9816666666666667	0.9590151515151515
8	log2	2	2	1000	0.9590909090909092	0.9816666666666667	0.9590151515151515
12	log2	2	10	1000	0.95	0.9816666666666667	0.9499242424242424
8	sqrt	2	8	200	0.9541125541125541	0.9809090909090908	0.9531818181818181
12	log2	2	8	200	0.945021645021645	0.9805555555555555	0.9440151515151516
6	log2	2	8	200	0.945021645021645	0.9805555555555555	0.9440151515151515
12	log2	2	4	1000	0.9545454545454547	0.9805555555555555	0.9540151515151516
8	log2	4	10	600	0.9402597402597402	0.9805555555555555	0.9390151515151516
12	log2	2	2	1000	0.9545454545454547	0.9805555555555555	0.9540151515151516
8	log2	4	10	200	0.944805194805195	0.9800000000000001	0.9440151515151515
