C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
1000.0	0.01	rbf	0.8716374269005849	1.0	0.8419642857142857
1.0	0.01	rbf	0.8608187134502925	1.0	0.8285714285714286
10.0	0.01	rbf	0.8716374269005849	1.0	0.8419642857142857
100.0	0.01	rbf	0.8716374269005849	1.0	0.8419642857142857
10.0	0.01	linear	0.9523391812865498	0.9496031746031747	0.9500541125541127
0.1	100.0	linear	0.9523391812865498	0.9496031746031747	0.9500541125541127
10.0	0.1	linear	0.9523391812865498	0.9496031746031747	0.9500541125541127
1.0	100.0	linear	0.9523391812865498	0.9496031746031747	0.9500541125541127
10.0	1.0	linear	0.9523391812865498	0.9496031746031747	0.9500541125541127
1.0	1.0	linear	0.9523391812865498	0.9496031746031747	0.9500541125541127
10.0	100.0	linear	0.9523391812865498	0.9496031746031747	0.9500541125541127
1.0	0.1	linear	0.9523391812865498	0.9496031746031747	0.9500541125541127
1.0	0.01	linear	0.9523391812865498	0.9496031746031747	0.9500541125541127
10.0	1000.0	linear	0.9523391812865498	0.9496031746031747	0.9500541125541127
0.1	1000.0	linear	0.9523391812865498	0.9496031746031747	0.9500541125541127
100.0	0.01	linear	0.9523391812865498	0.9496031746031747	0.9500541125541127
0.1	1.0	linear	0.9523391812865498	0.9496031746031747	0.9500541125541127
100.0	0.1	linear	0.9523391812865498	0.9496031746031747	0.9500541125541127
0.1	0.1	linear	0.9523391812865498	0.9496031746031747	0.9500541125541127
100.0	1.0	linear	0.9523391812865498	0.9496031746031747	0.9500541125541127
0.1	0.01	linear	0.9523391812865498	0.9496031746031747	0.9500541125541127
100.0	100.0	linear	0.9523391812865498	0.9496031746031747	0.9500541125541127
100.0	1000.0	linear	0.9523391812865498	0.9496031746031747	0.9500541125541127
1000.0	0.01	linear	0.9523391812865498	0.9496031746031747	0.9500541125541127
1000.0	0.1	linear	0.9523391812865498	0.9496031746031747	0.9500541125541127
1000.0	1.0	linear	0.9523391812865498	0.9496031746031747	0.9500541125541127
1000.0	100.0	linear	0.9523391812865498	0.9496031746031747	0.9500541125541127
1000.0	1000.0	linear	0.9523391812865498	0.9496031746031747	0.9500541125541127
1.0	1000.0	linear	0.9523391812865498	0.9496031746031747	0.9500541125541127
0.01	0.01	linear	0.9467836257309941	0.9371031746031747	0.9455086580086581
0.01	0.1	linear	0.9467836257309941	0.9371031746031747	0.9455086580086581
0.01	1.0	linear	0.9467836257309941	0.9371031746031747	0.9455086580086581
0.01	100.0	linear	0.9467836257309941	0.9371031746031747	0.9455086580086581
0.01	1000.0	linear	0.9467836257309941	0.9371031746031747	0.9455086580086581
0.01	0.01	rbf	0.6023391812865496	0.0	0.5
1.0	1000.0	rbf	0.6023391812865496	0.0	0.5
1000.0	100.0	rbf	0.6023391812865496	0.0	0.5
0.01	0.1	rbf	0.6023391812865496	0.0	0.5
1000.0	1.0	rbf	0.6023391812865496	0.0	0.5
1000.0	0.1	rbf	0.6023391812865496	0.0	0.5
0.01	1.0	rbf	0.6023391812865496	0.0	0.5
0.01	100.0	rbf	0.6023391812865496	0.0	0.5
100.0	1000.0	rbf	0.6023391812865496	0.0	0.5
100.0	100.0	rbf	0.6023391812865496	0.0	0.5
0.01	1000.0	rbf	0.6023391812865496	0.0	0.5
100.0	1.0	rbf	0.6023391812865496	0.0	0.5
0.1	0.01	rbf	0.6023391812865496	0.0	0.5
100.0	0.1	rbf	0.6023391812865496	0.0	0.5
0.1	0.1	rbf	0.6023391812865496	0.0	0.5
0.1	1.0	rbf	0.6023391812865496	0.0	0.5
0.1	100.0	rbf	0.6023391812865496	0.0	0.5
10.0	1000.0	rbf	0.6023391812865496	0.0	0.5
0.1	1000.0	rbf	0.6023391812865496	0.0	0.5
10.0	100.0	rbf	0.6023391812865496	0.0	0.5
1.0	0.1	rbf	0.6023391812865496	0.0	0.5
10.0	1.0	rbf	0.6023391812865496	0.0	0.5
1.0	1.0	rbf	0.6023391812865496	0.0	0.5
10.0	0.1	rbf	0.6023391812865496	0.0	0.5
1.0	100.0	rbf	0.6023391812865496	0.0	0.5
1000.0	1000.0	rbf	0.6023391812865496	0.0	0.5
