max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
10	log2	2	2	600	0.9625730994152046	1.0	0.9535714285714286
12	log2	2	8	1000	0.9678362573099415	1.0	0.9598214285714286
12	log2	2	4	1000	0.9678362573099415	1.0	0.9598214285714286
12	log2	2	4	600	0.9625730994152046	1.0	0.9535714285714286
12	log2	2	4	200	0.962280701754386	1.0	0.9526785714285715
12	log2	2	2	1000	0.9678362573099415	1.0	0.9598214285714286
12	log2	2	2	600	0.9625730994152046	1.0	0.9535714285714286
12	log2	2	2	200	0.962280701754386	1.0	0.9526785714285715
6	log2	4	8	200	0.9511695906432749	1.0	0.9383928571428573
10	log2	2	2	200	0.9678362573099415	1.0	0.9598214285714286
6	log2	4	4	200	0.9511695906432749	1.0	0.9383928571428573
10	log2	2	2	1000	0.9570175438596491	1.0	0.9464285714285715
10	log2	2	4	200	0.9678362573099415	1.0	0.9598214285714286
10	log2	2	4	600	0.9625730994152046	1.0	0.9535714285714286
10	log2	2	4	1000	0.9570175438596491	1.0	0.9464285714285715
6	log2	2	2	200	0.9564327485380117	1.0	0.9446428571428573
10	log2	2	8	200	0.9567251461988304	1.0	0.9455357142857144
6	log2	2	2	1000	0.9514619883040936	1.0	0.9392857142857144
6	log2	2	4	200	0.9564327485380117	1.0	0.9446428571428573
10	log2	2	8	600	0.973391812865497	1.0	0.9669642857142857
6	log2	2	4	1000	0.9514619883040936	1.0	0.9392857142857144
6	log2	2	8	200	0.9619883040935673	1.0	0.9517857142857145
6	log2	2	8	600	0.9514619883040936	1.0	0.9392857142857144
6	log2	2	8	1000	0.9514619883040936	1.0	0.9392857142857144
10	log2	2	8	1000	0.962280701754386	1.0	0.9526785714285715
10	log2	2	10	600	0.9678362573099415	1.0	0.9598214285714286
6	log2	2	10	1000	0.9514619883040936	1.0	0.9392857142857144
10	log2	2	10	1000	0.962280701754386	1.0	0.9526785714285715
12	log2	2	8	600	0.973391812865497	1.0	0.9669642857142857
6	log2	4	2	200	0.9511695906432749	1.0	0.9383928571428573
8	log2	2	2	600	0.9619883040935673	1.0	0.9517857142857145
8	log2	2	10	600	0.9567251461988304	1.0	0.9455357142857144
8	log2	2	8	1000	0.9567251461988304	1.0	0.9455357142857144
8	log2	2	4	1000	0.9514619883040936	1.0	0.9392857142857144
8	log2	2	4	600	0.9619883040935673	1.0	0.9517857142857145
8	log2	2	4	200	0.9619883040935673	1.0	0.9517857142857145
8	log2	2	2	1000	0.9514619883040936	1.0	0.9392857142857144
8	log2	2	2	200	0.9619883040935673	1.0	0.9517857142857145
12	log2	2	10	1000	0.9678362573099415	1.0	0.9598214285714286
12	log2	2	10	600	0.9678362573099415	1.0	0.9598214285714286
8	log2	2	10	1000	0.9619883040935673	1.0	0.9517857142857145
8	sqrt	2	2	200	0.9625730994152046	0.9888888888888889	0.955275974025974
8	sqrt	2	8	600	0.9570175438596491	0.9888888888888889	0.9481331168831169
8	sqrt	2	2	1000	0.9625730994152046	0.9888888888888889	0.955275974025974
8	sqrt	2	4	200	0.9625730994152046	0.9888888888888889	0.955275974025974
