activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
relu	0.001	True	(100,)	adaptive	1000	lbfgs	0.9116666666666667	0.95	0.8634090909090908
relu	0.01	True	(100,)	adaptive	1000	lbfgs	0.9116666666666667	0.95	0.8634090909090908
relu	0.01	True	(100,)	adaptive	500	lbfgs	0.9116666666666667	0.95	0.8634090909090908
relu	0.01	True	(100,)	invscaling	1000	lbfgs	0.9116666666666667	0.95	0.8634090909090908
relu	0.01	True	(100,)	invscaling	500	lbfgs	0.9116666666666667	0.95	0.8634090909090908
relu	0.01	True	(100,)	constant	1000	lbfgs	0.9116666666666667	0.95	0.8634090909090908
relu	0.01	True	(100,)	constant	500	lbfgs	0.9116666666666667	0.95	0.8634090909090908
relu	0.001	True	(100,)	constant	500	lbfgs	0.9116666666666667	0.95	0.8634090909090908
relu	0.001	True	(100,)	adaptive	500	lbfgs	0.9116666666666667	0.95	0.8634090909090908
relu	0.001	True	(100,)	invscaling	1000	lbfgs	0.9116666666666667	0.95	0.8634090909090908
relu	0.001	True	(100,)	invscaling	500	lbfgs	0.9116666666666667	0.95	0.8634090909090908
relu	0.001	True	(100,)	constant	1000	lbfgs	0.9116666666666667	0.95	0.8634090909090908
relu	0.01	True	(50,)	constant	1000	lbfgs	0.9241666666666667	0.9416666666666667	0.8921212121212122
relu	0.01	True	(50,)	invscaling	500	lbfgs	0.9241666666666667	0.9416666666666667	0.8921212121212122
relu	0.01	True	(50,)	constant	500	lbfgs	0.9241666666666667	0.9416666666666667	0.8921212121212122
relu	0.001	True	(50,)	adaptive	500	lbfgs	0.9241666666666667	0.9416666666666667	0.8921212121212122
relu	0.001	True	(50,)	adaptive	1000	lbfgs	0.9241666666666667	0.9416666666666667	0.8921212121212122
relu	0.001	True	(50,)	invscaling	1000	lbfgs	0.9241666666666667	0.9416666666666667	0.8921212121212122
relu	0.01	True	(50,)	invscaling	1000	lbfgs	0.9241666666666667	0.9416666666666667	0.8921212121212122
relu	0.01	True	(50,)	adaptive	500	lbfgs	0.9241666666666667	0.9416666666666667	0.8921212121212122
relu	0.001	True	(50,)	invscaling	500	lbfgs	0.9241666666666667	0.9416666666666667	0.8921212121212122
relu	0.001	True	(50,)	constant	1000	lbfgs	0.9241666666666667	0.9416666666666667	0.8921212121212122
relu	0.01	True	(50,)	adaptive	1000	lbfgs	0.9241666666666667	0.9416666666666667	0.8921212121212122
relu	0.001	True	(50,)	constant	500	lbfgs	0.9241666666666667	0.9416666666666667	0.8921212121212122
logistic	0.001	True	(50,)	constant	500	lbfgs	0.9366666666666668	0.9314285714285715	0.9196969696969697
logistic	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9558333333333333	0.9314285714285715	0.9521969696969697
logistic	0.001	True	(50,)	invscaling	500	lbfgs	0.9366666666666668	0.9314285714285715	0.9196969696969697
logistic	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9558333333333333	0.9314285714285715	0.9521969696969697
logistic	0.001	True	(50,)	constant	1000	lbfgs	0.9366666666666668	0.9314285714285715	0.9196969696969697
tanh	0.001	True	(100, 100)	adaptive	1000	lbfgs	0.9108333333333334	0.9314285714285715	0.8721969696969698
logistic	0.001	True	(50,)	adaptive	500	lbfgs	0.9366666666666668	0.9314285714285715	0.9196969696969697
logistic	0.001	True	(50,)	adaptive	1000	lbfgs	0.9366666666666668	0.9314285714285715	0.9196969696969697
logistic	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9558333333333333	0.9314285714285715	0.9521969696969697
logistic	0.1	True	(50, 50)	constant	1000	lbfgs	0.9558333333333333	0.9314285714285715	0.9521969696969697
logistic	0.1	True	(50, 50)	constant	500	lbfgs	0.9558333333333333	0.9314285714285715	0.9521969696969697
logistic	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9558333333333333	0.9314285714285715	0.9521969696969697
logistic	0.001	True	(50,)	invscaling	1000	lbfgs	0.9366666666666668	0.9314285714285715	0.9196969696969697
tanh	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.9108333333333334	0.9314285714285715	0.8721969696969698
tanh	0.001	True	(100, 100)	constant	500	lbfgs	0.9108333333333334	0.9314285714285715	0.8721969696969698
tanh	0.001	True	(100, 100)	constant	1000	lbfgs	0.9108333333333334	0.9314285714285715	0.8721969696969698
tanh	0.001	True	(100, 100)	adaptive	500	lbfgs	0.9108333333333334	0.9314285714285715	0.8721969696969698
tanh	0.001	True	(100, 100)	invscaling	500	lbfgs	0.9108333333333334	0.9314285714285715	0.8721969696969698
logistic	0.01	True	(50,)	adaptive	1000	lbfgs	0.9429166666666667	0.93	0.9217424242424241
logistic	0.01	True	(50,)	adaptive	500	lbfgs	0.9429166666666667	0.93	0.9217424242424241
logistic	0.01	True	(50,)	constant	1000	lbfgs	0.9429166666666667	0.93	0.9217424242424241
logistic	0.01	True	(50,)	constant	500	lbfgs	0.9429166666666667	0.93	0.9217424242424241
logistic	0.01	True	(50,)	invscaling	1000	lbfgs	0.9429166666666667	0.93	0.9217424242424241
logistic	0.01	True	(50,)	invscaling	500	lbfgs	0.9429166666666667	0.93	0.9217424242424241
logistic	0.01	True	(100, 100)	adaptive	500	lbfgs	0.9304166666666667	0.9225	0.9151515151515153
logistic	0.01	True	(100, 100)	adaptive	1000	lbfgs	0.9304166666666667	0.9225	0.9151515151515153
tanh	0.001	True	(50,)	invscaling	500	lbfgs	0.9433333333333334	0.9225	0.9351515151515152
logistic	0.01	True	(100, 100)	invscaling	1000	lbfgs	0.9304166666666667	0.9225	0.9151515151515153
tanh	0.001	True	(50,)	constant	500	lbfgs	0.9433333333333334	0.9225	0.9351515151515152
tanh	0.001	True	(50,)	constant	1000	lbfgs	0.9433333333333334	0.9225	0.9351515151515152
tanh	0.001	True	(50,)	adaptive	1000	lbfgs	0.9433333333333334	0.9225	0.9351515151515152
