activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.1	True	(100,)	adaptive	500	adam	0.9277777777777778	0.9943108974358974	0.9148976912134807
logistic	0.1	True	(100,)	constant	500	adam	0.9277777777777778	0.9943108974358974	0.9148976912134807
logistic	0.1	True	(100,)	constant	1000	adam	0.9277777777777778	0.9943108974358974	0.9148976912134807
logistic	0.1	True	(100,)	invscaling	500	adam	0.9277777777777778	0.9943108974358974	0.9148976912134807
logistic	0.1	True	(100,)	invscaling	1000	adam	0.9277777777777778	0.9943108974358974	0.9148976912134807
logistic	0.1	True	(100,)	adaptive	1000	adam	0.9277777777777778	0.9943108974358974	0.9148976912134807
logistic	0.01	True	(100,)	constant	1000	adam	0.9311111111111112	0.9916118421052632	0.9194134045052615
logistic	0.001	True	(100,)	invscaling	1000	adam	0.93	0.9916118421052632	0.9180620531539102
logistic	0.001	True	(100,)	invscaling	500	adam	0.93	0.9916118421052632	0.9180620531539102
logistic	0.001	True	(100,)	constant	500	adam	0.93	0.9916118421052632	0.9180620531539102
logistic	0.01	True	(100,)	adaptive	1000	adam	0.9311111111111112	0.9916118421052632	0.9194134045052615
logistic	0.01	True	(100,)	adaptive	500	adam	0.9311111111111112	0.9916118421052632	0.9194134045052615
logistic	0.01	True	(100,)	invscaling	1000	adam	0.9311111111111112	0.9916118421052632	0.9194134045052615
logistic	0.01	True	(100,)	invscaling	500	adam	0.9311111111111112	0.9916118421052632	0.9194134045052615
logistic	0.001	True	(100,)	constant	1000	adam	0.93	0.9916118421052632	0.9180620531539102
logistic	0.01	True	(100,)	constant	500	adam	0.9311111111111112	0.9916118421052632	0.9194134045052615
logistic	0.001	True	(100,)	adaptive	1000	adam	0.93	0.9916118421052632	0.9180620531539102
logistic	0.001	True	(100,)	adaptive	500	adam	0.93	0.9916118421052632	0.9180620531539102
logistic	0.1	True	(50,)	adaptive	1000	adam	0.9311111111111112	0.989063714063714	0.9195717038939482
logistic	0.1	True	(50,)	adaptive	500	adam	0.9311111111111112	0.989063714063714	0.9195717038939482
logistic	0.1	True	(50,)	invscaling	1000	adam	0.9311111111111112	0.989063714063714	0.9195717038939482
logistic	0.1	True	(50,)	invscaling	500	adam	0.9311111111111112	0.989063714063714	0.9195717038939482
logistic	0.1	True	(50,)	constant	1000	adam	0.9311111111111112	0.989063714063714	0.9195717038939482
logistic	0.1	True	(50,)	constant	500	adam	0.9311111111111112	0.989063714063714	0.9195717038939482
logistic	0.01	True	(50,)	invscaling	500	adam	0.928888888888889	0.9888896520146521	0.9169045630689127
logistic	0.01	True	(50,)	adaptive	1000	adam	0.928888888888889	0.9888896520146521	0.9169045630689127
logistic	0.001	True	(50,)	adaptive	1000	adam	0.928888888888889	0.9888896520146521	0.9169045630689127
logistic	0.001	True	(50,)	adaptive	500	adam	0.928888888888889	0.9888896520146521	0.9169045630689127
logistic	0.001	True	(50,)	invscaling	1000	adam	0.928888888888889	0.9888896520146521	0.9169045630689127
logistic	0.001	True	(50,)	invscaling	500	adam	0.928888888888889	0.9888896520146521	0.9169045630689127
logistic	0.001	True	(50,)	constant	1000	adam	0.928888888888889	0.9888896520146521	0.9169045630689127
logistic	0.001	True	(50,)	constant	500	adam	0.928888888888889	0.9888896520146521	0.9169045630689127
