max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
8	log2	2	8	1000	0.9344444444444445	1.0	0.9220483641536272
8	log2	2	8	600	0.9355555555555556	1.0	0.9233641536273115
10	log2	2	8	1000	0.9355555555555556	1.0	0.9233997155049787
12	log2	2	8	1000	0.9366666666666668	1.0	0.924715504978663
12	log2	2	8	600	0.9388888888888889	1.0	0.9273826458036984
12	log2	2	4	1000	0.9388888888888889	1.0	0.9273470839260314
12	log2	2	4	600	0.9366666666666668	1.0	0.924715504978663
12	log2	2	2	1000	0.9388888888888889	1.0	0.9273470839260314
12	log2	2	2	600	0.9366666666666668	1.0	0.924715504978663
10	log2	4	2	1000	0.9355555555555556	1.0	0.9233641536273115
10	log2	2	10	1000	0.9377777777777778	1.0	0.9260312944523472
10	log2	2	10	600	0.9355555555555556	1.0	0.9234352773826459
6	log2	2	8	1000	0.9344444444444445	1.0	0.9220483641536272
10	log2	4	4	1000	0.9355555555555556	1.0	0.9233641536273115
8	log2	2	4	1000	0.9366666666666668	1.0	0.924715504978663
8	log2	2	4	600	0.9388888888888889	1.0	0.9273470839260314
8	log2	2	4	200	0.9366666666666668	1.0	0.9246799431009958
8	log2	2	2	1000	0.9366666666666668	1.0	0.924715504978663
8	log2	2	2	600	0.9388888888888889	1.0	0.9273470839260314
8	log2	2	2	200	0.9366666666666668	1.0	0.9246799431009958
6	log2	2	2	600	0.9333333333333333	1.0	0.9206970128022759
6	log2	2	2	1000	0.9344444444444445	1.0	0.9220128022759602
10	log2	2	10	200	0.9411111111111111	1.0	0.9300142247510669
6	log2	2	4	600	0.9333333333333333	1.0	0.9206970128022759
12	log2	2	10	600	0.9388888888888889	1.0	0.9273826458036984
12	log2	2	10	200	0.9355555555555556	1.0	0.9233641536273115
10	log2	2	4	600	0.9377777777777778	1.0	0.9260312944523472
8	sqrt	4	4	200	0.9344444444444445	1.0	0.9220128022759602
10	log2	2	2	200	0.9355555555555556	1.0	0.9233641536273115
10	log2	2	2	600	0.9377777777777778	1.0	0.9260312944523472
8	sqrt	4	2	200	0.9344444444444445	1.0	0.9220128022759602
12	log2	4	10	1000	0.9366666666666668	1.0	0.9246799431009958
10	log2	2	2	1000	0.9355555555555556	1.0	0.9233997155049787
10	log2	2	4	200	0.9355555555555556	1.0	0.9233641536273115
10	log2	2	4	1000	0.9355555555555556	1.0	0.9233997155049787
6	log2	2	4	1000	0.9344444444444445	1.0	0.9220128022759602
8	log2	4	10	1000	0.9355555555555556	1.0	0.9233641536273115
8	log2	4	10	600	0.9377777777777778	1.0	0.92599573257468
8	sqrt	4	8	200	0.9344444444444445	1.0	0.9220128022759602
10	log2	4	8	1000	0.9355555555555556	1.0	0.9233641536273115
8	sqrt	4	8	600	0.9322222222222223	0.9972222222222221	0.9197354743407375
8	sqrt	2	2	600	0.9377777777777778	0.9972222222222221	0.9263855454644929
8	sqrt	2	4	200	0.9377777777777778	0.9972222222222221	0.9263855454644929
8	sqrt	2	4	600	0.9377777777777778	0.9972222222222221	0.9263855454644929
8	sqrt	2	10	600	0.9333333333333333	0.9972222222222221	0.9210512638144218
8	sqrt	2	10	1000	0.9344444444444445	0.9972222222222221	0.9224026151657732
10	log2	4	4	600	0.9322222222222223	0.9972222222222221	0.9197354743407375
10	log2	4	2	600	0.9322222222222223	0.9972222222222221	0.9197354743407375
8	sqrt	4	4	600	0.9322222222222223	0.9972222222222221	0.9197354743407375
10	log2	4	4	200	0.9333333333333333	0.9972222222222221	0.9210512638144216
8	sqrt	4	2	600	0.9322222222222223	0.9972222222222221	0.9197354743407375
10	log2	4	8	600	0.9322222222222223	0.9972222222222221	0.9197354743407375
10	log2	4	2	200	0.9333333333333333	0.9972222222222221	0.9210512638144216
10	log2	4	8	200	0.9333333333333333	0.9972222222222221	0.9210512638144216
10	sqrt	2	2	200	0.9355555555555556	0.9972222222222221	0.9237184046394573
10	log2	2	8	600	0.9366666666666668	0.9972222222222221	0.9250697559908087
8	log2	4	8	600	0.9355555555555556	0.9972222222222221	0.9237184046394573
10	sqrt	2	4	1000	0.9377777777777778	0.9972222222222221	0.9264211073421601
10	sqrt	2	4	200	0.9355555555555556	0.9972222222222221	0.9237184046394573
10	sqrt	2	2	1000	0.9377777777777778	0.9972222222222221	0.9264211073421601
10	sqrt	4	10	200	0.9355555555555556	0.9972222222222221	0.9237184046394573
8	log2	8	10	200	0.9322222222222223	0.9972222222222221	0.9197354743407375
8	log2	8	8	200	0.9322222222222223	0.9972222222222221	0.9197354743407375
8	log2	8	4	200	0.9322222222222223	0.9972222222222221	0.9197354743407375
8	log2	8	2	200	0.9322222222222223	0.9972222222222221	0.9197354743407375
8	log2	4	10	200	0.9366666666666668	0.9972222222222221	0.9250523363482648
8	log2	4	8	1000	0.9333333333333333	0.9972222222222221	0.921086825692089
8	log2	4	8	200	0.9333333333333333	0.9972222222222221	0.921086825692089
8	log2	2	8	200	0.9344444444444445	0.9972222222222221	0.922402615165773
