C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
10.0	0.01	rbf	0.9211111111111112	1.0	0.9061522048364153
1.0	0.01	rbf	0.9144444444444446	1.0	0.8981863442389759
1000.0	0.01	rbf	0.9211111111111112	1.0	0.9061522048364153
100.0	0.01	rbf	0.9211111111111112	1.0	0.9061522048364153
0.01	0.01	linear	0.9477777777777778	0.948193396859107	0.9452450827574959
0.01	0.1	linear	0.9477777777777778	0.948193396859107	0.9452450827574959
0.01	1.0	linear	0.9477777777777778	0.948193396859107	0.9452450827574959
0.01	100.0	linear	0.9477777777777778	0.948193396859107	0.9452450827574959
0.01	1000.0	linear	0.9477777777777778	0.948193396859107	0.9452450827574959
100.0	0.1	linear	0.9400000000000001	0.9252529621198919	0.939241680378721
10.0	0.1	linear	0.9400000000000001	0.9252529621198919	0.939241680378721
10.0	1.0	linear	0.9400000000000001	0.9252529621198919	0.939241680378721
10.0	100.0	linear	0.9400000000000001	0.9252529621198919	0.939241680378721
10.0	1000.0	linear	0.9400000000000001	0.9252529621198919	0.939241680378721
100.0	0.01	linear	0.9400000000000001	0.9252529621198919	0.939241680378721
100.0	1000.0	linear	0.9400000000000001	0.9252529621198919	0.939241680378721
100.0	1.0	linear	0.9400000000000001	0.9252529621198919	0.939241680378721
100.0	100.0	linear	0.9400000000000001	0.9252529621198919	0.939241680378721
1.0	100.0	linear	0.9400000000000001	0.9252529621198919	0.939241680378721
1000.0	0.01	linear	0.9400000000000001	0.9252529621198919	0.939241680378721
1000.0	0.1	linear	0.9400000000000001	0.9252529621198919	0.939241680378721
1000.0	1.0	linear	0.9400000000000001	0.9252529621198919	0.939241680378721
1000.0	100.0	linear	0.9400000000000001	0.9252529621198919	0.939241680378721
1000.0	1000.0	linear	0.9400000000000001	0.9252529621198919	0.939241680378721
1.0	1000.0	linear	0.9400000000000001	0.9252529621198919	0.939241680378721
10.0	0.01	linear	0.9400000000000001	0.9252529621198919	0.939241680378721
0.1	1000.0	linear	0.9400000000000001	0.9252529621198919	0.939241680378721
1.0	1.0	linear	0.9400000000000001	0.9252529621198919	0.939241680378721
0.1	1.0	linear	0.9400000000000001	0.9252529621198919	0.939241680378721
0.1	0.1	linear	0.9400000000000001	0.9252529621198919	0.939241680378721
1.0	0.1	linear	0.9400000000000001	0.9252529621198919	0.939241680378721
0.1	100.0	linear	0.9400000000000001	0.9252529621198919	0.939241680378721
1.0	0.01	linear	0.9400000000000001	0.9252529621198919	0.939241680378721
0.1	0.01	linear	0.9400000000000001	0.9252529621198919	0.939241680378721
1.0	1.0	rbf	0.5799999999999998	0.0	0.5
100.0	1000.0	rbf	0.5799999999999998	0.0	0.5
0.1	0.01	rbf	0.5799999999999998	0.0	0.5
1000.0	0.1	rbf	0.5799999999999998	0.0	0.5
0.01	1000.0	rbf	0.5799999999999998	0.0	0.5
0.1	0.1	rbf	0.5799999999999998	0.0	0.5
0.01	100.0	rbf	0.5799999999999998	0.0	0.5
1000.0	1.0	rbf	0.5799999999999998	0.0	0.5
0.01	1.0	rbf	0.5799999999999998	0.0	0.5
1000.0	100.0	rbf	0.5799999999999998	0.0	0.5
0.01	0.1	rbf	0.5799999999999998	0.0	0.5
100.0	100.0	rbf	0.5799999999999998	0.0	0.5
100.0	0.1	rbf	0.5799999999999998	0.0	0.5
100.0	1.0	rbf	0.5799999999999998	0.0	0.5
1.0	100.0	rbf	0.5799999999999998	0.0	0.5
0.1	1.0	rbf	0.5799999999999998	0.0	0.5
0.1	100.0	rbf	0.5799999999999998	0.0	0.5
10.0	1000.0	rbf	0.5799999999999998	0.0	0.5
10.0	100.0	rbf	0.5799999999999998	0.0	0.5
0.1	1000.0	rbf	0.5799999999999998	0.0	0.5
10.0	1.0	rbf	0.5799999999999998	0.0	0.5
10.0	0.1	rbf	0.5799999999999998	0.0	0.5
1.0	0.1	rbf	0.5799999999999998	0.0	0.5
0.01	0.01	rbf	0.5799999999999998	0.0	0.5
1.0	1000.0	rbf	0.5799999999999998	0.0	0.5
1000.0	1000.0	rbf	0.5799999999999998	0.0	0.5
