activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
relu	0.1	True	(50, 50)	constant	1000	adam	0.9517241379310345	0.9871522143340096	0.94180224048981
relu	0.1	True	(50, 50)	adaptive	1000	adam	0.9517241379310345	0.9871522143340096	0.94180224048981
relu	0.01	True	(50, 50)	constant	500	adam	0.9517241379310345	0.9871522143340096	0.94180224048981
relu	0.1	True	(50, 50)	constant	500	adam	0.9517241379310345	0.9871522143340096	0.94180224048981
relu	0.01	True	(50, 50)	constant	1000	adam	0.9517241379310345	0.9871522143340096	0.94180224048981
relu	0.01	True	(50, 50)	invscaling	500	adam	0.9517241379310345	0.9871522143340096	0.94180224048981
relu	0.01	True	(50, 50)	invscaling	1000	adam	0.9517241379310345	0.9871522143340096	0.94180224048981
relu	0.01	True	(50, 50)	adaptive	500	adam	0.9517241379310345	0.9871522143340096	0.94180224048981
relu	0.01	True	(50, 50)	adaptive	1000	adam	0.9517241379310345	0.9871522143340096	0.94180224048981
relu	0.001	True	(50, 50)	constant	500	adam	0.9517241379310345	0.9871522143340096	0.94180224048981
relu	0.1	True	(50, 50)	adaptive	500	adam	0.9517241379310345	0.9871522143340096	0.94180224048981
relu	0.1	True	(50, 50)	invscaling	1000	adam	0.9517241379310345	0.9871522143340096	0.94180224048981
relu	0.1	True	(50, 50)	invscaling	500	adam	0.9517241379310345	0.9871522143340096	0.94180224048981
relu	0.001	True	(50, 50)	adaptive	1000	adam	0.9517241379310345	0.9871522143340096	0.94180224048981
relu	0.001	True	(50, 50)	adaptive	500	adam	0.9517241379310345	0.9871522143340096	0.94180224048981
relu	0.001	True	(50, 50)	invscaling	1000	adam	0.9517241379310345	0.9871522143340096	0.94180224048981
relu	0.001	True	(50, 50)	invscaling	500	adam	0.9517241379310345	0.9871522143340096	0.94180224048981
relu	0.001	True	(50, 50)	constant	1000	adam	0.9517241379310345	0.9871522143340096	0.94180224048981
logistic	0.001	True	(50,)	constant	500	adam	0.9471264367816092	0.9799755016488888	0.9369800039028673
logistic	0.001	True	(50,)	adaptive	500	adam	0.9471264367816092	0.9799755016488888	0.9369800039028673
logistic	0.001	True	(50,)	invscaling	1000	adam	0.9471264367816092	0.9799755016488888	0.9369800039028673
logistic	0.001	True	(50,)	invscaling	500	adam	0.9471264367816092	0.9799755016488888	0.9369800039028673
logistic	0.001	True	(50,)	adaptive	1000	adam	0.9471264367816092	0.9799755016488888	0.9369800039028673
logistic	0.1	True	(50,)	constant	500	adam	0.9471264367816092	0.9799755016488888	0.9369800039028673
logistic	0.01	True	(50,)	adaptive	1000	adam	0.9471264367816092	0.9799755016488888	0.9369800039028673
logistic	0.01	True	(50,)	adaptive	500	adam	0.9471264367816092	0.9799755016488888	0.9369800039028673
logistic	0.01	True	(50,)	invscaling	1000	adam	0.9471264367816092	0.9799755016488888	0.9369800039028673
logistic	0.01	True	(50,)	invscaling	500	adam	0.9471264367816092	0.9799755016488888	0.9369800039028673
logistic	0.01	True	(50,)	constant	1000	adam	0.9471264367816092	0.9799755016488888	0.9369800039028673
logistic	0.1	True	(50,)	adaptive	1000	adam	0.9471264367816092	0.9799755016488888	0.9369800039028673
logistic	0.1	True	(50,)	adaptive	500	adam	0.9471264367816092	0.9799755016488888	0.9369800039028673
logistic	0.1	True	(50,)	invscaling	1000	adam	0.9471264367816092	0.9799755016488888	0.9369800039028673
logistic	0.1	True	(50,)	invscaling	500	adam	0.9471264367816092	0.9799755016488888	0.9369800039028673
logistic	0.1	True	(50,)	constant	1000	adam	0.9471264367816092	0.9799755016488888	0.9369800039028673
logistic	0.01	True	(50,)	constant	500	adam	0.9471264367816092	0.9799755016488888	0.9369800039028673
logistic	0.001	True	(50,)	constant	1000	adam	0.9471264367816092	0.9799755016488888	0.9369800039028673
relu	0.1	True	(100, 100)	adaptive	500	adam	0.9505747126436781	0.9783622866597004	0.9416668597772926
relu	0.1	True	(100, 100)	invscaling	500	adam	0.9505747126436781	0.9783622866597004	0.9416668597772926
relu	0.01	True	(100, 100)	adaptive	1000	adam	0.9505747126436781	0.9783622866597004	0.9416668597772926
relu	0.1	True	(100, 100)	constant	1000	adam	0.9505747126436781	0.9783622866597004	0.9416668597772926
relu	0.1	True	(100, 100)	adaptive	1000	adam	0.9505747126436781	0.9783622866597004	0.9416668597772926
relu	0.001	True	(100, 100)	adaptive	1000	adam	0.9505747126436781	0.9783622866597004	0.9416668597772926
relu	0.1	True	(100, 100)	constant	500	adam	0.9505747126436781	0.9783622866597004	0.9416668597772926
relu	0.01	True	(100, 100)	adaptive	500	adam	0.9505747126436781	0.9783622866597004	0.9416668597772926
relu	0.001	True	(100, 100)	adaptive	500	adam	0.9505747126436781	0.9783622866597004	0.9416668597772926
relu	0.001	True	(100, 100)	invscaling	1000	adam	0.9505747126436781	0.9783622866597004	0.9416668597772926
relu	0.001	True	(100, 100)	invscaling	500	adam	0.9505747126436781	0.9783622866597004	0.9416668597772926
relu	0.001	True	(100, 100)	constant	1000	adam	0.9505747126436781	0.9783622866597004	0.9416668597772926
relu	0.001	True	(100, 100)	constant	500	adam	0.9505747126436781	0.9783622866597004	0.9416668597772926
relu	0.01	True	(100, 100)	invscaling	1000	adam	0.9505747126436781	0.9783622866597004	0.9416668597772926
relu	0.01	True	(100, 100)	invscaling	500	adam	0.9505747126436781	0.9783622866597004	0.9416668597772926
relu	0.01	True	(100, 100)	constant	1000	adam	0.9505747126436781	0.9783622866597004	0.9416668597772926
relu	0.01	True	(100, 100)	constant	500	adam	0.9505747126436781	0.9783622866597004	0.9416668597772926
relu	0.1	True	(100, 100)	invscaling	1000	adam	0.9505747126436781	0.9783622866597004	0.9416668597772926
relu	0.01	True	(50, 50)	constant	500	lbfgs	0.9712643678160919	0.9766694927356692	0.9679981034503786
relu	0.01	True	(50, 50)	constant	1000	lbfgs	0.9712643678160919	0.9766694927356692	0.9679981034503786
relu	0.01	True	(50, 50)	invscaling	1000	lbfgs	0.9712643678160919	0.9766694927356692	0.9679981034503786
relu	0.01	True	(50, 50)	invscaling	500	lbfgs	0.9712643678160919	0.9766694927356692	0.9679981034503786
relu	0.01	True	(50, 50)	adaptive	500	lbfgs	0.9712643678160919	0.9766694927356692	0.9679981034503786
relu	0.01	True	(50, 50)	adaptive	1000	lbfgs	0.9712643678160919	0.9766694927356692	0.9679981034503786
