activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.9321428571428572	0.9639436655298723	0.9166991227351469
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.9321428571428572	0.9639436655298723	0.9166991227351469
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.9321428571428572	0.9639436655298723	0.9166991227351469
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.9321428571428572	0.9639436655298723	0.9166991227351469
logistic	0.001	True	(100, 100)	constant	1000	adam	0.9321428571428572	0.9639436655298723	0.9166991227351469
logistic	0.001	True	(100, 100)	constant	500	adam	0.9321428571428572	0.9639436655298723	0.9166991227351469
logistic	0.1	True	(50, 50)	constant	500	adam	0.9321428571428572	0.9631082716566587	0.9173000842736083
logistic	0.1	True	(50, 50)	adaptive	1000	adam	0.9321428571428572	0.9631082716566587	0.9173000842736083
logistic	0.1	True	(50, 50)	invscaling	1000	adam	0.9321428571428572	0.9631082716566587	0.9173000842736083
logistic	0.1	True	(50, 50)	invscaling	500	adam	0.9321428571428572	0.9631082716566587	0.9173000842736083
logistic	0.1	True	(50, 50)	constant	1000	adam	0.9321428571428572	0.9631082716566587	0.9173000842736083
logistic	0.1	True	(50, 50)	adaptive	500	adam	0.9321428571428572	0.9631082716566587	0.9173000842736083
logistic	0.1	True	(100, 100)	adaptive	500	adam	0.9297619047619048	0.9605048731394671	0.9141750842736084
logistic	0.1	True	(100, 100)	adaptive	1000	adam	0.9297619047619048	0.9605048731394671	0.9141750842736084
logistic	0.1	True	(100, 100)	constant	500	adam	0.9297619047619048	0.9605048731394671	0.9141750842736084
logistic	0.1	True	(100, 100)	constant	1000	adam	0.9297619047619048	0.9605048731394671	0.9141750842736084
logistic	0.1	True	(100, 100)	invscaling	500	adam	0.9297619047619048	0.9605048731394671	0.9141750842736084
logistic	0.1	True	(100, 100)	invscaling	1000	adam	0.9297619047619048	0.9605048731394671	0.9141750842736084
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.9297619047619048	0.9600975116837185	0.9141750842736084
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.9297619047619048	0.9600975116837185	0.9141750842736084
logistic	0.01	True	(100, 100)	constant	1000	adam	0.9297619047619048	0.9600975116837185	0.9141750842736084
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.9297619047619048	0.9600975116837185	0.9141750842736084
logistic	0.01	True	(100, 100)	constant	500	adam	0.9297619047619048	0.9600975116837185	0.9141750842736084
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.9297619047619048	0.9600975116837185	0.9141750842736084
logistic	0.001	True	(50, 50)	constant	500	adam	0.9273809523809524	0.9564430947405086	0.9122197463598484
logistic	0.001	True	(50, 50)	invscaling	500	adam	0.9273809523809524	0.9564430947405086	0.9122197463598484
logistic	0.001	True	(50, 50)	adaptive	500	adam	0.9273809523809524	0.9564430947405086	0.9122197463598484
logistic	0.001	True	(50, 50)	invscaling	1000	adam	0.9273809523809524	0.9564430947405086	0.9122197463598484
logistic	0.001	True	(50, 50)	constant	1000	adam	0.9273809523809524	0.9564430947405086	0.9122197463598484
logistic	0.001	True	(50, 50)	adaptive	1000	adam	0.9273809523809524	0.9564430947405086	0.9122197463598484
logistic	0.001	True	(50,)	invscaling	1000	adam	0.913095238095238	0.9544871794871795	0.8928869270565102
logistic	0.001	True	(50,)	adaptive	500	adam	0.913095238095238	0.9544871794871795	0.8928869270565102
logistic	0.001	True	(50,)	constant	500	adam	0.913095238095238	0.9544871794871795	0.8928869270565102
logistic	0.01	True	(50,)	adaptive	1000	adam	0.913095238095238	0.9544871794871795	0.8928869270565102
logistic	0.01	True	(50,)	adaptive	500	adam	0.913095238095238	0.9544871794871795	0.8928869270565102
logistic	0.01	True	(50,)	invscaling	1000	adam	0.913095238095238	0.9544871794871795	0.8928869270565102
logistic	0.01	True	(50,)	invscaling	500	adam	0.913095238095238	0.9544871794871795	0.8928869270565102
logistic	0.01	True	(50,)	constant	1000	adam	0.913095238095238	0.9544871794871795	0.8928869270565102
logistic	0.001	True	(50,)	constant	1000	adam	0.913095238095238	0.9544871794871795	0.8928869270565102
logistic	0.001	True	(50,)	invscaling	500	adam	0.913095238095238	0.9544871794871795	0.8928869270565102
logistic	0.001	True	(50,)	adaptive	1000	adam	0.913095238095238	0.9544871794871795	0.8928869270565102
logistic	0.01	True	(50,)	constant	500	adam	0.913095238095238	0.9544871794871795	0.8928869270565102
logistic	0.001	True	(100,)	adaptive	1000	adam	0.9297619047619048	0.9517411475713755	0.9159457078983099
logistic	0.001	True	(100,)	invscaling	1000	adam	0.9297619047619048	0.9517411475713755	0.9159457078983099
logistic	0.001	True	(100,)	invscaling	500	adam	0.9297619047619048	0.9517411475713755	0.9159457078983099
logistic	0.001	True	(100,)	constant	1000	adam	0.9297619047619048	0.9517411475713755	0.9159457078983099
logistic	0.001	True	(100,)	constant	500	adam	0.9297619047619048	0.9517411475713755	0.9159457078983099
logistic	0.001	True	(100,)	adaptive	500	adam	0.9297619047619048	0.9517411475713755	0.9159457078983099
logistic	0.01	True	(100,)	constant	500	adam	0.9297619047619048	0.9517411475713755	0.9159457078983099
logistic	0.01	True	(100,)	adaptive	500	adam	0.9297619047619048	0.9517411475713755	0.9159457078983099
logistic	0.01	True	(100,)	constant	1000	adam	0.9297619047619048	0.9517411475713755	0.9159457078983099
logistic	0.01	True	(100,)	invscaling	500	adam	0.9297619047619048	0.9517411475713755	0.9159457078983099
logistic	0.01	True	(100,)	invscaling	1000	adam	0.9297619047619048	0.9517411475713755	0.9159457078983099
logistic	0.01	True	(100,)	adaptive	1000	adam	0.9297619047619048	0.9517411475713755	0.9159457078983099
logistic	0.1	True	(100,)	adaptive	1000	adam	0.9297619047619048	0.9513716894432968	0.9159457078983099
logistic	0.1	True	(100,)	adaptive	500	adam	0.9297619047619048	0.9513716894432968	0.9159457078983099
logistic	0.1	True	(100,)	invscaling	1000	adam	0.9297619047619048	0.9513716894432968	0.9159457078983099
logistic	0.1	True	(100,)	invscaling	500	adam	0.9297619047619048	0.9513716894432968	0.9159457078983099
logistic	0.1	True	(100,)	constant	1000	adam	0.9297619047619048	0.9513716894432968	0.9159457078983099
logistic	0.1	True	(100,)	constant	500	adam	0.9297619047619048	0.9513716894432968	0.9159457078983099
logistic	0.01	True	(50, 50)	constant	500	adam	0.9261904761904761	0.9494672882888956	0.9119277148977012
logistic	0.01	True	(50, 50)	constant	1000	adam	0.9261904761904761	0.9494672882888956	0.9119277148977012
logistic	0.01	True	(50, 50)	invscaling	500	adam	0.9261904761904761	0.9494672882888956	0.9119277148977012
logistic	0.01	True	(50, 50)	invscaling	1000	adam	0.9261904761904761	0.9494672882888956	0.9119277148977012
logistic	0.01	True	(50, 50)	adaptive	500	adam	0.9261904761904761	0.9494672882888956	0.9119277148977012
logistic	0.01	True	(50, 50)	adaptive	1000	adam	0.9261904761904761	0.9494672882888956	0.9119277148977012
logistic	0.1	True	(50,)	adaptive	1000	adam	0.9071428571428571	0.9473462041344485	0.8862763501334332
logistic	0.1	True	(50,)	adaptive	500	adam	0.9071428571428571	0.9473462041344485	0.8862763501334332
logistic	0.1	True	(50,)	invscaling	1000	adam	0.9071428571428571	0.9473462041344485	0.8862763501334332
logistic	0.1	True	(50,)	constant	500	adam	0.9071428571428571	0.9473462041344485	0.8862763501334332
logistic	0.1	True	(50,)	constant	1000	adam	0.9071428571428571	0.9473462041344485	0.8862763501334332
logistic	0.1	True	(50,)	invscaling	500	adam	0.9071428571428571	0.9473462041344485	0.8862763501334332
tanh	0.01	True	(100,)	constant	1000	lbfgs	0.9392857142857143	0.9394686145769866	0.9317892194157029
tanh	0.01	True	(100,)	adaptive	500	lbfgs	0.9392857142857143	0.9394686145769866	0.9317892194157029
tanh	0.01	True	(100,)	invscaling	500	lbfgs	0.9392857142857143	0.9394686145769866	0.9317892194157029
tanh	0.01	True	(100,)	invscaling	1000	lbfgs	0.9392857142857143	0.9394686145769866	0.9317892194157029
tanh	0.01	True	(100,)	adaptive	1000	lbfgs	0.9392857142857143	0.9394686145769866	0.9317892194157029
tanh	0.01	True	(100,)	constant	500	lbfgs	0.9392857142857143	0.9394686145769866	0.9317892194157029
tanh	0.001	True	(100,)	invscaling	500	lbfgs	0.9380952380952381	0.934021164021164	0.9314467847277493
tanh	0.001	True	(100,)	constant	1000	lbfgs	0.9380952380952381	0.934021164021164	0.9314467847277493
tanh	0.001	True	(100,)	constant	500	lbfgs	0.9380952380952381	0.934021164021164	0.9314467847277493
tanh	0.001	True	(100,)	invscaling	1000	lbfgs	0.9380952380952381	0.934021164021164	0.9314467847277493
tanh	0.001	True	(100,)	adaptive	500	lbfgs	0.9380952380952381	0.934021164021164	0.9314467847277493
tanh	0.001	True	(100,)	adaptive	1000	lbfgs	0.9380952380952381	0.934021164021164	0.9314467847277493
tanh	0.01	True	(100,)	constant	500	adam	0.8904761904761903	0.9258466495955615	0.8677047000093637
tanh	0.01	True	(100,)	adaptive	1000	adam	0.8904761904761903	0.9258466495955615	0.8677047000093637
tanh	0.01	True	(100,)	adaptive	500	adam	0.8904761904761903	0.9258466495955615	0.8677047000093637
tanh	0.01	True	(100,)	invscaling	1000	adam	0.8904761904761903	0.9258466495955615	0.8677047000093637
tanh	0.01	True	(100,)	invscaling	500	adam	0.8904761904761903	0.9258466495955615	0.8677047000093637
