colsample_bytree	eval_metric	gamma	learning_rate	max_depth	min_child_weight	n_estimators	objective	subsample	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.5	auc	0	0.01	4	1	600	binary:logitraw	0.5	0.9373809523809523	0.9909090909090909	0.9349999999999999
0.5	error	0	0.01	4	1	600	binary:logitraw	0.5	0.9373809523809523	0.9909090909090909	0.9349999999999999
0.5	auc	0	0.01	8	1	600	binary:logitraw	0.5	0.9373809523809523	0.9909090909090909	0.9349999999999999
0.5	error	0	0.01	6	1	600	binary:logitraw	0.5	0.9373809523809523	0.9909090909090909	0.9349999999999999
0.5	error	0	0.01	8	1	600	binary:logitraw	0.5	0.9373809523809523	0.9909090909090909	0.9349999999999999
0.5	auc	0	0.01	6	1	600	binary:logitraw	0.5	0.9373809523809523	0.9909090909090909	0.9349999999999999
1.0	auc	0	0.01	4	1	200	binary:logitraw	0.5	0.9173809523809524	0.9818181818181818	0.915
1.0	auc	0	0.01	6	1	200	binary:logitraw	0.5	0.9173809523809524	0.9818181818181818	0.915
0.5	error	0	0.01	4	3	200	binary:logitraw	0.5	0.9076190476190475	0.9818181818181818	0.9049999999999999
0.5	error	0	0.01	6	3	200	binary:logitraw	0.5	0.9076190476190475	0.9818181818181818	0.9049999999999999
0.5	auc	0	0.01	6	3	200	binary:logitraw	0.5	0.9076190476190475	0.9818181818181818	0.9049999999999999
0.5	error	0	0.01	8	3	200	binary:logitraw	0.5	0.9076190476190475	0.9818181818181818	0.9049999999999999
0.5	auc	0	0.01	8	3	200	binary:logitraw	0.5	0.9076190476190475	0.9818181818181818	0.9049999999999999
1.0	auc	0	0.01	4	3	200	binary:logitraw	1.0	0.9273809523809524	0.9818181818181818	0.925
1.0	auc	0	0.01	6	3	200	binary:logitraw	1.0	0.9273809523809524	0.9818181818181818	0.925
1.0	auc	0	0.01	8	1	200	binary:logitraw	0.5	0.9173809523809524	0.9818181818181818	0.915
1.0	auc	0	0.01	8	3	200	binary:logitraw	1.0	0.9273809523809524	0.9818181818181818	0.925
1.0	error	0	0.01	4	1	200	binary:logitraw	0.5	0.9173809523809524	0.9818181818181818	0.915
1.0	error	0	0.01	4	3	200	binary:logitraw	1.0	0.9273809523809524	0.9818181818181818	0.925
1.0	error	0	0.01	6	1	200	binary:logitraw	0.5	0.9173809523809524	0.9818181818181818	0.915
0.5	auc	0	0.01	4	3	200	binary:logitraw	0.5	0.9076190476190475	0.9818181818181818	0.9049999999999999
1.0	error	0	0.01	6	3	200	binary:logitraw	1.0	0.9273809523809524	0.9818181818181818	0.925
1.0	error	0	0.01	8	1	200	binary:logitraw	0.5	0.9173809523809524	0.9818181818181818	0.915
1.0	error	0	0.01	8	3	200	binary:logitraw	1.0	0.9273809523809524	0.9818181818181818	0.925
0.5	error	0	0.01	8	1	1000	binary:logitraw	0.5	0.9273809523809524	0.9742424242424242	0.925
0.5	error	0	0.01	8	1	200	binary:logitraw	0.5	0.9128571428571428	0.9742424242424242	0.9100000000000001
0.5	error	0	0.01	6	1	1000	binary:logitraw	0.5	0.9273809523809524	0.9742424242424242	0.925
0.5	error	0	0.01	6	1	200	binary:logitraw	0.5	0.9128571428571428	0.9742424242424242	0.9100000000000001
0.5	error	0	0.01	4	1	1000	binary:logitraw	0.5	0.9273809523809524	0.9742424242424242	0.925
0.5	error	0	0.01	4	1	200	binary:logitraw	0.5	0.9128571428571428	0.9742424242424242	0.9100000000000001
0.5	auc	0	0.01	4	1	200	binary:logitraw	0.5	0.9128571428571428	0.9742424242424242	0.9100000000000001
0.5	auc	0	0.01	6	1	1000	binary:logitraw	0.5	0.9273809523809524	0.9742424242424242	0.925
0.5	auc	0	0.01	8	1	1000	binary:logitraw	0.5	0.9273809523809524	0.9742424242424242	0.925
0.5	auc	0	0.01	6	1	200	binary:logitraw	0.5	0.9128571428571428	0.9742424242424242	0.9100000000000001
0.5	auc	0	0.01	8	1	200	binary:logitraw	0.5	0.9128571428571428	0.9742424242424242	0.9100000000000001
0.5	auc	0	0.01	4	1	1000	binary:logitraw	0.5	0.9273809523809524	0.9742424242424242	0.925
1.0	error	0	0.01	8	1	600	binary:logitraw	0.5	0.9273809523809524	0.9727272727272727	0.925
1.0	auc	0	0.01	6	1	600	binary:logitraw	0.5	0.9273809523809524	0.9727272727272727	0.925
1.0	error	0	0.01	4	1	600	binary:logitraw	0.5	0.9273809523809524	0.9727272727272727	0.925
0.5	auc	0	0.01	6	1	600	binary:logitraw	1.0	0.927142857142857	0.9727272727272727	0.925
1.0	auc	0	0.01	4	1	600	binary:logitraw	0.5	0.9273809523809524	0.9727272727272727	0.925
1.0	error	0	0.01	6	1	600	binary:logitraw	0.5	0.9273809523809524	0.9727272727272727	0.925
0.5	error	0	0.01	8	1	600	binary:logitraw	1.0	0.9319047619047618	0.9727272727272727	0.9299999999999999
1.0	auc	0	0.01	8	1	600	binary:logitraw	0.5	0.9273809523809524	0.9727272727272727	0.925
0.5	auc	0	0.01	8	1	600	binary:logitraw	1.0	0.9319047619047618	0.9727272727272727	0.9299999999999999
0.5	auc	0	0.01	4	1	600	binary:logitraw	1.0	0.927142857142857	0.9727272727272727	0.925
0.5	error	0	0.01	6	1	600	binary:logitraw	1.0	0.927142857142857	0.9727272727272727	0.925
0.5	error	0	0.01	4	1	600	binary:logitraw	1.0	0.927142857142857	0.9727272727272727	0.925
0.5	auc	0	0.01	4	3	600	binary:logitraw	0.5	0.9221428571428572	0.9678321678321679	0.9200000000000002
0.5	error	0	0.01	8	3	600	binary:logitraw	0.5	0.9221428571428572	0.9678321678321679	0.9200000000000002
0.5	error	0	0.01	6	3	600	binary:logitraw	0.5	0.9221428571428572	0.9678321678321679	0.9200000000000002
0.5	auc	0	0.01	8	3	600	binary:logitraw	0.5	0.9221428571428572	0.9678321678321679	0.9200000000000002
0.5	auc	0	0.01	6	3	600	binary:logitraw	0.5	0.9221428571428572	0.9678321678321679	0.9200000000000002
0.5	error	0	0.01	4	3	600	binary:logitraw	0.5	0.9221428571428572	0.9678321678321679	0.9200000000000002
0.5	auc	0	0.2	6	1	600	binary:logitraw	1.0	0.9366666666666668	0.9666666666666668	0.9349999999999999
0.5	error	0	0.2	4	1	200	binary:logitraw	1.0	0.931904761904762	0.9666666666666668	0.93
0.5	auc	0	0.2	4	1	200	binary:logitraw	1.0	0.931904761904762	0.9666666666666668	0.93
0.5	error	0	0.2	6	1	600	binary:logitraw	1.0	0.9366666666666668	0.9666666666666668	0.9349999999999999
1.0	auc	0	0.01	4	1	1000	binary:logitraw	1.0	0.9173809523809524	0.9651515151515152	0.915
1.0	error	0	0.01	4	1	600	binary:logitraw	1.0	0.9126190476190477	0.9651515151515152	0.9099999999999999
1.0	error	0	0.01	4	1	1000	binary:logitraw	1.0	0.9173809523809524	0.9651515151515152	0.915
0.5	auc	0	0.2	4	1	600	binary:logitraw	1.0	0.9316666666666666	0.9651515151515152	0.93
1.0	auc	0	0.01	4	1	600	binary:logitraw	1.0	0.9126190476190477	0.9651515151515152	0.9099999999999999
1.0	error	0	0.01	8	1	600	binary:logitraw	1.0	0.9126190476190477	0.9651515151515152	0.9099999999999999
1.0	error	0	0.01	6	1	600	binary:logitraw	1.0	0.9126190476190477	0.9651515151515152	0.9099999999999999
0.5	error	0	0.2	4	1	600	binary:logitraw	1.0	0.9316666666666666	0.9651515151515152	0.93
