C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.01	0.01	linear	0.9447619047619048	1.0	0.8958333333333334
0.01	0.1	linear	0.9447619047619048	1.0	0.8958333333333334
10.0	0.01	rbf	0.9795238095238096	1.0	0.9625
0.01	1.0	linear	0.9447619047619048	1.0	0.8958333333333334
0.01	100.0	linear	0.9447619047619048	1.0	0.8958333333333334
1.0	0.01	rbf	0.9652380952380953	1.0	0.9333333333333333
0.01	1000.0	linear	0.9447619047619048	1.0	0.8958333333333334
1000.0	0.01	rbf	0.9795238095238096	1.0	0.9625
100.0	0.01	rbf	0.9795238095238096	1.0	0.9625
100.0	0.1	linear	0.9723809523809525	0.9550000000000001	0.9654545454545455
10.0	0.1	linear	0.9723809523809525	0.9550000000000001	0.9654545454545455
10.0	1.0	linear	0.9723809523809525	0.9550000000000001	0.9654545454545455
10.0	100.0	linear	0.9723809523809525	0.9550000000000001	0.9654545454545455
10.0	1000.0	linear	0.9723809523809525	0.9550000000000001	0.9654545454545455
100.0	0.01	linear	0.9723809523809525	0.9550000000000001	0.9654545454545455
100.0	1000.0	linear	0.9723809523809525	0.9550000000000001	0.9654545454545455
100.0	1.0	linear	0.9723809523809525	0.9550000000000001	0.9654545454545455
100.0	100.0	linear	0.9723809523809525	0.9550000000000001	0.9654545454545455
1.0	100.0	linear	0.9723809523809525	0.9550000000000001	0.9654545454545455
1000.0	0.01	linear	0.9723809523809525	0.9550000000000001	0.9654545454545455
1000.0	0.1	linear	0.9723809523809525	0.9550000000000001	0.9654545454545455
1000.0	1.0	linear	0.9723809523809525	0.9550000000000001	0.9654545454545455
1000.0	100.0	linear	0.9723809523809525	0.9550000000000001	0.9654545454545455
1000.0	1000.0	linear	0.9723809523809525	0.9550000000000001	0.9654545454545455
1.0	1000.0	linear	0.9723809523809525	0.9550000000000001	0.9654545454545455
10.0	0.01	linear	0.9723809523809525	0.9550000000000001	0.9654545454545455
0.1	1000.0	linear	0.9723809523809525	0.9550000000000001	0.9654545454545455
1.0	1.0	linear	0.9723809523809525	0.9550000000000001	0.9654545454545455
0.1	1.0	linear	0.9723809523809525	0.9550000000000001	0.9654545454545455
0.1	0.1	linear	0.9723809523809525	0.9550000000000001	0.9654545454545455
1.0	0.1	linear	0.9723809523809525	0.9550000000000001	0.9654545454545455
0.1	100.0	linear	0.9723809523809525	0.9550000000000001	0.9654545454545455
1.0	0.01	linear	0.9723809523809525	0.9550000000000001	0.9654545454545455
0.1	0.01	linear	0.9723809523809525	0.9550000000000001	0.9654545454545455
1.0	1.0	rbf	0.7271428571428571	0.0	0.5
100.0	1000.0	rbf	0.7271428571428571	0.0	0.5
0.1	0.01	rbf	0.7271428571428571	0.0	0.5
1000.0	0.1	rbf	0.7271428571428571	0.0	0.5
0.01	1000.0	rbf	0.7271428571428571	0.0	0.5
0.1	0.1	rbf	0.7271428571428571	0.0	0.5
0.01	100.0	rbf	0.7271428571428571	0.0	0.5
1000.0	1.0	rbf	0.7271428571428571	0.0	0.5
0.01	1.0	rbf	0.7271428571428571	0.0	0.5
1000.0	100.0	rbf	0.7271428571428571	0.0	0.5
0.01	0.1	rbf	0.7271428571428571	0.0	0.5
100.0	100.0	rbf	0.7271428571428571	0.0	0.5
100.0	0.1	rbf	0.7271428571428571	0.0	0.5
100.0	1.0	rbf	0.7271428571428571	0.0	0.5
1.0	100.0	rbf	0.7271428571428571	0.0	0.5
0.1	1.0	rbf	0.7271428571428571	0.0	0.5
0.1	100.0	rbf	0.7271428571428571	0.0	0.5
10.0	1000.0	rbf	0.7271428571428571	0.0	0.5
10.0	100.0	rbf	0.7271428571428571	0.0	0.5
0.1	1000.0	rbf	0.7271428571428571	0.0	0.5
10.0	1.0	rbf	0.7271428571428571	0.0	0.5
10.0	0.1	rbf	0.7271428571428571	0.0	0.5
1.0	0.1	rbf	0.7271428571428571	0.0	0.5
0.01	0.01	rbf	0.7271428571428571	0.0	0.5
1.0	1000.0	rbf	0.7271428571428571	0.0	0.5
1000.0	1000.0	rbf	0.7271428571428571	0.0	0.5
