activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.8814229249011858	1.0	0.8772727272727273
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.8814229249011858	1.0	0.8772727272727273
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.8814229249011858	1.0	0.8772727272727273
logistic	0.1	True	(100, 100)	invscaling	500	adam	0.8857707509881424	1.0	0.8818181818181818
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.8814229249011858	1.0	0.8772727272727273
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.8814229249011858	1.0	0.8772727272727273
logistic	0.1	True	(100, 100)	invscaling	1000	adam	0.8857707509881424	1.0	0.8818181818181818
logistic	0.1	True	(100, 100)	constant	1000	adam	0.8857707509881424	1.0	0.8818181818181818
logistic	0.1	True	(100, 100)	adaptive	500	adam	0.8857707509881424	1.0	0.8818181818181818
logistic	0.001	True	(100, 100)	constant	1000	adam	0.8814229249011858	1.0	0.8772727272727273
logistic	0.1	True	(100, 100)	adaptive	1000	adam	0.8857707509881424	1.0	0.8818181818181818
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.8814229249011858	1.0	0.8772727272727273
logistic	0.001	True	(100, 100)	constant	500	adam	0.8814229249011858	1.0	0.8772727272727273
logistic	0.1	True	(100, 100)	constant	500	adam	0.8857707509881424	1.0	0.8818181818181818
logistic	0.01	True	(100, 100)	constant	500	adam	0.8814229249011858	1.0	0.8772727272727273
logistic	0.01	True	(100, 100)	constant	1000	adam	0.8814229249011858	1.0	0.8772727272727273
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.8814229249011858	1.0	0.8772727272727273
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.8814229249011858	1.0	0.8772727272727273
tanh	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9565217391304348	0.9916666666666666	0.9549242424242423
tanh	0.1	True	(100, 100)	constant	1000	lbfgs	0.9565217391304348	0.9916666666666666	0.9549242424242423
tanh	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9565217391304348	0.9916666666666666	0.9549242424242423
tanh	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9565217391304348	0.9916666666666666	0.9549242424242423
tanh	0.1	True	(100, 100)	constant	500	lbfgs	0.9565217391304348	0.9916666666666666	0.9549242424242423
logistic	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.9739130434782609	0.9916666666666666	0.9731060606060605
logistic	0.001	True	(100, 100)	adaptive	500	lbfgs	0.9739130434782609	0.9916666666666666	0.9731060606060605
tanh	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9565217391304348	0.9916666666666666	0.9549242424242423
logistic	0.001	True	(100, 100)	adaptive	1000	lbfgs	0.9739130434782609	0.9916666666666666	0.9731060606060605
logistic	0.001	True	(100, 100)	invscaling	500	lbfgs	0.9739130434782609	0.9916666666666666	0.9731060606060605
logistic	0.001	True	(100, 100)	constant	1000	lbfgs	0.9739130434782609	0.9916666666666666	0.9731060606060605
