C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
1.0	0.01	rbf	0.8150197628458498	1.0	0.8072727272727273
100.0	0.01	rbf	0.8286561264822134	1.0	0.8213636363636363
10.0	0.01	rbf	0.8286561264822134	1.0	0.8213636363636363
1000.0	0.01	rbf	0.8286561264822134	1.0	0.8213636363636363
1.0	100.0	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
1.0	1000.0	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
10.0	0.1	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
10.0	1.0	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
10.0	100.0	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
10.0	1000.0	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
100.0	0.01	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
0.01	0.01	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
1.0	1.0	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
100.0	1.0	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
100.0	100.0	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
100.0	1000.0	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
1000.0	0.01	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
1000.0	0.1	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
1000.0	1.0	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
1000.0	100.0	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
1000.0	1000.0	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
100.0	0.1	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
10.0	0.01	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
0.1	0.1	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
0.01	0.1	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
1.0	0.01	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
1.0	0.1	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
0.01	1.0	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
0.1	1000.0	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
0.01	1000.0	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
0.1	0.01	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
0.1	100.0	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
0.01	100.0	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
0.1	1.0	linear	0.9693675889328063	0.9916666666666666	0.9681818181818181
100.0	1000.0	rbf	0.5221343873517785	0.0	0.5
0.01	1000.0	rbf	0.5221343873517785	0.0	0.5
100.0	100.0	rbf	0.5221343873517785	0.0	0.5
0.01	1.0	rbf	0.5221343873517785	0.0	0.5
0.01	100.0	rbf	0.5221343873517785	0.0	0.5
1000.0	0.1	rbf	0.5221343873517785	0.0	0.5
1000.0	1.0	rbf	0.5221343873517785	0.0	0.5
0.01	0.1	rbf	0.5221343873517785	0.0	0.5
1000.0	100.0	rbf	0.5221343873517785	0.0	0.5
100.0	1.0	rbf	0.5221343873517785	0.0	0.5
1.0	0.1	rbf	0.5221343873517785	0.0	0.5
100.0	0.1	rbf	0.5221343873517785	0.0	0.5
0.1	0.01	rbf	0.5221343873517785	0.0	0.5
0.1	0.1	rbf	0.5221343873517785	0.0	0.5
10.0	1000.0	rbf	0.5221343873517785	0.0	0.5
10.0	100.0	rbf	0.5221343873517785	0.0	0.5
0.1	1.0	rbf	0.5221343873517785	0.0	0.5
10.0	1.0	rbf	0.5221343873517785	0.0	0.5
10.0	0.1	rbf	0.5221343873517785	0.0	0.5
0.1	100.0	rbf	0.5221343873517785	0.0	0.5
0.01	0.01	rbf	0.5221343873517785	0.0	0.5
1.0	1000.0	rbf	0.5221343873517785	0.0	0.5
0.1	1000.0	rbf	0.5221343873517785	0.0	0.5
1.0	100.0	rbf	0.5221343873517785	0.0	0.5
1.0	1.0	rbf	0.5221343873517785	0.0	0.5
1000.0	1000.0	rbf	0.5221343873517785	0.0	0.5
