activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.001	True	(100, 100)	constant	500	lbfgs	0.9819852941176471	0.9833333333333334	0.9754545454545454
logistic	0.001	True	(100, 100)	constant	1000	lbfgs	0.9819852941176471	0.9833333333333334	0.9754545454545454
logistic	0.001	True	(100, 100)	invscaling	500	lbfgs	0.9819852941176471	0.9833333333333334	0.9754545454545454
logistic	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.9819852941176471	0.9833333333333334	0.9754545454545454
logistic	0.001	True	(100, 100)	adaptive	500	lbfgs	0.9819852941176471	0.9833333333333334	0.9754545454545454
logistic	0.001	True	(100, 100)	adaptive	1000	lbfgs	0.9819852941176471	0.9833333333333334	0.9754545454545454
logistic	0.01	True	(50, 50)	constant	500	lbfgs	0.9702205882352942	0.9633333333333333	0.9612878787878788
tanh	0.001	True	(50,)	adaptive	500	lbfgs	0.9463235294117647	0.9633333333333333	0.9191666666666667
logistic	0.01	True	(50, 50)	adaptive	1000	lbfgs	0.9702205882352942	0.9633333333333333	0.9612878787878788
tanh	0.001	True	(50,)	constant	500	lbfgs	0.9463235294117647	0.9633333333333333	0.9191666666666667
tanh	0.001	True	(50,)	constant	1000	lbfgs	0.9463235294117647	0.9633333333333333	0.9191666666666667
tanh	0.001	True	(50,)	invscaling	500	lbfgs	0.9463235294117647	0.9633333333333333	0.9191666666666667
tanh	0.001	True	(50,)	invscaling	1000	lbfgs	0.9463235294117647	0.9633333333333333	0.9191666666666667
logistic	0.01	True	(50, 50)	adaptive	500	lbfgs	0.9702205882352942	0.9633333333333333	0.9612878787878788
tanh	0.001	True	(50,)	adaptive	1000	lbfgs	0.9463235294117647	0.9633333333333333	0.9191666666666667
logistic	0.01	True	(50, 50)	invscaling	1000	lbfgs	0.9702205882352942	0.9633333333333333	0.9612878787878788
logistic	0.01	True	(50, 50)	constant	1000	lbfgs	0.9702205882352942	0.9633333333333333	0.9612878787878788
logistic	0.01	True	(50, 50)	invscaling	500	lbfgs	0.9702205882352942	0.9633333333333333	0.9612878787878788
identity	0.1	True	(100, 100)	constant	500	lbfgs	0.9580882352941178	0.9514285714285714	0.9467424242424244
identity	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9580882352941178	0.9514285714285714	0.9467424242424244
identity	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9580882352941178	0.9514285714285714	0.9467424242424244
identity	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9580882352941178	0.9514285714285714	0.9467424242424244
identity	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9580882352941178	0.9514285714285714	0.9467424242424244
identity	0.1	True	(100, 100)	constant	1000	lbfgs	0.9580882352941178	0.9514285714285714	0.9467424242424244
tanh	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9643382352941178	0.95	0.957121212121212
tanh	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9643382352941178	0.95	0.957121212121212
tanh	0.1	True	(50,)	constant	500	lbfgs	0.9643382352941178	0.95	0.957121212121212
logistic	0.1	True	(50, 50)	constant	500	lbfgs	0.9643382352941178	0.95	0.957121212121212
tanh	0.1	True	(50,)	constant	1000	lbfgs	0.9643382352941178	0.95	0.957121212121212
tanh	0.1	True	(50,)	invscaling	500	lbfgs	0.9643382352941178	0.95	0.957121212121212
tanh	0.1	True	(50,)	invscaling	1000	lbfgs	0.9643382352941178	0.95	0.957121212121212
tanh	0.1	True	(50,)	adaptive	500	lbfgs	0.9643382352941178	0.95	0.957121212121212
tanh	0.1	True	(50,)	adaptive	1000	lbfgs	0.9643382352941178	0.95	0.957121212121212
tanh	0.1	True	(50, 50)	constant	500	lbfgs	0.9643382352941178	0.95	0.957121212121212
logistic	0.1	True	(50, 50)	constant	1000	lbfgs	0.9643382352941178	0.95	0.957121212121212
logistic	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9643382352941178	0.95	0.957121212121212
logistic	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9643382352941178	0.95	0.957121212121212
tanh	0.1	True	(50, 50)	constant	1000	lbfgs	0.9643382352941178	0.95	0.957121212121212
