activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.001	True	(50,)	constant	500	lbfgs	0.9166666666666666	0.9452777777777778	0.9181547619047619
logistic	0.01	True	(50,)	constant	1000	lbfgs	0.9166666666666666	0.9452777777777778	0.9181547619047619
logistic	0.01	True	(50,)	constant	500	lbfgs	0.9166666666666666	0.9452777777777778	0.9181547619047619
logistic	0.01	True	(50,)	invscaling	1000	lbfgs	0.9166666666666666	0.9452777777777778	0.9181547619047619
logistic	0.001	True	(50,)	adaptive	1000	lbfgs	0.9166666666666666	0.9452777777777778	0.9181547619047619
logistic	0.01	True	(50,)	adaptive	500	lbfgs	0.9166666666666666	0.9452777777777778	0.9181547619047619
logistic	0.01	True	(50,)	adaptive	1000	lbfgs	0.9166666666666666	0.9452777777777778	0.9181547619047619
logistic	0.001	True	(50,)	adaptive	500	lbfgs	0.9166666666666666	0.9452777777777778	0.9181547619047619
logistic	0.001	True	(50,)	invscaling	1000	lbfgs	0.9166666666666666	0.9452777777777778	0.9181547619047619
logistic	0.01	True	(50,)	invscaling	500	lbfgs	0.9166666666666666	0.9452777777777778	0.9181547619047619
logistic	0.001	True	(50,)	constant	1000	lbfgs	0.9166666666666666	0.9452777777777778	0.9181547619047619
logistic	0.001	True	(50,)	invscaling	500	lbfgs	0.9166666666666666	0.9452777777777778	0.9181547619047619
relu	0.1	True	(100, 100)	constant	1000	lbfgs	0.9228571428571428	0.9355555555555556	0.9235119047619047
relu	0.1	True	(100,)	invscaling	1000	lbfgs	0.93	0.9355555555555556	0.9297619047619048
relu	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9161904761904761	0.9355555555555556	0.9172619047619047
relu	0.1	True	(100, 100)	constant	500	lbfgs	0.9228571428571428	0.9355555555555556	0.9235119047619047
relu	0.1	True	(100,)	adaptive	500	lbfgs	0.93	0.9355555555555556	0.9297619047619048
relu	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9161904761904761	0.9355555555555556	0.9172619047619047
relu	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9161904761904761	0.9355555555555556	0.9172619047619047
identity	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9161904761904761	0.9355555555555556	0.9172619047619047
identity	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9161904761904761	0.9355555555555556	0.9172619047619047
relu	0.1	True	(50, 50)	constant	500	lbfgs	0.9161904761904761	0.9355555555555556	0.9172619047619047
relu	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9228571428571428	0.9355555555555556	0.9235119047619047
identity	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9161904761904761	0.9355555555555556	0.9172619047619047
relu	0.1	True	(50, 50)	constant	1000	lbfgs	0.9161904761904761	0.9355555555555556	0.9172619047619047
identity	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9161904761904761	0.9355555555555556	0.9172619047619047
relu	0.1	True	(100,)	adaptive	1000	lbfgs	0.93	0.9355555555555556	0.9297619047619048
relu	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9228571428571428	0.9355555555555556	0.9235119047619047
relu	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9161904761904761	0.9355555555555556	0.9172619047619047
relu	0.1	True	(50,)	adaptive	1000	lbfgs	0.9228571428571428	0.9355555555555556	0.9235119047619047
relu	0.1	True	(50,)	constant	500	lbfgs	0.9228571428571428	0.9355555555555556	0.9235119047619047
relu	0.1	True	(50,)	constant	1000	lbfgs	0.9228571428571428	0.9355555555555556	0.9235119047619047
relu	0.1	True	(50,)	invscaling	500	lbfgs	0.9228571428571428	0.9355555555555556	0.9235119047619047
relu	0.1	True	(50,)	invscaling	1000	lbfgs	0.9228571428571428	0.9355555555555556	0.9235119047619047
identity	0.1	True	(100, 100)	constant	1000	lbfgs	0.9161904761904761	0.9355555555555556	0.9172619047619047
relu	0.1	True	(50,)	adaptive	500	lbfgs	0.9228571428571428	0.9355555555555556	0.9235119047619047
relu	0.1	True	(100,)	invscaling	500	lbfgs	0.93	0.9355555555555556	0.9297619047619048
relu	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9228571428571428	0.9355555555555556	0.9235119047619047
identity	0.1	True	(100, 100)	constant	500	lbfgs	0.9161904761904761	0.9355555555555556	0.9172619047619047
relu	0.1	True	(100,)	constant	500	lbfgs	0.93	0.9355555555555556	0.9297619047619048
relu	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9228571428571428	0.9355555555555556	0.9235119047619047
relu	0.1	True	(100,)	constant	1000	lbfgs	0.93	0.9355555555555556	0.9297619047619048
relu	0.001	True	(100, 100)	adaptive	1000	lbfgs	0.909047619047619	0.9355555555555555	0.9110119047619047
relu	0.001	True	(100, 100)	adaptive	500	lbfgs	0.909047619047619	0.9355555555555555	0.9110119047619047
relu	0.01	True	(100, 100)	constant	1000	lbfgs	0.909047619047619	0.9355555555555555	0.9110119047619047
relu	0.001	True	(100, 100)	invscaling	500	lbfgs	0.909047619047619	0.9355555555555555	0.9110119047619047
relu	0.001	True	(100, 100)	constant	1000	lbfgs	0.909047619047619	0.9355555555555555	0.9110119047619047
relu	0.001	True	(100, 100)	constant	500	lbfgs	0.909047619047619	0.9355555555555555	0.9110119047619047
relu	0.01	True	(100, 100)	adaptive	1000	lbfgs	0.909047619047619	0.9355555555555555	0.9110119047619047
relu	0.01	True	(100, 100)	adaptive	500	lbfgs	0.909047619047619	0.9355555555555555	0.9110119047619047
relu	0.01	True	(100, 100)	constant	500	lbfgs	0.909047619047619	0.9355555555555555	0.9110119047619047
relu	0.01	True	(100, 100)	invscaling	1000	lbfgs	0.909047619047619	0.9355555555555555	0.9110119047619047
relu	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.909047619047619	0.9355555555555555	0.9110119047619047
relu	0.01	True	(100, 100)	invscaling	500	lbfgs	0.909047619047619	0.9355555555555555	0.9110119047619047
logistic	0.001	True	(50, 50)	adaptive	1000	lbfgs	0.9023809523809524	0.9333333333333333	0.9047619047619048
logistic	0.001	True	(50, 50)	adaptive	500	lbfgs	0.9023809523809524	0.9333333333333333	0.9047619047619048
logistic	0.001	True	(50, 50)	invscaling	1000	lbfgs	0.9023809523809524	0.9333333333333333	0.9047619047619048
logistic	0.001	True	(50, 50)	invscaling	500	lbfgs	0.9023809523809524	0.9333333333333333	0.9047619047619048
logistic	0.001	True	(50, 50)	constant	1000	lbfgs	0.9023809523809524	0.9333333333333333	0.9047619047619048
logistic	0.001	True	(50, 50)	constant	500	lbfgs	0.9023809523809524	0.9333333333333333	0.9047619047619048
tanh	0.001	True	(100, 100)	adaptive	1000	lbfgs	0.909047619047619	0.925	0.9101190476190476
tanh	0.01	True	(100, 100)	adaptive	1000	lbfgs	0.909047619047619	0.925	0.9101190476190476
tanh	0.001	True	(100, 100)	constant	500	lbfgs	0.909047619047619	0.925	0.9101190476190476
tanh	0.001	True	(100, 100)	constant	1000	lbfgs	0.909047619047619	0.925	0.9101190476190476
tanh	0.001	True	(100, 100)	invscaling	500	lbfgs	0.909047619047619	0.925	0.9101190476190476
tanh	0.01	True	(100, 100)	constant	500	lbfgs	0.909047619047619	0.925	0.9101190476190476
tanh	0.01	True	(100, 100)	constant	1000	lbfgs	0.909047619047619	0.925	0.9101190476190476
tanh	0.01	True	(100, 100)	invscaling	500	lbfgs	0.909047619047619	0.925	0.9101190476190476
tanh	0.01	True	(100, 100)	invscaling	1000	lbfgs	0.909047619047619	0.925	0.9101190476190476
tanh	0.01	True	(100, 100)	adaptive	500	lbfgs	0.909047619047619	0.925	0.9101190476190476
tanh	0.001	True	(100, 100)	adaptive	500	lbfgs	0.909047619047619	0.925	0.9101190476190476
tanh	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.909047619047619	0.925	0.9101190476190476
tanh	0.1	True	(50, 50)	constant	1000	lbfgs	0.909047619047619	0.9230555555555556	0.9101190476190476
relu	0.001	True	(100,)	constant	1000	lbfgs	0.9019047619047619	0.9230555555555556	0.9038690476190476
logistic	0.1	True	(50,)	invscaling	1000	lbfgs	0.9228571428571428	0.9230555555555556	0.9226190476190477
tanh	0.1	True	(50,)	invscaling	1000	lbfgs	0.9157142857142857	0.9230555555555556	0.9163690476190476
logistic	0.1	True	(50,)	adaptive	1000	lbfgs	0.9228571428571428	0.9230555555555556	0.9226190476190477
tanh	0.1	True	(50,)	adaptive	500	lbfgs	0.9157142857142857	0.9230555555555556	0.9163690476190476
logistic	0.1	True	(50,)	adaptive	500	lbfgs	0.9228571428571428	0.9230555555555556	0.9226190476190477
tanh	0.1	True	(50,)	adaptive	1000	lbfgs	0.9157142857142857	0.9230555555555556	0.9163690476190476
logistic	0.1	True	(50,)	constant	500	lbfgs	0.9228571428571428	0.9230555555555556	0.9226190476190477
tanh	0.1	True	(100,)	constant	500	lbfgs	0.9228571428571428	0.9230555555555556	0.9226190476190477
relu	0.001	True	(100,)	constant	500	lbfgs	0.9019047619047619	0.9230555555555556	0.9038690476190476
tanh	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.909047619047619	0.9230555555555556	0.9101190476190476
relu	0.001	True	(100,)	invscaling	500	lbfgs	0.9019047619047619	0.9230555555555556	0.9038690476190476
tanh	0.1	True	(50, 50)	constant	500	lbfgs	0.909047619047619	0.9230555555555556	0.9101190476190476
tanh	0.1	True	(50, 50)	adaptive	500	lbfgs	0.909047619047619	0.9230555555555556	0.9101190476190476
relu	0.001	True	(100,)	invscaling	1000	lbfgs	0.9019047619047619	0.9230555555555556	0.9038690476190476
relu	0.001	True	(100,)	adaptive	500	lbfgs	0.9019047619047619	0.9230555555555556	0.9038690476190476
tanh	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.909047619047619	0.9230555555555556	0.9101190476190476
relu	0.001	True	(100,)	adaptive	1000	lbfgs	0.9019047619047619	0.9230555555555556	0.9038690476190476
