activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
relu	0.1	True	(100, 100)	adaptive	500	lbfgs	0.950952380952381	0.9675	0.9511904761904763
relu	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.950952380952381	0.9675	0.9511904761904763
relu	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.950952380952381	0.9675	0.9511904761904763
relu	0.1	True	(100, 100)	invscaling	500	lbfgs	0.950952380952381	0.9675	0.9511904761904763
relu	0.1	True	(100, 100)	constant	1000	lbfgs	0.950952380952381	0.9675	0.9511904761904763
relu	0.1	True	(100, 100)	constant	500	lbfgs	0.950952380952381	0.9675	0.9511904761904763
logistic	0.01	True	(100, 100)	constant	1000	adam	0.7776190476190477	0.9583333333333334	0.7919642857142857
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.7776190476190477	0.9583333333333334	0.7919642857142857
logistic	0.001	True	(100, 100)	constant	1000	adam	0.7776190476190477	0.9583333333333334	0.7919642857142857
logistic	0.01	True	(100, 100)	constant	500	adam	0.7776190476190477	0.9583333333333334	0.7919642857142857
logistic	0.001	True	(100, 100)	constant	500	adam	0.7776190476190477	0.9583333333333334	0.7919642857142857
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.7776190476190477	0.9583333333333334	0.7919642857142857
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.7776190476190477	0.9583333333333334	0.7919642857142857
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.7776190476190477	0.9583333333333334	0.7919642857142857
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.7776190476190477	0.9583333333333334	0.7919642857142857
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.7776190476190477	0.9583333333333334	0.7919642857142857
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.7776190476190477	0.9583333333333334	0.7919642857142857
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.7776190476190477	0.9583333333333334	0.7919642857142857
identity	0.1	True	(100,)	constant	1000	lbfgs	0.9438095238095239	0.9550000000000001	0.944047619047619
relu	0.1	True	(50,)	invscaling	500	lbfgs	0.9438095238095239	0.9550000000000001	0.944047619047619
relu	0.1	True	(50,)	adaptive	1000	lbfgs	0.9438095238095239	0.9550000000000001	0.944047619047619
relu	0.1	True	(50, 50)	invscaling	500	lbfgs	0.950952380952381	0.9550000000000001	0.950297619047619
relu	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.950952380952381	0.9550000000000001	0.950297619047619
identity	0.1	True	(100,)	invscaling	500	lbfgs	0.9438095238095239	0.9550000000000001	0.944047619047619
relu	0.1	True	(50, 50)	adaptive	500	lbfgs	0.950952380952381	0.9550000000000001	0.950297619047619
