C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
100.0	0.01	rbf	0.8674242424242424	1.0	0.8425
10.0	0.01	rbf	0.8674242424242424	1.0	0.8425
1000.0	0.01	rbf	0.8674242424242424	1.0	0.8425
0.01	0.01	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
1.0	100.0	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
1.0	1000.0	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
10.0	0.1	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
10.0	1.0	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
10.0	100.0	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
10.0	1000.0	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
100.0	0.01	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
100.0	0.1	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
1.0	0.1	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
100.0	1.0	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
100.0	100.0	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
100.0	1000.0	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
1000.0	0.01	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
1000.0	0.1	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
1000.0	1.0	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
1000.0	100.0	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
1000.0	1000.0	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
1.0	1.0	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
10.0	0.01	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
0.1	0.1	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
0.01	0.1	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
1.0	0.01	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
0.01	1.0	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
0.1	1000.0	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
0.01	1000.0	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
0.1	0.01	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
0.1	100.0	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
0.01	100.0	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
0.1	1.0	linear	0.956060606060606	0.9514285714285714	0.9561904761904764
1.0	0.01	rbf	0.8583333333333334	0.9	0.8324999999999999
100.0	1000.0	rbf	0.5984848484848485	0.0	0.5
0.01	1000.0	rbf	0.5984848484848485	0.0	0.5
100.0	100.0	rbf	0.5984848484848485	0.0	0.5
0.01	1.0	rbf	0.5984848484848485	0.0	0.5
0.01	100.0	rbf	0.5984848484848485	0.0	0.5
1000.0	0.1	rbf	0.5984848484848485	0.0	0.5
1000.0	1.0	rbf	0.5984848484848485	0.0	0.5
0.01	0.1	rbf	0.5984848484848485	0.0	0.5
1000.0	100.0	rbf	0.5984848484848485	0.0	0.5
100.0	1.0	rbf	0.5984848484848485	0.0	0.5
1.0	0.1	rbf	0.5984848484848485	0.0	0.5
100.0	0.1	rbf	0.5984848484848485	0.0	0.5
0.1	0.01	rbf	0.5984848484848485	0.0	0.5
0.1	0.1	rbf	0.5984848484848485	0.0	0.5
10.0	1000.0	rbf	0.5984848484848485	0.0	0.5
10.0	100.0	rbf	0.5984848484848485	0.0	0.5
0.1	1.0	rbf	0.5984848484848485	0.0	0.5
10.0	1.0	rbf	0.5984848484848485	0.0	0.5
10.0	0.1	rbf	0.5984848484848485	0.0	0.5
0.1	100.0	rbf	0.5984848484848485	0.0	0.5
0.01	0.01	rbf	0.5984848484848485	0.0	0.5
1.0	1000.0	rbf	0.5984848484848485	0.0	0.5
0.1	1000.0	rbf	0.5984848484848485	0.0	0.5
1.0	100.0	rbf	0.5984848484848485	0.0	0.5
1.0	1.0	rbf	0.5984848484848485	0.0	0.5
1000.0	1000.0	rbf	0.5984848484848485	0.0	0.5
