colsample_bytree	eval_metric	gamma	learning_rate	max_depth	min_child_weight	n_estimators	objective	subsample	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.5	auc	0	0.01	4	1	200	binary:logitraw	0.5	0.9734848484848484	0.9833333333333334	0.9716666666666667
0.5	error	0	0.01	4	1	200	binary:logitraw	0.5	0.9734848484848484	0.9833333333333334	0.9716666666666667
0.5	auc	0	0.01	8	1	200	binary:logitraw	0.5	0.9734848484848484	0.9833333333333334	0.9716666666666667
0.5	auc	0	0.01	6	1	200	binary:logitraw	0.5	0.9734848484848484	0.9833333333333334	0.9716666666666667
0.5	error	0	0.01	6	1	200	binary:logitraw	0.5	0.9734848484848484	0.9833333333333334	0.9716666666666667
0.5	error	0	0.01	8	1	200	binary:logitraw	0.5	0.9734848484848484	0.9833333333333334	0.9716666666666667
0.5	error	0	0.2	8	3	200	binary:logitraw	0.5	0.9643939393939395	0.9800000000000001	0.9628571428571429
0.5	auc	0	0.01	8	3	600	binary:logitraw	0.5	0.9734848484848484	0.9800000000000001	0.9728571428571428
0.5	error	0	0.2	8	3	600	binary:logitraw	0.5	0.9734848484848484	0.9800000000000001	0.9728571428571428
0.5	auc	0	0.01	8	3	200	binary:logitraw	0.5	0.9734848484848484	0.9800000000000001	0.9728571428571428
0.5	auc	0	0.01	6	3	600	binary:logitraw	0.5	0.9734848484848484	0.9800000000000001	0.9728571428571428
0.5	auc	0	0.01	8	3	1000	binary:logitraw	0.5	0.9734848484848484	0.9800000000000001	0.9728571428571428
0.5	error	0	0.2	4	3	200	binary:logitraw	0.5	0.9643939393939395	0.9800000000000001	0.9628571428571429
0.5	auc	0	0.2	4	3	200	binary:logitraw	0.5	0.9643939393939395	0.9800000000000001	0.9628571428571429
0.5	error	0	0.01	8	3	600	binary:logitraw	0.5	0.9734848484848484	0.9800000000000001	0.9728571428571428
0.5	auc	0	0.2	4	3	600	binary:logitraw	0.5	0.9734848484848484	0.9800000000000001	0.9728571428571428
0.5	error	0	0.01	8	3	200	binary:logitraw	0.5	0.9734848484848484	0.9800000000000001	0.9728571428571428
0.5	error	0	0.2	6	3	600	binary:logitraw	0.5	0.9734848484848484	0.9800000000000001	0.9728571428571428
0.5	auc	0	0.01	6	3	1000	binary:logitraw	0.5	0.9734848484848484	0.9800000000000001	0.9728571428571428
0.5	error	0	0.01	8	3	1000	binary:logitraw	0.5	0.9734848484848484	0.9800000000000001	0.9728571428571428
0.5	error	0	0.01	6	3	1000	binary:logitraw	0.5	0.9734848484848484	0.9800000000000001	0.9728571428571428
0.5	error	0	0.2	4	3	600	binary:logitraw	0.5	0.9734848484848484	0.9800000000000001	0.9728571428571428
0.5	error	0	0.01	4	3	1000	binary:logitraw	0.5	0.9734848484848484	0.9800000000000001	0.9728571428571428
0.5	auc	0	0.2	8	3	600	binary:logitraw	0.5	0.9734848484848484	0.9800000000000001	0.9728571428571428
0.5	error	0	0.01	4	3	200	binary:logitraw	0.5	0.9734848484848484	0.9800000000000001	0.9728571428571428
0.5	auc	0	0.2	8	3	200	binary:logitraw	0.5	0.9643939393939395	0.9800000000000001	0.9628571428571429
0.5	auc	0	0.01	4	3	200	binary:logitraw	0.5	0.9734848484848484	0.9800000000000001	0.9728571428571428
