colsample_bytree	eval_metric	gamma	learning_rate	max_depth	min_child_weight	n_estimators	objective	subsample	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.5	auc	0	0.01	8	3	600	binary:logitraw	0.5	0.9279202279202279	0.9916666666666666	0.9252747252747252
1.0	auc	0	0.01	4	3	600	binary:logitraw	0.5	0.9279202279202279	0.9916666666666666	0.9252747252747252
1.0	error	0	0.01	6	1	1000	binary:logitraw	0.5	0.9433048433048434	0.9916666666666666	0.9409798534798535
0.5	error	0	0.01	4	3	600	binary:logitraw	0.5	0.9317663817663817	0.9916666666666666	0.929441391941392
0.5	auc	0	0.01	6	3	600	binary:logitraw	0.5	0.9279202279202279	0.9916666666666666	0.9252747252747252
0.5	error	0	0.01	8	3	600	binary:logitraw	0.5	0.9279202279202279	0.9916666666666666	0.9252747252747252
1.0	auc	0	0.01	4	1	1000	binary:logitraw	0.5	0.9433048433048434	0.9916666666666666	0.9409798534798535
1.0	error	0	0.01	8	1	1000	binary:logitraw	0.5	0.9433048433048434	0.9916666666666666	0.9409798534798535
1.0	error	0	0.01	4	3	600	binary:logitraw	0.5	0.9279202279202279	0.9916666666666666	0.9252747252747252
1.0	error	0	0.01	4	1	1000	binary:logitraw	0.5	0.9433048433048434	0.9916666666666666	0.9409798534798535
1.0	error	0	0.01	6	3	600	binary:logitraw	0.5	0.9279202279202279	0.9916666666666666	0.9252747252747252
1.0	auc	0	0.01	8	3	600	binary:logitraw	0.5	0.9279202279202279	0.9916666666666666	0.9252747252747252
0.5	error	0	0.01	6	3	600	binary:logitraw	0.5	0.9279202279202279	0.9916666666666666	0.9252747252747252
1.0	auc	0	0.01	6	3	600	binary:logitraw	0.5	0.9279202279202279	0.9916666666666666	0.9252747252747252
1.0	auc	0	0.01	8	1	1000	binary:logitraw	0.5	0.9433048433048434	0.9916666666666666	0.9409798534798535
1.0	error	0	0.01	8	3	600	binary:logitraw	0.5	0.9279202279202279	0.9916666666666666	0.9252747252747252
1.0	auc	0	0.01	6	1	1000	binary:logitraw	0.5	0.9433048433048434	0.9916666666666666	0.9409798534798535
0.5	auc	0	0.01	4	3	600	binary:logitraw	0.5	0.9317663817663817	0.9916666666666666	0.929441391941392
0.5	error	0	0.01	8	1	1000	binary:logitraw	0.5	0.9509971509971511	0.9846153846153847	0.9499084249084249
0.5	error	0	0.01	6	1	1000	binary:logitraw	0.5	0.9509971509971511	0.9846153846153847	0.9499084249084249
0.5	auc	0	0.2	4	3	1000	binary:logitraw	1.0	0.9622507122507123	0.9846153846153847	0.9617673992673993
0.5	error	0	0.01	8	1	600	binary:logitraw	0.5	0.9394586894586894	0.9846153846153847	0.9374084249084248
0.5	auc	0	0.01	8	1	1000	binary:logitraw	0.5	0.9509971509971511	0.9846153846153847	0.9499084249084249
0.5	error	0	0.01	6	1	600	binary:logitraw	0.5	0.9394586894586894	0.9846153846153847	0.9374084249084248
0.5	auc	0	0.01	8	3	1000	binary:logitraw	1.0	0.9393162393162393	0.9846153846153847	0.9374084249084248
0.5	error	0	0.01	4	3	1000	binary:logitraw	1.0	0.9356125356125358	0.9846153846153847	0.933562271062271
0.5	error	0	0.01	6	3	1000	binary:logitraw	1.0	0.9393162393162393	0.9846153846153847	0.9374084249084248
0.5	auc	0	0.2	4	3	600	binary:logitraw	1.0	0.9622507122507123	0.9846153846153847	0.9617673992673993
0.5	error	0	0.01	8	3	1000	binary:logitraw	1.0	0.9393162393162393	0.9846153846153847	0.9374084249084248
0.5	auc	0	0.01	6	1	600	binary:logitraw	0.5	0.9394586894586894	0.9846153846153847	0.9374084249084248
0.5	auc	0	0.01	8	1	600	binary:logitraw	0.5	0.9394586894586894	0.9846153846153847	0.9374084249084248
0.5	auc	0	0.01	4	1	1000	binary:logitraw	0.5	0.9509971509971511	0.9846153846153847	0.9499084249084249
0.5	auc	0	0.01	6	3	1000	binary:logitraw	1.0	0.9393162393162393	0.9846153846153847	0.9374084249084248
0.5	error	0	0.2	4	3	600	binary:logitraw	1.0	0.9622507122507123	0.9846153846153847	0.9617673992673993
0.5	error	0	0.01	4	1	1000	binary:logitraw	0.5	0.9509971509971511	0.9846153846153847	0.9499084249084249
0.5	auc	0	0.01	4	3	1000	binary:logitraw	1.0	0.9356125356125358	0.9846153846153847	0.933562271062271
0.5	auc	0	0.01	6	1	1000	binary:logitraw	0.5	0.9509971509971511	0.9846153846153847	0.9499084249084249
0.5	error	0	0.2	4	3	1000	binary:logitraw	1.0	0.9622507122507123	0.9846153846153847	0.9617673992673993
1.0	error	0	0.01	6	3	1000	binary:logitraw	0.5	0.9316239316239315	0.9839743589743589	0.9297161172161171
0.5	error	0	0.01	6	3	1000	binary:logitraw	0.5	0.9279202279202279	0.9839743589743589	0.9258699633699633
0.5	error	0	0.01	8	3	1000	binary:logitraw	0.5	0.9279202279202279	0.9839743589743589	0.9258699633699633
1.0	error	0	0.01	8	3	1000	binary:logitraw	0.5	0.9316239316239315	0.9839743589743589	0.9297161172161171
1.0	auc	0	0.01	8	3	1000	binary:logitraw	0.5	0.9316239316239315	0.9839743589743589	0.9297161172161171
1.0	auc	0	0.01	4	3	1000	binary:logitraw	0.5	0.9316239316239315	0.9839743589743589	0.9297161172161171
0.5	auc	0	0.01	4	3	1000	binary:logitraw	0.5	0.9279202279202279	0.9839743589743589	0.9258699633699633
1.0	auc	0	0.01	6	3	1000	binary:logitraw	0.5	0.9316239316239315	0.9839743589743589	0.9297161172161171
1.0	error	0	0.01	4	3	1000	binary:logitraw	0.5	0.9316239316239315	0.9839743589743589	0.9297161172161171
0.5	auc	0	0.01	6	3	1000	binary:logitraw	0.5	0.9279202279202279	0.9839743589743589	0.9258699633699633
0.5	error	0	0.01	4	3	1000	binary:logitraw	0.5	0.9279202279202279	0.9839743589743589	0.9258699633699633
0.5	auc	0	0.01	8	3	1000	binary:logitraw	0.5	0.9279202279202279	0.9839743589743589	0.9258699633699633
0.5	error	0	0.01	6	3	200	binary:logitraw	0.5	0.8705128205128204	0.9833333333333334	0.8646520146520146
0.5	error	0	0.01	8	3	200	binary:logitraw	0.5	0.8705128205128204	0.9833333333333334	0.8646520146520146
0.5	auc	0	0.01	6	3	200	binary:logitraw	0.5	0.8705128205128204	0.9833333333333334	0.8646520146520146
0.5	auc	0	0.01	8	3	200	binary:logitraw	0.5	0.8705128205128204	0.9833333333333334	0.8646520146520146
1.0	auc	0	0.01	8	1	600	binary:logitraw	0.5	0.9394586894586894	0.9833333333333332	0.9371336996336996
0.5	auc	0	0.2	4	1	200	binary:logitraw	1.0	0.9545584045584047	0.9833333333333332	0.9534340659340659
1.0	auc	0	0.01	6	1	600	binary:logitraw	0.5	0.9394586894586894	0.9833333333333332	0.9371336996336996
1.0	error	0	0.01	6	1	600	binary:logitraw	0.5	0.9394586894586894	0.9833333333333332	0.9371336996336996
1.0	error	0	0.01	8	1	600	binary:logitraw	0.5	0.9394586894586894	0.9833333333333332	0.9371336996336996
0.5	error	0	0.2	4	1	200	binary:logitraw	1.0	0.9545584045584047	0.9833333333333332	0.9534340659340659
1.0	error	0	0.01	4	1	600	binary:logitraw	0.5	0.9356125356125358	0.9825757575757577	0.9332875457875458
1.0	auc	0	0.01	4	1	600	binary:logitraw	0.5	0.9356125356125358	0.9825757575757577	0.9332875457875458
0.5	auc	0	0.01	4	3	200	binary:logitraw	0.5	0.8666666666666666	0.9818181818181818	0.8604853479853478
0.5	error	0	0.01	4	3	200	binary:logitraw	0.5	0.8666666666666666	0.9818181818181818	0.8604853479853478
1.0	auc	0	0.01	6	1	200	binary:logitraw	0.5	0.9012820512820513	0.978409090909091	0.8973901098901098
1.0	auc	0	0.01	4	1	200	binary:logitraw	0.5	0.8975783475783476	0.978409090909091	0.893543956043956
1.0	auc	0	0.01	8	1	200	binary:logitraw	0.5	0.9012820512820513	0.978409090909091	0.8973901098901098
1.0	error	0	0.01	8	1	200	binary:logitraw	0.5	0.9012820512820513	0.978409090909091	0.8973901098901098
1.0	error	0	0.01	4	1	200	binary:logitraw	0.5	0.8975783475783476	0.978409090909091	0.893543956043956
1.0	error	0	0.01	6	1	200	binary:logitraw	0.5	0.9012820512820513	0.978409090909091	0.8973901098901098
0.5	error	0	0.2	4	3	200	binary:logitraw	1.0	0.9545584045584047	0.976923076923077	0.9543498168498168
0.5	error	0	0.2	6	1	600	binary:logitraw	1.0	0.9547008547008546	0.976923076923077	0.9543498168498168
