C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
100.0	0.1	rbf	0.746376811594203	1.0	0.6844444444444444
1000.0	0.1	rbf	0.746376811594203	1.0	0.6844444444444444
10.0	0.1	rbf	0.746376811594203	1.0	0.6844444444444444
1.0	0.1	rbf	0.7246376811594203	1.0	0.6572222222222222
1000.0	1.0	linear	0.9871376811594204	0.99	0.9858730158730159
1000.0	100.0	linear	0.9871376811594204	0.99	0.9858730158730159
1.0	1000.0	linear	0.9871376811594204	0.99	0.9858730158730159
10.0	0.01	rbf	0.9871376811594204	0.99	0.9858730158730159
10.0	0.1	linear	0.9871376811594204	0.99	0.9858730158730159
1000.0	1000.0	linear	0.9871376811594204	0.99	0.9858730158730159
10.0	1.0	linear	0.9871376811594204	0.99	0.9858730158730159
10.0	100.0	linear	0.9871376811594204	0.99	0.9858730158730159
10.0	1000.0	linear	0.9871376811594204	0.99	0.9858730158730159
100.0	0.01	linear	0.9871376811594204	0.99	0.9858730158730159
100.0	0.01	rbf	0.9871376811594204	0.99	0.9858730158730159
100.0	0.1	linear	0.9871376811594204	0.99	0.9858730158730159
1.0	100.0	linear	0.9871376811594204	0.99	0.9858730158730159
100.0	1.0	linear	0.9871376811594204	0.99	0.9858730158730159
100.0	100.0	linear	0.9871376811594204	0.99	0.9858730158730159
100.0	1000.0	linear	0.9871376811594204	0.99	0.9858730158730159
1000.0	0.01	linear	0.9871376811594204	0.99	0.9858730158730159
1000.0	0.01	rbf	0.9871376811594204	0.99	0.9858730158730159
1000.0	0.1	linear	0.9871376811594204	0.99	0.9858730158730159
0.01	0.01	linear	0.9829710144927535	0.99	0.9808730158730159
10.0	0.01	linear	0.9871376811594204	0.99	0.9858730158730159
0.1	0.01	linear	0.9871376811594204	0.99	0.9858730158730159
0.01	1000.0	linear	0.9829710144927535	0.99	0.9808730158730159
0.01	0.1	linear	0.9829710144927535	0.99	0.9808730158730159
1.0	0.1	linear	0.9871376811594204	0.99	0.9858730158730159
1.0	0.01	rbf	0.9871376811594204	0.99	0.9858730158730159
1.0	0.01	linear	0.9871376811594204	0.99	0.9858730158730159
0.1	0.1	linear	0.9871376811594204	0.99	0.9858730158730159
0.1	1000.0	linear	0.9871376811594204	0.99	0.9858730158730159
0.01	1.0	linear	0.9829710144927535	0.99	0.9808730158730159
1.0	1.0	linear	0.9871376811594204	0.99	0.9858730158730159
0.01	100.0	linear	0.9829710144927535	0.99	0.9808730158730159
0.1	100.0	linear	0.9871376811594204	0.99	0.9858730158730159
0.1	1.0	linear	0.9871376811594204	0.99	0.9858730158730159
0.01	1000.0	rbf	0.5992753623188406	0.0	0.5
100.0	1000.0	rbf	0.5992753623188406	0.0	0.5
1.0	1.0	rbf	0.5992753623188406	0.0	0.5
0.01	100.0	rbf	0.5992753623188406	0.0	0.5
100.0	100.0	rbf	0.5992753623188406	0.0	0.5
1000.0	1.0	rbf	0.5992753623188406	0.0	0.5
0.01	0.1	rbf	0.5992753623188406	0.0	0.5
1000.0	100.0	rbf	0.5992753623188406	0.0	0.5
0.01	1.0	rbf	0.5992753623188406	0.0	0.5
0.1	0.1	rbf	0.5992753623188406	0.0	0.5
100.0	1.0	rbf	0.5992753623188406	0.0	0.5
0.1	0.01	rbf	0.5992753623188406	0.0	0.5
0.1	1.0	rbf	0.5992753623188406	0.0	0.5
10.0	1000.0	rbf	0.5992753623188406	0.0	0.5
10.0	100.0	rbf	0.5992753623188406	0.0	0.5
0.1	100.0	rbf	0.5992753623188406	0.0	0.5
10.0	1.0	rbf	0.5992753623188406	0.0	0.5
0.1	1000.0	rbf	0.5992753623188406	0.0	0.5
0.01	0.01	rbf	0.5992753623188406	0.0	0.5
1.0	1000.0	rbf	0.5992753623188406	0.0	0.5
1.0	100.0	rbf	0.5992753623188406	0.0	0.5
1000.0	1000.0	rbf	0.5992753623188406	0.0	0.5
