activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.01	True	(100,)	constant	500	adam	0.8713768115942028	1.0	0.8422222222222222
logistic	0.1	True	(100, 100)	adaptive	1000	adam	0.8492753623188406	1.0	0.8144444444444444
logistic	0.01	True	(100,)	adaptive	500	adam	0.8713768115942028	1.0	0.8422222222222222
logistic	0.01	True	(100,)	invscaling	1000	adam	0.8713768115942028	1.0	0.8422222222222222
logistic	0.01	True	(100,)	invscaling	500	adam	0.8713768115942028	1.0	0.8422222222222222
logistic	0.001	True	(100, 100)	constant	500	adam	0.8449275362318842	1.0	0.8088888888888889
logistic	0.001	True	(100, 100)	constant	1000	adam	0.8449275362318842	1.0	0.8088888888888889
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.8449275362318842	1.0	0.8088888888888889
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.8449275362318842	1.0	0.8088888888888889
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.8449275362318842	1.0	0.8088888888888889
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.8449275362318842	1.0	0.8088888888888889
logistic	0.01	True	(100,)	constant	1000	adam	0.8713768115942028	1.0	0.8422222222222222
logistic	0.01	True	(100, 100)	constant	1000	adam	0.8449275362318842	1.0	0.8088888888888889
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.8449275362318842	1.0	0.8088888888888889
logistic	0.01	True	(100, 100)	constant	500	adam	0.8449275362318842	1.0	0.8088888888888889
logistic	0.01	True	(100,)	adaptive	1000	adam	0.8713768115942028	1.0	0.8422222222222222
logistic	0.1	True	(100, 100)	adaptive	500	adam	0.8492753623188406	1.0	0.8144444444444444
logistic	0.1	True	(100,)	adaptive	500	adam	0.8713768115942028	1.0	0.8422222222222222
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.8449275362318842	1.0	0.8088888888888889
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.8449275362318842	1.0	0.8088888888888889
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.8449275362318842	1.0	0.8088888888888889
logistic	0.1	True	(100,)	constant	500	adam	0.8713768115942028	1.0	0.8422222222222222
logistic	0.1	True	(100,)	constant	1000	adam	0.8713768115942028	1.0	0.8422222222222222
logistic	0.1	True	(100,)	invscaling	500	adam	0.8713768115942028	1.0	0.8422222222222222
logistic	0.1	True	(100,)	invscaling	1000	adam	0.8713768115942028	1.0	0.8422222222222222
logistic	0.1	True	(100,)	adaptive	1000	adam	0.8713768115942028	1.0	0.8422222222222222
logistic	0.1	True	(100, 100)	invscaling	1000	adam	0.8492753623188406	1.0	0.8144444444444444
logistic	0.1	True	(100, 100)	constant	500	adam	0.8492753623188406	1.0	0.8144444444444444
logistic	0.1	True	(100, 100)	constant	1000	adam	0.8492753623188406	1.0	0.8144444444444444
logistic	0.1	True	(100, 100)	invscaling	500	adam	0.8492753623188406	1.0	0.8144444444444444
logistic	0.001	True	(100,)	adaptive	1000	adam	0.8670289855072463	0.9888888888888889	0.8386507936507938
logistic	0.001	True	(100,)	adaptive	500	adam	0.8670289855072463	0.9888888888888889	0.8386507936507938
logistic	0.001	True	(100,)	invscaling	1000	adam	0.8670289855072463	0.9888888888888889	0.8386507936507938
logistic	0.001	True	(100,)	invscaling	500	adam	0.8670289855072463	0.9888888888888889	0.8386507936507938
logistic	0.001	True	(100,)	constant	500	adam	0.8670289855072463	0.9888888888888889	0.8386507936507938
logistic	0.001	True	(100,)	constant	1000	adam	0.8670289855072463	0.9888888888888889	0.8386507936507938
logistic	0.001	True	(50,)	constant	1000	adam	0.8664855072463767	0.9714285714285715	0.837863247863248
logistic	0.01	True	(50,)	adaptive	1000	adam	0.8664855072463767	0.9714285714285715	0.837863247863248
logistic	0.01	True	(50,)	adaptive	500	adam	0.8664855072463767	0.9714285714285715	0.837863247863248
logistic	0.01	True	(50,)	invscaling	1000	adam	0.8664855072463767	0.9714285714285715	0.837863247863248
logistic	0.01	True	(50,)	invscaling	500	adam	0.8664855072463767	0.9714285714285715	0.837863247863248
logistic	0.01	True	(50,)	constant	1000	adam	0.8664855072463767	0.9714285714285715	0.837863247863248
logistic	0.01	True	(50,)	constant	500	adam	0.8664855072463767	0.9714285714285715	0.837863247863248
logistic	0.1	True	(50,)	adaptive	1000	adam	0.8708333333333333	0.9714285714285715	0.8434188034188035
logistic	0.1	True	(50,)	adaptive	500	adam	0.8708333333333333	0.9714285714285715	0.8434188034188035
logistic	0.1	True	(50,)	invscaling	1000	adam	0.8708333333333333	0.9714285714285715	0.8434188034188035
logistic	0.001	True	(50,)	constant	500	adam	0.8664855072463767	0.9714285714285715	0.837863247863248
logistic	0.1	True	(50,)	constant	500	adam	0.8708333333333333	0.9714285714285715	0.8434188034188035
logistic	0.001	True	(50,)	invscaling	500	adam	0.8664855072463767	0.9714285714285715	0.837863247863248
logistic	0.1	True	(50,)	constant	1000	adam	0.8708333333333333	0.9714285714285715	0.8434188034188035
logistic	0.001	True	(50,)	invscaling	1000	adam	0.8664855072463767	0.9714285714285715	0.837863247863248
logistic	0.1	True	(50,)	invscaling	500	adam	0.8708333333333333	0.9714285714285715	0.8434188034188035
logistic	0.001	True	(50,)	adaptive	1000	adam	0.8664855072463767	0.9714285714285715	0.837863247863248
logistic	0.001	True	(50,)	adaptive	500	adam	0.8664855072463767	0.9714285714285715	0.837863247863248
tanh	0.01	True	(100, 100)	adaptive	1000	lbfgs	0.9353260869565219	0.9352777777777778	0.9307936507936507
tanh	0.01	True	(100, 100)	adaptive	500	lbfgs	0.9353260869565219	0.9352777777777778	0.9307936507936507
tanh	0.01	True	(100, 100)	invscaling	1000	lbfgs	0.9353260869565219	0.9352777777777778	0.9307936507936507
tanh	0.01	True	(100, 100)	constant	1000	lbfgs	0.9353260869565219	0.9352777777777778	0.9307936507936507
tanh	0.01	True	(100, 100)	invscaling	500	lbfgs	0.9353260869565219	0.9352777777777778	0.9307936507936507
tanh	0.01	True	(100, 100)	constant	500	lbfgs	0.9353260869565219	0.9352777777777778	0.9307936507936507
tanh	0.001	True	(50, 50)	constant	1000	lbfgs	0.9355072463768117	0.9318181818181819	0.9333333333333332
tanh	0.001	True	(50, 50)	adaptive	1000	lbfgs	0.9355072463768117	0.9318181818181819	0.9333333333333332
tanh	0.001	True	(50, 50)	adaptive	500	lbfgs	0.9355072463768117	0.9318181818181819	0.9333333333333332
tanh	0.001	True	(50, 50)	invscaling	1000	lbfgs	0.9355072463768117	0.9318181818181819	0.9333333333333332
tanh	0.001	True	(50, 50)	invscaling	500	lbfgs	0.9355072463768117	0.9318181818181819	0.9333333333333332
tanh	0.001	True	(50, 50)	constant	500	lbfgs	0.9355072463768117	0.9318181818181819	0.9333333333333332
logistic	0.001	True	(50, 50)	adaptive	500	lbfgs	0.9311594202898551	0.9207070707070708	0.9289316239316239
logistic	0.001	True	(50, 50)	constant	500	lbfgs	0.9311594202898551	0.9207070707070708	0.9289316239316239
logistic	0.001	True	(50, 50)	invscaling	1000	lbfgs	0.9311594202898551	0.9207070707070708	0.9289316239316239
logistic	0.001	True	(50, 50)	invscaling	500	lbfgs	0.9311594202898551	0.9207070707070708	0.9289316239316239
logistic	0.001	True	(50, 50)	constant	1000	lbfgs	0.9311594202898551	0.9207070707070708	0.9289316239316239
logistic	0.001	True	(50, 50)	adaptive	1000	lbfgs	0.9311594202898551	0.9207070707070708	0.9289316239316239
tanh	0.01	True	(100,)	invscaling	500	lbfgs	0.9355072463768117	0.9193939393939393	0.9342063492063492
tanh	0.01	True	(100,)	invscaling	1000	lbfgs	0.9355072463768117	0.9193939393939393	0.9342063492063492
tanh	0.01	True	(100,)	adaptive	500	lbfgs	0.9355072463768117	0.9193939393939393	0.9342063492063492
tanh	0.01	True	(100,)	adaptive	1000	lbfgs	0.9355072463768117	0.9193939393939393	0.9342063492063492
tanh	0.01	True	(100,)	constant	1000	lbfgs	0.9355072463768117	0.9193939393939393	0.9342063492063492
tanh	0.01	True	(100,)	constant	500	lbfgs	0.9355072463768117	0.9193939393939393	0.9342063492063492
tanh	0.001	True	(100, 100)	constant	500	lbfgs	0.9266304347826086	0.9189141414141414	0.9236507936507937
tanh	0.001	True	(100, 100)	constant	1000	lbfgs	0.9266304347826086	0.9189141414141414	0.9236507936507937
tanh	0.001	True	(100, 100)	invscaling	500	lbfgs	0.9266304347826086	0.9189141414141414	0.9236507936507937
tanh	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.9266304347826086	0.9189141414141414	0.9236507936507937
tanh	0.001	True	(100, 100)	adaptive	500	lbfgs	0.9266304347826086	0.9189141414141414	0.9236507936507937
tanh	0.001	True	(100, 100)	adaptive	1000	lbfgs	0.9266304347826086	0.9189141414141414	0.9236507936507937
relu	0.1	True	(100,)	adaptive	500	lbfgs	0.9353260869565216	0.9181196581196582	0.9373015873015872
relu	0.1	True	(100,)	adaptive	1000	lbfgs	0.9353260869565216	0.9181196581196582	0.9373015873015872
relu	0.1	True	(100,)	constant	500	lbfgs	0.9353260869565216	0.9181196581196582	0.9373015873015872
relu	0.1	True	(100,)	constant	1000	lbfgs	0.9353260869565216	0.9181196581196582	0.9373015873015872
relu	0.1	True	(100,)	invscaling	500	lbfgs	0.9353260869565216	0.9181196581196582	0.9373015873015872
relu	0.1	True	(100,)	invscaling	1000	lbfgs	0.9353260869565216	0.9181196581196582	0.9373015873015872
tanh	0.001	True	(100,)	constant	500	lbfgs	0.931340579710145	0.9177777777777777	0.9292063492063491
tanh	0.001	True	(100,)	invscaling	1000	lbfgs	0.931340579710145	0.9177777777777777	0.9292063492063491
tanh	0.001	True	(100,)	constant	1000	lbfgs	0.931340579710145	0.9177777777777777	0.9292063492063491
