activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
relu	0.1	True	(100, 100)	adaptive	500	adam	0.9554761904761904	1.0	0.9309523809523809
relu	0.01	True	(100, 100)	constant	500	adam	0.9554761904761904	1.0	0.9309523809523809
relu	0.001	True	(100, 100)	invscaling	500	adam	0.9554761904761904	1.0	0.9309523809523809
relu	0.001	True	(100, 100)	invscaling	1000	adam	0.9554761904761904	1.0	0.9309523809523809
relu	0.1	True	(100, 100)	invscaling	500	adam	0.9554761904761904	1.0	0.9309523809523809
relu	0.1	True	(100, 100)	constant	500	adam	0.9554761904761904	1.0	0.9309523809523809
relu	0.001	True	(100, 100)	adaptive	500	adam	0.9554761904761904	1.0	0.9309523809523809
relu	0.1	True	(100, 100)	invscaling	1000	adam	0.9554761904761904	1.0	0.9309523809523809
relu	0.001	True	(100, 100)	constant	500	adam	0.9554761904761904	1.0	0.9309523809523809
relu	0.1	True	(100, 100)	constant	1000	adam	0.9554761904761904	1.0	0.9309523809523809
relu	0.001	True	(100, 100)	adaptive	1000	adam	0.9554761904761904	1.0	0.9309523809523809
relu	0.01	True	(100, 100)	constant	1000	adam	0.9554761904761904	1.0	0.9309523809523809
relu	0.01	True	(100, 100)	adaptive	500	adam	0.9554761904761904	1.0	0.9309523809523809
relu	0.1	True	(100, 100)	adaptive	1000	adam	0.9554761904761904	1.0	0.9309523809523809
relu	0.01	True	(100, 100)	invscaling	500	adam	0.9554761904761904	1.0	0.9309523809523809
relu	0.01	True	(100, 100)	adaptive	1000	adam	0.9554761904761904	1.0	0.9309523809523809
relu	0.001	True	(100, 100)	constant	1000	adam	0.9554761904761904	1.0	0.9309523809523809
relu	0.01	True	(100, 100)	invscaling	1000	adam	0.9554761904761904	1.0	0.9309523809523809
identity	0.01	True	(50, 50)	adaptive	1000	adam	0.9311904761904761	0.9857142857142858	0.8964285714285714
relu	0.001	True	(50, 50)	adaptive	1000	adam	0.9414285714285715	0.9857142857142858	0.9142857142857143
logistic	0.1	True	(50,)	adaptive	1000	lbfgs	0.9902380952380951	0.9857142857142858	0.9892857142857142
relu	0.001	True	(50, 50)	invscaling	1000	adam	0.9414285714285715	0.9857142857142858	0.9142857142857143
relu	0.001	True	(50, 50)	adaptive	500	adam	0.9414285714285715	0.9857142857142858	0.9142857142857143
identity	0.01	True	(50, 50)	adaptive	1000	lbfgs	0.9902380952380951	0.9857142857142858	0.9892857142857142
relu	0.001	True	(50, 50)	invscaling	500	adam	0.9414285714285715	0.9857142857142858	0.9142857142857143
relu	0.001	True	(50, 50)	constant	1000	adam	0.9414285714285715	0.9857142857142858	0.9142857142857143
identity	0.01	True	(50, 50)	adaptive	500	lbfgs	0.9902380952380951	0.9857142857142858	0.9892857142857142
identity	0.01	True	(50, 50)	invscaling	500	lbfgs	0.9902380952380951	0.9857142857142858	0.9892857142857142
identity	0.01	True	(50, 50)	adaptive	500	adam	0.9311904761904761	0.9857142857142858	0.8964285714285714
identity	0.01	True	(50, 50)	invscaling	1000	lbfgs	0.9902380952380951	0.9857142857142858	0.9892857142857142
tanh	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9902380952380951	0.9857142857142858	0.9892857142857142
identity	0.01	True	(50, 50)	invscaling	1000	adam	0.9311904761904761	0.9857142857142858	0.8964285714285714
tanh	0.01	True	(100,)	constant	500	lbfgs	0.9902380952380951	0.9857142857142858	0.9892857142857142
tanh	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9902380952380951	0.9857142857142858	0.9892857142857142
identity	0.01	True	(50, 50)	invscaling	500	adam	0.9311904761904761	0.9857142857142858	0.8964285714285714
identity	0.01	True	(50, 50)	constant	1000	lbfgs	0.9902380952380951	0.9857142857142858	0.9892857142857142
tanh	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9902380952380951	0.9857142857142858	0.9892857142857142
relu	0.001	True	(50, 50)	constant	500	adam	0.9414285714285715	0.9857142857142858	0.9142857142857143
tanh	0.01	True	(100,)	constant	1000	lbfgs	0.9902380952380951	0.9857142857142858	0.9892857142857142
relu	0.001	True	(100,)	adaptive	1000	adam	0.9657142857142856	0.9857142857142858	0.9523809523809523
identity	0.001	True	(50,)	invscaling	500	lbfgs	0.9902380952380951	0.9857142857142858	0.9892857142857142
identity	0.001	True	(50,)	adaptive	1000	lbfgs	0.9902380952380951	0.9857142857142858	0.9892857142857142
logistic	0.01	True	(50, 50)	constant	1000	lbfgs	0.9902380952380951	0.9857142857142858	0.9892857142857142
