max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
6	sqrt	2	2	200	0.9602380952380953	1.0	0.9380952380952381
8	log2	8	8	1000	0.9554761904761904	1.0	0.9297619047619048
10	log2	4	4	600	0.9502380952380951	1.0	0.9214285714285714
10	log2	4	4	200	0.9502380952380951	1.0	0.9214285714285714
10	log2	4	2	1000	0.9502380952380951	1.0	0.9214285714285714
10	log2	4	2	600	0.9502380952380951	1.0	0.9214285714285714
10	log2	4	2	200	0.9502380952380951	1.0	0.9214285714285714
10	log2	2	10	1000	0.9552380952380952	1.0	0.9297619047619048
10	log2	2	10	600	0.9552380952380952	1.0	0.9297619047619048
10	log2	2	10	200	0.9552380952380952	1.0	0.9297619047619048
10	log2	2	8	1000	0.9552380952380952	1.0	0.9297619047619048
10	log2	2	8	600	0.9552380952380952	1.0	0.9297619047619048
10	log2	2	8	200	0.9602380952380953	1.0	0.9369047619047619
10	log2	2	4	1000	0.9502380952380951	1.0	0.9214285714285714
10	log2	2	4	600	0.9502380952380951	1.0	0.9202380952380951
10	log2	2	4	200	0.9502380952380951	1.0	0.9214285714285714
10	log2	2	2	1000	0.9502380952380951	1.0	0.9214285714285714
10	log2	2	2	600	0.9502380952380951	1.0	0.9202380952380951
10	log2	2	2	200	0.9502380952380951	1.0	0.9214285714285714
10	sqrt	8	10	1000	0.9552380952380952	1.0	0.9297619047619048
10	sqrt	8	10	600	0.9552380952380952	1.0	0.9297619047619048
10	log2	4	4	1000	0.9502380952380951	1.0	0.9214285714285714
10	log2	4	8	200	0.9502380952380951	1.0	0.9214285714285714
10	log2	4	8	600	0.9502380952380951	1.0	0.9214285714285714
10	log2	8	8	200	0.9554761904761904	1.0	0.9297619047619048
10	log2	10	2	1000	0.9554761904761904	1.0	0.9297619047619048
10	log2	10	2	600	0.9554761904761904	1.0	0.9297619047619048
10	log2	10	2	200	0.9554761904761904	1.0	0.9297619047619048
10	log2	8	10	1000	0.9554761904761904	1.0	0.9297619047619048
10	log2	8	10	600	0.9652380952380952	1.0	0.944047619047619
10	log2	8	10	200	0.9554761904761904	1.0	0.9297619047619048
10	log2	8	8	1000	0.9554761904761904	1.0	0.9297619047619048
10	log2	8	8	600	0.9652380952380952	1.0	0.944047619047619
10	log2	8	4	1000	0.9554761904761904	1.0	0.9297619047619048
10	log2	4	8	1000	0.9502380952380951	1.0	0.9214285714285714
