C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
1.0	0.01	rbf	0.9106617647058822	1.0	0.8880952380952382
100.0	0.01	rbf	0.9165441176470587	1.0	0.8952380952380953
10.0	0.01	rbf	0.9165441176470587	1.0	0.8952380952380953
1000.0	0.01	rbf	0.9165441176470587	1.0	0.8952380952380953
1.0	100.0	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
1.0	1000.0	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
10.0	0.1	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
10.0	1.0	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
10.0	100.0	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
10.0	1000.0	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
100.0	0.01	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
0.01	0.01	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
1.0	1.0	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
100.0	1.0	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
100.0	100.0	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
100.0	1000.0	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
1000.0	0.01	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
1000.0	0.1	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
1000.0	1.0	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
1000.0	100.0	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
1000.0	1000.0	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
100.0	0.1	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
10.0	0.01	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
0.1	0.1	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
0.01	0.1	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
1.0	0.01	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
1.0	0.1	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
0.01	1.0	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
0.1	1000.0	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
0.01	1000.0	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
0.1	0.01	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
0.1	100.0	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
0.01	100.0	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
0.1	1.0	linear	0.9705882352941178	0.9732142857142858	0.9690259740259741
100.0	1000.0	rbf	0.6014705882352942	0.0	0.5
0.01	1000.0	rbf	0.6014705882352942	0.0	0.5
100.0	100.0	rbf	0.6014705882352942	0.0	0.5
0.01	1.0	rbf	0.6014705882352942	0.0	0.5
0.01	100.0	rbf	0.6014705882352942	0.0	0.5
1000.0	0.1	rbf	0.6014705882352942	0.0	0.5
1000.0	1.0	rbf	0.6014705882352942	0.0	0.5
0.01	0.1	rbf	0.6014705882352942	0.0	0.5
1000.0	100.0	rbf	0.6014705882352942	0.0	0.5
100.0	1.0	rbf	0.6014705882352942	0.0	0.5
1.0	0.1	rbf	0.6014705882352942	0.0	0.5
100.0	0.1	rbf	0.6014705882352942	0.0	0.5
0.1	0.01	rbf	0.6014705882352942	0.0	0.5
0.1	0.1	rbf	0.6014705882352942	0.0	0.5
10.0	1000.0	rbf	0.6014705882352942	0.0	0.5
10.0	100.0	rbf	0.6014705882352942	0.0	0.5
0.1	1.0	rbf	0.6014705882352942	0.0	0.5
10.0	1.0	rbf	0.6014705882352942	0.0	0.5
10.0	0.1	rbf	0.6014705882352942	0.0	0.5
0.1	100.0	rbf	0.6014705882352942	0.0	0.5
0.01	0.01	rbf	0.6014705882352942	0.0	0.5
1.0	1000.0	rbf	0.6014705882352942	0.0	0.5
0.1	1000.0	rbf	0.6014705882352942	0.0	0.5
1.0	100.0	rbf	0.6014705882352942	0.0	0.5
1.0	1.0	rbf	0.6014705882352942	0.0	0.5
1000.0	1000.0	rbf	0.6014705882352942	0.0	0.5
