activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.001	True	(50,)	constant	1000	lbfgs	0.9702205882352942	0.9875	0.9652380952380952
logistic	0.001	True	(100,)	adaptive	1000	lbfgs	0.9702205882352942	0.9875	0.9652380952380952
logistic	0.001	True	(50,)	invscaling	500	lbfgs	0.9702205882352942	0.9875	0.9652380952380952
logistic	0.001	True	(50,)	invscaling	1000	lbfgs	0.9702205882352942	0.9875	0.9652380952380952
relu	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9764705882352942	0.9875	0.9735714285714285
logistic	0.001	True	(50,)	adaptive	500	lbfgs	0.9702205882352942	0.9875	0.9652380952380952
logistic	0.001	True	(50,)	adaptive	1000	lbfgs	0.9702205882352942	0.9875	0.9652380952380952
relu	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9764705882352942	0.9875	0.9735714285714285
logistic	0.001	True	(100,)	constant	500	lbfgs	0.9702205882352942	0.9875	0.9652380952380952
relu	0.1	True	(50, 50)	constant	500	lbfgs	0.9764705882352942	0.9875	0.9735714285714285
relu	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9764705882352942	0.9875	0.9735714285714285
logistic	0.01	True	(100,)	constant	1000	lbfgs	0.9702205882352942	0.9875	0.9652380952380952
logistic	0.001	True	(100,)	constant	1000	lbfgs	0.9702205882352942	0.9875	0.9652380952380952
relu	0.1	True	(50, 50)	constant	1000	lbfgs	0.9764705882352942	0.9875	0.9735714285714285
logistic	0.001	True	(100,)	adaptive	500	lbfgs	0.9702205882352942	0.9875	0.9652380952380952
logistic	0.001	True	(100,)	invscaling	500	lbfgs	0.9702205882352942	0.9875	0.9652380952380952
relu	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9764705882352942	0.9875	0.9735714285714285
logistic	0.001	True	(100,)	invscaling	1000	lbfgs	0.9702205882352942	0.9875	0.9652380952380952
logistic	0.001	True	(50,)	constant	500	lbfgs	0.9702205882352942	0.9875	0.9652380952380952
logistic	0.01	True	(100,)	adaptive	1000	lbfgs	0.9702205882352942	0.9875	0.9652380952380952
logistic	0.01	True	(100,)	constant	500	lbfgs	0.9702205882352942	0.9875	0.9652380952380952
logistic	0.01	True	(100,)	invscaling	500	lbfgs	0.9702205882352942	0.9875	0.9652380952380952
logistic	0.01	True	(50,)	adaptive	1000	lbfgs	0.9702205882352942	0.9875	0.9652380952380952
logistic	0.01	True	(50,)	adaptive	500	lbfgs	0.9702205882352942	0.9875	0.9652380952380952
logistic	0.01	True	(100,)	invscaling	1000	lbfgs	0.9702205882352942	0.9875	0.9652380952380952
logistic	0.01	True	(50,)	invscaling	1000	lbfgs	0.9702205882352942	0.9875	0.9652380952380952
logistic	0.01	True	(50,)	invscaling	500	lbfgs	0.9702205882352942	0.9875	0.9652380952380952
logistic	0.01	True	(50,)	constant	1000	lbfgs	0.9702205882352942	0.9875	0.9652380952380952
logistic	0.01	True	(50,)	constant	500	lbfgs	0.9702205882352942	0.9875	0.9652380952380952
logistic	0.01	True	(100,)	adaptive	500	lbfgs	0.9702205882352942	0.9875	0.9652380952380952
logistic	0.001	True	(100,)	constant	500	adam	0.8753676470588235	0.9800000000000001	0.8461904761904762
logistic	0.01	True	(100,)	adaptive	500	adam	0.8753676470588235	0.9800000000000001	0.8461904761904762
logistic	0.01	True	(100,)	constant	500	adam	0.8753676470588235	0.9800000000000001	0.8461904761904762
logistic	0.01	True	(100,)	adaptive	1000	adam	0.8753676470588235	0.9800000000000001	0.8461904761904762
logistic	0.001	True	(100,)	invscaling	500	adam	0.8753676470588235	0.9800000000000001	0.8461904761904762
logistic	0.01	True	(100,)	invscaling	500	adam	0.8753676470588235	0.9800000000000001	0.8461904761904762
logistic	0.01	True	(100,)	invscaling	1000	adam	0.8753676470588235	0.9800000000000001	0.8461904761904762
logistic	0.001	True	(100,)	constant	1000	adam	0.8753676470588235	0.9800000000000001	0.8461904761904762
logistic	0.001	True	(100,)	invscaling	1000	adam	0.8753676470588235	0.9800000000000001	0.8461904761904762
logistic	0.1	True	(100,)	adaptive	1000	adam	0.8636029411764706	0.9800000000000001	0.8319047619047619
logistic	0.1	True	(100,)	constant	500	adam	0.8636029411764706	0.9800000000000001	0.8319047619047619
logistic	0.1	True	(100,)	constant	1000	adam	0.8636029411764706	0.9800000000000001	0.8319047619047619
logistic	0.1	True	(100,)	invscaling	500	adam	0.8636029411764706	0.9800000000000001	0.8319047619047619
logistic	0.1	True	(100,)	invscaling	1000	adam	0.8636029411764706	0.9800000000000001	0.8319047619047619
logistic	0.1	True	(100,)	adaptive	500	adam	0.8636029411764706	0.9800000000000001	0.8319047619047619
logistic	0.01	True	(100,)	constant	1000	adam	0.8753676470588235	0.9800000000000001	0.8461904761904762
logistic	0.001	True	(100,)	adaptive	1000	adam	0.8753676470588235	0.9800000000000001	0.8461904761904762
logistic	0.001	True	(100,)	adaptive	500	adam	0.8753676470588235	0.9800000000000001	0.8461904761904762
logistic	0.001	True	(100, 100)	adaptive	500	lbfgs	0.9764705882352942	0.975	0.9757142857142856
relu	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9702205882352942	0.975	0.9673809523809522
logistic	0.001	True	(100, 100)	constant	1000	lbfgs	0.9764705882352942	0.975	0.9757142857142856
relu	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9702205882352942	0.975	0.9673809523809522
relu	0.1	True	(100,)	adaptive	500	lbfgs	0.9647058823529411	0.975	0.9602380952380953
logistic	0.001	True	(100, 100)	invscaling	500	lbfgs	0.9764705882352942	0.975	0.9757142857142856
logistic	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.9764705882352942	0.975	0.9757142857142856
relu	0.1	True	(100,)	invscaling	500	lbfgs	0.9647058823529411	0.975	0.9602380952380953
relu	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9702205882352942	0.975	0.9673809523809522
logistic	0.1	True	(50,)	adaptive	1000	lbfgs	0.9764705882352942	0.975	0.9757142857142856
logistic	0.1	True	(50,)	adaptive	500	lbfgs	0.9764705882352942	0.975	0.9757142857142856
logistic	0.001	True	(100, 100)	adaptive	1000	lbfgs	0.9764705882352942	0.975	0.9757142857142856
logistic	0.1	True	(50,)	invscaling	1000	lbfgs	0.9764705882352942	0.975	0.9757142857142856
logistic	0.1	True	(50,)	invscaling	500	lbfgs	0.9764705882352942	0.975	0.9757142857142856
logistic	0.1	True	(50,)	constant	1000	lbfgs	0.9764705882352942	0.975	0.9757142857142856
logistic	0.1	True	(50,)	constant	500	lbfgs	0.9764705882352942	0.975	0.9757142857142856
logistic	0.001	True	(100, 100)	constant	500	lbfgs	0.9764705882352942	0.975	0.9757142857142856
relu	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9702205882352942	0.975	0.9673809523809522
relu	0.1	True	(100, 100)	constant	500	lbfgs	0.9702205882352942	0.975	0.9673809523809522
relu	0.1	True	(100,)	constant	1000	lbfgs	0.9647058823529411	0.975	0.9602380952380953
relu	0.1	True	(100,)	adaptive	1000	lbfgs	0.9647058823529411	0.975	0.9602380952380953
relu	0.1	True	(100,)	invscaling	1000	lbfgs	0.9647058823529411	0.975	0.9602380952380953
relu	0.1	True	(100,)	constant	500	lbfgs	0.9647058823529411	0.975	0.9602380952380953
relu	0.1	True	(100, 100)	constant	1000	lbfgs	0.9702205882352942	0.975	0.9673809523809522
identity	0.1	True	(50,)	invscaling	1000	lbfgs	0.9580882352941178	0.9732142857142858	0.951904761904762
identity	0.1	True	(50,)	adaptive	500	lbfgs	0.9580882352941178	0.9732142857142858	0.951904761904762
identity	0.1	True	(50,)	invscaling	500	lbfgs	0.9580882352941178	0.9732142857142858	0.951904761904762
identity	0.1	True	(50,)	constant	1000	lbfgs	0.9580882352941178	0.9732142857142858	0.951904761904762
identity	0.1	True	(50,)	constant	500	lbfgs	0.9580882352941178	0.9732142857142858	0.951904761904762
logistic	0.01	True	(50, 50)	adaptive	1000	lbfgs	0.9705882352941178	0.9732142857142858	0.9685714285714286
tanh	0.01	True	(100, 100)	constant	500	lbfgs	0.9580882352941178	0.9732142857142858	0.9519047619047619
logistic	0.01	True	(50, 50)	adaptive	500	lbfgs	0.9705882352941178	0.9732142857142858	0.9685714285714286
tanh	0.01	True	(100, 100)	constant	1000	lbfgs	0.9580882352941178	0.9732142857142858	0.9519047619047619
logistic	0.01	True	(50, 50)	invscaling	1000	lbfgs	0.9705882352941178	0.9732142857142858	0.9685714285714286
logistic	0.01	True	(50, 50)	invscaling	500	lbfgs	0.9705882352941178	0.9732142857142858	0.9685714285714286
identity	0.1	True	(50,)	adaptive	1000	lbfgs	0.9580882352941178	0.9732142857142858	0.951904761904762
logistic	0.01	True	(50, 50)	constant	1000	lbfgs	0.9705882352941178	0.9732142857142858	0.9685714285714286
logistic	0.01	True	(50, 50)	constant	500	lbfgs	0.9705882352941178	0.9732142857142858	0.9685714285714286
tanh	0.001	True	(100, 100)	adaptive	1000	lbfgs	0.9522058823529413	0.9732142857142858	0.9447619047619048
tanh	0.01	True	(100, 100)	invscaling	500	lbfgs	0.9580882352941178	0.9732142857142858	0.9519047619047619
tanh	0.001	True	(50,)	constant	1000	lbfgs	0.9580882352941178	0.9732142857142858	0.9519047619047619
tanh	0.001	True	(100, 100)	constant	1000	lbfgs	0.9522058823529413	0.9732142857142858	0.9447619047619048
tanh	0.001	True	(100, 100)	constant	500	lbfgs	0.9522058823529413	0.9732142857142858	0.9447619047619048
tanh	0.001	True	(50,)	adaptive	1000	lbfgs	0.9580882352941178	0.9732142857142858	0.9519047619047619
tanh	0.001	True	(50,)	adaptive	500	lbfgs	0.9580882352941178	0.9732142857142858	0.9519047619047619
tanh	0.001	True	(50,)	invscaling	1000	lbfgs	0.9580882352941178	0.9732142857142858	0.9519047619047619
tanh	0.001	True	(50,)	invscaling	500	lbfgs	0.9580882352941178	0.9732142857142858	0.9519047619047619
tanh	0.001	True	(100, 100)	invscaling	500	lbfgs	0.9522058823529413	0.9732142857142858	0.9447619047619048
tanh	0.01	True	(100, 100)	invscaling	1000	lbfgs	0.9580882352941178	0.9732142857142858	0.9519047619047619
tanh	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.9522058823529413	0.9732142857142858	0.9447619047619048
tanh	0.01	True	(100, 100)	adaptive	1000	lbfgs	0.9580882352941178	0.9732142857142858	0.9519047619047619
tanh	0.001	True	(100, 100)	adaptive	500	lbfgs	0.9522058823529413	0.9732142857142858	0.9447619047619048
tanh	0.01	True	(100, 100)	adaptive	500	lbfgs	0.9580882352941178	0.9732142857142858	0.9519047619047619
tanh	0.001	True	(50,)	constant	500	lbfgs	0.9580882352941178	0.9732142857142858	0.9519047619047619
identity	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9647058823529413	0.9708333333333334	0.9614285714285714
identity	0.1	True	(50, 50)	constant	1000	lbfgs	0.9647058823529413	0.9708333333333334	0.9614285714285714
identity	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9647058823529413	0.9708333333333334	0.9614285714285714
identity	0.1	True	(50, 50)	constant	500	lbfgs	0.9647058823529413	0.9708333333333334	0.9614285714285714
identity	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9647058823529413	0.9708333333333334	0.9614285714285714
identity	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9647058823529413	0.9708333333333334	0.9614285714285714
tanh	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9518382352941176	0.9607142857142857	0.9457142857142857
