activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.1	True	(100,)	constant	1000	lbfgs	0.9857142857142858	1.0	0.975
tanh	0.01	True	(50, 50)	invscaling	500	adam	0.8840659340659339	1.0	0.7791666666666666
logistic	0.001	True	(50,)	adaptive	1000	lbfgs	0.9928571428571429	1.0	0.9875
tanh	0.01	True	(50,)	invscaling	500	lbfgs	0.9857142857142858	1.0	0.975
tanh	0.01	True	(50,)	constant	1000	lbfgs	0.9857142857142858	1.0	0.975
tanh	0.01	True	(50,)	constant	500	lbfgs	0.9857142857142858	1.0	0.975
relu	0.001	True	(100,)	constant	500	lbfgs	0.9785714285714284	1.0	0.9625
tanh	0.1	True	(100, 100)	adaptive	1000	lbfgs	1.0	1.0	1.0
relu	0.001	True	(100,)	constant	1000	lbfgs	0.9785714285714284	1.0	0.9625
identity	0.01	True	(100,)	adaptive	1000	lbfgs	0.9785714285714284	1.0	0.9625
tanh	0.1	True	(100, 100)	adaptive	1000	adam	0.8917582417582418	1.0	0.7999999999999999
relu	0.001	True	(100,)	invscaling	500	lbfgs	0.9785714285714284	1.0	0.9625
tanh	0.1	True	(100, 100)	adaptive	500	lbfgs	1.0	1.0	1.0
relu	0.001	True	(100,)	invscaling	1000	lbfgs	0.9785714285714284	1.0	0.9625
identity	0.01	True	(100,)	adaptive	500	lbfgs	0.9785714285714284	1.0	0.9625
tanh	0.1	True	(100, 100)	adaptive	500	adam	0.8917582417582418	1.0	0.7999999999999999
relu	0.001	True	(100,)	adaptive	500	lbfgs	0.9785714285714284	1.0	0.9625
tanh	0.1	True	(100, 100)	invscaling	1000	lbfgs	1.0	1.0	1.0
relu	0.001	True	(100,)	adaptive	1000	lbfgs	0.9785714285714284	1.0	0.9625
tanh	0.1	True	(100, 100)	invscaling	1000	adam	0.8917582417582418	1.0	0.7999999999999999
tanh	0.1	True	(100, 100)	invscaling	500	lbfgs	1.0	1.0	1.0
identity	0.01	True	(100,)	invscaling	1000	lbfgs	0.9785714285714284	1.0	0.9625
tanh	0.1	True	(100, 100)	invscaling	500	adam	0.8917582417582418	1.0	0.7999999999999999
tanh	0.1	True	(100, 100)	constant	1000	lbfgs	1.0	1.0	1.0
tanh	0.1	True	(100, 100)	constant	1000	adam	0.8917582417582418	1.0	0.7999999999999999
tanh	0.1	True	(100, 100)	constant	500	lbfgs	1.0	1.0	1.0
identity	0.01	True	(100,)	invscaling	500	lbfgs	0.9785714285714284	1.0	0.9625
tanh	0.1	True	(100, 100)	constant	500	adam	0.8917582417582418	1.0	0.7999999999999999
tanh	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9785714285714284	1.0	0.9625
tanh	0.01	True	(50,)	invscaling	1000	lbfgs	0.9857142857142858	1.0	0.975
tanh	0.01	True	(50,)	adaptive	500	lbfgs	0.9857142857142858	1.0	0.975
logistic	0.001	True	(50,)	adaptive	500	lbfgs	0.9928571428571429	1.0	0.9875
identity	0.001	True	(50,)	constant	500	lbfgs	0.9857142857142858	1.0	0.975
logistic	0.01	True	(50, 50)	adaptive	500	lbfgs	0.9785714285714284	1.0	0.9625
tanh	0.01	True	(50, 50)	constant	1000	adam	0.8840659340659339	1.0	0.7791666666666666
identity	0.001	True	(50,)	adaptive	1000	lbfgs	0.9857142857142858	1.0	0.975
logistic	0.01	True	(50, 50)	adaptive	1000	lbfgs	0.9785714285714284	1.0	0.9625
identity	0.001	True	(50,)	adaptive	500	lbfgs	0.9857142857142858	1.0	0.975
tanh	0.01	True	(50, 50)	constant	500	adam	0.8840659340659339	1.0	0.7791666666666666
tanh	0.1	True	(50,)	adaptive	500	lbfgs	0.9857142857142858	1.0	0.975
tanh	0.01	True	(100,)	adaptive	1000	lbfgs	0.9785714285714284	1.0	0.9625
identity	0.001	True	(50,)	invscaling	500	lbfgs	0.9857142857142858	1.0	0.975
tanh	0.01	True	(100,)	adaptive	1000	adam	0.9351648351648352	1.0	0.8791666666666667
identity	0.001	True	(50,)	constant	1000	lbfgs	0.9857142857142858	1.0	0.975
tanh	0.01	True	(100,)	adaptive	500	lbfgs	0.9785714285714284	1.0	0.9625
tanh	0.01	True	(100,)	adaptive	500	adam	0.9351648351648352	1.0	0.8791666666666667
tanh	0.01	True	(50,)	adaptive	1000	lbfgs	0.9857142857142858	1.0	0.975
tanh	0.01	True	(100,)	invscaling	1000	lbfgs	0.9785714285714284	1.0	0.9625
logistic	0.001	True	(50,)	constant	500	lbfgs	0.9928571428571429	1.0	0.9875
tanh	0.01	True	(100,)	invscaling	1000	adam	0.9351648351648352	1.0	0.8791666666666667
tanh	0.01	True	(100,)	invscaling	500	lbfgs	0.9785714285714284	1.0	0.9625
logistic	0.001	True	(50,)	constant	1000	lbfgs	0.9928571428571429	1.0	0.9875
tanh	0.01	True	(100,)	invscaling	500	adam	0.9351648351648352	1.0	0.8791666666666667
tanh	0.01	True	(100,)	constant	1000	lbfgs	0.9785714285714284	1.0	0.9625
logistic	0.001	True	(50,)	invscaling	500	lbfgs	0.9928571428571429	1.0	0.9875
tanh	0.01	True	(100,)	constant	1000	adam	0.9351648351648352	1.0	0.8791666666666667
tanh	0.01	True	(100,)	constant	500	lbfgs	0.9785714285714284	1.0	0.9625
logistic	0.001	True	(50,)	invscaling	1000	lbfgs	0.9928571428571429	1.0	0.9875
tanh	0.01	True	(100,)	constant	500	adam	0.9351648351648352	1.0	0.8791666666666667
identity	0.01	True	(100,)	constant	1000	lbfgs	0.9785714285714284	1.0	0.9625
tanh	0.1	True	(50, 50)	adaptive	1000	adam	0.8840659340659339	1.0	0.7791666666666666
tanh	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9785714285714284	1.0	0.9625
identity	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9785714285714284	1.0	0.9625
identity	0.1	True	(100, 100)	constant	500	lbfgs	0.9857142857142858	1.0	0.975
tanh	0.1	True	(100,)	invscaling	1000	lbfgs	0.9928571428571429	1.0	0.9875
identity	0.1	True	(50,)	adaptive	1000	lbfgs	0.9928571428571429	1.0	0.9875
