activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.01	True	(100,)	adaptive	500	sgd	0.8579118250170883	0.9952380952380953	0.8332386363636364
logistic	0.1	True	(100,)	adaptive	500	sgd	0.8579118250170883	0.9952380952380953	0.8332386363636364
logistic	0.001	True	(100,)	constant	1000	sgd	0.8423274094326725	0.9952380952380953	0.8150568181818182
logistic	0.001	True	(100,)	constant	500	sgd	0.8423274094326725	0.9952380952380953	0.8150568181818182
logistic	0.01	True	(100,)	adaptive	1000	sgd	0.8579118250170883	0.9952380952380953	0.8332386363636364
logistic	0.01	True	(100,)	constant	1000	sgd	0.8423274094326725	0.9952380952380953	0.8150568181818182
logistic	0.01	True	(100,)	constant	500	sgd	0.8423274094326725	0.9952380952380953	0.8150568181818182
logistic	0.001	True	(100,)	adaptive	1000	sgd	0.8579118250170883	0.9952380952380953	0.8332386363636364
logistic	0.1	True	(100,)	adaptive	1000	sgd	0.8579118250170883	0.9952380952380953	0.8332386363636364
logistic	0.001	True	(100,)	adaptive	500	sgd	0.8579118250170883	0.9952380952380953	0.8332386363636364
logistic	0.1	True	(100,)	constant	1000	sgd	0.8423274094326725	0.9952380952380953	0.8150568181818182
logistic	0.1	True	(100,)	constant	500	sgd	0.8423274094326725	0.9952380952380953	0.8150568181818182
logistic	0.001	True	(50,)	constant	500	adam	0.9386876281613123	0.9873746837444657	0.9294065656565657
logistic	0.1	True	(50,)	constant	1000	adam	0.9438824333561175	0.9873746837444657	0.9354671717171718
logistic	0.1	True	(50,)	invscaling	500	adam	0.9438824333561175	0.9873746837444657	0.9354671717171718
logistic	0.001	True	(50,)	adaptive	1000	adam	0.9386876281613123	0.9873746837444657	0.9294065656565657
logistic	0.001	True	(50,)	adaptive	500	adam	0.9386876281613123	0.9873746837444657	0.9294065656565657
logistic	0.001	True	(50,)	invscaling	1000	adam	0.9386876281613123	0.9873746837444657	0.9294065656565657
logistic	0.001	True	(50,)	invscaling	500	adam	0.9386876281613123	0.9873746837444657	0.9294065656565657
logistic	0.001	True	(50,)	constant	1000	adam	0.9386876281613123	0.9873746837444657	0.9294065656565657
logistic	0.1	True	(50,)	invscaling	1000	adam	0.9438824333561175	0.9873746837444657	0.9354671717171718
logistic	0.01	True	(50,)	constant	500	adam	0.9386876281613123	0.9873746837444657	0.9294065656565657
logistic	0.1	True	(50,)	adaptive	500	adam	0.9438824333561175	0.9873746837444657	0.9354671717171718
logistic	0.1	True	(50,)	adaptive	1000	adam	0.9438824333561175	0.9873746837444657	0.9354671717171718
logistic	0.01	True	(50,)	adaptive	1000	adam	0.9386876281613123	0.9873746837444657	0.9294065656565657
logistic	0.01	True	(50,)	adaptive	500	adam	0.9386876281613123	0.9873746837444657	0.9294065656565657
logistic	0.01	True	(50,)	invscaling	500	adam	0.9386876281613123	0.9873746837444657	0.9294065656565657
logistic	0.01	True	(50,)	constant	1000	adam	0.9386876281613123	0.9873746837444657	0.9294065656565657
logistic	0.01	True	(50,)	invscaling	1000	adam	0.9386876281613123	0.9873746837444657	0.9294065656565657
logistic	0.1	True	(50,)	constant	500	adam	0.9438824333561175	0.9873746837444657	0.9354671717171718
logistic	0.001	True	(50, 50)	adaptive	1000	adam	0.951742993848257	0.9804699218397037	0.9455492424242424
logistic	0.001	True	(50, 50)	adaptive	500	adam	0.951742993848257	0.9804699218397037	0.9455492424242424
logistic	0.01	True	(50, 50)	adaptive	1000	adam	0.951742993848257	0.9804699218397037	0.9455492424242424
logistic	0.01	True	(50, 50)	adaptive	500	adam	0.951742993848257	0.9804699218397037	0.9455492424242424
logistic	0.01	True	(50, 50)	invscaling	1000	adam	0.951742993848257	0.9804699218397037	0.9455492424242424
logistic	0.01	True	(50, 50)	invscaling	500	adam	0.951742993848257	0.9804699218397037	0.9455492424242424
logistic	0.01	True	(50, 50)	constant	1000	adam	0.951742993848257	0.9804699218397037	0.9455492424242424
logistic	0.01	True	(50, 50)	constant	500	adam	0.951742993848257	0.9804699218397037	0.9455492424242424
logistic	0.001	True	(50, 50)	constant	500	adam	0.951742993848257	0.9804699218397037	0.9455492424242424
logistic	0.001	True	(50, 50)	constant	1000	adam	0.951742993848257	0.9804699218397037	0.9455492424242424
logistic	0.001	True	(50, 50)	invscaling	500	adam	0.951742993848257	0.9804699218397037	0.9455492424242424
logistic	0.001	True	(50, 50)	invscaling	1000	adam	0.951742993848257	0.9804699218397037	0.9455492424242424
logistic	0.1	True	(100,)	invscaling	500	adam	0.9517942583732056	0.9786519607843138	0.9462373737373737
