activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.1	True	(50, 50)	invscaling	1000	adam	0.8747095010252905	0.9138485802826299	0.8626957070707071
logistic	0.1	True	(50, 50)	constant	1000	adam	0.8747095010252905	0.9138485802826299	0.8626957070707071
logistic	0.1	True	(50, 50)	adaptive	500	adam	0.8747095010252905	0.9138485802826299	0.8626957070707071
logistic	0.1	True	(50, 50)	constant	500	adam	0.8747095010252905	0.9138485802826299	0.8626957070707071
logistic	0.1	True	(50, 50)	adaptive	1000	adam	0.8747095010252905	0.9138485802826299	0.8626957070707071
logistic	0.1	True	(50, 50)	invscaling	500	adam	0.8747095010252905	0.9138485802826299	0.8626957070707071
logistic	0.001	True	(50, 50)	invscaling	500	adam	0.8877477785372522	0.9053900579343882	0.8796748737373739
logistic	0.01	True	(50, 50)	constant	1000	adam	0.8877477785372522	0.9053900579343882	0.8796748737373739
logistic	0.001	True	(50, 50)	adaptive	1000	adam	0.8877477785372522	0.9053900579343882	0.8796748737373739
logistic	0.01	True	(50, 50)	invscaling	500	adam	0.8877477785372522	0.9053900579343882	0.8796748737373739
logistic	0.001	True	(50, 50)	adaptive	500	adam	0.8877477785372522	0.9053900579343882	0.8796748737373739
logistic	0.001	True	(50, 50)	invscaling	1000	adam	0.8877477785372522	0.9053900579343882	0.8796748737373739
logistic	0.01	True	(50, 50)	invscaling	1000	adam	0.8877477785372522	0.9053900579343882	0.8796748737373739
logistic	0.001	True	(50, 50)	constant	1000	adam	0.8877477785372522	0.9053900579343882	0.8796748737373739
logistic	0.001	True	(50, 50)	constant	500	adam	0.8877477785372522	0.9053900579343882	0.8796748737373739
logistic	0.01	True	(50, 50)	adaptive	500	adam	0.8877477785372522	0.9053900579343882	0.8796748737373739
logistic	0.01	True	(50, 50)	adaptive	1000	adam	0.8877477785372522	0.9053900579343882	0.8796748737373739
logistic	0.01	True	(50, 50)	constant	500	adam	0.8877477785372522	0.9053900579343882	0.8796748737373739
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.8798872180451129	0.8976075085366455	0.870602904040404
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.8798872180451129	0.8976075085366455	0.870602904040404
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.8798872180451129	0.8976075085366455	0.870602904040404
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.8798872180451129	0.8976075085366455	0.870602904040404
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.8798872180451129	0.8976075085366455	0.870602904040404
logistic	0.001	True	(100, 100)	constant	500	adam	0.8798872180451129	0.8976075085366455	0.870602904040404
logistic	0.01	True	(100, 100)	constant	500	adam	0.8798872180451129	0.8976075085366455	0.870602904040404
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.8798872180451129	0.8976075085366455	0.870602904040404
logistic	0.01	True	(100, 100)	constant	1000	adam	0.8798872180451129	0.8976075085366455	0.870602904040404
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.8798872180451129	0.8976075085366455	0.870602904040404
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.8798872180451129	0.8976075085366455	0.870602904040404
logistic	0.001	True	(100, 100)	constant	1000	adam	0.8798872180451129	0.8976075085366455	0.870602904040404
logistic	0.1	True	(100, 100)	adaptive	1000	adam	0.8772727272727273	0.8908158562176917	0.8688036616161616
logistic	0.1	True	(100, 100)	adaptive	500	adam	0.8772727272727273	0.8908158562176917	0.8688036616161616
logistic	0.1	True	(100, 100)	invscaling	1000	adam	0.8772727272727273	0.8908158562176917	0.8688036616161616
logistic	0.1	True	(100, 100)	invscaling	500	adam	0.8772727272727273	0.8908158562176917	0.8688036616161616
logistic	0.1	True	(100, 100)	constant	1000	adam	0.8772727272727273	0.8908158562176917	0.8688036616161616
logistic	0.1	True	(100, 100)	constant	500	adam	0.8772727272727273	0.8908158562176917	0.8688036616161616
logistic	0.1	True	(50,)	constant	500	adam	0.8682159945317839	0.8719678401663694	0.8614741161616163
logistic	0.1	True	(50,)	invscaling	1000	adam	0.8682159945317839	0.8719678401663694	0.8614741161616163
logistic	0.1	True	(50,)	adaptive	1000	adam	0.8682159945317839	0.8719678401663694	0.8614741161616163
logistic	0.1	True	(50,)	adaptive	500	adam	0.8682159945317839	0.8719678401663694	0.8614741161616163
logistic	0.1	True	(50,)	invscaling	500	adam	0.8682159945317839	0.8719678401663694	0.8614741161616163
logistic	0.1	True	(50,)	constant	1000	adam	0.8682159945317839	0.8719678401663694	0.8614741161616163
logistic	0.001	True	(100,)	adaptive	1000	adam	0.8694976076555022	0.8696740398361481	0.8624652777777779
logistic	0.01	True	(100,)	constant	500	adam	0.8694976076555022	0.8696740398361481	0.8624652777777779
logistic	0.01	True	(100,)	constant	1000	adam	0.8694976076555022	0.8696740398361481	0.8624652777777779
logistic	0.01	True	(100,)	invscaling	500	adam	0.8694976076555022	0.8696740398361481	0.8624652777777779
logistic	0.01	True	(100,)	invscaling	1000	adam	0.8694976076555022	0.8696740398361481	0.8624652777777779
logistic	0.01	True	(100,)	adaptive	500	adam	0.8694976076555022	0.8696740398361481	0.8624652777777779
logistic	0.01	True	(100,)	adaptive	1000	adam	0.8694976076555022	0.8696740398361481	0.8624652777777779
logistic	0.001	True	(100,)	adaptive	500	adam	0.8694976076555022	0.8696740398361481	0.8624652777777779
logistic	0.001	True	(100,)	invscaling	1000	adam	0.8694976076555022	0.8696740398361481	0.8624652777777779
logistic	0.001	True	(100,)	invscaling	500	adam	0.8694976076555022	0.8696740398361481	0.8624652777777779
logistic	0.001	True	(100,)	constant	1000	adam	0.8694976076555022	0.8696740398361481	0.8624652777777779
logistic	0.001	True	(100,)	constant	500	adam	0.8694976076555022	0.8696740398361481	0.8624652777777779
logistic	0.001	True	(50,)	adaptive	1000	adam	0.8669002050580998	0.8696319815805109	0.8602651515151516
logistic	0.001	True	(50,)	adaptive	500	adam	0.8669002050580998	0.8696319815805109	0.8602651515151516
logistic	0.001	True	(50,)	invscaling	1000	adam	0.8669002050580998	0.8696319815805109	0.8602651515151516
logistic	0.001	True	(50,)	invscaling	500	adam	0.8669002050580998	0.8696319815805109	0.8602651515151516
logistic	0.001	True	(50,)	constant	1000	adam	0.8669002050580998	0.8696319815805109	0.8602651515151516
logistic	0.001	True	(50,)	constant	500	adam	0.8669002050580998	0.8696319815805109	0.8602651515151516
logistic	0.01	True	(50,)	invscaling	1000	adam	0.8656015037593985	0.8671698603683897	0.8591540404040405
logistic	0.01	True	(50,)	adaptive	1000	adam	0.8656015037593985	0.8671698603683897	0.8591540404040405
logistic	0.01	True	(50,)	adaptive	500	adam	0.8656015037593985	0.8671698603683897	0.8591540404040405
logistic	0.01	True	(50,)	invscaling	500	adam	0.8656015037593985	0.8671698603683897	0.8591540404040405
logistic	0.01	True	(50,)	constant	1000	adam	0.8656015037593985	0.8671698603683897	0.8591540404040405
logistic	0.01	True	(50,)	constant	500	adam	0.8656015037593985	0.8671698603683897	0.8591540404040405
logistic	0.1	True	(100,)	invscaling	1000	adam	0.8681818181818182	0.8668514591909868	0.8613289141414142
logistic	0.1	True	(100,)	constant	500	adam	0.8681818181818182	0.8668514591909868	0.8613289141414142
logistic	0.1	True	(100,)	adaptive	500	adam	0.8681818181818182	0.8668514591909868	0.8613289141414142
logistic	0.1	True	(100,)	adaptive	1000	adam	0.8681818181818182	0.8668514591909868	0.8613289141414142
logistic	0.1	True	(100,)	invscaling	500	adam	0.8681818181818182	0.8668514591909868	0.8613289141414142
logistic	0.1	True	(100,)	constant	1000	adam	0.8681818181818182	0.8668514591909868	0.8613289141414142
logistic	0.1	True	(50,)	adaptive	1000	sgd	0.7754272043745728	0.8401097282347282	0.7506060606060607
logistic	0.1	True	(50,)	adaptive	500	sgd	0.7754272043745728	0.8401097282347282	0.7506060606060607
logistic	0.01	True	(50,)	adaptive	500	sgd	0.7780758714969241	0.8396056959766638	0.7542045454545454
logistic	0.001	True	(50,)	adaptive	1000	sgd	0.7780758714969241	0.8396056959766638	0.7542045454545454
logistic	0.001	True	(50,)	adaptive	500	sgd	0.7780758714969241	0.8396056959766638	0.7542045454545454
logistic	0.01	True	(50,)	adaptive	1000	sgd	0.7780758714969241	0.8396056959766638	0.7542045454545454
logistic	0.001	True	(100, 100)	adaptive	1000	lbfgs	0.8525119617224879	0.8340364297893069	0.8478882575757577
logistic	0.001	True	(100, 100)	invscaling	500	lbfgs	0.8525119617224879	0.8340364297893069	0.8478882575757577
logistic	0.001	True	(100, 100)	constant	500	lbfgs	0.8525119617224879	0.8340364297893069	0.8478882575757577
logistic	0.001	True	(100, 100)	constant	1000	lbfgs	0.8525119617224879	0.8340364297893069	0.8478882575757577
logistic	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.8525119617224879	0.8340364297893069	0.8478882575757577
logistic	0.001	True	(100, 100)	adaptive	500	lbfgs	0.8525119617224879	0.8340364297893069	0.8478882575757577
identity	0.1	True	(50,)	adaptive	500	adam	0.8458646616541353	0.8331437182736773	0.842181186868687
