colsample_bytree	eval_metric	gamma	learning_rate	max_depth	min_child_weight	n_estimators	objective	subsample	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.5	error	0	0.01	8	1	600	binary:logitraw	0.5	0.9609706083390295	0.9897671568627452	0.9554229797979797
0.5	auc	0	0.01	8	1	600	binary:logitraw	0.5	0.9609706083390295	0.9897671568627452	0.9554229797979797
0.5	error	0	0.01	8	3	200	binary:logitraw	1.0	0.9425837320574162	0.9893960644311275	0.9335953282828282
0.5	auc	0	0.01	8	3	200	binary:logitraw	1.0	0.9425837320574162	0.9893960644311275	0.9335953282828282
0.5	error	0	0.01	6	1	200	binary:logitraw	0.5	0.9478298017771702	0.9889780915993616	0.9398453282828283
0.5	auc	0	0.01	6	1	200	binary:logitraw	0.5	0.9478298017771702	0.9889780915993616	0.9398453282828283
0.5	auc	0	0.01	8	1	200	binary:logitraw	0.5	0.9426008202323992	0.9887804631408637	0.9336426767676768
0.5	error	0	0.01	8	1	200	binary:logitraw	0.5	0.9426008202323992	0.9887804631408637	0.9336426767676768
0.5	auc	0	0.01	6	1	600	binary:logitraw	0.5	0.958356117566644	0.9866421568627451	0.9527493686868688
0.5	error	0	0.01	6	1	600	binary:logitraw	0.5	0.958356117566644	0.9866421568627451	0.9527493686868688
0.5	auc	0	0.01	6	1	600	binary:logitraw	1.0	0.9569890635680108	0.9863188810006761	0.9510669191919192
0.5	error	0	0.01	6	1	600	binary:logitraw	1.0	0.9569890635680108	0.9863188810006761	0.9510669191919192
0.5	auc	0	0.01	8	1	600	binary:logitraw	1.0	0.9557074504442925	0.9862526641091218	0.9495991161616162
0.5	error	0	0.01	8	1	600	binary:logitraw	1.0	0.9557074504442925	0.9862526641091218	0.9495991161616162
0.5	auc	0	0.01	8	1	200	binary:logitraw	1.0	0.947863978127136	0.9859726295210166	0.9403188131313132
0.5	error	0	0.01	8	1	200	binary:logitraw	1.0	0.947863978127136	0.9859726295210166	0.9403188131313132
0.5	error	0	0.01	6	3	200	binary:logitraw	1.0	0.9425837320574162	0.9859477885690584	0.9340214646464646
0.5	auc	0	0.01	6	3	200	binary:logitraw	1.0	0.9425837320574162	0.9859477885690584	0.9340214646464646
0.5	error	0	0.01	4	3	200	binary:logitraw	0.5	0.9295967190704033	0.9842410277894149	0.9186584595959596
0.5	auc	0	0.01	4	3	200	binary:logitraw	0.5	0.9295967190704033	0.9842410277894149	0.9186584595959596
1.0	error	0	0.01	6	3	600	binary:logitraw	1.0	0.9570061517429937	0.9837785204991085	0.9515183080808081
1.0	auc	0	0.01	6	3	600	binary:logitraw	1.0	0.9570061517429937	0.9837785204991085	0.9515183080808081
0.5	error	0	0.01	6	1	1000	binary:logitraw	1.0	0.9609364319890634	0.9835830170777988	0.9561584595959596
0.5	error	0	0.01	8	1	1000	binary:logitraw	1.0	0.9609364319890634	0.9835830170777988	0.9561584595959596
0.5	auc	0	0.01	6	1	1000	binary:logitraw	1.0	0.9609364319890634	0.9835830170777988	0.9561584595959596
0.5	auc	0	0.01	8	1	1000	binary:logitraw	1.0	0.9609364319890634	0.9835830170777988	0.9561584595959596
0.5	auc	0	0.01	6	3	200	binary:logitraw	0.5	0.9308954203691047	0.9834255599472991	0.9201483585858586
0.5	error	0	0.01	6	3	200	binary:logitraw	0.5	0.9308954203691047	0.9834255599472991	0.9201483585858586
