max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
8	log2	2	2	1000	0.9701592002961867	1.0	0.9627586206896552
10	log2	2	2	600	0.9661051462421326	1.0	0.9577011494252874
12	log2	2	10	1000	0.9701777119585339	1.0	0.962816091954023
8	log2	2	4	600	0.9742502776749353	1.0	0.9679310344827586
12	log2	2	4	1000	0.9633654202147353	1.0	0.9542528735632183
8	log2	2	4	200	0.9715290633098853	1.0	0.9645402298850575
12	log2	2	4	600	0.9633654202147353	1.0	0.9542528735632183
8	log2	2	2	600	0.9742502776749353	1.0	0.9679310344827586
12	log2	2	4	200	0.9674194742687895	1.0	0.9593103448275861
12	log2	2	2	1000	0.9633654202147353	1.0	0.9542528735632183
8	log2	2	2	200	0.9715290633098853	1.0	0.9645402298850575
12	log2	2	2	600	0.9633654202147353	1.0	0.9542528735632183
12	log2	2	2	200	0.9674194742687895	1.0	0.9593103448275861
8	log2	2	8	600	0.9701777119585339	1.0	0.962816091954023
12	sqrt	2	2	1000	0.9701592002961867	1.0	0.9627011494252873
12	log2	2	8	1000	0.9701777119585339	1.0	0.962816091954023
12	sqrt	2	4	1000	0.9701592002961867	1.0	0.9627011494252873
8	log2	2	4	1000	0.9701592002961867	1.0	0.9627586206896552
8	log2	2	10	600	0.9674564975934838	1.0	0.9594252873563219
10	log2	2	2	1000	0.9674379859311367	1.0	0.959367816091954
10	log2	2	4	600	0.9661051462421326	1.0	0.9577011494252874
8	log2	2	10	1000	0.9715475749722324	1.0	0.9645402298850575
10	log2	2	4	1000	0.9674379859311367	1.0	0.959367816091954
10	log2	2	8	200	0.9701777119585339	1.0	0.962816091954023
10	log2	2	8	600	0.9701592002961867	1.0	0.9627586206896552
10	log2	2	8	1000	0.9688078489448353	1.0	0.9610919540229885
8	log2	2	8	200	0.9660681229174382	0.9966666666666667	0.9582314524555903
8	log2	4	8	1000	0.9674564975934838	0.9965517241379309	0.9600130616509925
8	log2	4	8	600	0.964735283228434	0.9965517241379309	0.9565647857889237
10	log2	4	10	1000	0.9687893372824881	0.9965517241379309	0.9616222570532915
6	log2	2	4	1000	0.9647352832284339	0.9965517241379309	0.9565900383141763
8	log2	4	2	1000	0.9674564975934838	0.9965517241379309	0.9600130616509925
8	log2	4	2	600	0.964735283228434	0.9965517241379309	0.9565647857889237
8	log2	4	10	1000	0.9660866345797853	0.9965517241379309	0.9582314524555903
8	sqrt	2	2	1000	0.9701777119585339	0.9965517241379309	0.9633716475095786
6	log2	2	2	1000	0.9647352832284339	0.9965517241379309	0.9565900383141763
10	log2	4	10	600	0.9687893372824881	0.9965517241379309	0.9616222570532915
8	log2	2	8	1000	0.9688263606071826	0.9965517241379309	0.9617371995820271
8	log2	4	10	600	0.9660866345797853	0.9965517241379309	0.9582314524555903
8	sqrt	2	2	600	0.9701592002961867	0.9965517241379309	0.9633141762452107
10	log2	4	8	1000	0.9674194742687895	0.9965517241379309	0.9598981191222571
12	log2	2	10	600	0.9674379859311367	0.9965517241379309	0.9598981191222571
8	sqrt	2	2	200	0.9674564975934838	0.9965517241379309	0.9599233716475096
8	sqrt	2	4	200	0.9674564975934838	0.9965517241379309	0.9599233716475096
10	log2	2	10	600	0.9701592002961867	0.9965517241379309	0.9633463949843261
10	log2	2	10	1000	0.9701592002961867	0.9965517241379309	0.9633463949843261
8	sqrt	2	4	600	0.9701592002961867	0.9965517241379309	0.9633141762452107
8	sqrt	2	4	1000	0.9701777119585339	0.9965517241379309	0.9633716475095786
8	sqrt	2	8	600	0.9674379859311367	0.9965517241379309	0.9598659003831417
8	sqrt	2	8	1000	0.9688078489448353	0.9965517241379309	0.9615900383141762
12	sqrt	2	8	1000	0.9688078489448353	0.9965517241379309	0.9615900383141762
12	sqrt	2	8	600	0.9674564975934838	0.9965517241379309	0.9599233716475096
