C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
10.0	0.1	rbf	0.6969215291750503	1.0	0.5946581196581195
100.0	0.1	rbf	0.6969215291750503	1.0	0.5946581196581195
1000.0	0.1	rbf	0.6969215291750503	1.0	0.5946581196581195
0.1	0.01	rbf	0.8216297786720324	1.0	0.7616809116809116
0.01	0.01	linear	0.9802012072434607	0.9890211640211641	0.9760780885780885
0.01	0.1	linear	0.9802012072434607	0.9890211640211641	0.9760780885780885
0.01	1.0	linear	0.9802012072434607	0.9890211640211641	0.9760780885780885
0.01	100.0	linear	0.9802012072434607	0.9890211640211641	0.9760780885780885
0.01	1000.0	linear	0.9802012072434607	0.9890211640211641	0.9760780885780885
1.0	0.01	rbf	0.9802012072434607	0.9890211640211641	0.9760780885780885
1000.0	0.01	rbf	0.9830784708249498	0.9890211640211639	0.9799494949494949
100.0	0.01	rbf	0.9830784708249498	0.9890211640211639	0.9799494949494949
10.0	0.01	rbf	0.9830784708249498	0.9890211640211639	0.9799494949494949
0.1	100.0	linear	0.9774245472837023	0.9671856532051434	0.976936026936027
0.1	0.1	linear	0.9774245472837023	0.9671856532051434	0.976936026936027
0.1	1000.0	linear	0.9774245472837023	0.9671856532051434	0.976936026936027
0.1	0.01	linear	0.9774245472837023	0.9671856532051434	0.976936026936027
0.1	1.0	linear	0.9774245472837023	0.9671856532051434	0.976936026936027
1000.0	100.0	linear	0.9759959758551308	0.9637464997659901	0.9757996632996633
1000.0	1000.0	linear	0.9759959758551308	0.9637464997659901	0.9757996632996633
10.0	1.0	linear	0.9759959758551308	0.9637464997659901	0.9757996632996633
10.0	100.0	linear	0.9759959758551308	0.9637464997659901	0.9757996632996633
10.0	1000.0	linear	0.9759959758551308	0.9637464997659901	0.9757996632996633
100.0	0.01	linear	0.9759959758551308	0.9637464997659901	0.9757996632996633
1000.0	0.1	linear	0.9759959758551308	0.9637464997659901	0.9757996632996633
100.0	0.1	linear	0.9759959758551308	0.9637464997659901	0.9757996632996633
1000.0	1.0	linear	0.9759959758551308	0.9637464997659901	0.9757996632996633
100.0	100.0	linear	0.9759959758551308	0.9637464997659901	0.9757996632996633
100.0	1000.0	linear	0.9759959758551308	0.9637464997659901	0.9757996632996633
1000.0	0.01	linear	0.9759959758551308	0.9637464997659901	0.9757996632996633
10.0	0.1	linear	0.9759959758551308	0.9637464997659901	0.9757996632996633
100.0	1.0	linear	0.9759959758551308	0.9637464997659901	0.9757996632996633
10.0	0.01	linear	0.9759959758551308	0.9637464997659901	0.9757996632996633
1.0	0.01	linear	0.9759959758551308	0.9637464997659901	0.9757996632996633
1.0	1000.0	linear	0.9759959758551308	0.9637464997659901	0.9757996632996633
1.0	100.0	linear	0.9759959758551308	0.9637464997659901	0.9757996632996633
1.0	1.0	linear	0.9759959758551308	0.9637464997659901	0.9757996632996633
1.0	0.1	linear	0.9759959758551308	0.9637464997659901	0.9757996632996633
1.0	0.1	rbf	0.6530382293762577	0.8	0.5361823361823361
100.0	1000.0	rbf	0.626076458752515	0.0	0.5
0.01	0.1	rbf	0.626076458752515	0.0	0.5
1000.0	100.0	rbf	0.626076458752515	0.0	0.5
0.01	1.0	rbf	0.626076458752515	0.0	0.5
1000.0	1.0	rbf	0.626076458752515	0.0	0.5
0.01	100.0	rbf	0.626076458752515	0.0	0.5
0.01	1000.0	rbf	0.626076458752515	0.0	0.5
0.1	0.1	rbf	0.626076458752515	0.0	0.5
0.1	1.0	rbf	0.626076458752515	0.0	0.5
0.1	100.0	rbf	0.626076458752515	0.0	0.5
0.01	0.01	rbf	0.626076458752515	0.0	0.5
0.1	1000.0	rbf	0.626076458752515	0.0	0.5
100.0	100.0	rbf	0.626076458752515	0.0	0.5
1.0	1000.0	rbf	0.626076458752515	0.0	0.5
100.0	1.0	rbf	0.626076458752515	0.0	0.5
1.0	1.0	rbf	0.626076458752515	0.0	0.5
10.0	1000.0	rbf	0.626076458752515	0.0	0.5
1.0	100.0	rbf	0.626076458752515	0.0	0.5
10.0	100.0	rbf	0.626076458752515	0.0	0.5
10.0	1.0	rbf	0.626076458752515	0.0	0.5
1000.0	1000.0	rbf	0.626076458752515	0.0	0.5
