activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
relu	0.001	True	(100,)	invscaling	1000	lbfgs	0.9401098901098901	0.9583333333333334	0.9404761904761905
relu	0.001	True	(100,)	adaptive	1000	lbfgs	0.9401098901098901	0.9583333333333334	0.9404761904761905
relu	0.001	True	(100,)	adaptive	500	lbfgs	0.9401098901098901	0.9583333333333334	0.9404761904761905
relu	0.001	True	(100,)	invscaling	500	lbfgs	0.9401098901098901	0.9583333333333334	0.9404761904761905
relu	0.001	True	(100,)	constant	1000	lbfgs	0.9401098901098901	0.9583333333333334	0.9404761904761905
relu	0.001	True	(100,)	constant	500	lbfgs	0.9401098901098901	0.9583333333333334	0.9404761904761905
relu	0.01	True	(100,)	adaptive	1000	lbfgs	0.932967032967033	0.9550000000000001	0.9333333333333333
relu	0.01	True	(100,)	invscaling	500	lbfgs	0.932967032967033	0.9550000000000001	0.9333333333333333
relu	0.01	True	(100,)	constant	500	lbfgs	0.932967032967033	0.9550000000000001	0.9333333333333333
relu	0.01	True	(100,)	invscaling	1000	lbfgs	0.932967032967033	0.9550000000000001	0.9333333333333333
relu	0.01	True	(100,)	adaptive	500	lbfgs	0.932967032967033	0.9550000000000001	0.9333333333333333
relu	0.01	True	(100,)	constant	1000	lbfgs	0.932967032967033	0.9550000000000001	0.9333333333333333
relu	0.001	True	(100, 100)	constant	500	lbfgs	0.9549450549450549	0.951388888888889	0.9535714285714286
relu	0.001	True	(100, 100)	invscaling	500	lbfgs	0.9549450549450549	0.951388888888889	0.9535714285714286
relu	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.9549450549450549	0.951388888888889	0.9535714285714286
relu	0.001	True	(100, 100)	adaptive	500	lbfgs	0.9549450549450549	0.951388888888889	0.9535714285714286
relu	0.001	True	(100, 100)	adaptive	1000	lbfgs	0.9549450549450549	0.951388888888889	0.9535714285714286
relu	0.01	True	(100, 100)	constant	500	lbfgs	0.9549450549450549	0.951388888888889	0.9535714285714286
identity	0.01	True	(100, 100)	constant	500	lbfgs	0.9626373626373625	0.951388888888889	0.9607142857142857
identity	0.01	True	(100, 100)	constant	1000	lbfgs	0.9626373626373625	0.951388888888889	0.9607142857142857
identity	0.01	True	(100, 100)	invscaling	500	lbfgs	0.9626373626373625	0.951388888888889	0.9607142857142857
