C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.01	0.01	linear	0.9509090909090909	1.0	0.9400000000000001
0.01	0.1	linear	0.9509090909090909	1.0	0.9400000000000001
10.0	0.01	rbf	0.9709090909090909	1.0	0.9650000000000001
0.01	1.0	linear	0.9509090909090909	1.0	0.9400000000000001
0.01	100.0	linear	0.9509090909090909	1.0	0.9400000000000001
1.0	0.01	rbf	0.9509090909090909	1.0	0.9400000000000001
0.01	1000.0	linear	0.9509090909090909	1.0	0.9400000000000001
1000.0	0.01	rbf	0.9709090909090909	1.0	0.9650000000000001
100.0	0.01	rbf	0.9709090909090909	1.0	0.9650000000000001
100.0	0.1	linear	0.9609090909090909	0.9800000000000001	0.9566666666666667
10.0	0.1	linear	0.9609090909090909	0.9800000000000001	0.9566666666666667
10.0	1.0	linear	0.9609090909090909	0.9800000000000001	0.9566666666666667
10.0	100.0	linear	0.9609090909090909	0.9800000000000001	0.9566666666666667
10.0	1000.0	linear	0.9609090909090909	0.9800000000000001	0.9566666666666667
100.0	0.01	linear	0.9609090909090909	0.9800000000000001	0.9566666666666667
100.0	1000.0	linear	0.9609090909090909	0.9800000000000001	0.9566666666666667
100.0	1.0	linear	0.9609090909090909	0.9800000000000001	0.9566666666666667
100.0	100.0	linear	0.9609090909090909	0.9800000000000001	0.9566666666666667
1.0	100.0	linear	0.9609090909090909	0.9800000000000001	0.9566666666666667
1000.0	0.01	linear	0.9609090909090909	0.9800000000000001	0.9566666666666667
1000.0	0.1	linear	0.9609090909090909	0.9800000000000001	0.9566666666666667
1000.0	1.0	linear	0.9609090909090909	0.9800000000000001	0.9566666666666667
1000.0	100.0	linear	0.9609090909090909	0.9800000000000001	0.9566666666666667
1000.0	1000.0	linear	0.9609090909090909	0.9800000000000001	0.9566666666666667
1.0	1000.0	linear	0.9609090909090909	0.9800000000000001	0.9566666666666667
10.0	0.01	linear	0.9609090909090909	0.9800000000000001	0.9566666666666667
0.1	0.1	linear	0.9609090909090909	0.9800000000000001	0.9566666666666667
0.1	1000.0	linear	0.9609090909090909	0.9800000000000001	0.9566666666666667
1.0	1.0	linear	0.9609090909090909	0.9800000000000001	0.9566666666666667
0.1	1.0	linear	0.9609090909090909	0.9800000000000001	0.9566666666666667
0.1	0.01	linear	0.9609090909090909	0.9800000000000001	0.9566666666666667
0.1	100.0	linear	0.9609090909090909	0.9800000000000001	0.9566666666666667
1.0	0.1	linear	0.9609090909090909	0.9800000000000001	0.9566666666666667
1.0	0.01	linear	0.9609090909090909	0.9800000000000001	0.9566666666666667
1000.0	0.1	rbf	0.6872727272727273	0.7	0.6125
100.0	0.1	rbf	0.6872727272727273	0.7	0.6125
10.0	0.1	rbf	0.6872727272727273	0.7	0.6125
1.0	0.1	rbf	0.6572727272727271	0.5	0.575
100.0	100.0	rbf	0.598181818181818	0.0	0.5
0.01	100.0	rbf	0.598181818181818	0.0	0.5
0.01	1.0	rbf	0.598181818181818	0.0	0.5
0.01	1000.0	rbf	0.598181818181818	0.0	0.5
1000.0	100.0	rbf	0.598181818181818	0.0	0.5
0.1	0.01	rbf	0.598181818181818	0.0	0.5
0.01	0.1	rbf	0.598181818181818	0.0	0.5
100.0	1000.0	rbf	0.598181818181818	0.0	0.5
1000.0	1.0	rbf	0.598181818181818	0.0	0.5
1.0	1.0	rbf	0.598181818181818	0.0	0.5
0.1	0.1	rbf	0.598181818181818	0.0	0.5
100.0	1.0	rbf	0.598181818181818	0.0	0.5
1.0	100.0	rbf	0.598181818181818	0.0	0.5
0.1	1.0	rbf	0.598181818181818	0.0	0.5
0.1	100.0	rbf	0.598181818181818	0.0	0.5
10.0	1000.0	rbf	0.598181818181818	0.0	0.5
10.0	100.0	rbf	0.598181818181818	0.0	0.5
0.1	1000.0	rbf	0.598181818181818	0.0	0.5
10.0	1.0	rbf	0.598181818181818	0.0	0.5
0.01	0.01	rbf	0.598181818181818	0.0	0.5
1.0	1000.0	rbf	0.598181818181818	0.0	0.5
1000.0	1000.0	rbf	0.598181818181818	0.0	0.5
