activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.8345454545454546	1.0	0.7975
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.8345454545454546	1.0	0.7975
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.8345454545454546	1.0	0.7975
logistic	0.001	True	(100, 100)	constant	1000	adam	0.8345454545454546	1.0	0.7975
logistic	0.001	True	(100, 100)	constant	500	adam	0.8345454545454546	1.0	0.7975
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.8345454545454546	1.0	0.7975
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.8345454545454546	1.0	0.7975
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.8345454545454546	1.0	0.7975
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.8345454545454546	1.0	0.7975
logistic	0.01	True	(100, 100)	constant	1000	adam	0.8345454545454546	1.0	0.7975
logistic	0.01	True	(100, 100)	constant	500	adam	0.8345454545454546	1.0	0.7975
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.8345454545454546	1.0	0.7975
logistic	0.1	True	(100, 100)	adaptive	1000	adam	0.8345454545454546	1.0	0.7975
logistic	0.1	True	(100, 100)	adaptive	500	adam	0.8345454545454546	1.0	0.7975
logistic	0.1	True	(100, 100)	invscaling	1000	adam	0.8345454545454546	1.0	0.7975
logistic	0.1	True	(100, 100)	invscaling	500	adam	0.8345454545454546	1.0	0.7975
logistic	0.1	True	(100, 100)	constant	1000	adam	0.8345454545454546	1.0	0.7975
logistic	0.1	True	(100, 100)	constant	500	adam	0.8345454545454546	1.0	0.7975
tanh	0.1	True	(50,)	adaptive	1000	lbfgs	0.9418181818181818	0.9666666666666666	0.9383333333333332
tanh	0.1	True	(50,)	adaptive	500	lbfgs	0.9418181818181818	0.9666666666666666	0.9383333333333332
tanh	0.1	True	(50,)	invscaling	500	lbfgs	0.9418181818181818	0.9666666666666666	0.9383333333333332
tanh	0.1	True	(50,)	constant	1000	lbfgs	0.9418181818181818	0.9666666666666666	0.9383333333333332
tanh	0.1	True	(50,)	constant	500	lbfgs	0.9418181818181818	0.9666666666666666	0.9383333333333332
relu	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9418181818181818	0.9666666666666666	0.9383333333333332
relu	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9418181818181818	0.9666666666666666	0.9383333333333332
relu	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9418181818181818	0.9666666666666666	0.9383333333333332
relu	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9418181818181818	0.9666666666666666	0.9383333333333332
tanh	0.1	True	(50,)	invscaling	1000	lbfgs	0.9418181818181818	0.9666666666666666	0.9383333333333332
logistic	0.01	True	(50, 50)	adaptive	1000	lbfgs	0.9418181818181818	0.9666666666666666	0.9383333333333332
relu	0.1	True	(100, 100)	constant	500	lbfgs	0.9418181818181818	0.9666666666666666	0.9383333333333332
logistic	0.1	True	(50,)	invscaling	500	lbfgs	0.9418181818181818	0.9666666666666666	0.9383333333333332
logistic	0.01	True	(50, 50)	adaptive	500	lbfgs	0.9418181818181818	0.9666666666666666	0.9383333333333332
logistic	0.01	True	(50, 50)	invscaling	1000	lbfgs	0.9418181818181818	0.9666666666666666	0.9383333333333332
logistic	0.01	True	(50, 50)	invscaling	500	lbfgs	0.9418181818181818	0.9666666666666666	0.9383333333333332
logistic	0.01	True	(50, 50)	constant	1000	lbfgs	0.9418181818181818	0.9666666666666666	0.9383333333333332
logistic	0.01	True	(50, 50)	constant	500	lbfgs	0.9418181818181818	0.9666666666666666	0.9383333333333332
logistic	0.1	True	(50,)	adaptive	1000	lbfgs	0.9418181818181818	0.9666666666666666	0.9383333333333332
logistic	0.1	True	(50,)	constant	500	lbfgs	0.9418181818181818	0.9666666666666666	0.9383333333333332
logistic	0.1	True	(50,)	adaptive	500	lbfgs	0.9418181818181818	0.9666666666666666	0.9383333333333332
logistic	0.1	True	(50,)	invscaling	1000	lbfgs	0.9418181818181818	0.9666666666666666	0.9383333333333332
relu	0.1	True	(100, 100)	constant	1000	lbfgs	0.9418181818181818	0.9666666666666666	0.9383333333333332
logistic	0.1	True	(50,)	constant	1000	lbfgs	0.9418181818181818	0.9666666666666666	0.9383333333333332
tanh	0.001	True	(100, 100)	adaptive	1000	lbfgs	0.9227272727272726	0.9550000000000001	0.9133333333333333
tanh	0.001	True	(100, 100)	invscaling	500	lbfgs	0.9227272727272726	0.9550000000000001	0.9133333333333333
tanh	0.001	True	(100, 100)	constant	500	lbfgs	0.9227272727272726	0.9550000000000001	0.9133333333333333
tanh	0.001	True	(100, 100)	constant	1000	lbfgs	0.9227272727272726	0.9550000000000001	0.9133333333333333
tanh	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.9227272727272726	0.9550000000000001	0.9133333333333333
tanh	0.001	True	(100, 100)	adaptive	500	lbfgs	0.9227272727272726	0.9550000000000001	0.9133333333333333
logistic	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9318181818181819	0.9466666666666667	0.93
logistic	0.01	True	(100,)	constant	500	lbfgs	0.9218181818181819	0.9466666666666667	0.9174999999999999
relu	0.1	True	(100,)	invscaling	1000	lbfgs	0.9218181818181819	0.9466666666666667	0.9175000000000001
logistic	0.1	True	(50, 50)	constant	500	lbfgs	0.9318181818181819	0.9466666666666667	0.93
logistic	0.01	True	(50,)	adaptive	1000	lbfgs	0.9218181818181819	0.9466666666666667	0.9174999999999999
logistic	0.1	True	(50, 50)	constant	1000	lbfgs	0.9318181818181819	0.9466666666666667	0.93
logistic	0.01	True	(50,)	adaptive	500	lbfgs	0.9218181818181819	0.9466666666666667	0.9174999999999999
logistic	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9318181818181819	0.9466666666666667	0.93
relu	0.1	True	(100,)	adaptive	500	lbfgs	0.9218181818181819	0.9466666666666667	0.9175000000000001
logistic	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9318181818181819	0.9466666666666667	0.93
logistic	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9318181818181819	0.9466666666666667	0.93
logistic	0.01	True	(50,)	invscaling	1000	lbfgs	0.9218181818181819	0.9466666666666667	0.9174999999999999
logistic	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9318181818181819	0.9466666666666667	0.93
relu	0.1	True	(100,)	adaptive	1000	lbfgs	0.9218181818181819	0.9466666666666667	0.9175000000000001
logistic	0.01	True	(50,)	invscaling	500	lbfgs	0.9218181818181819	0.9466666666666667	0.9174999999999999
logistic	0.01	True	(50,)	constant	1000	lbfgs	0.9218181818181819	0.9466666666666667	0.9174999999999999
logistic	0.01	True	(50,)	constant	500	lbfgs	0.9218181818181819	0.9466666666666667	0.9174999999999999
logistic	0.1	True	(100, 100)	constant	500	lbfgs	0.9318181818181819	0.9466666666666667	0.93
logistic	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9318181818181819	0.9466666666666667	0.93
logistic	0.1	True	(100, 100)	constant	1000	lbfgs	0.9318181818181819	0.9466666666666667	0.93
logistic	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9318181818181819	0.9466666666666667	0.93
logistic	0.01	True	(100,)	constant	1000	lbfgs	0.9218181818181819	0.9466666666666667	0.9174999999999999
logistic	0.01	True	(100,)	invscaling	500	lbfgs	0.9218181818181819	0.9466666666666667	0.9174999999999999
relu	0.1	True	(100,)	invscaling	500	lbfgs	0.9218181818181819	0.9466666666666667	0.9175000000000001
logistic	0.01	True	(100,)	invscaling	1000	lbfgs	0.9218181818181819	0.9466666666666667	0.9174999999999999
relu	0.1	True	(100,)	constant	500	lbfgs	0.9218181818181819	0.9466666666666667	0.9175000000000001
relu	0.1	True	(100,)	constant	1000	lbfgs	0.9218181818181819	0.9466666666666667	0.9175000000000001
logistic	0.01	True	(100,)	adaptive	1000	lbfgs	0.9218181818181819	0.9466666666666667	0.9174999999999999
logistic	0.001	True	(100,)	constant	500	lbfgs	0.9218181818181819	0.9466666666666667	0.9174999999999999
identity	0.1	True	(100,)	constant	500	lbfgs	0.9318181818181819	0.9466666666666667	0.93
logistic	0.001	True	(100,)	constant	1000	lbfgs	0.9218181818181819	0.9466666666666667	0.9174999999999999
identity	0.1	True	(100,)	constant	1000	lbfgs	0.9318181818181819	0.9466666666666667	0.93
logistic	0.001	True	(100,)	invscaling	500	lbfgs	0.9218181818181819	0.9466666666666667	0.9174999999999999
identity	0.1	True	(100,)	invscaling	500	lbfgs	0.9318181818181819	0.9466666666666667	0.93
logistic	0.01	True	(100,)	adaptive	500	lbfgs	0.9218181818181819	0.9466666666666667	0.9174999999999999
logistic	0.001	True	(100,)	invscaling	1000	lbfgs	0.9218181818181819	0.9466666666666667	0.9174999999999999
identity	0.1	True	(100,)	invscaling	1000	lbfgs	0.9318181818181819	0.9466666666666667	0.93
identity	0.1	True	(100,)	adaptive	500	lbfgs	0.9318181818181819	0.9466666666666667	0.93
