colsample_bytree	eval_metric	gamma	learning_rate	max_depth	min_child_weight	n_estimators	objective	subsample	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.5	error	0	0.01	6	1	1000	binary:logitraw	0.5	0.9732142857142858	0.9	0.925
0.5	auc	0	0.01	4	1	1000	binary:logitraw	0.5	0.9732142857142858	0.9	0.925
0.5	error	0	0.01	8	1	1000	binary:logitraw	0.5	0.9732142857142858	0.9	0.925
0.5	auc	0	0.01	6	1	1000	binary:logitraw	0.5	0.9732142857142858	0.9	0.925
0.5	error	0	0.01	4	1	1000	binary:logitraw	0.5	0.9732142857142858	0.9	0.925
0.5	auc	0	0.01	8	1	1000	binary:logitraw	0.5	0.9732142857142858	0.9	0.925
0.5	auc	0	0.2	8	1	600	binary:logitraw	0.5	0.9589285714285716	0.85	0.9166666666666667
0.5	error	0	0.2	8	1	600	binary:logitraw	0.5	0.9589285714285716	0.85	0.9166666666666667
0.5	error	0	0.2	8	1	1000	binary:logitraw	0.5	0.9589285714285716	0.85	0.9166666666666667
0.5	auc	0	0.2	6	1	200	binary:logitraw	0.5	0.9589285714285716	0.85	0.9166666666666667
1.0	error	0	0.2	4	1	200	binary:logitraw	0.5	0.9589285714285716	0.85	0.9166666666666667
0.5	auc	0	0.2	8	1	200	binary:logitraw	0.5	0.9589285714285716	0.85	0.9166666666666667
1.0	auc	0	0.2	8	1	200	binary:logitraw	0.5	0.9589285714285716	0.85	0.9166666666666667
0.5	auc	0	0.2	6	1	600	binary:logitraw	0.5	0.9589285714285716	0.85	0.9166666666666667
1.0	auc	0	0.2	4	1	200	binary:logitraw	0.5	0.9589285714285716	0.85	0.9166666666666667
1.0	error	0	0.2	6	1	200	binary:logitraw	0.5	0.9589285714285716	0.85	0.9166666666666667
0.5	auc	0	0.2	4	1	200	binary:logitraw	0.5	0.9589285714285716	0.85	0.9166666666666667
0.5	error	0	0.2	4	1	200	binary:logitraw	0.5	0.9589285714285716	0.85	0.9166666666666667
0.5	auc	0	0.2	4	1	600	binary:logitraw	0.5	0.9589285714285716	0.85	0.9166666666666667
1.0	auc	0	0.2	6	1	200	binary:logitraw	0.5	0.9589285714285716	0.85	0.9166666666666667
0.5	error	0	0.2	8	1	200	binary:logitraw	0.5	0.9589285714285716	0.85	0.9166666666666667
0.5	error	0	0.2	6	1	1000	binary:logitraw	0.5	0.9589285714285716	0.85	0.9166666666666667
0.5	auc	0	0.2	4	1	1000	binary:logitraw	0.5	0.9589285714285716	0.85	0.9166666666666667
0.5	auc	0	0.2	8	1	1000	binary:logitraw	0.5	0.9589285714285716	0.85	0.9166666666666667
1.0	error	0	0.2	8	1	200	binary:logitraw	0.5	0.9589285714285716	0.85	0.9166666666666667
0.5	error	0	0.2	6	1	600	binary:logitraw	0.5	0.9589285714285716	0.85	0.9166666666666667
0.5	error	0	0.2	6	1	200	binary:logitraw	0.5	0.9589285714285716	0.85	0.9166666666666667
0.5	auc	0	0.2	6	1	1000	binary:logitraw	0.5	0.9589285714285716	0.85	0.9166666666666667
0.5	error	0	0.2	4	1	600	binary:logitraw	0.5	0.9589285714285716	0.85	0.9166666666666667
0.5	error	0	0.2	4	1	1000	binary:logitraw	0.5	0.9589285714285716	0.85	0.9166666666666667
0.5	auc	0	0.2	8	3	600	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
1.0	error	0	0.01	6	3	600	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
0.5	auc	0	0.2	8	3	200	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
1.0	auc	0	0.2	8	3	600	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
1.0	auc	0	0.2	6	3	600	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
1.0	auc	0	0.2	6	3	1000	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
1.0	auc	0	0.2	8	3	200	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
1.0	error	0	0.01	4	3	600	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
1.0	auc	0	0.2	8	3	1000	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
1.0	auc	0	0.2	4	3	1000	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
0.5	auc	0	0.2	8	3	1000	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
1.0	auc	0	0.2	6	3	200	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
1.0	auc	0	0.2	4	3	600	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
0.5	error	0	0.2	4	3	1000	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
0.5	error	0	0.01	8	3	600	binary:logitraw	0.5	0.9589285714285716	0.8	0.875
0.5	error	0	0.01	6	3	1000	binary:logitraw	0.5	0.9589285714285716	0.8	0.875
0.5	error	0	0.01	6	3	600	binary:logitraw	0.5	0.9589285714285716	0.8	0.875
0.5	error	0	0.2	4	3	200	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
0.5	error	0	0.2	4	3	600	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
0.5	error	0	0.01	4	3	1000	binary:logitraw	0.5	0.9589285714285716	0.8	0.875
0.5	error	0	0.01	4	3	600	binary:logitraw	0.5	0.9589285714285716	0.8	0.875
0.5	error	0	0.2	6	3	200	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
1.0	auc	0	0.2	4	3	200	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
0.5	error	0	0.2	6	3	600	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
0.5	error	0	0.2	6	3	1000	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
0.5	error	0	0.2	8	3	200	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
0.5	error	0	0.2	8	3	600	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
1.0	auc	0	0.01	4	3	600	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
1.0	auc	0	0.01	6	3	600	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
1.0	auc	0	0.01	8	3	600	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
0.5	error	0	0.2	8	3	1000	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
0.5	error	0	0.01	8	3	1000	binary:logitraw	0.5	0.9589285714285716	0.8	0.875
0.5	auc	0	0.01	4	3	600	binary:logitraw	0.5	0.9589285714285716	0.8	0.875
0.5	auc	0	0.01	8	3	600	binary:logitraw	0.5	0.9589285714285716	0.8	0.875
1.0	error	0	0.01	8	3	600	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
0.5	auc	0	0.01	4	3	1000	binary:logitraw	0.5	0.9589285714285716	0.8	0.875
0.5	auc	0	0.2	4	3	600	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
0.5	auc	0	0.01	8	3	1000	binary:logitraw	0.5	0.9589285714285716	0.8	0.875
1.0	error	0	0.2	8	3	200	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
1.0	error	0	0.2	8	3	600	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
0.5	auc	0	0.2	4	3	200	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
0.5	auc	0	0.2	6	3	200	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
1.0	error	0	0.2	4	3	200	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
1.0	error	0	0.2	6	3	200	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
1.0	error	0	0.2	6	3	600	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
1.0	error	0	0.2	4	3	600	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
0.5	auc	0	0.01	6	3	1000	binary:logitraw	0.5	0.9589285714285716	0.8	0.875
1.0	error	0	0.2	8	3	1000	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
0.5	auc	0	0.2	6	3	600	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
1.0	error	0	0.2	4	3	1000	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
1.0	error	0	0.2	6	3	1000	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
0.5	auc	0	0.2	6	3	1000	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
0.5	auc	0	0.01	6	3	600	binary:logitraw	0.5	0.9589285714285716	0.8	0.875
0.5	auc	0	0.2	4	3	1000	binary:logitraw	0.5	0.9714285714285715	0.8	0.9
1.0	auc	0	0.01	6	3	1000	binary:logitraw	0.5	0.9589285714285716	0.7666666666666666	0.8916666666666668
1.0	auc	0	0.01	8	3	1000	binary:logitraw	0.5	0.9589285714285716	0.7666666666666666	0.8916666666666668
1.0	error	0	0.01	8	3	1000	binary:logitraw	0.5	0.9589285714285716	0.7666666666666666	0.8916666666666668
1.0	auc	0	0.01	4	3	1000	binary:logitraw	0.5	0.9589285714285716	0.7666666666666666	0.8916666666666668
1.0	error	0	0.01	6	3	1000	binary:logitraw	0.5	0.9589285714285716	0.7666666666666666	0.8916666666666668
1.0	error	0	0.01	4	3	1000	binary:logitraw	0.5	0.9589285714285716	0.7666666666666666	0.8916666666666668
0.5	error	0	0.01	6	1	1000	binary:logitraw	1.0	0.9446428571428571	0.75	0.8666666666666668
1.0	error	0	0.2	8	1	1000	binary:logitraw	0.5	0.9446428571428571	0.75	0.8666666666666668
1.0	error	0	0.2	6	1	600	binary:logitraw	0.5	0.9446428571428571	0.75	0.8666666666666668
0.5	auc	0	0.01	8	1	1000	binary:logitraw	1.0	0.9446428571428571	0.75	0.8666666666666668
0.5	error	0	0.01	4	1	1000	binary:logitraw	1.0	0.9446428571428571	0.75	0.8666666666666668
1.0	error	0	0.2	8	1	600	binary:logitraw	0.5	0.9446428571428571	0.75	0.8666666666666668
1.0	error	0	0.2	6	1	1000	binary:logitraw	0.5	0.9446428571428571	0.75	0.8666666666666668
0.5	auc	0	0.01	6	1	1000	binary:logitraw	1.0	0.9446428571428571	0.75	0.8666666666666668
1.0	auc	0	0.2	4	1	600	binary:logitraw	0.5	0.9446428571428571	0.75	0.8666666666666668
1.0	error	0	0.2	4	1	1000	binary:logitraw	0.5	0.9446428571428571	0.75	0.8666666666666668
0.5	auc	0	0.01	4	1	1000	binary:logitraw	1.0	0.9446428571428571	0.75	0.8666666666666668
0.5	error	0	0.01	8	1	1000	binary:logitraw	1.0	0.9446428571428571	0.75	0.8666666666666668
1.0	auc	0	0.2	4	1	1000	binary:logitraw	0.5	0.9446428571428571	0.75	0.8666666666666668
1.0	auc	0	0.2	8	1	600	binary:logitraw	0.5	0.9446428571428571	0.75	0.8666666666666668
1.0	error	0	0.2	4	1	600	binary:logitraw	0.5	0.9446428571428571	0.75	0.8666666666666668
1.0	auc	0	0.2	8	1	1000	binary:logitraw	0.5	0.9446428571428571	0.75	0.8666666666666668
1.0	auc	0	0.2	6	1	1000	binary:logitraw	0.5	0.9446428571428571	0.75	0.8666666666666668
1.0	auc	0	0.2	6	1	600	binary:logitraw	0.5	0.9446428571428571	0.75	0.8666666666666668
0.5	error	0	0.01	4	1	600	binary:logitraw	0.5	0.9446428571428571	0.7	0.825
0.5	auc	0	0.01	6	3	200	binary:logitraw	0.5	0.9446428571428571	0.7	0.825
0.5	auc	0	0.01	4	1	600	binary:logitraw	0.5	0.9446428571428571	0.7	0.825
0.5	error	0	0.01	4	1	200	binary:logitraw	1.0	0.9446428571428571	0.7	0.825
0.5	error	0	0.01	8	3	200	binary:logitraw	0.5	0.9446428571428571	0.7	0.825
0.5	error	0	0.01	4	3	200	binary:logitraw	0.5	0.9446428571428571	0.7	0.825
0.5	auc	0	0.01	8	1	200	binary:logitraw	0.5	0.9446428571428571	0.7	0.825
0.5	auc	0	0.01	6	1	600	binary:logitraw	0.5	0.9446428571428571	0.7	0.825
0.5	auc	0	0.01	8	1	200	binary:logitraw	1.0	0.9446428571428571	0.7	0.825
0.5	auc	0	0.01	6	1	200	binary:logitraw	1.0	0.9446428571428571	0.7	0.825
0.5	auc	0	0.01	8	1	600	binary:logitraw	0.5	0.9446428571428571	0.7	0.825
0.5	auc	0	0.01	6	1	200	binary:logitraw	0.5	0.9446428571428571	0.7	0.825
0.5	error	0	0.01	8	1	600	binary:logitraw	0.5	0.9446428571428571	0.7	0.825
0.5	auc	0	0.01	8	3	200	binary:logitraw	0.5	0.9446428571428571	0.7	0.825
0.5	error	0	0.01	8	1	200	binary:logitraw	1.0	0.9446428571428571	0.7	0.825
0.5	error	0	0.01	6	1	600	binary:logitraw	0.5	0.9446428571428571	0.7	0.825
0.5	error	0	0.01	4	1	200	binary:logitraw	0.5	0.9446428571428571	0.7	0.825
0.5	error	0	0.01	6	3	200	binary:logitraw	0.5	0.9446428571428571	0.7	0.825
0.5	auc	0	0.01	4	3	200	binary:logitraw	0.5	0.9446428571428571	0.7	0.825
0.5	error	0	0.01	8	1	200	binary:logitraw	0.5	0.9446428571428571	0.7	0.825
0.5	auc	0	0.01	4	1	200	binary:logitraw	0.5	0.9446428571428571	0.7	0.825
0.5	error	0	0.01	6	1	200	binary:logitraw	1.0	0.9446428571428571	0.7	0.825
0.5	error	0	0.01	6	1	200	binary:logitraw	0.5	0.9446428571428571	0.7	0.825
0.5	auc	0	0.01	4	1	200	binary:logitraw	1.0	0.9446428571428571	0.7	0.825
1.0	error	0	0.01	4	1	200	binary:logitraw	1.0	0.8875	0.6833333333333333	0.8333333333333334
1.0	auc	0	0.01	6	1	200	binary:logitraw	1.0	0.8875	0.6833333333333333	0.8333333333333334
1.0	auc	0	0.01	4	1	200	binary:logitraw	1.0	0.8875	0.6833333333333333	0.8333333333333334
1.0	error	0	0.01	8	1	200	binary:logitraw	1.0	0.8875	0.6833333333333333	0.8333333333333334
1.0	auc	0	0.01	8	1	200	binary:logitraw	1.0	0.8875	0.6833333333333333	0.8333333333333334
1.0	error	0	0.01	6	1	200	binary:logitraw	1.0	0.8875	0.6833333333333333	0.8333333333333334
0.5	error	0	0.2	4	3	200	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.2	4	1	600	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.2	4	3	600	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.2	4	1	200	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.2	4	3	1000	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.2	4	1	1000	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
1.0	error	0	0.01	8	1	200	binary:logitraw	0.5	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.2	6	1	200	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
1.0	error	0	0.01	4	1	1000	binary:logitraw	0.5	0.9303571428571429	0.65	0.8166666666666668
1.0	auc	0	0.01	8	1	600	binary:logitraw	0.5	0.9303571428571429	0.65	0.8166666666666668
1.0	auc	0	0.01	8	1	1000	binary:logitraw	0.5	0.9303571428571429	0.65	0.8166666666666668
1.0	auc	0	0.01	8	3	200	binary:logitraw	0.5	0.9303571428571429	0.65	0.8166666666666668
1.0	error	0	0.01	8	3	200	binary:logitraw	0.5	0.9303571428571429	0.65	0.8166666666666668
1.0	error	0	0.01	4	1	200	binary:logitraw	0.5	0.9303571428571429	0.65	0.8166666666666668
1.0	error	0	0.01	4	1	600	binary:logitraw	0.5	0.9303571428571429	0.65	0.8166666666666668
1.0	error	0	0.01	4	3	200	binary:logitraw	0.5	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.2	6	1	600	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
1.0	error	0	0.01	6	1	200	binary:logitraw	0.5	0.9303571428571429	0.65	0.8166666666666668
1.0	error	0	0.01	6	1	600	binary:logitraw	0.5	0.9303571428571429	0.65	0.8166666666666668
1.0	error	0	0.01	8	1	1000	binary:logitraw	0.5	0.9303571428571429	0.65	0.8166666666666668
1.0	error	0	0.01	6	1	1000	binary:logitraw	0.5	0.9303571428571429	0.65	0.8166666666666668
1.0	error	0	0.01	6	3	200	binary:logitraw	0.5	0.9303571428571429	0.65	0.8166666666666668
1.0	error	0	0.01	8	1	600	binary:logitraw	0.5	0.9303571428571429	0.65	0.8166666666666668
1.0	auc	0	0.01	8	1	200	binary:logitraw	0.5	0.9303571428571429	0.65	0.8166666666666668
1.0	auc	0	0.01	6	3	200	binary:logitraw	0.5	0.9303571428571429	0.65	0.8166666666666668
1.0	auc	0	0.01	6	1	1000	binary:logitraw	0.5	0.9303571428571429	0.65	0.8166666666666668
1.0	auc	0	0.01	6	1	600	binary:logitraw	0.5	0.9303571428571429	0.65	0.8166666666666668
1.0	auc	0	0.01	6	1	200	binary:logitraw	0.5	0.9303571428571429	0.65	0.8166666666666668
1.0	auc	0	0.01	4	3	200	binary:logitraw	0.5	0.9303571428571429	0.65	0.8166666666666668
1.0	auc	0	0.01	4	1	1000	binary:logitraw	0.5	0.9303571428571429	0.65	0.8166666666666668
1.0	auc	0	0.01	4	1	600	binary:logitraw	0.5	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.2	8	3	600	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.2	8	3	200	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.2	8	1	1000	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.2	8	1	600	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.2	8	1	200	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.2	6	3	1000	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.2	6	3	600	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.2	6	3	200	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.2	6	1	1000	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.2	8	3	1000	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
1.0	auc	0	0.01	4	1	200	binary:logitraw	0.5	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.01	8	3	1000	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.2	4	3	600	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.01	4	3	600	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.01	4	3	1000	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.01	6	1	600	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.01	6	3	200	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.01	6	3	600	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.01	6	3	1000	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.01	8	1	600	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.01	8	3	200	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.01	8	3	600	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.01	8	3	1000	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.2	4	1	200	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.2	4	1	1000	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.2	4	3	200	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.2	4	3	1000	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.01	4	1	600	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.2	6	1	200	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.2	6	1	600	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.2	6	1	1000	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.2	6	3	200	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.2	6	3	600	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.2	6	3	1000	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.2	8	1	200	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.2	8	1	600	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.2	8	1	1000	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.2	8	3	200	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.2	8	3	600	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.2	8	3	1000	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.01	8	3	600	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.01	4	3	200	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	auc	0	0.2	4	1	600	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.01	4	3	1000	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.01	6	1	600	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.01	8	1	600	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.01	8	3	200	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.01	6	3	1000	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.01	6	3	200	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.01	6	3	600	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.01	4	1	600	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.01	4	3	600	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
0.5	error	0	0.01	4	3	200	binary:logitraw	1.0	0.9303571428571429	0.65	0.8166666666666668
1.0	auc	0	0.2	4	1	1000	binary:logitraw	1.0	0.9178571428571429	0.6	0.8095238095238095
1.0	auc	0	0.2	6	1	1000	binary:logitraw	1.0	0.9178571428571429	0.6	0.8095238095238095
1.0	auc	0	0.2	8	1	200	binary:logitraw	1.0	0.9178571428571429	0.6	0.8095238095238095
1.0	auc	0	0.2	4	1	600	binary:logitraw	1.0	0.9178571428571429	0.6	0.8095238095238095
1.0	auc	0	0.2	4	1	200	binary:logitraw	1.0	0.9178571428571429	0.6	0.8095238095238095
1.0	error	0	0.2	8	1	600	binary:logitraw	1.0	0.9178571428571429	0.6	0.8095238095238095
1.0	error	0	0.2	8	1	200	binary:logitraw	1.0	0.9178571428571429	0.6	0.8095238095238095
1.0	error	0	0.2	6	1	1000	binary:logitraw	1.0	0.9178571428571429	0.6	0.8095238095238095
1.0	error	0	0.2	4	1	200	binary:logitraw	1.0	0.9178571428571429	0.6	0.8095238095238095
1.0	error	0	0.2	6	1	600	binary:logitraw	1.0	0.9178571428571429	0.6	0.8095238095238095
1.0	auc	0	0.2	6	1	600	binary:logitraw	1.0	0.9178571428571429	0.6	0.8095238095238095
1.0	error	0	0.2	6	1	200	binary:logitraw	1.0	0.9178571428571429	0.6	0.8095238095238095
1.0	auc	0	0.2	8	1	1000	binary:logitraw	1.0	0.9178571428571429	0.6	0.8095238095238095
1.0	auc	0	0.2	6	1	200	binary:logitraw	1.0	0.9178571428571429	0.6	0.8095238095238095
1.0	error	0	0.2	4	1	1000	binary:logitraw	1.0	0.9178571428571429	0.6	0.8095238095238095
1.0	error	0	0.2	4	1	600	binary:logitraw	1.0	0.9178571428571429	0.6	0.8095238095238095
1.0	auc	0	0.2	8	1	600	binary:logitraw	1.0	0.9178571428571429	0.6	0.8095238095238095
1.0	error	0	0.2	8	1	1000	binary:logitraw	1.0	0.9178571428571429	0.6	0.8095238095238095
1.0	error	0	0.01	8	3	1000	binary:logitraw	1.0	0.9035714285714287	0.5833333333333333	0.8011904761904762
1.0	auc	0	0.01	4	3	1000	binary:logitraw	1.0	0.9035714285714287	0.5833333333333333	0.8011904761904762
1.0	auc	0	0.01	6	3	600	binary:logitraw	1.0	0.9035714285714287	0.5833333333333333	0.8011904761904762
1.0	error	0	0.01	8	3	600	binary:logitraw	1.0	0.9035714285714287	0.5833333333333333	0.8011904761904762
1.0	auc	0	0.01	4	3	600	binary:logitraw	1.0	0.9035714285714287	0.5833333333333333	0.8011904761904762
1.0	auc	0	0.01	6	3	1000	binary:logitraw	1.0	0.9035714285714287	0.5833333333333333	0.8011904761904762
1.0	error	0	0.01	6	3	600	binary:logitraw	1.0	0.9035714285714287	0.5833333333333333	0.8011904761904762
1.0	error	0	0.01	6	3	1000	binary:logitraw	1.0	0.9035714285714287	0.5833333333333333	0.8011904761904762
1.0	error	0	0.01	4	3	1000	binary:logitraw	1.0	0.9035714285714287	0.5833333333333333	0.8011904761904762
1.0	error	0	0.01	4	3	600	binary:logitraw	1.0	0.9035714285714287	0.5833333333333333	0.8011904761904762
