activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.001	True	(50, 50)	adaptive	1000	adam	0.8458498023715414	0.97	0.8415909090909091
logistic	0.001	True	(50, 50)	adaptive	500	adam	0.8458498023715414	0.97	0.8415909090909091
logistic	0.001	True	(50, 50)	invscaling	1000	adam	0.8458498023715414	0.97	0.8415909090909091
logistic	0.001	True	(50, 50)	invscaling	500	adam	0.8458498023715414	0.97	0.8415909090909091
logistic	0.001	True	(50, 50)	constant	1000	adam	0.8458498023715414	0.97	0.8415909090909091
logistic	0.001	True	(50, 50)	constant	500	adam	0.8458498023715414	0.97	0.8415909090909091
logistic	0.01	True	(50, 50)	invscaling	1000	adam	0.8545454545454547	0.9588888888888889	0.851060606060606
logistic	0.01	True	(50, 50)	adaptive	500	adam	0.8545454545454547	0.9588888888888889	0.851060606060606
logistic	0.01	True	(50, 50)	adaptive	1000	adam	0.8545454545454547	0.9588888888888889	0.851060606060606
logistic	0.01	True	(50, 50)	constant	1000	adam	0.8545454545454547	0.9588888888888889	0.851060606060606
logistic	0.01	True	(50, 50)	constant	500	adam	0.8545454545454547	0.9588888888888889	0.851060606060606
logistic	0.01	True	(50, 50)	invscaling	500	adam	0.8545454545454547	0.9588888888888889	0.851060606060606
logistic	0.1	True	(50, 50)	invscaling	1000	adam	0.8458498023715414	0.9477777777777778	0.8423484848484849
logistic	0.1	True	(50, 50)	adaptive	1000	adam	0.8458498023715414	0.9477777777777778	0.8423484848484849
logistic	0.1	True	(50, 50)	adaptive	500	adam	0.8458498023715414	0.9477777777777778	0.8423484848484849
logistic	0.1	True	(50, 50)	invscaling	500	adam	0.8458498023715414	0.9477777777777778	0.8423484848484849
logistic	0.1	True	(50, 50)	constant	1000	adam	0.8458498023715414	0.9477777777777778	0.8423484848484849
logistic	0.1	True	(50, 50)	constant	500	adam	0.8458498023715414	0.9477777777777778	0.8423484848484849
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.850197628458498	0.9252272727272727	0.8476515151515152
