activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
identity	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9544736842105263	1.0	0.94375
tanh	0.1	True	(50,)	constant	500	lbfgs	0.9647368421052631	1.0	0.95625
logistic	0.01	True	(100,)	adaptive	1000	lbfgs	0.9797368421052631	1.0	0.975
identity	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9394736842105263	1.0	0.925
identity	0.1	True	(100, 100)	constant	1000	lbfgs	0.9394736842105263	1.0	0.925
tanh	0.1	True	(50,)	adaptive	1000	lbfgs	0.9647368421052631	1.0	0.95625
identity	0.1	True	(100, 100)	constant	500	lbfgs	0.9394736842105263	1.0	0.925
logistic	0.01	True	(100, 100)	constant	500	adam	0.8481578947368419	1.0	0.8107142857142857
tanh	0.1	True	(100,)	constant	500	lbfgs	0.9497368421052631	1.0	0.9375
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.8481578947368419	1.0	0.8107142857142857
tanh	0.1	True	(100,)	constant	1000	lbfgs	0.9497368421052631	1.0	0.9375
logistic	0.01	True	(100, 100)	constant	1000	adam	0.8481578947368419	1.0	0.8107142857142857
identity	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9544736842105263	1.0	0.94375
tanh	0.1	True	(100,)	invscaling	500	lbfgs	0.9497368421052631	1.0	0.9375
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.8481578947368419	1.0	0.8107142857142857
identity	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9544736842105263	1.0	0.94375
tanh	0.1	True	(100,)	invscaling	1000	lbfgs	0.9497368421052631	1.0	0.9375
identity	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9394736842105263	1.0	0.925
tanh	0.1	True	(50,)	adaptive	500	lbfgs	0.9647368421052631	1.0	0.95625
logistic	0.01	True	(100,)	adaptive	1000	adam	0.8286842105263158	1.0	0.7875
logistic	0.01	True	(100,)	invscaling	500	lbfgs	0.9797368421052631	1.0	0.975
logistic	0.01	True	(100,)	constant	500	adam	0.8286842105263158	1.0	0.7875
logistic	0.001	True	(100,)	invscaling	1000	adam	0.8286842105263158	1.0	0.7875
logistic	0.01	True	(100,)	constant	1000	adam	0.8286842105263158	1.0	0.7875
logistic	0.01	True	(100,)	constant	1000	lbfgs	0.9797368421052631	1.0	0.975
tanh	0.1	True	(50,)	constant	1000	lbfgs	0.9647368421052631	1.0	0.95625
logistic	0.01	True	(100,)	invscaling	500	adam	0.8286842105263158	1.0	0.7875
tanh	0.1	True	(50,)	invscaling	500	lbfgs	0.9647368421052631	1.0	0.95625
logistic	0.01	True	(100,)	adaptive	500	lbfgs	0.9797368421052631	1.0	0.975
logistic	0.01	True	(100,)	invscaling	1000	adam	0.8286842105263158	1.0	0.7875
identity	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9394736842105263	1.0	0.925
logistic	0.01	True	(100,)	invscaling	1000	lbfgs	0.9797368421052631	1.0	0.975
logistic	0.01	True	(100,)	adaptive	500	adam	0.8286842105263158	1.0	0.7875
tanh	0.1	True	(50,)	invscaling	1000	lbfgs	0.9647368421052631	1.0	0.95625
identity	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9394736842105263	1.0	0.925
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.8481578947368419	1.0	0.8107142857142857
identity	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9544736842105263	1.0	0.94375
tanh	0.1	True	(100,)	adaptive	500	lbfgs	0.9497368421052631	1.0	0.9375
identity	0.1	True	(100,)	constant	1000	lbfgs	0.9497368421052631	1.0	0.9375
identity	0.1	True	(100,)	invscaling	500	lbfgs	0.9497368421052631	1.0	0.9375
tanh	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9497368421052631	1.0	0.9375
logistic	0.001	True	(100,)	invscaling	1000	lbfgs	0.9797368421052631	1.0	0.975
logistic	0.001	True	(100,)	constant	500	lbfgs	0.9797368421052631	1.0	0.975
logistic	0.001	True	(100,)	constant	1000	adam	0.8286842105263158	1.0	0.7875
identity	0.1	True	(50,)	adaptive	1000	lbfgs	0.9747368421052631	1.0	0.96875
tanh	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9497368421052631	1.0	0.9375
logistic	0.001	True	(100,)	constant	500	adam	0.8286842105263158	1.0	0.7875
tanh	0.1	True	(100, 100)	constant	500	lbfgs	0.9497368421052631	1.0	0.9375
logistic	0.001	True	(100,)	constant	1000	lbfgs	0.9797368421052631	1.0	0.975
tanh	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9497368421052631	1.0	0.9375
logistic	0.001	True	(100,)	invscaling	500	adam	0.8286842105263158	1.0	0.7875
identity	0.1	True	(100,)	constant	500	lbfgs	0.9497368421052631	1.0	0.9375
tanh	0.1	True	(100, 100)	constant	1000	lbfgs	0.9497368421052631	1.0	0.9375
tanh	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9647368421052631	1.0	0.95625
logistic	0.001	True	(100,)	adaptive	500	adam	0.8286842105263158	1.0	0.7875
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.8481578947368419	1.0	0.8107142857142857
logistic	0.001	True	(100,)	adaptive	500	lbfgs	0.9797368421052631	1.0	0.975
identity	0.1	True	(50, 50)	constant	1000	lbfgs	0.9544736842105263	1.0	0.94375
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.8481578947368419	1.0	0.8107142857142857
identity	0.1	True	(50, 50)	constant	500	lbfgs	0.9544736842105263	1.0	0.94375
tanh	0.1	True	(100,)	adaptive	1000	lbfgs	0.9497368421052631	1.0	0.9375
tanh	0.1	True	(50, 50)	constant	500	lbfgs	0.9647368421052631	1.0	0.95625
identity	0.1	True	(100,)	adaptive	1000	lbfgs	0.9497368421052631	1.0	0.9375
tanh	0.1	True	(50, 50)	constant	1000	lbfgs	0.9647368421052631	1.0	0.95625
tanh	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9647368421052631	1.0	0.95625
identity	0.1	True	(100,)	adaptive	500	lbfgs	0.9497368421052631	1.0	0.9375
tanh	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9647368421052631	1.0	0.95625
identity	0.1	True	(50,)	adaptive	500	lbfgs	0.9747368421052631	1.0	0.96875
tanh	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9647368421052631	1.0	0.95625
identity	0.1	True	(100,)	invscaling	1000	lbfgs	0.9497368421052631	1.0	0.9375
tanh	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9497368421052631	1.0	0.9375
logistic	0.001	True	(100,)	adaptive	1000	adam	0.8286842105263158	1.0	0.7875
logistic	0.01	True	(100,)	constant	500	lbfgs	0.9797368421052631	1.0	0.975
relu	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9847368421052632	1.0	0.98125
logistic	0.1	True	(50, 50)	constant	1000	lbfgs	0.9847368421052632	1.0	0.98125
relu	0.1	True	(100,)	constant	1000	lbfgs	0.9847368421052632	1.0	0.98125
logistic	0.1	True	(100,)	constant	1000	lbfgs	0.9847368421052632	1.0	0.98125
logistic	0.1	True	(100,)	invscaling	500	adam	0.8286842105263158	1.0	0.7875
relu	0.1	True	(100,)	invscaling	500	lbfgs	0.9847368421052632	1.0	0.98125
logistic	0.1	True	(100,)	invscaling	500	lbfgs	0.9847368421052632	1.0	0.98125
logistic	0.1	True	(100,)	invscaling	1000	adam	0.8286842105263158	1.0	0.7875
relu	0.1	True	(100,)	invscaling	1000	lbfgs	0.9847368421052632	1.0	0.98125
logistic	0.1	True	(100,)	invscaling	1000	lbfgs	0.9847368421052632	1.0	0.98125
logistic	0.1	True	(100,)	adaptive	500	adam	0.8286842105263158	1.0	0.7875
relu	0.1	True	(100,)	adaptive	500	lbfgs	0.9847368421052632	1.0	0.98125
logistic	0.1	True	(100,)	adaptive	500	lbfgs	0.9847368421052632	1.0	0.98125
logistic	0.1	True	(100,)	adaptive	1000	adam	0.8286842105263158	1.0	0.7875
relu	0.1	True	(100,)	adaptive	1000	lbfgs	0.9847368421052632	1.0	0.98125
logistic	0.1	True	(100,)	adaptive	1000	lbfgs	0.9847368421052632	1.0	0.98125
logistic	0.1	True	(50, 50)	constant	500	lbfgs	0.9847368421052632	1.0	0.98125
logistic	0.1	True	(100,)	constant	1000	adam	0.8286842105263158	1.0	0.7875
logistic	0.1	True	(100,)	constant	500	lbfgs	0.9847368421052632	1.0	0.98125
relu	0.1	True	(100,)	constant	500	lbfgs	0.9847368421052632	1.0	0.98125
logistic	0.1	True	(50,)	invscaling	500	lbfgs	0.9897368421052631	1.0	0.9875
relu	0.1	True	(50,)	constant	500	lbfgs	0.9847368421052632	1.0	0.98125
logistic	0.1	True	(50,)	constant	500	lbfgs	0.9897368421052631	1.0	0.9875
relu	0.1	True	(50,)	constant	1000	lbfgs	0.9847368421052632	1.0	0.98125
logistic	0.1	True	(50,)	constant	1000	lbfgs	0.9897368421052631	1.0	0.9875
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.8481578947368419	1.0	0.8107142857142857
relu	0.1	True	(50,)	invscaling	500	lbfgs	0.9847368421052632	1.0	0.98125
relu	0.1	True	(50,)	invscaling	1000	lbfgs	0.9847368421052632	1.0	0.98125
logistic	0.1	True	(100,)	constant	500	adam	0.8286842105263158	1.0	0.7875
logistic	0.1	True	(50,)	invscaling	1000	lbfgs	0.9897368421052631	1.0	0.9875
relu	0.1	True	(50,)	adaptive	500	lbfgs	0.9847368421052632	1.0	0.98125
logistic	0.1	True	(50,)	adaptive	500	lbfgs	0.9897368421052631	1.0	0.9875
logistic	0.001	True	(100, 100)	constant	1000	adam	0.8481578947368419	1.0	0.8107142857142857
relu	0.1	True	(50,)	adaptive	1000	lbfgs	0.9847368421052632	1.0	0.98125
logistic	0.1	True	(50,)	adaptive	1000	lbfgs	0.9897368421052631	1.0	0.9875
identity	0.1	True	(50,)	invscaling	1000	lbfgs	0.9747368421052631	1.0	0.96875
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.8481578947368419	1.0	0.8107142857142857
logistic	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9847368421052632	1.0	0.98125
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.8481578947368419	1.0	0.8107142857142857
logistic	0.001	True	(100,)	adaptive	1000	lbfgs	0.9797368421052631	1.0	0.975
relu	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9847368421052632	1.0	0.98125
identity	0.1	True	(50,)	invscaling	500	lbfgs	0.9747368421052631	1.0	0.96875
relu	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9847368421052632	1.0	0.98125
identity	0.1	True	(50,)	constant	1000	lbfgs	0.9747368421052631	1.0	0.96875
logistic	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9897368421052631	1.0	0.9875
relu	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9847368421052632	1.0	0.98125
logistic	0.1	True	(100, 100)	adaptive	1000	adam	0.8381578947368421	1.0	0.7982142857142858
logistic	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9897368421052631	1.0	0.9875
relu	0.1	True	(100, 100)	constant	1000	lbfgs	0.9847368421052632	1.0	0.98125
logistic	0.1	True	(100, 100)	adaptive	500	adam	0.8381578947368421	1.0	0.7982142857142858
logistic	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9897368421052631	1.0	0.9875
logistic	0.1	True	(100, 100)	invscaling	1000	adam	0.8381578947368421	1.0	0.7982142857142858
logistic	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9897368421052631	1.0	0.9875
relu	0.1	True	(100, 100)	constant	500	lbfgs	0.9847368421052632	1.0	0.98125
logistic	0.1	True	(100, 100)	invscaling	500	adam	0.8381578947368421	1.0	0.7982142857142858
logistic	0.1	True	(100, 100)	constant	500	lbfgs	0.9897368421052631	1.0	0.9875
logistic	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9847368421052632	1.0	0.98125
logistic	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9847368421052632	1.0	0.98125
logistic	0.1	True	(100, 100)	constant	500	adam	0.8381578947368421	1.0	0.7982142857142858
logistic	0.001	True	(100, 100)	constant	500	adam	0.8481578947368419	1.0	0.8107142857142857
logistic	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9847368421052632	1.0	0.98125
logistic	0.1	True	(100, 100)	constant	1000	adam	0.8381578947368421	1.0	0.7982142857142858
identity	0.1	True	(50,)	constant	500	lbfgs	0.9747368421052631	1.0	0.96875
logistic	0.1	True	(100, 100)	constant	1000	lbfgs	0.9897368421052631	1.0	0.9875
logistic	0.001	True	(100,)	invscaling	500	lbfgs	0.9797368421052631	1.0	0.975
logistic	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.9747368421052631	0.9888888888888889	0.9708333333333332
logistic	0.001	True	(100, 100)	constant	1000	lbfgs	0.9747368421052631	0.9888888888888889	0.9708333333333332
logistic	0.001	True	(100, 100)	adaptive	500	lbfgs	0.9747368421052631	0.9888888888888889	0.9708333333333332
logistic	0.001	True	(100, 100)	adaptive	1000	lbfgs	0.9747368421052631	0.9888888888888889	0.9708333333333332
logistic	0.001	True	(100, 100)	invscaling	500	lbfgs	0.9747368421052631	0.9888888888888889	0.9708333333333332
logistic	0.001	True	(100, 100)	constant	500	lbfgs	0.9747368421052631	0.9888888888888889	0.9708333333333332
relu	0.001	True	(100,)	adaptive	500	lbfgs	0.9644736842105261	0.9875	0.9583333333333334
relu	0.001	True	(100,)	invscaling	1000	lbfgs	0.9644736842105261	0.9875	0.9583333333333334
relu	0.001	True	(100,)	constant	500	lbfgs	0.9644736842105261	0.9875	0.9583333333333334
relu	0.001	True	(100,)	invscaling	500	lbfgs	0.9644736842105261	0.9875	0.9583333333333334
relu	0.001	True	(100,)	constant	1000	lbfgs	0.9644736842105261	0.9875	0.9583333333333334
relu	0.001	True	(100,)	adaptive	1000	lbfgs	0.9644736842105261	0.9875	0.9583333333333334
tanh	0.001	True	(100, 100)	adaptive	1000	lbfgs	0.9747368421052631	0.9875	0.9708333333333334
relu	0.01	True	(100, 100)	adaptive	1000	lbfgs	0.9747368421052631	0.9875	0.9708333333333334
tanh	0.01	True	(100, 100)	constant	500	lbfgs	0.9747368421052631	0.9875	0.9708333333333334
relu	0.01	True	(100, 100)	adaptive	500	lbfgs	0.9747368421052631	0.9875	0.9708333333333334
tanh	0.01	True	(100, 100)	invscaling	1000	lbfgs	0.9747368421052631	0.9875	0.9708333333333334
tanh	0.01	True	(100, 100)	adaptive	500	lbfgs	0.9747368421052631	0.9875	0.9708333333333334
tanh	0.01	True	(100, 100)	adaptive	1000	lbfgs	0.9747368421052631	0.9875	0.9708333333333334
logistic	0.01	True	(50,)	adaptive	1000	lbfgs	0.9797368421052631	0.9875	0.9770833333333334
logistic	0.01	True	(50,)	adaptive	500	lbfgs	0.9797368421052631	0.9875	0.9770833333333334
logistic	0.01	True	(50,)	invscaling	1000	lbfgs	0.9797368421052631	0.9875	0.9770833333333334
logistic	0.01	True	(50,)	invscaling	500	lbfgs	0.9797368421052631	0.9875	0.9770833333333334
logistic	0.01	True	(50,)	constant	1000	lbfgs	0.9797368421052631	0.9875	0.9770833333333334
logistic	0.01	True	(50,)	constant	500	lbfgs	0.9797368421052631	0.9875	0.9770833333333334
relu	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9797368421052631	0.9875	0.9770833333333334
relu	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9797368421052631	0.9875	0.9770833333333334
relu	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9797368421052631	0.9875	0.9770833333333334
relu	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9797368421052631	0.9875	0.9770833333333334
relu	0.1	True	(50, 50)	constant	1000	lbfgs	0.9797368421052631	0.9875	0.9770833333333334
relu	0.1	True	(50, 50)	constant	500	lbfgs	0.9797368421052631	0.9875	0.9770833333333334
tanh	0.001	True	(100, 100)	constant	500	lbfgs	0.9747368421052631	0.9875	0.9708333333333334
tanh	0.001	True	(100, 100)	constant	1000	lbfgs	0.9747368421052631	0.9875	0.9708333333333334
tanh	0.001	True	(100, 100)	invscaling	500	lbfgs	0.9747368421052631	0.9875	0.9708333333333334
tanh	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.9747368421052631	0.9875	0.9708333333333334
tanh	0.001	True	(100, 100)	adaptive	500	lbfgs	0.9747368421052631	0.9875	0.9708333333333334
tanh	0.01	True	(100, 100)	constant	1000	lbfgs	0.9747368421052631	0.9875	0.9708333333333334
tanh	0.01	True	(100, 100)	invscaling	500	lbfgs	0.9747368421052631	0.9875	0.9708333333333334
relu	0.01	True	(100,)	constant	500	lbfgs	0.9644736842105261	0.9875	0.9583333333333334
logistic	0.001	True	(50,)	constant	500	lbfgs	0.9797368421052631	0.9875	0.9770833333333334
relu	0.01	True	(100, 100)	invscaling	1000	lbfgs	0.9747368421052631	0.9875	0.9708333333333334
relu	0.01	True	(100, 100)	invscaling	500	lbfgs	0.9747368421052631	0.9875	0.9708333333333334
logistic	0.001	True	(50,)	adaptive	1000	lbfgs	0.9797368421052631	0.9875	0.9770833333333334
relu	0.01	True	(100, 100)	constant	1000	lbfgs	0.9747368421052631	0.9875	0.9708333333333334
relu	0.01	True	(100, 100)	constant	500	lbfgs	0.9747368421052631	0.9875	0.9708333333333334
logistic	0.001	True	(50,)	adaptive	500	lbfgs	0.9797368421052631	0.9875	0.9770833333333334
logistic	0.001	True	(50,)	invscaling	1000	lbfgs	0.9797368421052631	0.9875	0.9770833333333334
relu	0.01	True	(100,)	constant	1000	lbfgs	0.9644736842105261	0.9875	0.9583333333333334
logistic	0.001	True	(50,)	constant	1000	lbfgs	0.9797368421052631	0.9875	0.9770833333333334
logistic	0.001	True	(50,)	invscaling	500	lbfgs	0.9797368421052631	0.9875	0.9770833333333334
logistic	0.01	True	(100, 100)	adaptive	1000	lbfgs	0.9847368421052632	0.9875	0.9833333333333334
logistic	0.01	True	(100, 100)	adaptive	500	lbfgs	0.9847368421052632	0.9875	0.9833333333333334
logistic	0.01	True	(100, 100)	invscaling	1000	lbfgs	0.9847368421052632	0.9875	0.9833333333333334
logistic	0.01	True	(100, 100)	invscaling	500	lbfgs	0.9847368421052632	0.9875	0.9833333333333334
logistic	0.01	True	(100, 100)	constant	1000	lbfgs	0.9847368421052632	0.9875	0.9833333333333334
relu	0.01	True	(100,)	adaptive	1000	lbfgs	0.9644736842105261	0.9875	0.9583333333333334
relu	0.01	True	(100,)	adaptive	500	lbfgs	0.9644736842105261	0.9875	0.9583333333333334
logistic	0.01	True	(100, 100)	constant	500	lbfgs	0.9847368421052632	0.9875	0.9833333333333334
relu	0.01	True	(100,)	invscaling	1000	lbfgs	0.9644736842105261	0.9875	0.9583333333333334
relu	0.01	True	(100,)	invscaling	500	lbfgs	0.9644736842105261	0.9875	0.9583333333333334
relu	0.001	True	(100, 100)	adaptive	1000	lbfgs	0.9647368421052631	0.9857142857142858	0.9583333333333333
relu	0.001	True	(100, 100)	adaptive	500	lbfgs	0.9647368421052631	0.9857142857142858	0.9583333333333333
relu	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.9647368421052631	0.9857142857142858	0.9583333333333333
relu	0.001	True	(100, 100)	constant	500	lbfgs	0.9647368421052631	0.9857142857142858	0.9583333333333333
relu	0.001	True	(100, 100)	invscaling	500	lbfgs	0.9647368421052631	0.9857142857142858	0.9583333333333333
relu	0.001	True	(100, 100)	constant	1000	lbfgs	0.9647368421052631	0.9857142857142858	0.9583333333333333
relu	0.001	True	(50, 50)	invscaling	500	adam	0.8789473684210527	0.9800000000000001	0.8502976190476191
relu	0.1	True	(50, 50)	adaptive	500	adam	0.8789473684210527	0.9800000000000001	0.8502976190476191
relu	0.001	True	(50, 50)	invscaling	1000	adam	0.8789473684210527	0.9800000000000001	0.8502976190476191
relu	0.1	True	(50, 50)	constant	500	adam	0.8789473684210527	0.9800000000000001	0.8502976190476191
relu	0.001	True	(50, 50)	constant	1000	adam	0.8789473684210527	0.9800000000000001	0.8502976190476191
relu	0.01	True	(50, 50)	invscaling	500	adam	0.8789473684210527	0.9800000000000001	0.8502976190476191
relu	0.01	True	(50, 50)	invscaling	1000	adam	0.8789473684210527	0.9800000000000001	0.8502976190476191
relu	0.01	True	(50, 50)	constant	1000	adam	0.8789473684210527	0.9800000000000001	0.8502976190476191
relu	0.1	True	(50, 50)	constant	1000	adam	0.8789473684210527	0.9800000000000001	0.8502976190476191
relu	0.01	True	(50, 50)	constant	500	adam	0.8789473684210527	0.9800000000000001	0.8502976190476191
relu	0.1	True	(50, 50)	invscaling	500	adam	0.8789473684210527	0.9800000000000001	0.8502976190476191
relu	0.1	True	(50, 50)	invscaling	1000	adam	0.8789473684210527	0.9800000000000001	0.8502976190476191
relu	0.001	True	(50, 50)	constant	500	adam	0.8789473684210527	0.9800000000000001	0.8502976190476191
relu	0.1	True	(50, 50)	adaptive	1000	adam	0.8789473684210527	0.9800000000000001	0.8502976190476191
relu	0.001	True	(50, 50)	adaptive	500	adam	0.8789473684210527	0.9800000000000001	0.8502976190476191
relu	0.01	True	(50, 50)	adaptive	500	adam	0.8789473684210527	0.9800000000000001	0.8502976190476191
relu	0.001	True	(50, 50)	adaptive	1000	adam	0.8789473684210527	0.9800000000000001	0.8502976190476191
relu	0.01	True	(50, 50)	adaptive	1000	adam	0.8789473684210527	0.9800000000000001	0.8502976190476191
relu	0.01	True	(50, 50)	invscaling	500	lbfgs	0.9747368421052631	0.976388888888889	0.9729166666666667
relu	0.01	True	(50, 50)	adaptive	500	lbfgs	0.9747368421052631	0.976388888888889	0.9729166666666667
relu	0.01	True	(50, 50)	invscaling	1000	lbfgs	0.9747368421052631	0.976388888888889	0.9729166666666667
relu	0.01	True	(50, 50)	adaptive	1000	lbfgs	0.9747368421052631	0.976388888888889	0.9729166666666667
relu	0.01	True	(100, 100)	constant	500	adam	0.9394736842105262	0.976388888888889	0.9291666666666666
