max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
6	sqrt	4	10	200	0.9186813186813186	0.9607142857142857	0.9214285714285714
6	sqrt	4	2	200	0.9258241758241759	0.9527777777777778	0.9273809523809524
6	sqrt	4	8	200	0.9258241758241759	0.9527777777777778	0.9273809523809524
6	sqrt	4	4	200	0.9258241758241759	0.9527777777777778	0.9273809523809524
10	sqrt	4	2	200	0.9192307692307692	0.9482142857142858	0.9202380952380953
10	sqrt	4	4	200	0.9192307692307692	0.9482142857142858	0.9202380952380953
12	sqrt	2	2	1000	0.926923076923077	0.9482142857142858	0.9273809523809524
8	sqrt	4	8	200	0.9192307692307692	0.9482142857142858	0.9202380952380953
12	sqrt	2	4	1000	0.926923076923077	0.9482142857142858	0.9273809523809524
10	sqrt	4	8	200	0.9192307692307692	0.9482142857142858	0.9202380952380953
8	sqrt	4	2	200	0.9192307692307692	0.9482142857142858	0.9202380952380953
12	sqrt	4	2	200	0.9192307692307692	0.9482142857142858	0.9202380952380953
12	sqrt	4	8	200	0.9192307692307692	0.9482142857142858	0.9202380952380953
8	sqrt	4	10	200	0.9192307692307692	0.9482142857142858	0.9202380952380953
12	sqrt	4	4	200	0.9192307692307692	0.9482142857142858	0.9202380952380953
8	sqrt	4	4	200	0.9192307692307692	0.9482142857142858	0.9202380952380953
12	sqrt	4	8	1000	0.9115384615384615	0.9464285714285715	0.9130952380952382
10	sqrt	4	2	1000	0.9115384615384615	0.9464285714285715	0.9130952380952382
12	sqrt	4	10	200	0.9115384615384615	0.9464285714285715	0.9130952380952382
10	sqrt	4	8	1000	0.9115384615384615	0.9464285714285715	0.9130952380952382
10	sqrt	4	4	1000	0.9115384615384615	0.9464285714285715	0.9130952380952382
12	sqrt	4	4	1000	0.9115384615384615	0.9464285714285715	0.9130952380952382
12	sqrt	4	2	1000	0.9115384615384615	0.9464285714285715	0.9130952380952382
10	sqrt	4	10	200	0.9115384615384615	0.9464285714285715	0.9130952380952382
8	sqrt	4	4	1000	0.9115384615384615	0.9464285714285715	0.9130952380952382
8	sqrt	4	8	1000	0.9115384615384615	0.9464285714285715	0.9130952380952382
6	sqrt	4	4	1000	0.9115384615384615	0.9464285714285715	0.9130952380952382
6	sqrt	4	8	1000	0.9115384615384615	0.9464285714285715	0.9130952380952382
8	sqrt	4	2	1000	0.9115384615384615	0.9464285714285715	0.9130952380952382
6	sqrt	4	2	1000	0.9115384615384615	0.9464285714285715	0.9130952380952382
8	sqrt	8	4	200	0.9043956043956044	0.9446428571428571	0.9059523809523811
8	sqrt	8	8	200	0.9043956043956044	0.9446428571428571	0.9059523809523811
6	sqrt	8	4	200	0.9043956043956044	0.9446428571428571	0.9059523809523811
10	sqrt	8	10	200	0.9043956043956044	0.9446428571428571	0.9059523809523811
12	sqrt	8	8	200	0.9043956043956044	0.9446428571428571	0.9059523809523811
12	sqrt	8	4	200	0.9043956043956044	0.9446428571428571	0.9059523809523811
12	sqrt	8	2	200	0.9043956043956044	0.9446428571428571	0.9059523809523811
8	log2	8	10	200	0.9186813186813187	0.9446428571428571	0.9205357142857142
10	sqrt	8	2	200	0.9043956043956044	0.9446428571428571	0.9059523809523811
10	sqrt	8	4	200	0.9043956043956044	0.9446428571428571	0.9059523809523811
8	log2	8	8	200	0.9186813186813187	0.9446428571428571	0.9205357142857142
8	log2	8	4	200	0.9186813186813187	0.9446428571428571	0.9205357142857142
8	sqrt	8	2	200	0.9043956043956044	0.9446428571428571	0.9059523809523811
6	log2	8	2	200	0.9186813186813187	0.9446428571428571	0.9205357142857142
6	log2	8	4	200	0.9186813186813187	0.9446428571428571	0.9205357142857142
10	sqrt	8	8	200	0.9043956043956044	0.9446428571428571	0.9059523809523811
10	log2	8	2	200	0.9186813186813187	0.9446428571428571	0.9205357142857142
6	log2	8	8	200	0.9186813186813187	0.9446428571428571	0.9205357142857142
10	log2	8	4	200	0.9186813186813187	0.9446428571428571	0.9205357142857142
12	sqrt	8	10	200	0.9043956043956044	0.9446428571428571	0.9059523809523811
8	log2	8	2	200	0.9186813186813187	0.9446428571428571	0.9205357142857142
12	log2	8	4	200	0.9186813186813187	0.9446428571428571	0.9205357142857142
6	sqrt	8	2	200	0.9043956043956044	0.9446428571428571	0.9059523809523811
12	log2	8	2	200	0.9186813186813187	0.9446428571428571	0.9205357142857142
6	sqrt	8	10	200	0.9043956043956044	0.9446428571428571	0.9059523809523811
6	log2	8	10	200	0.9186813186813187	0.9446428571428571	0.9205357142857142
12	log2	8	8	200	0.9186813186813187	0.9446428571428571	0.9205357142857142
8	sqrt	8	10	200	0.9043956043956044	0.9446428571428571	0.9059523809523811
6	sqrt	8	8	200	0.9043956043956044	0.9446428571428571	0.9059523809523811
10	log2	8	8	200	0.9186813186813187	0.9446428571428571	0.9205357142857142
12	log2	8	10	200	0.9186813186813187	0.9446428571428571	0.9205357142857142
10	log2	8	10	200	0.9186813186813187	0.9446428571428571	0.9205357142857142
8	log2	10	8	200	0.9038461538461539	0.9428571428571428	0.9071428571428571
12	log2	10	10	200	0.9038461538461539	0.9428571428571428	0.9071428571428571
6	log2	10	2	200	0.9038461538461539	0.9428571428571428	0.9071428571428571
10	log2	10	10	200	0.9038461538461539	0.9428571428571428	0.9071428571428571
10	log2	10	8	200	0.9038461538461539	0.9428571428571428	0.9071428571428571
8	log2	10	10	200	0.9038461538461539	0.9428571428571428	0.9071428571428571
8	log2	10	2	200	0.9038461538461539	0.9428571428571428	0.9071428571428571
12	log2	10	2	200	0.9038461538461539	0.9428571428571428	0.9071428571428571
10	log2	10	4	200	0.9038461538461539	0.9428571428571428	0.9071428571428571
12	log2	10	4	200	0.9038461538461539	0.9428571428571428	0.9071428571428571
6	log2	10	4	200	0.9038461538461539	0.9428571428571428	0.9071428571428571
8	log2	10	4	200	0.9038461538461539	0.9428571428571428	0.9071428571428571
10	log2	10	2	200	0.9038461538461539	0.9428571428571428	0.9071428571428571
6	log2	10	10	200	0.9038461538461539	0.9428571428571428	0.9071428571428571
6	log2	10	8	200	0.9038461538461539	0.9428571428571428	0.9071428571428571
12	log2	10	8	200	0.9038461538461539	0.9428571428571428	0.9071428571428571
8	sqrt	2	4	1000	0.9192307692307693	0.9384920634920636	0.9190476190476191
12	sqrt	2	8	200	0.9263736263736264	0.9384920634920636	0.9261904761904762
8	sqrt	2	8	200	0.9263736263736264	0.9384920634920636	0.9261904761904762
8	sqrt	2	2	1000	0.9192307692307693	0.9384920634920636	0.9190476190476191
8	log2	2	8	600	0.9192307692307693	0.9384920634920636	0.9181547619047621
12	log2	2	2	600	0.9192307692307693	0.9384920634920636	0.9181547619047621
12	log2	2	4	600	0.9192307692307693	0.9384920634920636	0.9181547619047621
10	sqrt	2	8	200	0.9263736263736264	0.9384920634920636	0.9261904761904762
8	sqrt	4	10	600	0.9115384615384615	0.9384920634920635	0.9119047619047619
6	sqrt	2	4	1000	0.9192307692307692	0.9384920634920635	0.919047619047619
6	sqrt	2	2	1000	0.9192307692307692	0.9384920634920635	0.919047619047619
8	log2	2	4	1000	0.9120879120879122	0.9367063492063492	0.911904761904762
6	sqrt	4	10	1000	0.9038461538461539	0.9367063492063492	0.9047619047619048
10	sqrt	4	10	1000	0.9038461538461539	0.9367063492063492	0.9047619047619048
10	log2	2	2	1000	0.9120879120879122	0.9367063492063492	0.911904761904762
10	sqrt	4	10	600	0.9038461538461539	0.9367063492063492	0.9047619047619048
12	log2	2	4	1000	0.9120879120879122	0.9367063492063492	0.911904761904762
12	log2	2	2	1000	0.9120879120879122	0.9367063492063492	0.911904761904762
12	sqrt	4	10	1000	0.9038461538461539	0.9367063492063492	0.9047619047619048
12	sqrt	4	10	600	0.9038461538461539	0.9367063492063492	0.9047619047619048
10	log2	2	4	1000	0.9120879120879122	0.9367063492063492	0.911904761904762
8	sqrt	4	10	1000	0.9038461538461539	0.9367063492063492	0.9047619047619048
8	log2	2	2	1000	0.9120879120879122	0.9367063492063492	0.911904761904762
10	log2	4	8	1000	0.9043956043956044	0.9349206349206349	0.9047619047619048
10	log2	8	2	1000	0.9115384615384615	0.9349206349206349	0.9130952380952382
10	log2	8	10	1000	0.9115384615384615	0.9349206349206349	0.9130952380952382
10	log2	8	4	1000	0.9115384615384615	0.9349206349206349	0.9130952380952382
10	log2	8	8	1000	0.9115384615384615	0.9349206349206349	0.9130952380952382
8	log2	4	2	1000	0.9043956043956044	0.9349206349206349	0.9047619047619048
10	log2	4	4	1000	0.9043956043956044	0.9349206349206349	0.9047619047619048
10	log2	4	2	1000	0.9043956043956044	0.9349206349206349	0.9047619047619048
6	log2	4	10	1000	0.9043956043956044	0.9349206349206349	0.9047619047619048
8	log2	4	4	1000	0.9043956043956044	0.9349206349206349	0.9047619047619048
8	log2	8	8	1000	0.9115384615384615	0.9349206349206349	0.9130952380952382
12	log2	8	10	1000	0.9115384615384615	0.9349206349206349	0.9130952380952382
12	log2	8	8	1000	0.9115384615384615	0.9349206349206349	0.9130952380952382
12	log2	8	4	1000	0.9115384615384615	0.9349206349206349	0.9130952380952382
12	log2	8	2	1000	0.9115384615384615	0.9349206349206349	0.9130952380952382
12	log2	4	10	1000	0.9043956043956044	0.9349206349206349	0.9047619047619048
12	log2	4	8	1000	0.9043956043956044	0.9349206349206349	0.9047619047619048
12	log2	4	4	1000	0.9043956043956044	0.9349206349206349	0.9047619047619048
12	log2	4	2	1000	0.9043956043956044	0.9349206349206349	0.9047619047619048
8	log2	4	8	1000	0.9043956043956044	0.9349206349206349	0.9047619047619048
6	log2	4	2	1000	0.9043956043956044	0.9349206349206349	0.9047619047619048
8	log2	8	10	1000	0.9115384615384615	0.9349206349206349	0.9130952380952382
6	log2	4	4	1000	0.9043956043956044	0.9349206349206349	0.9047619047619048
6	log2	8	4	1000	0.9115384615384615	0.9349206349206349	0.9130952380952382
8	log2	4	10	1000	0.9043956043956044	0.9349206349206349	0.9047619047619048
6	log2	4	8	1000	0.9043956043956044	0.9349206349206349	0.9047619047619048
6	log2	8	10	1000	0.9115384615384615	0.9349206349206349	0.9130952380952382
6	log2	8	8	1000	0.9115384615384615	0.9349206349206349	0.9130952380952382
8	log2	8	2	1000	0.9115384615384615	0.9349206349206349	0.9130952380952382
6	log2	8	2	1000	0.9115384615384615	0.9349206349206349	0.9130952380952382
8	log2	8	4	1000	0.9115384615384615	0.9349206349206349	0.9130952380952382
10	log2	4	10	1000	0.9043956043956044	0.9349206349206349	0.9047619047619048
10	sqrt	4	4	600	0.9120879120879121	0.9339285714285716	0.9119047619047619
8	log2	2	2	200	0.926923076923077	0.9339285714285716	0.9261904761904761
