activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
relu	0.1	True	(100, 100)	adaptive	1000	adam	0.8076923076923077	0.8702777777777777	0.8107142857142857
relu	0.1	True	(100, 100)	constant	500	adam	0.8076923076923077	0.8702777777777777	0.8107142857142857
relu	0.1	True	(100, 100)	constant	1000	adam	0.8076923076923077	0.8702777777777777	0.8107142857142857
relu	0.1	True	(100, 100)	invscaling	500	adam	0.8076923076923077	0.8702777777777777	0.8107142857142857
relu	0.1	True	(100, 100)	invscaling	1000	adam	0.8076923076923077	0.8702777777777777	0.8107142857142857
relu	0.1	True	(100, 100)	adaptive	500	adam	0.8076923076923077	0.8702777777777777	0.8107142857142857
tanh	0.001	True	(100, 100)	constant	1000	lbfgs	0.8373626373626374	0.8664285714285714	0.8375
tanh	0.01	True	(100, 100)	adaptive	1000	lbfgs	0.8373626373626374	0.8664285714285714	0.8375
tanh	0.01	True	(100, 100)	adaptive	500	lbfgs	0.8373626373626374	0.8664285714285714	0.8375
tanh	0.001	True	(100, 100)	constant	500	lbfgs	0.8373626373626374	0.8664285714285714	0.8375
tanh	0.01	True	(100, 100)	invscaling	1000	lbfgs	0.8373626373626374	0.8664285714285714	0.8375
tanh	0.001	True	(100, 100)	adaptive	1000	lbfgs	0.8373626373626374	0.8664285714285714	0.8375
tanh	0.01	True	(100, 100)	invscaling	500	lbfgs	0.8373626373626374	0.8664285714285714	0.8375
tanh	0.001	True	(100, 100)	invscaling	500	lbfgs	0.8373626373626374	0.8664285714285714	0.8375
tanh	0.01	True	(100, 100)	constant	500	lbfgs	0.8373626373626374	0.8664285714285714	0.8375
tanh	0.01	True	(100, 100)	constant	1000	lbfgs	0.8373626373626374	0.8664285714285714	0.8375
tanh	0.001	True	(100, 100)	adaptive	500	lbfgs	0.8373626373626374	0.8664285714285714	0.8375
tanh	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.8373626373626374	0.8664285714285714	0.8375
logistic	0.01	True	(100,)	constant	1000	lbfgs	0.8818681318681317	0.8655555555555555	0.8791666666666667
logistic	0.01	True	(100,)	adaptive	1000	lbfgs	0.8818681318681317	0.8655555555555555	0.8791666666666667
logistic	0.01	True	(100,)	adaptive	500	lbfgs	0.8818681318681317	0.8655555555555555	0.8791666666666667
logistic	0.01	True	(100,)	invscaling	1000	lbfgs	0.8818681318681317	0.8655555555555555	0.8791666666666667
logistic	0.01	True	(100,)	invscaling	500	lbfgs	0.8818681318681317	0.8655555555555555	0.8791666666666667
