activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
identity	0.1	True	(50,)	constant	1000	lbfgs	0.9445454545454546	1.0	0.9324999999999999
tanh	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9727272727272727	1.0	0.97
tanh	0.1	True	(100, 100)	constant	1000	lbfgs	0.9727272727272727	1.0	0.97
identity	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9636363636363636	1.0	0.9550000000000001
identity	0.1	True	(100,)	adaptive	500	lbfgs	0.9636363636363636	1.0	0.9574999999999999
identity	0.1	True	(50,)	adaptive	1000	lbfgs	0.9445454545454546	1.0	0.9324999999999999
tanh	0.1	True	(100, 100)	constant	500	lbfgs	0.9727272727272727	1.0	0.97
identity	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9636363636363636	1.0	0.9550000000000001
tanh	0.1	True	(50,)	adaptive	500	lbfgs	1.0	1.0	1.0
identity	0.1	True	(100,)	constant	500	lbfgs	0.9636363636363636	1.0	0.9574999999999999
identity	0.1	True	(100,)	invscaling	1000	lbfgs	0.9636363636363636	1.0	0.9574999999999999
tanh	0.1	True	(50,)	adaptive	1000	lbfgs	1.0	1.0	1.0
identity	0.1	True	(100, 100)	constant	1000	lbfgs	0.9636363636363636	1.0	0.9550000000000001
identity	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9636363636363636	1.0	0.9550000000000001
tanh	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9727272727272727	1.0	0.97
tanh	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9727272727272727	1.0	0.97
identity	0.1	True	(100,)	invscaling	500	lbfgs	0.9636363636363636	1.0	0.9574999999999999
tanh	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9727272727272727	1.0	0.97
identity	0.1	True	(100,)	constant	1000	lbfgs	0.9636363636363636	1.0	0.9574999999999999
tanh	0.1	True	(50, 50)	constant	1000	lbfgs	0.9727272727272727	1.0	0.97
tanh	0.1	True	(50, 50)	constant	500	lbfgs	0.9727272727272727	1.0	0.97
identity	0.1	True	(100,)	adaptive	1000	lbfgs	0.9636363636363636	1.0	0.9574999999999999
identity	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9636363636363636	1.0	0.9550000000000001
tanh	0.1	True	(50,)	invscaling	1000	lbfgs	1.0	1.0	1.0
tanh	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9727272727272727	1.0	0.97
identity	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9263636363636364	1.0	0.9125
identity	0.1	True	(50,)	invscaling	500	lbfgs	0.9445454545454546	1.0	0.9324999999999999
tanh	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9727272727272727	1.0	0.97
identity	0.1	True	(50,)	constant	500	lbfgs	0.9445454545454546	1.0	0.9324999999999999
identity	0.1	True	(50, 50)	constant	500	lbfgs	0.9263636363636364	1.0	0.9125
identity	0.1	True	(100, 100)	constant	500	lbfgs	0.9636363636363636	1.0	0.9550000000000001
tanh	0.1	True	(50,)	constant	500	lbfgs	1.0	1.0	1.0
identity	0.1	True	(50, 50)	constant	1000	lbfgs	0.9263636363636364	1.0	0.9125
tanh	0.1	True	(50,)	constant	1000	lbfgs	1.0	1.0	1.0
identity	0.1	True	(50,)	invscaling	1000	lbfgs	0.9445454545454546	1.0	0.9324999999999999
tanh	0.1	True	(50,)	invscaling	500	lbfgs	1.0	1.0	1.0
tanh	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9727272727272727	1.0	0.97
identity	0.1	True	(50,)	adaptive	500	lbfgs	0.9445454545454546	1.0	0.9324999999999999
identity	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9263636363636364	1.0	0.9125
identity	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9263636363636364	1.0	0.9125
identity	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9263636363636364	1.0	0.9125
tanh	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9727272727272727	1.0	0.97
relu	0.1	True	(100, 100)	adaptive	500	lbfgs	0.99	0.9800000000000001	0.9916666666666666
logistic	0.01	True	(100,)	constant	1000	adam	0.85	0.9800000000000001	0.8191666666666666
tanh	0.1	True	(100,)	adaptive	1000	lbfgs	0.9536363636363637	0.9800000000000001	0.9491666666666667
logistic	0.01	True	(100,)	invscaling	500	adam	0.85	0.9800000000000001	0.8191666666666666
relu	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.99	0.9800000000000001	0.9916666666666666
logistic	0.01	True	(100,)	constant	500	adam	0.85	0.9800000000000001	0.8191666666666666
relu	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.99	0.9800000000000001	0.9916666666666666
tanh	0.1	True	(100,)	adaptive	500	lbfgs	0.9536363636363637	0.9800000000000001	0.9491666666666667
logistic	0.001	True	(100,)	invscaling	500	adam	0.85	0.9800000000000001	0.8191666666666666
logistic	0.01	True	(100,)	adaptive	500	adam	0.85	0.9800000000000001	0.8191666666666666
logistic	0.001	True	(100,)	invscaling	1000	adam	0.85	0.9800000000000001	0.8191666666666666
logistic	0.01	True	(100,)	adaptive	1000	adam	0.85	0.9800000000000001	0.8191666666666666
logistic	0.001	True	(100,)	constant	1000	adam	0.85	0.9800000000000001	0.8191666666666666
logistic	0.001	True	(100,)	adaptive	1000	adam	0.85	0.9800000000000001	0.8191666666666666
logistic	0.001	True	(100,)	constant	500	adam	0.85	0.9800000000000001	0.8191666666666666
tanh	0.1	True	(100,)	invscaling	1000	lbfgs	0.9536363636363637	0.9800000000000001	0.9491666666666667
logistic	0.001	True	(100,)	adaptive	500	adam	0.85	0.9800000000000001	0.8191666666666666
relu	0.1	True	(100, 100)	invscaling	500	lbfgs	0.99	0.9800000000000001	0.9916666666666666
logistic	0.01	True	(100,)	invscaling	1000	adam	0.85	0.9800000000000001	0.8191666666666666
relu	0.1	True	(100,)	invscaling	1000	lbfgs	0.99	0.9800000000000001	0.9916666666666666
relu	0.1	True	(100,)	adaptive	1000	lbfgs	0.99	0.9800000000000001	0.9916666666666666
relu	0.1	True	(50,)	adaptive	500	lbfgs	0.99	0.9800000000000001	0.9916666666666666
relu	0.1	True	(100, 100)	constant	1000	lbfgs	0.99	0.9800000000000001	0.9916666666666666
relu	0.1	True	(100,)	constant	1000	lbfgs	0.99	0.9800000000000001	0.9916666666666666
relu	0.1	True	(50,)	invscaling	1000	lbfgs	0.99	0.9800000000000001	0.9916666666666666
relu	0.1	True	(50,)	invscaling	500	lbfgs	0.99	0.9800000000000001	0.9916666666666666
relu	0.1	True	(100,)	constant	500	lbfgs	0.99	0.9800000000000001	0.9916666666666666
relu	0.1	True	(50,)	adaptive	1000	lbfgs	0.99	0.9800000000000001	0.9916666666666666
tanh	0.1	True	(100,)	constant	500	lbfgs	0.9536363636363637	0.9800000000000001	0.9491666666666667
relu	0.1	True	(100,)	invscaling	500	lbfgs	0.99	0.9800000000000001	0.9916666666666666
relu	0.1	True	(50,)	constant	1000	lbfgs	0.99	0.9800000000000001	0.9916666666666666
tanh	0.1	True	(100,)	constant	1000	lbfgs	0.9536363636363637	0.9800000000000001	0.9491666666666667
relu	0.1	True	(100, 100)	constant	500	lbfgs	0.99	0.9800000000000001	0.9916666666666666
relu	0.1	True	(100,)	adaptive	500	lbfgs	0.99	0.9800000000000001	0.9916666666666666
tanh	0.1	True	(100,)	invscaling	500	lbfgs	0.9536363636363637	0.9800000000000001	0.9491666666666667
relu	0.1	True	(50,)	constant	500	lbfgs	0.99	0.9800000000000001	0.9916666666666666
logistic	0.01	True	(50, 50)	adaptive	1000	lbfgs	0.9800000000000001	0.96	0.9833333333333334
logistic	0.01	True	(100, 100)	constant	500	lbfgs	0.9800000000000001	0.96	0.9833333333333334
logistic	0.01	True	(100, 100)	constant	1000	lbfgs	0.9800000000000001	0.96	0.9833333333333334
logistic	0.01	True	(50, 50)	adaptive	500	lbfgs	0.9800000000000001	0.96	0.9833333333333334
logistic	0.01	True	(100, 100)	invscaling	500	lbfgs	0.9800000000000001	0.96	0.9833333333333334
relu	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9800000000000001	0.96	0.9833333333333334
relu	0.1	True	(50, 50)	constant	1000	lbfgs	0.9800000000000001	0.96	0.9833333333333334
logistic	0.1	True	(100,)	invscaling	500	lbfgs	0.9800000000000001	0.96	0.9833333333333334
logistic	0.01	True	(100, 100)	adaptive	500	lbfgs	0.9800000000000001	0.96	0.9833333333333334
logistic	0.1	True	(100,)	constant	1000	lbfgs	0.9800000000000001	0.96	0.9833333333333334
logistic	0.01	True	(100, 100)	adaptive	1000	lbfgs	0.9800000000000001	0.96	0.9833333333333334
logistic	0.1	True	(100,)	invscaling	1000	lbfgs	0.9800000000000001	0.96	0.9833333333333334
logistic	0.1	True	(100,)	adaptive	500	lbfgs	0.9800000000000001	0.96	0.9833333333333334
relu	0.1	True	(50, 50)	constant	500	lbfgs	0.9800000000000001	0.96	0.9833333333333334
logistic	0.1	True	(100,)	adaptive	1000	lbfgs	0.9800000000000001	0.96	0.9833333333333334
logistic	0.01	True	(50, 50)	invscaling	1000	lbfgs	0.9800000000000001	0.96	0.9833333333333334
logistic	0.01	True	(100, 100)	invscaling	1000	lbfgs	0.9800000000000001	0.96	0.9833333333333334
logistic	0.01	True	(50, 50)	invscaling	500	lbfgs	0.9800000000000001	0.96	0.9833333333333334
relu	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9800000000000001	0.96	0.9833333333333334
relu	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9800000000000001	0.96	0.9833333333333334
logistic	0.01	True	(50, 50)	constant	1000	lbfgs	0.9800000000000001	0.96	0.9833333333333334
relu	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9800000000000001	0.96	0.9833333333333334
logistic	0.1	True	(100,)	constant	500	lbfgs	0.9800000000000001	0.96	0.9833333333333334
logistic	0.01	True	(50, 50)	constant	500	lbfgs	0.9800000000000001	0.96	0.9833333333333334
logistic	0.1	True	(100, 100)	constant	1000	lbfgs	0.9700000000000001	0.9466666666666667	0.975
logistic	0.1	True	(100, 100)	constant	500	lbfgs	0.9700000000000001	0.9466666666666667	0.975
logistic	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9700000000000001	0.9466666666666667	0.975
logistic	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9700000000000001	0.9466666666666667	0.975
logistic	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9700000000000001	0.9466666666666667	0.975
logistic	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9700000000000001	0.9466666666666667	0.975
logistic	0.001	True	(100,)	invscaling	1000	lbfgs	0.9709090909090909	0.9433333333333334	0.975
logistic	0.001	True	(100, 100)	constant	500	lbfgs	0.9709090909090909	0.9433333333333334	0.975
logistic	0.001	True	(100,)	constant	1000	lbfgs	0.9709090909090909	0.9433333333333334	0.975
logistic	0.001	True	(100, 100)	adaptive	1000	lbfgs	0.9709090909090909	0.9433333333333334	0.975
