C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
10.0	0.01	rbf	0.9506291466483642	0.9972222222222221	0.9413817663817664
1000.0	0.01	rbf	0.9506291466483642	0.9972222222222221	0.9413817663817664
100.0	0.01	rbf	0.9506291466483642	0.9972222222222221	0.9413817663817664
1.0	0.01	rbf	0.9463395104095174	0.9971428571428571	0.9362535612535613
0.01	0.01	linear	0.9580988332189431	0.9453358826176542	0.9578684278684279
0.01	0.1	linear	0.9580988332189431	0.9453358826176542	0.9578684278684279
0.01	1.0	linear	0.9580988332189431	0.9453358826176542	0.9578684278684279
0.01	100.0	linear	0.9580988332189431	0.9453358826176542	0.9578684278684279
0.01	1000.0	linear	0.9580988332189431	0.9453358826176542	0.9578684278684279
100.0	0.1	linear	0.9398192633264697	0.9170895440142687	0.9403302253302254
10.0	0.1	linear	0.9398192633264697	0.9170895440142687	0.9403302253302254
10.0	1.0	linear	0.9398192633264697	0.9170895440142687	0.9403302253302254
10.0	100.0	linear	0.9398192633264697	0.9170895440142687	0.9403302253302254
10.0	1000.0	linear	0.9398192633264697	0.9170895440142687	0.9403302253302254
100.0	0.01	linear	0.9398192633264697	0.9170895440142687	0.9403302253302254
100.0	1000.0	linear	0.9398192633264697	0.9170895440142687	0.9403302253302254
100.0	1.0	linear	0.9398192633264697	0.9170895440142687	0.9403302253302254
100.0	100.0	linear	0.9398192633264697	0.9170895440142687	0.9403302253302254
1.0	100.0	linear	0.9398192633264697	0.9170895440142687	0.9403302253302254
1000.0	0.01	linear	0.9398192633264697	0.9170895440142687	0.9403302253302254
1000.0	0.1	linear	0.9398192633264697	0.9170895440142687	0.9403302253302254
1000.0	1.0	linear	0.9398192633264697	0.9170895440142687	0.9403302253302254
1000.0	100.0	linear	0.9398192633264697	0.9170895440142687	0.9403302253302254
1000.0	1000.0	linear	0.9398192633264697	0.9170895440142687	0.9403302253302254
1.0	1000.0	linear	0.9398192633264697	0.9170895440142687	0.9403302253302254
10.0	0.01	linear	0.9398192633264697	0.9170895440142687	0.9403302253302254
0.1	1000.0	linear	0.9398192633264697	0.9170895440142687	0.9403302253302254
1.0	1.0	linear	0.9398192633264697	0.9170895440142687	0.9403302253302254
0.1	1.0	linear	0.9398192633264697	0.9170895440142687	0.9403302253302254
0.1	0.1	linear	0.9398192633264697	0.9170895440142687	0.9403302253302254
1.0	0.1	linear	0.9398192633264697	0.9170895440142687	0.9403302253302254
0.1	100.0	linear	0.9398192633264697	0.9170895440142687	0.9403302253302254
1.0	0.01	linear	0.9398192633264697	0.9170895440142687	0.9403302253302254
0.1	0.01	linear	0.9398192633264697	0.9170895440142687	0.9403302253302254
1.0	1.0	rbf	0.5810912834591628	0.0	0.5
100.0	1000.0	rbf	0.5810912834591628	0.0	0.5
0.1	0.01	rbf	0.5810912834591628	0.0	0.5
1000.0	0.1	rbf	0.5810912834591628	0.0	0.5
0.01	1000.0	rbf	0.5810912834591628	0.0	0.5
0.1	0.1	rbf	0.5810912834591628	0.0	0.5
0.01	100.0	rbf	0.5810912834591628	0.0	0.5
1000.0	1.0	rbf	0.5810912834591628	0.0	0.5
0.01	1.0	rbf	0.5810912834591628	0.0	0.5
1000.0	100.0	rbf	0.5810912834591628	0.0	0.5
0.01	0.1	rbf	0.5810912834591628	0.0	0.5
100.0	100.0	rbf	0.5810912834591628	0.0	0.5
100.0	0.1	rbf	0.5810912834591628	0.0	0.5
100.0	1.0	rbf	0.5810912834591628	0.0	0.5
1.0	100.0	rbf	0.5810912834591628	0.0	0.5
0.1	1.0	rbf	0.5810912834591628	0.0	0.5
0.1	100.0	rbf	0.5810912834591628	0.0	0.5
10.0	1000.0	rbf	0.5810912834591628	0.0	0.5
10.0	100.0	rbf	0.5810912834591628	0.0	0.5
0.1	1000.0	rbf	0.5810912834591628	0.0	0.5
10.0	1.0	rbf	0.5810912834591628	0.0	0.5
10.0	0.1	rbf	0.5810912834591628	0.0	0.5
1.0	0.1	rbf	0.5810912834591628	0.0	0.5
0.01	0.01	rbf	0.5810912834591628	0.0	0.5
1.0	1000.0	rbf	0.5810912834591628	0.0	0.5
1000.0	1000.0	rbf	0.5810912834591628	0.0	0.5
