C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.1	0.01	rbf	0.8389727751086709	1.0	0.8076923076923077
10.0	0.01	rbf	0.983893845801876	0.9773717948717948	0.983991193991194
1000.0	0.01	rbf	0.983893845801876	0.9773717948717948	0.983991193991194
100.0	0.01	rbf	0.983893845801876	0.9773717948717948	0.983991193991194
1.0	0.01	rbf	0.9774536719286203	0.9771664856324677	0.9762988862988863
0.01	0.01	linear	0.9699267902081903	0.9696529636677262	0.9683929033929033
0.01	0.1	linear	0.9699267902081903	0.9696529636677262	0.9683929033929033
0.01	1.0	linear	0.9699267902081903	0.9696529636677262	0.9683929033929033
0.01	100.0	linear	0.9699267902081903	0.9696529636677262	0.9683929033929033
0.01	1000.0	linear	0.9699267902081903	0.9696529636677262	0.9683929033929033
100.0	0.1	linear	0.9634751773049646	0.9504345024113959	0.9635495985495984
10.0	0.1	linear	0.9634751773049646	0.9504345024113959	0.9635495985495984
10.0	1.0	linear	0.9634751773049646	0.9504345024113959	0.9635495985495984
10.0	100.0	linear	0.9634751773049646	0.9504345024113959	0.9635495985495984
10.0	1000.0	linear	0.9634751773049646	0.9504345024113959	0.9635495985495984
100.0	0.01	linear	0.9634751773049646	0.9504345024113959	0.9635495985495984
100.0	1000.0	linear	0.9634751773049646	0.9504345024113959	0.9635495985495984
100.0	1.0	linear	0.9634751773049646	0.9504345024113959	0.9635495985495984
100.0	100.0	linear	0.9634751773049646	0.9504345024113959	0.9635495985495984
1.0	100.0	linear	0.9634751773049646	0.9504345024113959	0.9635495985495984
1000.0	0.01	linear	0.9634751773049646	0.9504345024113959	0.9635495985495984
1000.0	0.1	linear	0.9634751773049646	0.9504345024113959	0.9635495985495984
1000.0	1.0	linear	0.9634751773049646	0.9504345024113959	0.9635495985495984
1000.0	100.0	linear	0.9634751773049646	0.9504345024113959	0.9635495985495984
1000.0	1000.0	linear	0.9634751773049646	0.9504345024113959	0.9635495985495984
1.0	1000.0	linear	0.9634751773049646	0.9504345024113959	0.9635495985495984
10.0	0.01	linear	0.9634751773049646	0.9504345024113959	0.9635495985495984
0.1	1.0	linear	0.9634751773049646	0.9504345024113959	0.9635495985495984
1.0	0.01	linear	0.9634751773049646	0.9504345024113959	0.9635495985495984
0.1	0.1	linear	0.9634751773049646	0.9504345024113959	0.9635495985495984
0.1	0.01	linear	0.9634751773049646	0.9504345024113959	0.9635495985495984
1.0	1.0	linear	0.9634751773049646	0.9504345024113959	0.9635495985495984
0.1	100.0	linear	0.9634751773049646	0.9504345024113959	0.9635495985495984
0.1	1000.0	linear	0.9634751773049646	0.9504345024113959	0.9635495985495984
1.0	0.1	linear	0.9634751773049646	0.9504345024113959	0.9635495985495984
1000.0	0.1	rbf	0.6197208876687258	0.9	0.5461538461538462
100.0	0.1	rbf	0.6197208876687258	0.9	0.5461538461538462
10.0	0.1	rbf	0.6197208876687258	0.9	0.5461538461538462
1.0	0.1	rbf	0.5939487531457333	0.7	0.5153846153846153
0.1	0.1	rbf	0.5810912834591628	0.0	0.5
0.01	100.0	rbf	0.5810912834591628	0.0	0.5
0.01	1.0	rbf	0.5810912834591628	0.0	0.5
0.01	1000.0	rbf	0.5810912834591628	0.0	0.5
1000.0	100.0	rbf	0.5810912834591628	0.0	0.5
0.01	0.1	rbf	0.5810912834591628	0.0	0.5
100.0	1000.0	rbf	0.5810912834591628	0.0	0.5
1000.0	1.0	rbf	0.5810912834591628	0.0	0.5
1.0	100.0	rbf	0.5810912834591628	0.0	0.5
100.0	100.0	rbf	0.5810912834591628	0.0	0.5
100.0	1.0	rbf	0.5810912834591628	0.0	0.5
0.1	1.0	rbf	0.5810912834591628	0.0	0.5
1.0	1.0	rbf	0.5810912834591628	0.0	0.5
0.1	100.0	rbf	0.5810912834591628	0.0	0.5
10.0	1000.0	rbf	0.5810912834591628	0.0	0.5
0.1	1000.0	rbf	0.5810912834591628	0.0	0.5
10.0	100.0	rbf	0.5810912834591628	0.0	0.5
10.0	1.0	rbf	0.5810912834591628	0.0	0.5
0.01	0.01	rbf	0.5810912834591628	0.0	0.5
1.0	1000.0	rbf	0.5810912834591628	0.0	0.5
1000.0	1000.0	rbf	0.5810912834591628	0.0	0.5
