max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
12	log2	2	2	1000	0.9690308254963428	1.0	0.9590909090909092
12	log2	2	4	1000	0.9690308254963428	1.0	0.9590909090909092
10	log2	2	2	1000	0.9655956112852664	0.9969696969696968	0.9551346801346801
12	log2	2	8	1000	0.9690308254963428	0.9969696969696968	0.9596801346801346
12	log2	2	8	600	0.9713296760710554	0.9969696969696968	0.9627104377104377
10	log2	2	4	1000	0.9655956112852664	0.9969696969696968	0.9551346801346801
12	log2	2	2	600	0.9690308254963428	0.9967741935483871	0.9596801346801348
12	log2	2	4	600	0.9690308254963428	0.9967741935483871	0.9596801346801348
10	log2	2	8	1000	0.9678944618599792	0.9939338235294117	0.9587542087542088
8	log2	4	4	200	0.9586859979101359	0.9938446969696969	0.9466329966329967
8	log2	4	2	200	0.9586859979101359	0.9938446969696969	0.9466329966329967
8	log2	4	8	200	0.9586859979101359	0.9938446969696969	0.9466329966329967
10	log2	2	2	600	0.9655825496342738	0.9938446969696969	0.9557239057239059
10	log2	2	4	600	0.9655825496342738	0.9938446969696969	0.9557239057239059
10	log2	2	8	600	0.9667450365726229	0.9938330170777988	0.9572390572390572
10	log2	2	10	1000	0.9655956112852664	0.9937438905180841	0.9557239057239058
12	log2	2	10	600	0.9678814002089865	0.9937438905180841	0.9587542087542088
12	log2	2	10	1000	0.9678814002089865	0.9937438905180841	0.9587542087542088
12	log2	2	8	200	0.9747779519331244	0.9937254901960785	0.9678619528619528
12	log2	4	2	1000	0.9667319749216301	0.9936363636363638	0.9572390572390572
8	log2	2	8	1000	0.9644461859979101	0.9936363636363638	0.9542087542087543
12	log2	4	4	1000	0.9667319749216301	0.9936363636363638	0.9572390572390572
12	log2	4	8	1000	0.9667319749216301	0.9936363636363638	0.9572390572390572
10	log2	2	4	200	0.9609979101358412	0.9935483870967742	0.9496632996632997
10	log2	2	2	200	0.9609979101358412	0.9935483870967742	0.9496632996632997
12	log2	2	4	200	0.9678814002089865	0.9935416666666667	0.9587710437710438
12	log2	2	2	200	0.9678814002089865	0.9935416666666667	0.9587710437710438
8	log2	2	2	200	0.9678944618599792	0.993521421107628	0.9587710437710438
8	log2	2	4	200	0.9678944618599792	0.993521421107628	0.9587710437710438
8	log2	2	2	1000	0.9667319749216302	0.9909035204991087	0.9578282828282829
8	log2	2	4	1000	0.9667319749216302	0.9909035204991087	0.9578282828282829
12	log2	4	10	600	0.9632836990595612	0.9909035204991087	0.9532828282828284
10	sqrt	2	8	600	0.9747648902821316	0.9908027140474959	0.9684343434343434
10	log2	2	10	600	0.9644331243469175	0.9908027140474959	0.9547979797979798
10	sqrt	2	8	1000	0.9747648902821316	0.9907135874877809	0.9684343434343434
12	log2	4	8	600	0.9644331243469175	0.9906951871657755	0.95479797979798
12	log2	4	4	600	0.9644331243469175	0.9906951871657755	0.95479797979798
12	log2	4	2	600	0.9644331243469175	0.9906951871657755	0.95479797979798
10	log2	2	8	200	0.9655956112852664	0.9905180840664712	0.9563131313131313
10	sqrt	2	8	200	0.977076802507837	0.9905113636363637	0.9714814814814815
12	sqrt	2	4	600	0.9736285266457682	0.9904996837444656	0.966936026936027
12	sqrt	2	2	600	0.9736285266457682	0.9904996837444656	0.966936026936027
8	log2	2	4	600	0.9667450365726229	0.990491118077325	0.9578451178451178
8	log2	2	2	600	0.9667450365726229	0.990491118077325	0.9578451178451178
10	sqrt	2	2	600	0.9690438871473355	0.990295614656015	0.960875420875421
10	sqrt	2	4	600	0.9690438871473355	0.990295614656015	0.960875420875421
12	log2	2	10	200	0.9632706374085686	0.9877785204991086	0.9538720538720538
12	sqrt	2	10	1000	0.9713296760710554	0.9876777140474958	0.9644781144781145
12	sqrt	2	8	200	0.9713166144200628	0.9873930840664713	0.9644949494949495
12	sqrt	2	8	1000	0.9701802507836991	0.9873802541544479	0.9629797979797979
12	sqrt	2	8	600	0.9724791013584116	0.9873802541544479	0.9660101010101011
8	log2	4	4	600	0.9575365726227796	0.987361853832442	0.9462962962962964
8	log2	4	8	600	0.9575365726227796	0.987361853832442	0.9462962962962964
8	log2	2	10	600	0.9621342737722047	0.987361853832442	0.9523737373737374
8	log2	4	2	600	0.9575365726227796	0.987361853832442	0.9462962962962964
12	log2	4	10	1000	0.9644461859979101	0.9873544381854268	0.9554040404040404
8	log2	2	8	600	0.9621603970741903	0.9873320919276802	0.9523737373737374
8	sqrt	2	4	1000	0.9690308254963427	0.9872855571847508	0.9614646464646466
8	sqrt	2	2	1000	0.9690308254963427	0.9872855571847508	0.9614646464646466
10	log2	4	2	1000	0.9632967607105538	0.987271421107628	0.953888888888889
10	log2	4	8	1000	0.9632967607105538	0.987271421107628	0.953888888888889
10	log2	4	4	1000	0.9632967607105538	0.987271421107628	0.953888888888889
10	sqrt	2	2	1000	0.9678944618599792	0.9872653116257121	0.9599494949494949
10	sqrt	2	4	1000	0.9678944618599792	0.9872653116257121	0.9599494949494949
10	log2	4	2	200	0.9609848484848484	0.9871847507331377	0.9508585858585858
10	log2	4	4	200	0.9609848484848484	0.9871847507331377	0.9508585858585858
10	log2	4	8	200	0.9609848484848484	0.9871847507331377	0.9508585858585858
12	sqrt	2	2	200	0.9701933124346918	0.987158934764117	0.9629797979797979
12	sqrt	2	4	200	0.9701933124346918	0.987158934764117	0.9629797979797979
12	sqrt	2	2	1000	0.9667450365726229	0.9869622813226819	0.9584343434343434
12	sqrt	2	4	1000	0.9667450365726229	0.9869622813226819	0.9584343434343434
10	log2	2	10	200	0.9667189132706374	0.9851948051948053	0.9590067340067339
10	sqrt	2	4	200	0.9678944618599792	0.9847482174688057	0.9605218855218854
10	sqrt	2	2	200	0.9678944618599792	0.9847482174688057	0.9605218855218854
10	sqrt	2	10	1000	0.9690308254963428	0.9846474110171928	0.962037037037037
6	log2	2	2	200	0.9552246603970742	0.9844581762323699	0.9438720538720539
