C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.01	0.01	linear	0.9553030303030303	1.0	0.9
1.0	0.1	linear	1.0	1.0	1.0
1.0	100.0	linear	1.0	1.0	1.0
1.0	1000.0	linear	1.0	1.0	1.0
10.0	0.01	rbf	0.990909090909091	1.0	0.975
10.0	0.1	linear	1.0	1.0	1.0
10.0	1.0	linear	1.0	1.0	1.0
10.0	100.0	linear	1.0	1.0	1.0
10.0	1000.0	linear	1.0	1.0	1.0
100.0	0.01	linear	1.0	1.0	1.0
100.0	0.01	rbf	0.990909090909091	1.0	0.975
100.0	0.1	linear	1.0	1.0	1.0
100.0	1.0	linear	1.0	1.0	1.0
100.0	100.0	linear	1.0	1.0	1.0
100.0	1000.0	linear	1.0	1.0	1.0
1000.0	0.01	linear	1.0	1.0	1.0
1000.0	0.01	rbf	0.990909090909091	1.0	0.975
1000.0	0.1	linear	1.0	1.0	1.0
1000.0	1.0	linear	1.0	1.0	1.0
1000.0	100.0	linear	1.0	1.0	1.0
1000.0	1000.0	linear	1.0	1.0	1.0
1.0	1.0	linear	1.0	1.0	1.0
10.0	0.01	linear	1.0	1.0	1.0
0.1	0.1	linear	1.0	1.0	1.0
0.1	1.0	linear	1.0	1.0	1.0
0.01	0.1	linear	0.9553030303030303	1.0	0.9
1.0	0.01	linear	1.0	1.0	1.0
0.01	1.0	linear	0.9553030303030303	1.0	0.9
0.01	100.0	linear	0.9553030303030303	1.0	0.9
0.01	1000.0	linear	0.9553030303030303	1.0	0.9
0.1	1000.0	linear	1.0	1.0	1.0
0.1	0.01	linear	1.0	1.0	1.0
0.1	100.0	linear	1.0	1.0	1.0
1.0	0.01	rbf	0.9727272727272727	1.0	0.9416666666666667
1000.0	0.1	rbf	0.7856060606060606	0.3	0.55
100.0	0.1	rbf	0.7856060606060606	0.3	0.55
1.0	0.1	rbf	0.7856060606060606	0.3	0.55
10.0	0.1	rbf	0.7856060606060606	0.3	0.55
10.0	100.0	rbf	0.7590909090909091	0.0	0.5
100.0	1000.0	rbf	0.7590909090909091	0.0	0.5
1.0	1.0	rbf	0.7590909090909091	0.0	0.5
1000.0	100.0	rbf	0.7590909090909091	0.0	0.5
0.01	0.1	rbf	0.7590909090909091	0.0	0.5
1000.0	1.0	rbf	0.7590909090909091	0.0	0.5
1.0	100.0	rbf	0.7590909090909091	0.0	0.5
0.1	1000.0	rbf	0.7590909090909091	0.0	0.5
0.01	1.0	rbf	0.7590909090909091	0.0	0.5
1.0	1000.0	rbf	0.7590909090909091	0.0	0.5
0.01	100.0	rbf	0.7590909090909091	0.0	0.5
0.01	0.01	rbf	0.7590909090909091	0.0	0.5
0.1	1.0	rbf	0.7590909090909091	0.0	0.5
100.0	100.0	rbf	0.7590909090909091	0.0	0.5
0.01	1000.0	rbf	0.7590909090909091	0.0	0.5
100.0	1.0	rbf	0.7590909090909091	0.0	0.5
0.1	100.0	rbf	0.7590909090909091	0.0	0.5
0.1	0.01	rbf	0.7590909090909091	0.0	0.5
10.0	1.0	rbf	0.7590909090909091	0.0	0.5
0.1	0.1	rbf	0.7590909090909091	0.0	0.5
10.0	1000.0	rbf	0.7590909090909091	0.0	0.5
1000.0	1000.0	rbf	0.7590909090909091	0.0	0.5
