max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
6	sqrt	2	2	200	0.9	1.0	0.90625
10	log2	2	8	200	0.8995238095238095	1.0	0.90625
10	log2	4	2	1000	0.8928571428571429	1.0	0.9
10	log2	4	2	600	0.8995238095238095	1.0	0.90625
10	log2	4	2	200	0.8928571428571429	1.0	0.9
10	log2	2	10	1000	0.8995238095238095	1.0	0.90625
10	log2	2	10	600	0.8995238095238095	1.0	0.90625
10	log2	2	10	200	0.8995238095238095	1.0	0.90625
10	log2	2	8	1000	0.8995238095238095	1.0	0.90625
10	log2	2	8	600	0.9061904761904762	1.0	0.9125
10	log2	2	4	1000	0.9061904761904762	1.0	0.9125
10	log2	4	4	600	0.8995238095238095	1.0	0.90625
10	log2	2	4	600	0.9061904761904762	1.0	0.9125
10	log2	2	4	200	0.9128571428571428	1.0	0.91875
10	log2	2	2	1000	0.9061904761904762	1.0	0.9125
10	log2	2	2	600	0.9061904761904762	1.0	0.9125
10	log2	2	2	200	0.9128571428571428	1.0	0.91875
10	sqrt	10	10	200	0.8861904761904762	1.0	0.89375
10	sqrt	10	8	200	0.8861904761904762	1.0	0.89375
10	sqrt	10	4	200	0.8861904761904762	1.0	0.89375
10	log2	4	4	200	0.8928571428571429	1.0	0.9
10	log2	4	4	1000	0.8928571428571429	1.0	0.9
8	log2	8	4	600	0.8928571428571429	1.0	0.9
10	log2	8	4	600	0.8928571428571429	1.0	0.9
10	log2	10	2	200	0.8928571428571429	1.0	0.9
10	log2	8	10	1000	0.8928571428571429	1.0	0.9
10	log2	8	10	600	0.8928571428571429	1.0	0.9
10	log2	8	10	200	0.8928571428571429	1.0	0.9
10	log2	8	8	1000	0.8928571428571429	1.0	0.9
10	log2	8	8	600	0.8928571428571429	1.0	0.9
10	log2	8	8	200	0.8928571428571429	1.0	0.9
10	log2	8	4	1000	0.8928571428571429	1.0	0.9
10	log2	8	4	200	0.8928571428571429	1.0	0.9
10	log2	4	8	200	0.8928571428571429	1.0	0.9
10	log2	8	2	1000	0.8928571428571429	1.0	0.9
10	log2	8	2	600	0.8928571428571429	1.0	0.9
10	log2	8	2	200	0.8928571428571429	1.0	0.9
10	log2	4	10	1000	0.8928571428571429	1.0	0.9
10	log2	4	10	600	0.8995238095238095	1.0	0.90625
10	log2	4	10	200	0.8928571428571429	1.0	0.9
10	log2	4	8	1000	0.8928571428571429	1.0	0.9
10	log2	4	8	600	0.8995238095238095	1.0	0.90625
10	sqrt	10	2	200	0.8861904761904762	1.0	0.89375
10	sqrt	4	10	1000	0.8928571428571429	1.0	0.9
10	sqrt	4	10	600	0.8928571428571429	1.0	0.9
8	log2	10	4	200	0.8928571428571429	1.0	0.9
8	log2	10	10	1000	0.8928571428571429	1.0	0.9
8	log2	10	10	600	0.8928571428571429	1.0	0.9
8	log2	10	10	200	0.8928571428571429	1.0	0.9
8	log2	10	8	1000	0.8928571428571429	1.0	0.9
8	log2	10	8	600	0.8928571428571429	1.0	0.9
8	log2	10	8	200	0.8928571428571429	1.0	0.9
8	log2	10	4	1000	0.8928571428571429	1.0	0.9
8	log2	10	4	600	0.8928571428571429	1.0	0.9
8	log2	10	2	1000	0.8928571428571429	1.0	0.9
10	sqrt	4	10	200	0.8928571428571429	1.0	0.9
8	log2	10	2	600	0.8928571428571429	1.0	0.9
8	log2	10	2	200	0.8928571428571429	1.0	0.9
8	log2	8	10	1000	0.8928571428571429	1.0	0.9
8	log2	8	10	600	0.8928571428571429	1.0	0.9
8	log2	8	10	200	0.8928571428571429	1.0	0.9
8	log2	8	8	1000	0.8928571428571429	1.0	0.9
8	log2	8	8	600	0.8928571428571429	1.0	0.9
8	log2	8	8	200	0.8928571428571429	1.0	0.9
6	sqrt	2	2	600	0.9266666666666665	1.0	0.93125
10	sqrt	2	2	600	0.9328571428571429	1.0	0.9375
10	sqrt	2	2	1000	0.9466666666666667	1.0	0.95
10	sqrt	2	4	200	0.9199999999999999	1.0	0.925
10	sqrt	4	8	1000	0.8928571428571429	1.0	0.9
10	sqrt	4	8	600	0.8928571428571429	1.0	0.9
10	sqrt	4	8	200	0.8928571428571429	1.0	0.9
10	sqrt	4	4	1000	0.8928571428571429	1.0	0.9
10	sqrt	4	4	600	0.8928571428571429	1.0	0.9
10	sqrt	4	4	200	0.8928571428571429	1.0	0.9
10	sqrt	4	2	1000	0.8928571428571429	1.0	0.9
10	sqrt	4	2	600	0.8928571428571429	1.0	0.9
10	sqrt	4	2	200	0.8928571428571429	1.0	0.9
10	sqrt	2	10	1000	0.8928571428571429	1.0	0.9
10	sqrt	2	10	600	0.8928571428571429	1.0	0.9
10	sqrt	2	10	200	0.8928571428571429	1.0	0.9
10	sqrt	2	8	1000	0.9061904761904762	1.0	0.9125
10	sqrt	2	8	600	0.8995238095238095	1.0	0.90625
10	sqrt	2	8	200	0.8928571428571429	1.0	0.9
10	sqrt	2	4	1000	0.9466666666666667	1.0	0.95
10	sqrt	2	4	600	0.9328571428571429	1.0	0.9375
10	log2	10	2	600	0.8928571428571429	1.0	0.9
10	log2	10	2	1000	0.8928571428571429	1.0	0.9
10	log2	10	4	200	0.8928571428571429	1.0	0.9
12	log2	4	4	1000	0.8928571428571429	1.0	0.9
12	log2	8	2	600	0.8928571428571429	1.0	0.9
12	log2	8	2	200	0.8928571428571429	1.0	0.9
12	log2	4	10	1000	0.8928571428571429	1.0	0.9
12	log2	4	10	600	0.8995238095238095	1.0	0.90625
12	log2	4	10	200	0.8928571428571429	1.0	0.9
12	log2	4	8	1000	0.8928571428571429	1.0	0.9
12	log2	4	8	600	0.8995238095238095	1.0	0.90625
12	log2	4	8	200	0.8928571428571429	1.0	0.9
12	log2	4	4	600	0.8995238095238095	1.0	0.90625
12	log2	2	8	200	0.8995238095238095	1.0	0.90625
12	log2	4	4	200	0.8928571428571429	1.0	0.9
12	log2	4	2	1000	0.8928571428571429	1.0	0.9
12	log2	4	2	600	0.8995238095238095	1.0	0.90625
12	log2	4	2	200	0.8928571428571429	1.0	0.9
12	log2	2	10	1000	0.8995238095238095	1.0	0.90625
12	log2	2	10	600	0.8995238095238095	1.0	0.90625
12	log2	2	10	200	0.8995238095238095	1.0	0.90625
12	log2	2	8	1000	0.8995238095238095	1.0	0.90625
12	log2	8	2	1000	0.8928571428571429	1.0	0.9
12	log2	8	4	200	0.8928571428571429	1.0	0.9
12	log2	8	4	600	0.8928571428571429	1.0	0.9
12	log2	8	4	1000	0.8928571428571429	1.0	0.9
12	log2	10	10	600	0.8928571428571429	1.0	0.9
12	log2	10	10	200	0.8928571428571429	1.0	0.9
12	log2	10	8	1000	0.8928571428571429	1.0	0.9
12	log2	10	8	600	0.8928571428571429	1.0	0.9
12	log2	10	8	200	0.8928571428571429	1.0	0.9
12	log2	10	4	1000	0.8928571428571429	1.0	0.9
12	log2	10	4	600	0.8928571428571429	1.0	0.9
12	log2	10	4	200	0.8928571428571429	1.0	0.9
12	log2	10	2	1000	0.8928571428571429	1.0	0.9
12	log2	10	2	600	0.8928571428571429	1.0	0.9
12	log2	10	2	200	0.8928571428571429	1.0	0.9
12	log2	8	10	1000	0.8928571428571429	1.0	0.9
12	log2	8	10	600	0.8928571428571429	1.0	0.9
12	log2	8	10	200	0.8928571428571429	1.0	0.9
12	log2	8	8	1000	0.8928571428571429	1.0	0.9
12	log2	8	8	600	0.8928571428571429	1.0	0.9
12	log2	8	8	200	0.8928571428571429	1.0	0.9
12	log2	2	8	600	0.9061904761904762	1.0	0.9125
12	log2	2	4	1000	0.9133333333333333	1.0	0.91875
10	log2	10	4	600	0.8928571428571429	1.0	0.9
12	sqrt	2	2	1000	0.9466666666666667	1.0	0.95
12	sqrt	2	10	600	0.8928571428571429	1.0	0.9
12	sqrt	2	10	200	0.8928571428571429	1.0	0.9
12	sqrt	2	8	1000	0.9061904761904762	1.0	0.9125
12	sqrt	2	8	600	0.8995238095238095	1.0	0.90625
12	sqrt	2	8	200	0.8928571428571429	1.0	0.9
12	sqrt	2	4	1000	0.9466666666666667	1.0	0.95
12	sqrt	2	4	600	0.9328571428571429	1.0	0.9375
12	sqrt	2	4	200	0.9199999999999999	1.0	0.925
12	sqrt	2	2	600	0.9328571428571429	1.0	0.9375
12	log2	2	4	600	0.9061904761904762	1.0	0.9125
12	sqrt	2	2	200	0.9199999999999999	1.0	0.925
10	log2	10	10	1000	0.8928571428571429	1.0	0.9
10	log2	10	10	600	0.8928571428571429	1.0	0.9
10	log2	10	10	200	0.8928571428571429	1.0	0.9
10	log2	10	8	1000	0.8928571428571429	1.0	0.9
10	log2	10	8	600	0.8928571428571429	1.0	0.9
10	log2	10	8	200	0.8928571428571429	1.0	0.9
10	log2	10	4	1000	0.8928571428571429	1.0	0.9
12	sqrt	2	10	1000	0.8928571428571429	1.0	0.9
12	sqrt	4	2	200	0.8928571428571429	1.0	0.9
12	sqrt	4	2	600	0.8928571428571429	1.0	0.9
12	sqrt	4	2	1000	0.8928571428571429	1.0	0.9
12	log2	2	4	200	0.9128571428571428	1.0	0.91875
12	log2	2	2	1000	0.9133333333333333	1.0	0.91875
12	log2	2	2	600	0.9061904761904762	1.0	0.9125
12	log2	2	2	200	0.9128571428571428	1.0	0.91875
12	sqrt	10	10	200	0.8861904761904762	1.0	0.89375
12	sqrt	10	8	200	0.8861904761904762	1.0	0.89375
12	sqrt	10	4	200	0.8861904761904762	1.0	0.89375
12	sqrt	10	2	200	0.8861904761904762	1.0	0.89375
12	sqrt	4	10	1000	0.8928571428571429	1.0	0.9
12	sqrt	4	10	600	0.8928571428571429	1.0	0.9
12	sqrt	4	10	200	0.8928571428571429	1.0	0.9
12	sqrt	4	8	1000	0.8928571428571429	1.0	0.9
12	sqrt	4	8	600	0.8928571428571429	1.0	0.9
12	sqrt	4	8	200	0.8928571428571429	1.0	0.9
12	sqrt	4	4	1000	0.8928571428571429	1.0	0.9
12	sqrt	4	4	600	0.8928571428571429	1.0	0.9
12	sqrt	4	4	200	0.8928571428571429	1.0	0.9
8	log2	8	4	1000	0.8928571428571429	1.0	0.9
10	sqrt	2	2	200	0.9199999999999999	1.0	0.925
8	log2	8	4	200	0.8928571428571429	1.0	0.9
6	log2	8	2	1000	0.8928571428571429	1.0	0.9
6	log2	8	10	600	0.8928571428571429	1.0	0.9
6	log2	8	10	200	0.8928571428571429	1.0	0.9
6	log2	8	8	1000	0.8928571428571429	1.0	0.9
6	log2	8	8	600	0.8928571428571429	1.0	0.9
