activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.001	True	(50, 50)	adaptive	1000	lbfgs	0.9376190476190477	0.9574999999999999	0.9401785714285715
logistic	0.001	True	(50, 50)	adaptive	500	lbfgs	0.9376190476190477	0.9574999999999999	0.9401785714285715
logistic	0.001	True	(50, 50)	invscaling	1000	lbfgs	0.9376190476190477	0.9574999999999999	0.9401785714285715
logistic	0.001	True	(50, 50)	invscaling	500	lbfgs	0.9376190476190477	0.9574999999999999	0.9401785714285715
logistic	0.001	True	(50, 50)	constant	1000	lbfgs	0.9376190476190477	0.9574999999999999	0.9401785714285715
logistic	0.001	True	(50, 50)	constant	500	lbfgs	0.9376190476190477	0.9574999999999999	0.9401785714285715
relu	0.1	True	(100,)	invscaling	500	lbfgs	0.9523809523809523	0.9527777777777778	0.9514880952380953
relu	0.1	True	(100,)	constant	500	lbfgs	0.9523809523809523	0.9527777777777778	0.9514880952380953
relu	0.1	True	(100,)	invscaling	1000	lbfgs	0.9523809523809523	0.9527777777777778	0.9514880952380953
relu	0.1	True	(100,)	constant	1000	lbfgs	0.9523809523809523	0.9527777777777778	0.9514880952380953
relu	0.1	True	(100,)	adaptive	500	lbfgs	0.9523809523809523	0.9527777777777778	0.9514880952380953
relu	0.1	True	(100,)	adaptive	1000	lbfgs	0.9523809523809523	0.9527777777777778	0.9514880952380953
logistic	0.001	True	(50,)	invscaling	500	lbfgs	0.9447619047619048	0.9463888888888888	0.9455357142857143
logistic	0.001	True	(50,)	constant	1000	lbfgs	0.9447619047619048	0.9463888888888888	0.9455357142857143
logistic	0.01	True	(50,)	constant	500	lbfgs	0.9447619047619048	0.9463888888888888	0.9455357142857143
logistic	0.001	True	(50,)	invscaling	1000	lbfgs	0.9447619047619048	0.9463888888888888	0.9455357142857143
logistic	0.01	True	(50,)	invscaling	1000	lbfgs	0.9447619047619048	0.9463888888888888	0.9455357142857143
logistic	0.001	True	(50,)	adaptive	500	lbfgs	0.9447619047619048	0.9463888888888888	0.9455357142857143
logistic	0.01	True	(50,)	invscaling	500	lbfgs	0.9447619047619048	0.9463888888888888	0.9455357142857143
logistic	0.01	True	(50,)	adaptive	1000	lbfgs	0.9447619047619048	0.9463888888888888	0.9455357142857143
logistic	0.01	True	(50,)	constant	1000	lbfgs	0.9447619047619048	0.9463888888888888	0.9455357142857143
logistic	0.01	True	(50,)	adaptive	500	lbfgs	0.9447619047619048	0.9463888888888888	0.9455357142857143
logistic	0.001	True	(50,)	constant	500	lbfgs	0.9447619047619048	0.9463888888888888	0.9455357142857143
logistic	0.001	True	(50,)	adaptive	1000	lbfgs	0.9447619047619048	0.9463888888888888	0.9455357142857143
tanh	0.01	True	(50, 50)	constant	1000	lbfgs	0.8980952380952381	0.9452777777777778	0.899404761904762
tanh	0.001	True	(50, 50)	constant	1000	lbfgs	0.8980952380952381	0.9452777777777778	0.899404761904762
tanh	0.01	True	(50, 50)	constant	500	lbfgs	0.8980952380952381	0.9452777777777778	0.899404761904762
tanh	0.001	True	(50, 50)	adaptive	1000	lbfgs	0.8980952380952381	0.9452777777777778	0.899404761904762
tanh	0.01	True	(50, 50)	invscaling	500	lbfgs	0.8980952380952381	0.9452777777777778	0.899404761904762
tanh	0.01	True	(50, 50)	invscaling	1000	lbfgs	0.8980952380952381	0.9452777777777778	0.899404761904762
tanh	0.01	True	(50, 50)	adaptive	1000	lbfgs	0.8980952380952381	0.9452777777777778	0.899404761904762
tanh	0.001	True	(50, 50)	adaptive	500	lbfgs	0.8980952380952381	0.9452777777777778	0.899404761904762
tanh	0.001	True	(50, 50)	invscaling	1000	lbfgs	0.8980952380952381	0.9452777777777778	0.899404761904762
tanh	0.001	True	(50, 50)	invscaling	500	lbfgs	0.8980952380952381	0.9452777777777778	0.899404761904762
tanh	0.01	True	(50, 50)	adaptive	500	lbfgs	0.8980952380952381	0.9452777777777778	0.899404761904762
tanh	0.001	True	(50, 50)	constant	500	lbfgs	0.8980952380952381	0.9452777777777778	0.899404761904762
logistic	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9385714285714286	0.9402777777777779	0.9380952380952381
logistic	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9385714285714286	0.9402777777777779	0.9380952380952381
logistic	0.1	True	(100, 100)	constant	1000	lbfgs	0.9385714285714286	0.9402777777777779	0.9380952380952381
logistic	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9385714285714286	0.9402777777777779	0.9380952380952381
logistic	0.1	True	(100, 100)	constant	500	lbfgs	0.9385714285714286	0.9402777777777779	0.9380952380952381
logistic	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9385714285714286	0.9402777777777779	0.9380952380952381
logistic	0.001	True	(100, 100)	adaptive	1000	lbfgs	0.9299999999999999	0.9386363636363637	0.9321428571428572
logistic	0.001	True	(100, 100)	invscaling	500	lbfgs	0.9299999999999999	0.9386363636363637	0.9321428571428572
logistic	0.001	True	(100, 100)	constant	500	lbfgs	0.9299999999999999	0.9386363636363637	0.9321428571428572
logistic	0.001	True	(100, 100)	constant	1000	lbfgs	0.9299999999999999	0.9386363636363637	0.9321428571428572
logistic	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.9299999999999999	0.9386363636363637	0.9321428571428572
logistic	0.001	True	(100, 100)	adaptive	500	lbfgs	0.9299999999999999	0.9386363636363637	0.9321428571428572
logistic	0.001	True	(100,)	invscaling	1000	lbfgs	0.8895238095238096	0.9333333333333333	0.89375
logistic	0.001	True	(100,)	adaptive	1000	lbfgs	0.8895238095238096	0.9333333333333333	0.89375
logistic	0.01	True	(100,)	constant	1000	lbfgs	0.8895238095238096	0.9333333333333333	0.89375
logistic	0.001	True	(100,)	adaptive	500	lbfgs	0.8895238095238096	0.9333333333333333	0.89375
logistic	0.001	True	(100,)	invscaling	500	lbfgs	0.8895238095238096	0.9333333333333333	0.89375
logistic	0.001	True	(100,)	constant	1000	lbfgs	0.8895238095238096	0.9333333333333333	0.89375
logistic	0.001	True	(100,)	constant	500	lbfgs	0.8895238095238096	0.9333333333333333	0.89375
logistic	0.01	True	(100,)	constant	500	lbfgs	0.8895238095238096	0.9333333333333333	0.89375
logistic	0.01	True	(100,)	invscaling	500	lbfgs	0.8895238095238096	0.9333333333333333	0.89375
logistic	0.01	True	(100,)	invscaling	1000	lbfgs	0.8895238095238096	0.9333333333333333	0.89375
logistic	0.01	True	(100,)	adaptive	500	lbfgs	0.8895238095238096	0.9333333333333333	0.89375
logistic	0.01	True	(100,)	adaptive	1000	lbfgs	0.8895238095238096	0.9333333333333333	0.89375
logistic	0.1	True	(100, 100)	constant	1000	adam	0.8980952380952381	0.9305555555555556	0.9005952380952381
logistic	0.1	True	(50,)	constant	1000	lbfgs	0.9314285714285715	0.9305555555555556	0.930952380952381
logistic	0.1	True	(100, 100)	invscaling	500	adam	0.8980952380952381	0.9305555555555556	0.9005952380952381
logistic	0.1	True	(100, 100)	invscaling	1000	adam	0.8980952380952381	0.9305555555555556	0.9005952380952381
relu	0.1	True	(50,)	invscaling	500	lbfgs	0.9452380952380952	0.9305555555555556	0.943452380952381
logistic	0.1	True	(50,)	invscaling	500	lbfgs	0.9314285714285715	0.9305555555555556	0.930952380952381
relu	0.1	True	(50,)	constant	1000	lbfgs	0.9452380952380952	0.9305555555555556	0.943452380952381
logistic	0.1	True	(100, 100)	constant	500	adam	0.8980952380952381	0.9305555555555556	0.9005952380952381
logistic	0.1	True	(100, 100)	adaptive	500	adam	0.8980952380952381	0.9305555555555556	0.9005952380952381
logistic	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9314285714285715	0.9305555555555556	0.930952380952381
logistic	0.1	True	(50,)	constant	500	lbfgs	0.9314285714285715	0.9305555555555556	0.930952380952381
logistic	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9314285714285715	0.9305555555555556	0.930952380952381
logistic	0.1	True	(100, 100)	adaptive	1000	adam	0.8980952380952381	0.9305555555555556	0.9005952380952381
relu	0.1	True	(50,)	adaptive	500	lbfgs	0.9452380952380952	0.9305555555555556	0.943452380952381
relu	0.1	True	(50,)	adaptive	1000	lbfgs	0.9452380952380952	0.9305555555555556	0.943452380952381
relu	0.1	True	(50,)	constant	500	lbfgs	0.9452380952380952	0.9305555555555556	0.943452380952381
relu	0.1	True	(50,)	invscaling	1000	lbfgs	0.9452380952380952	0.9305555555555556	0.943452380952381
logistic	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9314285714285715	0.9305555555555556	0.930952380952381
logistic	0.1	True	(50,)	invscaling	1000	lbfgs	0.9314285714285715	0.9305555555555556	0.930952380952381
logistic	0.1	True	(50,)	adaptive	500	lbfgs	0.9314285714285715	0.9305555555555556	0.930952380952381
logistic	0.1	True	(50,)	adaptive	1000	lbfgs	0.9314285714285715	0.9305555555555556	0.930952380952381
logistic	0.1	True	(50, 50)	constant	500	lbfgs	0.9314285714285715	0.9305555555555556	0.930952380952381
logistic	0.1	True	(50, 50)	constant	1000	lbfgs	0.9314285714285715	0.9305555555555556	0.930952380952381
logistic	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9314285714285715	0.9305555555555556	0.930952380952381
relu	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9385714285714286	0.9259920634920634	0.9372023809523811
relu	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9385714285714286	0.9259920634920634	0.9372023809523811
relu	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9385714285714286	0.9259920634920634	0.9372023809523811
relu	0.1	True	(50, 50)	constant	1000	lbfgs	0.9385714285714286	0.9259920634920634	0.9372023809523811
relu	0.1	True	(50, 50)	constant	500	lbfgs	0.9385714285714286	0.9259920634920634	0.9372023809523811
relu	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9385714285714286	0.9259920634920634	0.9372023809523811
tanh	0.1	True	(50,)	invscaling	500	lbfgs	0.9238095238095239	0.9227777777777778	0.9229166666666668
tanh	0.1	True	(50,)	constant	500	lbfgs	0.9238095238095239	0.9227777777777778	0.9229166666666668
tanh	0.1	True	(50,)	invscaling	1000	lbfgs	0.9238095238095239	0.9227777777777778	0.9229166666666668
tanh	0.1	True	(50,)	adaptive	1000	lbfgs	0.9238095238095239	0.9227777777777778	0.9229166666666668
tanh	0.1	True	(50,)	adaptive	500	lbfgs	0.9238095238095239	0.9227777777777778	0.9229166666666668
tanh	0.1	True	(50,)	constant	1000	lbfgs	0.9238095238095239	0.9227777777777778	0.9229166666666668
identity	0.1	True	(50,)	adaptive	500	lbfgs	0.9185714285714287	0.9222222222222222	0.918452380952381
identity	0.1	True	(50,)	adaptive	1000	lbfgs	0.9185714285714287	0.9222222222222222	0.918452380952381
identity	0.1	True	(50,)	invscaling	500	lbfgs	0.9185714285714287	0.9222222222222222	0.918452380952381
identity	0.1	True	(50,)	constant	1000	lbfgs	0.9185714285714287	0.9222222222222222	0.918452380952381
identity	0.1	True	(50,)	invscaling	1000	lbfgs	0.9185714285714287	0.9222222222222222	0.918452380952381
identity	0.1	True	(50,)	constant	500	lbfgs	0.9185714285714287	0.9222222222222222	0.918452380952381
relu	0.01	True	(50, 50)	adaptive	1000	lbfgs	0.8914285714285715	0.9202777777777778	0.8913690476190477
relu	0.01	True	(50, 50)	invscaling	1000	lbfgs	0.8914285714285715	0.9202777777777778	0.8913690476190477
relu	0.01	True	(50, 50)	constant	1000	lbfgs	0.8914285714285715	0.9202777777777778	0.8913690476190477
relu	0.01	True	(50, 50)	adaptive	500	lbfgs	0.8914285714285715	0.9202777777777778	0.8913690476190477
relu	0.01	True	(50, 50)	constant	500	lbfgs	0.8914285714285715	0.9202777777777778	0.8913690476190477
relu	0.01	True	(50, 50)	invscaling	500	lbfgs	0.8914285714285715	0.9202777777777778	0.8913690476190477
identity	0.1	True	(100,)	adaptive	1000	lbfgs	0.9042857142857142	0.9200396825396826	0.9050595238095239
