C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
10.0	0.01	rbf	0.9733333333333334	1.0	0.975
10.0	0.1	rbf	0.8657142857142859	1.0	0.8741071428571429
100.0	0.1	rbf	0.8657142857142859	1.0	0.8741071428571429
1000.0	0.1	rbf	0.8657142857142859	1.0	0.8741071428571429
1.0	0.01	rbf	0.912857142857143	1.0	0.91875
1000.0	0.01	rbf	0.9733333333333334	1.0	0.975
100.0	0.01	rbf	0.9733333333333334	1.0	0.975
1.0	0.1	rbf	0.8657142857142859	1.0	0.8741071428571429
10.0	0.01	linear	0.9657142857142856	0.975	0.9669642857142857
1.0	1.0	linear	0.9657142857142856	0.975	0.9669642857142857
1.0	0.1	linear	0.9657142857142856	0.975	0.9669642857142857
1.0	100.0	linear	0.9657142857142856	0.975	0.9669642857142857
100.0	0.01	linear	0.9657142857142856	0.975	0.9669642857142857
10.0	1000.0	linear	0.9657142857142856	0.975	0.9669642857142857
1.0	1000.0	linear	0.9657142857142856	0.975	0.9669642857142857
10.0	100.0	linear	0.9657142857142856	0.975	0.9669642857142857
10.0	1.0	linear	0.9657142857142856	0.975	0.9669642857142857
1.0	0.01	linear	0.9657142857142856	0.975	0.9669642857142857
0.1	100.0	linear	0.9657142857142856	0.975	0.9669642857142857
0.1	1000.0	linear	0.9657142857142856	0.975	0.9669642857142857
100.0	0.1	linear	0.9657142857142856	0.975	0.9669642857142857
0.1	1.0	linear	0.9657142857142856	0.975	0.9669642857142857
100.0	1.0	linear	0.9657142857142856	0.975	0.9669642857142857
0.1	0.1	linear	0.9657142857142856	0.975	0.9669642857142857
100.0	100.0	linear	0.9657142857142856	0.975	0.9669642857142857
0.1	0.01	linear	0.9657142857142856	0.975	0.9669642857142857
100.0	1000.0	linear	0.9657142857142856	0.975	0.9669642857142857
1000.0	0.01	linear	0.9657142857142856	0.975	0.9669642857142857
1000.0	0.1	linear	0.9657142857142856	0.975	0.9669642857142857
1000.0	1.0	linear	0.9657142857142856	0.975	0.9669642857142857
1000.0	100.0	linear	0.9657142857142856	0.975	0.9669642857142857
1000.0	1000.0	linear	0.9657142857142856	0.975	0.9669642857142857
10.0	0.1	linear	0.9657142857142856	0.975	0.9669642857142857
0.01	0.01	linear	0.8914285714285715	0.97	0.8973214285714285
0.01	0.1	linear	0.8914285714285715	0.97	0.8973214285714285
0.01	1.0	linear	0.8914285714285715	0.97	0.8973214285714285
0.01	100.0	linear	0.8914285714285715	0.97	0.8973214285714285
0.01	1000.0	linear	0.8914285714285715	0.97	0.8973214285714285
0.1	0.01	rbf	0.5347619047619048	0.5314652014652015	0.5071428571428571
0.01	0.01	rbf	0.5276190476190477	0.5276190476190477	0.5
0.01	1000.0	rbf	0.5276190476190477	0.5276190476190477	0.5
1000.0	100.0	rbf	0.5276190476190477	0.5276190476190477	0.5
0.01	0.1	rbf	0.5276190476190477	0.5276190476190477	0.5
1000.0	1.0	rbf	0.5276190476190477	0.5276190476190477	0.5
0.01	1.0	rbf	0.5276190476190477	0.5276190476190477	0.5
0.01	100.0	rbf	0.5276190476190477	0.5276190476190477	0.5
100.0	1000.0	rbf	0.5276190476190477	0.5276190476190477	0.5
100.0	100.0	rbf	0.5276190476190477	0.5276190476190477	0.5
10.0	1.0	rbf	0.5276190476190477	0.5276190476190477	0.5
100.0	1.0	rbf	0.5276190476190477	0.5276190476190477	0.5
0.1	0.1	rbf	0.5276190476190477	0.5276190476190477	0.5
0.1	1.0	rbf	0.5276190476190477	0.5276190476190477	0.5
0.1	100.0	rbf	0.5276190476190477	0.5276190476190477	0.5
0.1	1000.0	rbf	0.5276190476190477	0.5276190476190477	0.5
1.0	1.0	rbf	0.5276190476190477	0.5276190476190477	0.5
10.0	1000.0	rbf	0.5276190476190477	0.5276190476190477	0.5
1.0	100.0	rbf	0.5276190476190477	0.5276190476190477	0.5
10.0	100.0	rbf	0.5276190476190477	0.5276190476190477	0.5
1.0	1000.0	rbf	0.5276190476190477	0.5276190476190477	0.5
1000.0	1000.0	rbf	0.5276190476190477	0.5276190476190477	0.5
