activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
relu	0.1	True	(100,)	adaptive	1000	lbfgs	0.9384615384615385	0.9625	0.9392857142857143
relu	0.1	True	(100,)	invscaling	500	lbfgs	0.9384615384615385	0.9625	0.9392857142857143
relu	0.1	True	(100,)	constant	500	lbfgs	0.9384615384615385	0.9625	0.9392857142857143
relu	0.1	True	(100,)	adaptive	500	lbfgs	0.9384615384615385	0.9625	0.9392857142857143
relu	0.1	True	(100,)	constant	1000	lbfgs	0.9384615384615385	0.9625	0.9392857142857143
relu	0.1	True	(100,)	invscaling	1000	lbfgs	0.9384615384615385	0.9625	0.9392857142857143
tanh	0.01	True	(50, 50)	invscaling	500	lbfgs	0.9461538461538461	0.9527777777777778	0.9452380952380952
tanh	0.01	True	(50, 50)	invscaling	1000	lbfgs	0.9461538461538461	0.9527777777777778	0.9452380952380952
tanh	0.01	True	(50, 50)	adaptive	500	lbfgs	0.9461538461538461	0.9527777777777778	0.9452380952380952
logistic	0.1	True	(100, 100)	constant	1000	lbfgs	0.9461538461538461	0.9527777777777778	0.9452380952380952
tanh	0.01	True	(50, 50)	adaptive	1000	lbfgs	0.9461538461538461	0.9527777777777778	0.9452380952380952
logistic	0.1	True	(50, 50)	constant	1000	lbfgs	0.9461538461538461	0.9527777777777778	0.9452380952380952
logistic	0.1	True	(100, 100)	constant	500	lbfgs	0.9461538461538461	0.9527777777777778	0.9452380952380952
logistic	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9461538461538461	0.9527777777777778	0.9452380952380952
logistic	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9461538461538461	0.9527777777777778	0.9452380952380952
logistic	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9461538461538461	0.9527777777777778	0.9452380952380952
logistic	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9461538461538461	0.9527777777777778	0.9452380952380952
tanh	0.01	True	(50, 50)	constant	1000	lbfgs	0.9461538461538461	0.9527777777777778	0.9452380952380952
logistic	0.1	True	(50,)	constant	1000	lbfgs	0.9384615384615385	0.9527777777777778	0.9380952380952381
logistic	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9461538461538461	0.9527777777777778	0.9452380952380952
tanh	0.1	True	(100,)	adaptive	1000	lbfgs	0.9538461538461538	0.9527777777777778	0.9523809523809523
logistic	0.1	True	(50,)	constant	500	lbfgs	0.9384615384615385	0.9527777777777778	0.9380952380952381
tanh	0.1	True	(100,)	constant	500	lbfgs	0.9538461538461538	0.9527777777777778	0.9523809523809523
tanh	0.1	True	(100,)	constant	1000	lbfgs	0.9538461538461538	0.9527777777777778	0.9523809523809523
tanh	0.1	True	(100,)	invscaling	500	lbfgs	0.9538461538461538	0.9527777777777778	0.9523809523809523
tanh	0.1	True	(100,)	invscaling	1000	lbfgs	0.9538461538461538	0.9527777777777778	0.9523809523809523
tanh	0.1	True	(100,)	adaptive	500	lbfgs	0.9538461538461538	0.9527777777777778	0.9523809523809523
logistic	0.01	True	(100, 100)	adaptive	1000	lbfgs	0.9538461538461538	0.9527777777777778	0.9523809523809523
logistic	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9461538461538461	0.9527777777777778	0.9452380952380952
logistic	0.01	True	(100, 100)	adaptive	500	lbfgs	0.9538461538461538	0.9527777777777778	0.9523809523809523
logistic	0.01	True	(100, 100)	invscaling	1000	lbfgs	0.9538461538461538	0.9527777777777778	0.9523809523809523
logistic	0.01	True	(100, 100)	invscaling	500	lbfgs	0.9538461538461538	0.9527777777777778	0.9523809523809523
logistic	0.01	True	(100, 100)	constant	1000	lbfgs	0.9538461538461538	0.9527777777777778	0.9523809523809523
logistic	0.01	True	(100, 100)	constant	500	lbfgs	0.9538461538461538	0.9527777777777778	0.9523809523809523
logistic	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9461538461538461	0.9527777777777778	0.9452380952380952
tanh	0.01	True	(50, 50)	constant	500	lbfgs	0.9461538461538461	0.9527777777777778	0.9452380952380952
logistic	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9461538461538461	0.9527777777777778	0.9452380952380952
logistic	0.1	True	(50, 50)	constant	500	lbfgs	0.9461538461538461	0.9527777777777778	0.9452380952380952
logistic	0.1	True	(50,)	invscaling	500	lbfgs	0.9384615384615385	0.9527777777777778	0.9380952380952381
logistic	0.1	True	(100,)	constant	500	lbfgs	0.9384615384615385	0.9527777777777778	0.9380952380952381
tanh	0.001	True	(50, 50)	invscaling	1000	lbfgs	0.9461538461538461	0.9527777777777778	0.9452380952380952
