max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
12	log2	10	10	1000	0.9307692307692308	1.0	0.9357142857142857
8	log2	10	10	600	0.9307692307692307	1.0	0.9357142857142857
6	log2	10	10	1000	0.9307692307692308	1.0	0.9357142857142857
10	log2	8	4	600	0.923076923076923	1.0	0.9285714285714285
6	log2	10	8	1000	0.9307692307692308	1.0	0.9357142857142857
6	log2	10	8	600	0.9307692307692307	1.0	0.9357142857142857
6	log2	10	4	1000	0.9307692307692308	1.0	0.9357142857142857
6	log2	10	4	600	0.9307692307692307	1.0	0.9357142857142857
6	log2	10	2	1000	0.9307692307692308	1.0	0.9357142857142857
6	log2	10	2	600	0.9307692307692307	1.0	0.9357142857142857
6	log2	8	10	600	0.923076923076923	1.0	0.9285714285714285
10	log2	10	10	1000	0.9307692307692308	1.0	0.9357142857142857
10	log2	10	10	600	0.9307692307692307	1.0	0.9357142857142857
10	log2	10	8	1000	0.9307692307692308	1.0	0.9357142857142857
10	log2	10	8	600	0.9307692307692307	1.0	0.9357142857142857
6	log2	8	8	600	0.923076923076923	1.0	0.9285714285714285
10	log2	10	4	1000	0.9307692307692308	1.0	0.9357142857142857
10	log2	10	4	600	0.9307692307692307	1.0	0.9357142857142857
10	log2	10	2	1000	0.9307692307692308	1.0	0.9357142857142857
6	log2	8	4	600	0.923076923076923	1.0	0.9285714285714285
10	log2	10	2	600	0.9307692307692307	1.0	0.9357142857142857
6	log2	8	2	600	0.923076923076923	1.0	0.9285714285714285
10	log2	8	10	600	0.923076923076923	1.0	0.9285714285714285
10	log2	8	2	600	0.923076923076923	1.0	0.9285714285714285
10	log2	8	8	600	0.923076923076923	1.0	0.9285714285714285
8	log2	10	10	1000	0.9307692307692308	1.0	0.9357142857142857
6	log2	10	10	600	0.9307692307692307	1.0	0.9357142857142857
12	log2	8	2	600	0.923076923076923	1.0	0.9285714285714285
12	log2	10	8	600	0.9307692307692307	1.0	0.9357142857142857
12	log2	10	4	1000	0.9307692307692308	1.0	0.9357142857142857
12	log2	10	4	600	0.9307692307692307	1.0	0.9357142857142857
12	log2	10	8	1000	0.9307692307692308	1.0	0.9357142857142857
8	log2	8	4	600	0.923076923076923	1.0	0.9285714285714285
12	log2	10	2	1000	0.9307692307692308	1.0	0.9357142857142857
12	log2	10	2	600	0.9307692307692307	1.0	0.9357142857142857
8	log2	10	8	1000	0.9307692307692308	1.0	0.9357142857142857
8	log2	8	8	600	0.923076923076923	1.0	0.9285714285714285
8	log2	8	2	600	0.923076923076923	1.0	0.9285714285714285
8	log2	8	10	600	0.923076923076923	1.0	0.9285714285714285
12	log2	8	10	600	0.923076923076923	1.0	0.9285714285714285
12	log2	10	10	600	0.9307692307692307	1.0	0.9357142857142857
8	log2	10	2	600	0.9307692307692307	1.0	0.9357142857142857
8	log2	10	2	1000	0.9307692307692308	1.0	0.9357142857142857
12	log2	8	8	600	0.923076923076923	1.0	0.9285714285714285
8	log2	10	4	600	0.9307692307692307	1.0	0.9357142857142857
8	log2	10	4	1000	0.9307692307692308	1.0	0.9357142857142857
12	log2	8	4	600	0.923076923076923	1.0	0.9285714285714285
8	log2	10	8	600	0.9307692307692307	1.0	0.9357142857142857
10	log2	8	2	1000	0.9153846153846154	0.9875	0.9202380952380951
6	log2	4	8	1000	0.9307692307692308	0.9875	0.9345238095238095
6	log2	4	10	1000	0.9307692307692308	0.9875	0.9345238095238095
8	log2	8	4	1000	0.9153846153846154	0.9875	0.9202380952380951
6	log2	8	2	1000	0.9153846153846154	0.9875	0.9202380952380951
8	log2	8	2	1000	0.9153846153846154	0.9875	0.9202380952380951
6	log2	8	4	1000	0.9153846153846154	0.9875	0.9202380952380951
6	log2	8	8	1000	0.9153846153846154	0.9875	0.9202380952380951
8	log2	8	8	1000	0.9153846153846154	0.9875	0.9202380952380951
6	log2	8	10	1000	0.9153846153846154	0.9875	0.9202380952380951
8	log2	8	10	1000	0.9153846153846154	0.9875	0.9202380952380951
6	log2	4	2	1000	0.9307692307692308	0.9875	0.9345238095238095
6	log2	4	4	1000	0.9307692307692308	0.9875	0.9345238095238095
10	log2	8	4	1000	0.9153846153846154	0.9875	0.9202380952380951
10	log2	8	10	1000	0.9153846153846154	0.9875	0.9202380952380951
12	log2	8	4	1000	0.9153846153846154	0.9875	0.9202380952380951
12	log2	8	8	1000	0.9153846153846154	0.9875	0.9202380952380951
12	log2	8	10	1000	0.9153846153846154	0.9875	0.9202380952380951
6	log2	2	2	600	0.9307692307692308	0.9875	0.9345238095238095
6	log2	2	4	600	0.9307692307692308	0.9875	0.9345238095238095
12	log2	8	2	1000	0.9153846153846154	0.9875	0.9202380952380951
10	log2	8	8	1000	0.9153846153846154	0.9875	0.9202380952380951
6	log2	2	8	600	0.9307692307692308	0.9875	0.9345238095238095
6	sqrt	4	8	200	0.9307692307692308	0.9800000000000001	0.9345238095238095
12	log2	10	2	200	0.9307692307692307	0.9800000000000001	0.9345238095238095
6	log2	10	10	200	0.9307692307692307	0.9800000000000001	0.9345238095238095
8	log2	8	10	200	0.923076923076923	0.9800000000000001	0.9273809523809524
6	sqrt	4	4	200	0.9307692307692308	0.9800000000000001	0.9345238095238095
10	log2	8	8	200	0.923076923076923	0.9800000000000001	0.9273809523809524
12	log2	8	10	200	0.923076923076923	0.9800000000000001	0.9273809523809524
8	log2	10	2	200	0.9307692307692307	0.9800000000000001	0.9345238095238095
6	sqrt	4	2	200	0.9307692307692308	0.9800000000000001	0.9345238095238095
8	log2	8	8	200	0.923076923076923	0.9800000000000001	0.9273809523809524
8	log2	10	4	200	0.9307692307692307	0.9800000000000001	0.9345238095238095
12	log2	8	8	200	0.923076923076923	0.9800000000000001	0.9273809523809524
10	log2	8	4	200	0.923076923076923	0.9800000000000001	0.9273809523809524
8	log2	10	8	200	0.9307692307692307	0.9800000000000001	0.9345238095238095
12	log2	8	2	200	0.923076923076923	0.9800000000000001	0.9273809523809524
8	log2	10	10	200	0.9307692307692307	0.9800000000000001	0.9345238095238095
