activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.001	True	(100,)	invscaling	1000	adam	0.9033088235294118	1.0	0.8785714285714287
logistic	0.001	True	(100,)	constant	1000	adam	0.9033088235294118	1.0	0.8785714285714287
tanh	0.01	True	(50,)	constant	500	lbfgs	0.9941176470588236	1.0	0.9928571428571429
tanh	0.001	True	(50,)	invscaling	1000	lbfgs	0.9941176470588236	1.0	0.9928571428571429
tanh	0.001	True	(50,)	adaptive	500	lbfgs	0.9941176470588236	1.0	0.9928571428571429
logistic	0.1	True	(100, 100)	constant	1000	adam	0.9397058823529412	1.0	0.9238095238095239
tanh	0.001	True	(50,)	adaptive	1000	lbfgs	0.9941176470588236	1.0	0.9928571428571429
tanh	0.001	True	(100,)	constant	500	adam	0.9033088235294118	1.0	0.880952380952381
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.9397058823529412	1.0	0.9238095238095239
logistic	0.001	True	(100,)	adaptive	500	adam	0.9033088235294118	1.0	0.8785714285714287
tanh	0.001	True	(100,)	constant	1000	adam	0.9033088235294118	1.0	0.880952380952381
logistic	0.1	True	(100, 100)	constant	500	adam	0.9397058823529412	1.0	0.9238095238095239
logistic	0.001	True	(100,)	invscaling	500	adam	0.9033088235294118	1.0	0.8785714285714287
tanh	0.001	True	(100,)	invscaling	500	adam	0.9033088235294118	1.0	0.880952380952381
tanh	0.01	True	(50,)	adaptive	1000	lbfgs	0.9941176470588236	1.0	0.9928571428571429
tanh	0.001	True	(100,)	invscaling	1000	adam	0.9033088235294118	1.0	0.880952380952381
tanh	0.001	True	(50,)	invscaling	500	lbfgs	0.9941176470588236	1.0	0.9928571428571429
tanh	0.001	True	(50,)	constant	1000	lbfgs	0.9941176470588236	1.0	0.9928571428571429
logistic	0.1	True	(100, 100)	invscaling	500	adam	0.9397058823529412	1.0	0.9238095238095239
tanh	0.001	True	(50,)	constant	500	lbfgs	0.9941176470588236	1.0	0.9928571428571429
logistic	0.01	True	(100,)	adaptive	1000	adam	0.9033088235294118	1.0	0.8785714285714287
logistic	0.1	True	(100, 100)	invscaling	1000	adam	0.9397058823529412	1.0	0.9238095238095239
logistic	0.1	True	(100, 100)	adaptive	500	adam	0.9397058823529412	1.0	0.9238095238095239
logistic	0.1	True	(100, 100)	adaptive	1000	adam	0.9397058823529412	1.0	0.9238095238095239
logistic	0.01	True	(100,)	constant	500	adam	0.9033088235294118	1.0	0.8785714285714287
tanh	0.01	True	(50,)	constant	1000	lbfgs	0.9941176470588236	1.0	0.9928571428571429
logistic	0.01	True	(100,)	constant	1000	adam	0.9033088235294118	1.0	0.8785714285714287
tanh	0.01	True	(50,)	invscaling	500	lbfgs	0.9941176470588236	1.0	0.9928571428571429
logistic	0.01	True	(100,)	invscaling	500	adam	0.9033088235294118	1.0	0.8785714285714287
logistic	0.001	True	(100,)	constant	500	adam	0.9033088235294118	1.0	0.8785714285714287
logistic	0.01	True	(100,)	invscaling	1000	adam	0.9033088235294118	1.0	0.8785714285714287
tanh	0.01	True	(50,)	invscaling	1000	lbfgs	0.9941176470588236	1.0	0.9928571428571429
logistic	0.01	True	(100,)	adaptive	500	adam	0.9033088235294118	1.0	0.8785714285714287
logistic	0.01	True	(100, 100)	constant	500	adam	0.9397058823529412	1.0	0.9238095238095239
tanh	0.01	True	(50,)	adaptive	500	lbfgs	0.9941176470588236	1.0	0.9928571428571429
tanh	0.001	True	(100,)	adaptive	500	adam	0.9033088235294118	1.0	0.880952380952381
logistic	0.001	True	(100, 100)	constant	500	adam	0.9334558823529411	1.0	0.9154761904761906
logistic	0.1	True	(100,)	constant	1000	adam	0.9095588235294118	1.0	0.8869047619047619
logistic	0.1	True	(100,)	constant	500	adam	0.9095588235294118	1.0	0.8869047619047619
logistic	0.1	True	(100,)	invscaling	500	adam	0.9095588235294118	1.0	0.8869047619047619
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.9397058823529412	1.0	0.9238095238095239
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.9397058823529412	1.0	0.9238095238095239
logistic	0.1	True	(100,)	invscaling	1000	adam	0.9095588235294118	1.0	0.8869047619047619
logistic	0.1	True	(100,)	adaptive	500	adam	0.9095588235294118	1.0	0.8869047619047619
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.9334558823529411	1.0	0.9154761904761906
logistic	0.1	True	(100,)	adaptive	1000	adam	0.9095588235294118	1.0	0.8869047619047619
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.9334558823529411	1.0	0.9154761904761906
logistic	0.001	True	(100, 100)	constant	1000	adam	0.9334558823529411	1.0	0.9154761904761906
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.9334558823529411	1.0	0.9154761904761906
logistic	0.01	True	(100, 100)	constant	1000	adam	0.9397058823529412	1.0	0.9238095238095239
tanh	0.001	True	(100,)	adaptive	1000	adam	0.9033088235294118	1.0	0.880952380952381
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.9397058823529412	1.0	0.9238095238095239
logistic	0.001	True	(100,)	adaptive	1000	adam	0.9033088235294118	1.0	0.8785714285714287
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.9334558823529411	1.0	0.9154761904761906
tanh	0.01	True	(100, 100)	constant	1000	lbfgs	0.9757352941176471	0.9875	0.9711904761904762
tanh	0.001	True	(100, 100)	constant	500	lbfgs	0.9757352941176471	0.9875	0.9711904761904762
tanh	0.001	True	(100, 100)	constant	1000	lbfgs	0.9757352941176471	0.9875	0.9711904761904762
tanh	0.001	True	(100, 100)	invscaling	500	lbfgs	0.9757352941176471	0.9875	0.9711904761904762
tanh	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.9757352941176471	0.9875	0.9711904761904762
tanh	0.001	True	(100, 100)	adaptive	500	lbfgs	0.9757352941176471	0.9875	0.9711904761904762
tanh	0.01	True	(100, 100)	constant	500	lbfgs	0.9757352941176471	0.9875	0.9711904761904762
tanh	0.01	True	(100, 100)	adaptive	1000	lbfgs	0.9757352941176471	0.9875	0.9711904761904762
tanh	0.01	True	(100, 100)	invscaling	500	lbfgs	0.9757352941176471	0.9875	0.9711904761904762
tanh	0.01	True	(100, 100)	invscaling	1000	lbfgs	0.9757352941176471	0.9875	0.9711904761904762
tanh	0.01	True	(100, 100)	adaptive	500	lbfgs	0.9757352941176471	0.9875	0.9711904761904762
logistic	0.001	True	(50, 50)	adaptive	1000	lbfgs	0.9882352941176471	0.9875	0.987857142857143
logistic	0.001	True	(50, 50)	adaptive	500	lbfgs	0.9882352941176471	0.9875	0.987857142857143
logistic	0.001	True	(50, 50)	invscaling	1000	lbfgs	0.9882352941176471	0.9875	0.987857142857143
logistic	0.001	True	(50, 50)	invscaling	500	lbfgs	0.9882352941176471	0.9875	0.987857142857143
logistic	0.001	True	(50, 50)	constant	1000	lbfgs	0.9882352941176471	0.9875	0.987857142857143
logistic	0.001	True	(50, 50)	constant	500	lbfgs	0.9882352941176471	0.9875	0.987857142857143
tanh	0.001	True	(100, 100)	adaptive	1000	lbfgs	0.9757352941176471	0.9875	0.9711904761904762
tanh	0.01	True	(100,)	invscaling	500	lbfgs	0.9823529411764707	0.9857142857142858	0.9807142857142856
tanh	0.01	True	(100,)	constant	1000	lbfgs	0.9823529411764707	0.9857142857142858	0.9807142857142856
tanh	0.01	True	(100,)	constant	500	lbfgs	0.9823529411764707	0.9857142857142858	0.9807142857142856
logistic	0.001	True	(100,)	constant	1000	lbfgs	0.9878676470588236	0.9857142857142858	0.987857142857143
logistic	0.001	True	(100,)	constant	500	lbfgs	0.9878676470588236	0.9857142857142858	0.987857142857143
tanh	0.01	True	(100,)	invscaling	1000	lbfgs	0.9823529411764707	0.9857142857142858	0.9807142857142856
logistic	0.001	True	(100,)	invscaling	500	lbfgs	0.9878676470588236	0.9857142857142858	0.987857142857143
