activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.01	True	(50, 50)	adaptive	500	adam	0.9438018018018018	0.9728482976817479	0.937169448612153
logistic	0.01	True	(50, 50)	adaptive	1000	adam	0.9438018018018018	0.9728482976817479	0.937169448612153
logistic	0.01	True	(50, 50)	constant	500	adam	0.9438018018018018	0.9728482976817479	0.937169448612153
logistic	0.01	True	(50, 50)	invscaling	1000	adam	0.9438018018018018	0.9728482976817479	0.937169448612153
logistic	0.01	True	(50, 50)	invscaling	500	adam	0.9438018018018018	0.9728482976817479	0.937169448612153
logistic	0.01	True	(50, 50)	constant	1000	adam	0.9438018018018018	0.9728482976817479	0.937169448612153
logistic	0.001	True	(50, 50)	adaptive	500	adam	0.9518018018018017	0.9727407708000275	0.946544448612153
logistic	0.001	True	(50, 50)	adaptive	1000	adam	0.9518018018018017	0.9727407708000275	0.946544448612153
logistic	0.001	True	(50, 50)	invscaling	1000	adam	0.9518018018018017	0.9727407708000275	0.946544448612153
logistic	0.001	True	(50, 50)	invscaling	500	adam	0.9518018018018017	0.9727407708000275	0.946544448612153
logistic	0.001	True	(50, 50)	constant	1000	adam	0.9518018018018017	0.9727407708000275	0.946544448612153
logistic	0.001	True	(50, 50)	constant	500	adam	0.9518018018018017	0.9727407708000275	0.946544448612153
logistic	0.1	True	(50, 50)	constant	500	adam	0.9504684684684686	0.967860839350403	0.9458317704426108
logistic	0.1	True	(50, 50)	constant	1000	adam	0.9504684684684686	0.967860839350403	0.9458317704426108
logistic	0.1	True	(50, 50)	invscaling	500	adam	0.9504684684684686	0.967860839350403	0.9458317704426108
logistic	0.1	True	(50, 50)	adaptive	500	adam	0.9504684684684686	0.967860839350403	0.9458317704426108
logistic	0.1	True	(50, 50)	adaptive	1000	adam	0.9504684684684686	0.967860839350403	0.9458317704426108
logistic	0.1	True	(50, 50)	invscaling	1000	adam	0.9504684684684686	0.967860839350403	0.9458317704426108
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.9370810810810811	0.9642267947363887	0.9304048668417103
logistic	0.01	True	(100, 100)	constant	500	adam	0.9370810810810811	0.9642267947363887	0.9304048668417103
logistic	0.01	True	(100, 100)	constant	1000	adam	0.9370810810810811	0.9642267947363887	0.9304048668417103
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.9370810810810811	0.9642267947363887	0.9304048668417103
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.9370810810810811	0.9642267947363887	0.9304048668417103
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.9370810810810811	0.9642267947363887	0.9304048668417103
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.9184144144144145	0.9615702482468251	0.9085298668417103
logistic	0.001	True	(100, 100)	constant	500	adam	0.9184144144144145	0.9615702482468251	0.9085298668417103
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.9184144144144145	0.9615702482468251	0.9085298668417103
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.9184144144144145	0.9615702482468251	0.9085298668417103
logistic	0.001	True	(100, 100)	constant	1000	adam	0.9184144144144145	0.9615702482468251	0.9085298668417103
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.9184144144144145	0.9615702482468251	0.9085298668417103
logistic	0.01	True	(50,)	adaptive	1000	adam	0.9370630630630631	0.9524609388339105	0.932154913728432
logistic	0.1	True	(50,)	constant	1000	adam	0.9370630630630631	0.9524609388339105	0.932154913728432
